,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.5612,48.9962,0.0,42.0,0.0,0.0,0.0,GND
1,63.005,2.6206,48.9988,1554.397,148.3317,2819.0955,166.6633,0.248,CL
2,97.005,2.6553,49.0003,2475.1256,151.3317,1421.4494,166.6633,0.248,CL
3,128.0151,2.689,49.0024,3212.8141,158.005,1295.8212,166.995,0.248,CL
4,158.6935,2.7296,49.0049,3642.0854,189.6935,813.1281,192.6935,0.292,CL
5,182.8794,2.7634,49.0068,3921.3568,215.0754,738.3508,214.392,0.3288,CL
6,227.0553,2.8355,49.0042,5002.2613,254.0201,1922.6862,258.0201,0.384,CL
7,259.9447,2.8942,48.9963,6153.5176,264.8744,1911.6636,263.6784,0.3954,CL
8,282.3869,2.9407,48.9905,6902.0101,273.3467,2127.5126,266.0,0.4027,CL
9,307.598,2.9802,48.9763,7665.3266,279.0151,1894.1341,272.0,0.41,CL
10,336.8342,2.9942,48.9399,8663.5678,279.6583,3273.8693,274.0,0.4174,CL
11,376.7035,2.9606,48.8943,9817.5879,289.1759,1252.7638,274.0,0.4421,CL
12,410.0603,2.9258,48.8543,10500.7538,313.0101,921.3375,318.0402,0.4841,CL
13,434.0653,2.8984,48.8226,10792.2111,333.1307,547.932,342.7538,0.5221,CL
14,464.7136,2.8613,48.7799,11091.9598,362.7136,447.3618,364.0,0.5614,CL
15,489.6633,2.8282,48.7416,11631.2814,377.4874,2645.1488,376.9749,0.5779,CL
16,514.4673,2.7966,48.705,12907.0352,364.5729,3378.6432,363.9196,0.5572,CL
17,545.4472,2.7579,48.66,14710.9296,345.0955,4739.9497,343.2764,0.5313,CL
18,572.4372,2.7293,48.6261,15630.2764,345.4523,1159.9954,344.392,0.5485,CL
19,624.0402,2.7212,48.5381,16231.1558,390.9447,603.0151,385.0955,0.6028,CL
20,660.4171,2.7311,48.4707,16542.0854,421.3668,363.3166,414.201,0.6535,CL
21,688.7638,2.7387,48.4111,17031.1558,435.5528,1344.8672,428.0704,0.6741,CL
22,716.0553,2.7456,48.3551,17760.1759,440.3518,1773.1156,432.0,0.684,CL
23,741.9749,2.7516,48.3048,18287.1859,446.3015,953.5176,434.7437,0.6887,CL
24,770.0804,2.7593,48.2416,18852.5126,456.0,1801.5075,444.0402,0.704,CL
25,791.9598,2.7646,48.1976,19530.7789,454.1457,1957.6454,444.0,0.7074,CL
26,821.8191,2.7752,48.1341,20228.2663,457.3769,1280.5787,448.0,0.712,CL
27,845.794,2.7923,48.0815,20642.5879,465.0905,998.4011,452.0,0.7221,CL
28,877.4271,2.8221,48.0191,21267.8392,470.0,1158.1948,455.2864,0.728,CL
29,901.6281,2.8522,47.9711,21691.8342,474.3819,983.3257,458.7638,0.7368,CL
30,933.1759,2.8928,47.9055,22480.0251,474.9749,1627.2434,460.1005,0.748,CL
31,952.8744,2.9178,47.8646,22964.8241,475.7186,1716.7085,466.8744,0.7549,CL
32,976.5477,2.9469,47.8178,23369.3467,478.0804,826.6332,468.0,0.756,CL
33,1008.3869,2.9885,47.7517,23856.9095,484.0553,1037.6884,472.1106,0.7663,CL
34,1033.8945,3.0213,47.6994,24320.2261,486.3618,1159.7272,473.1055,0.772,CL
35,1053.5075,3.0472,47.6581,24688.191,487.0,1194.8875,480.392,0.7808,CL
36,1097.3015,3.1046,47.5667,25833.2915,482.8794,2399.7681,470.0603,0.7835,CL
37,1121.4573,3.1352,47.5176,26454.6482,479.0,2111.238,472.2714,0.7715,CL
38,1140.191,3.1584,47.4804,27217.0854,471.3015,2599.2462,467.206,0.764,CL
39,1170.9246,3.1962,47.4195,28059.799,465.0,1438.5388,460.9347,0.76,CL
40,1196.5025,3.2284,47.3677,28580.0251,465.8342,1169.8492,457.4673,0.7575,CL
41,1228.4221,3.2667,47.3055,29250.6281,465.995,1759.0224,455.598,0.7544,CL
42,1264.4221,3.3112,47.2329,30110.5528,461.9648,1500.0,451.9296,0.752,CL
43,1296.4322,3.3482,47.1728,30817.3367,460.0,1243.4673,448.2613,0.748,CL
44,1320.1457,3.3774,47.1252,31243.4673,461.0,1135.5027,448.0,0.7508,CL
45,1350.7538,3.4151,47.0636,31905.402,458.9246,1459.6734,446.0,0.752,CL
46,1385.3467,3.4553,46.9979,32540.0754,458.0,1061.9765,444.0,0.752,CL
47,1410.4724,3.4868,46.9473,33306.6583,450.1759,2427.0101,441.1759,0.7432,CL
48,1444.2814,3.5355,46.8861,34357.0352,436.8794,2039.8869,431.9196,0.7362,CL
49,1467.8693,3.5725,46.8495,34881.1558,432.0,1062.8141,426.2513,0.7285,CL
50,1497.2513,3.6291,46.8028,35000.0,439.1256,0.0,433.4171,0.7428,CL
51,1530.0553,3.6979,46.7576,35000.0,450.6281,0.0,444.1709,0.7603,CR
52,1558.8995,3.7682,46.7206,35000.0,460.5075,0.0,452.7538,0.7735,CR
53,1582.1658,3.828,46.6952,35000.0,467.6332,0.0,460.4221,0.7857,CR
54,1616.1809,3.9312,46.6613,35000.0,470.9548,0.0,463.9095,0.792,CR
55,1638.9146,4.0,46.6451,35000.0,471.0,0.0,462.2412,0.792,CR
56,1669.5628,4.0925,46.6275,35000.0,471.2864,0.0,463.4271,0.7909,CR
57,1694.5729,4.1698,46.6114,35000.0,470.5477,0.0,462.9045,0.7898,CR
58,1723.9095,4.2456,46.5801,35000.0,470.0,0.0,460.7638,0.788,CR
59,1747.593,4.3088,46.5492,34975.0,470.0,0.0,460.0,0.7871,CR
60,1776.2513,4.3817,46.5143,34975.0,469.0,0.0,460.0,0.7842,CR
61,1801.0754,4.448,46.4823,34975.0,469.8844,0.0,460.0,0.788,CR
62,2028.6482,5.0306,46.1975,35025.0,473.0,4.937,462.0,0.792,CR
63,2053.1055,5.0946,46.1659,35025.0,472.0,0.0,462.0,0.792,CR
64,2085.0955,5.1767,46.1251,35025.0,472.6131,0.0,464.0,0.792,CR
65,2099.2211,5.2111,46.1081,35025.0,471.0,0.0,464.0,0.792,CR
66,2116.3317,5.257,46.0853,35025.0,471.0,0.0,463.8894,0.792,CR
67,2132.8945,5.297,46.0654,35000.0,470.1106,-82.9146,464.0,0.792,CR
68,2144.3417,5.3259,46.051,35000.0,470.0,0.0,462.0,0.792,CR
69,2159.6734,5.3642,46.0319,35000.0,469.0,0.0,462.0,0.788,CR
70,2168.7437,5.3887,46.0197,35000.0,470.0,0.0,462.0,0.7896,CR
71,2180.3568,5.4193,46.0044,35000.0,470.0,0.0,462.0,0.788,CR
72,2197.1809,5.4624,45.9828,35000.0,470.0,0.0,462.0,0.788,CR
73,2213.4724,5.4991,45.9644,35000.0,469.1055,0.0,462.0,0.788,CR
74,2233.1005,5.549,45.9393,35000.0,469.0,58.1479,460.5427,0.788,CR
75,2247.1256,5.5856,45.9209,34975.0,469.0,0.0,460.0,0.7857,CR
76,2258.5879,5.6166,45.9052,34975.0,470.0,0.0,460.0,0.788,CR
77,2273.3116,5.6496,45.8886,34975.0,471.0,0.0,461.5377,0.788,CR
78,2293.196,5.7049,45.8606,34975.0,471.0,0.0,460.0,0.7843,CR
