,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.646,48.9999,2230.0,140.0,0.4846,0.0,0.244,CL
1,8.1055,2.6557,49.0002,2613.1457,144.0,2224.4322,0.0,0.2411,CL
2,16.2111,2.6648,49.0006,2988.5477,142.0,2514.9749,158.0,0.2444,CL
3,29.3166,2.6779,49.0013,3297.9899,156.9749,1236.407,173.3166,0.2699,CL
4,43.3166,2.6925,49.0022,3478.8543,178.0,801.4824,194.0,0.2977,CL
5,52.1457,2.7023,49.0028,3576.2412,194.2915,671.8392,211.0553,0.3286,CL
6,61.3166,2.7148,49.0036,3737.3216,207.9497,1855.9296,221.9497,0.3479,CL
7,69.7387,2.727,49.0043,3973.3769,215.8693,1933.9447,231.8693,0.356,CL
8,84.4221,2.7466,49.0051,4485.3769,218.0,3302.1106,234.0,0.372,CL
9,93.9246,2.7607,49.006,4864.8141,228.0,1616.9849,242.0,0.3779,CL
10,104.3467,2.7796,49.0071,5318.6482,228.0,2883.3381,242.0,0.3993,CL
11,120.0804,2.8027,49.0089,5916.603,244.0,2492.5025,272.0,0.42,CL
12,131.2663,2.8247,49.0108,6610.0804,242.0,3233.2161,270.0,0.416,CL
13,141.7789,2.8414,49.0123,7039.6633,248.0,2892.3116,274.0,0.4287,CL
14,149.4774,2.8579,49.014,7483.1709,248.0,3250.5276,274.0,0.4355,CL
15,158.8744,2.8736,49.0156,7949.3116,248.0,2737.7889,274.8744,0.4326,CL
16,169.1106,2.89,49.0175,8388.8693,249.6884,3059.2965,278.3116,0.4303,CL
17,178.191,2.9056,49.0193,8743.3116,252.0,2374.6231,276.0,0.428,CL
18,185.9497,2.9218,49.0212,9025.8342,260.0,3731.005,280.0,0.4359,CL
19,199.2563,2.9462,49.024,9457.1809,270.5025,2096.3819,288.0,0.445,CL
20,209.1106,2.9629,49.0259,9772.6734,272.0,2102.0352,288.0,0.448,CL
21,219.2161,2.9804,49.0279,10099.603,276.0,2126.5327,290.0,0.456,CL
