,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.5003,49.0141,0.0,0.0,0.0,0.0,0.0,GND
1,177.5779,2.5066,49.0162,0.0,22.1156,0.0,0.0,0.0,GND
2,250.6181,2.5127,49.0169,0.0,24.5377,0.0,0.0,0.0,GND
3,328.3869,2.5154,49.0208,0.0,28.5075,0.0,0.0,0.0,GND
4,413.8492,2.5998,49.0252,2405.9045,170.4623,2504.0201,184.0,0.28,CL
5,463.7337,2.666,49.0284,3882.7889,220.3116,1788.9447,228.3116,0.352,CL
6,509.0804,2.7441,49.0365,5496.3568,271.0804,3116.8342,269.3869,0.4108,CL
7,558.2362,2.7797,49.0921,8032.0352,288.809,3303.392,280.0,0.428,CL
8,602.7739,2.7763,49.1528,10138.6935,302.0,2985.8668,295.8492,0.4557,CL
9,660.1608,2.7734,49.2401,11859.0452,352.0402,3015.0754,349.9196,0.544,CL
10,704.4673,2.7861,49.313,13894.4724,364.1558,2605.5276,357.3769,0.5621,CL
11,748.3568,2.8204,49.3857,15672.4874,377.2714,2482.5377,370.5427,0.5851,CL
12,792.9347,2.8557,49.4605,17477.3869,386.3869,2461.3065,381.2261,0.6065,CL
13,839.5176,2.8934,49.541,19188.0653,397.005,2013.855,389.005,0.622,CL
14,884.6181,2.9322,49.6223,20655.9045,409.0,2618.0905,400.0,0.644,CL
15,934.6683,2.9749,49.7132,22310.0503,417.0,1819.9749,406.5327,0.66,CL
16,977.5477,3.0127,49.7928,23659.9246,423.0,1981.1558,418.0,0.684,CL
17,1023.7889,3.0544,49.8804,25143.8442,426.9648,1758.794,424.0,0.6999,CL
18,1067.3216,3.0936,49.9628,26358.0402,431.0804,1500.0,432.0,0.716,CL
19,1111.9799,3.1346,50.0476,27474.4975,435.392,1500.0,438.392,0.7328,CL
20,1156.2462,3.1958,50.1279,28696.7337,435.6884,2146.7337,445.3769,0.7468,CL
21,1200.5628,3.2825,50.1968,30224.7487,424.5729,2179.6482,432.0,0.732,CL
22,1245.1709,3.3678,50.264,31340.7035,421.0,1296.4824,430.0,0.732,CL
23,1288.2915,3.4508,50.3296,32115.8291,423.0,1131.6583,429.3166,0.7346,CL
24,1334.6432,3.5396,50.3994,32983.0402,422.0,919.598,430.0,0.74,CL
25,1378.6683,3.6257,50.467,33000.0,423.0,0.0,430.0,0.74,CL
26,1440.0201,3.7436,50.5589,33000.0,422.0,0.0,430.0,0.74,CR
27,1488.4824,3.8381,50.6322,33000.0,424.0,0.0,430.2412,0.7405,CR
28,1536.9447,3.9333,50.7058,33000.0,426.0,0.0,434.0,0.748,CR
29,1588.8693,4.0363,50.7849,33000.0,426.0,0.0,434.0,0.748,CR
30,1670.7387,4.1988,50.9092,33000.0,426.4673,0.0,436.0,0.752,CR
31,1720.5829,4.2987,50.9851,33000.0,426.0,0.0,437.1658,0.752,CR
32,1770.0955,4.3974,51.0598,33000.0,426.0,0.0,436.0,0.752,CR
33,1835.0704,4.5276,51.1578,33000.0,425.0,0.0,434.0,0.748,CR
34,1886.3668,4.6297,51.2343,33000.0,424.0,0.0,434.0,0.744,CR
35,1940.1357,4.7379,51.315,33000.0,425.0,0.0,432.0,0.744,CR
36,1988.6432,4.8361,51.388,33000.0,425.0,0.0,432.0,0.744,CR
37,2043.5528,4.9488,51.4712,33000.0,427.0,0.0,433.4472,0.744,CR
38,2108.3518,5.0813,51.5686,33000.0,428.392,0.0,434.7839,0.748,CR
39,2165.5377,5.1984,51.6543,33000.0,429.0,0.0,437.0151,0.752,CR
40,2232.7387,5.3378,51.7556,33000.0,429.3769,0.0,436.7538,0.752,CR
41,2284.9548,5.4469,51.8345,33000.0,429.0,0.0,438.0,0.752,CR
42,2351.1256,5.5861,51.9347,33000.0,431.0,0.0,438.0,0.752,CR
43,2415.8794,5.7219,52.0316,33000.0,431.0,0.0,438.0,0.756,CR
44,2466.5126,5.8299,52.1084,33000.0,431.0,0.0,438.0,0.7557,CR
45,2521.407,5.9456,52.1903,33000.0,430.0,0.0,436.0,0.752,CR
46,2586.9497,6.0863,52.2892,33000.0,430.0,0.0,436.0,0.752,CR
47,2640.593,6.1992,52.3683,33000.0,429.0,0.0,436.0,0.7503,CR
48,2710.2161,6.3486,52.4721,33000.0,427.0,0.0,434.0,0.748,CR
49,2795.9899,6.5325,52.5991,33000.0,428.0,0.0,435.3266,0.748,CR
50,2870.4523,6.6937,52.7097,33000.0,428.2211,0.0,434.0,0.748,CR
51,2929.3668,6.8206,52.796,33000.0,428.8945,0.0,434.0,0.748,CR
52,2982.0503,6.9349,52.8735,33000.0,429.0,0.0,436.0,0.752,CR
53,3027.6281,7.0363,52.9419,33000.0,429.0,0.0,436.2513,0.752,CR
54,3070.9648,7.1303,53.005,33000.0,429.0,0.0,436.4824,0.752,CR
55,3117.8543,7.2346,53.0748,33000.0,429.0,0.0,436.0,0.752,CR
56,3172.8342,7.3546,53.1546,33000.0,429.0,0.0,436.0,0.752,CR
57,3220.7035,7.4605,53.2247,33000.0,428.0,0.0,436.0,0.748,CR
58,3264.8141,7.5587,53.2894,33000.0,428.0,0.0,436.0,0.748,CR
59,3310.4573,7.6615,53.3569,33000.0,428.0,0.0,434.0,0.748,CR
60,3368.7387,7.7904,53.4411,33000.0,428.0,0.0,436.0,0.752,CR
61,3420.201,7.9058,53.5161,33000.0,428.0,0.0,436.0,0.748,CR
62,3468.3317,8.0144,53.5863,33000.0,428.0,0.0,434.0,0.748,CR
63,3516.8442,8.1238,53.6566,33000.0,428.2814,0.0,436.0,0.748,CR
64,3560.9849,8.2235,53.7205,33000.0,429.0,0.0,436.0,0.752,CR
65,3604.0503,8.3216,53.783,33000.0,428.4874,0.0,436.0,0.752,CR
66,3649.8844,8.4265,53.8497,33000.0,428.0,0.0,436.0,0.752,CR
67,3698.2312,8.5374,53.9197,33000.0,428.0,0.0,436.0,0.752,CR
68,3743.1558,8.6404,53.9844,33000.0,428.0,0.0,436.0,0.752,CR
69,3786.9246,8.7405,54.0473,33000.0,428.0,0.0,436.0,0.7481,CR
70,3831.2714,8.8442,54.1118,33000.0,427.0,0.0,436.0,0.7484,CR
71,3875.4121,8.9448,54.1742,33000.0,427.0,0.0,436.0,0.752,CR
72,3924.608,9.0597,54.2453,33000.0,427.0,0.0,436.0,0.748,CR
73,3969.7487,9.1646,54.3097,33000.0,427.0,0.0,436.0,0.752,CR
74,4013.7638,9.2671,54.3725,33000.0,428.0,0.0,436.0,0.752,CR
75,4058.6734,9.3724,54.4366,33000.0,427.0,0.0,436.0,0.748,CR
76,4102.7035,9.4746,54.4987,33000.0,427.0,0.0,434.0,0.748,CR
77,4167.0955,9.6262,54.5902,33000.0,427.0,0.0,436.0,0.752,CR
78,4219.0603,9.7492,54.6639,33000.0,426.0,0.0,434.0,0.748,CR
79,4267.5226,9.864,54.7325,33000.0,426.0,0.0,436.0,0.748,CR
80,4315.9849,9.9805,54.8016,33000.0,426.0,0.0,434.4925,0.748,CR
81,4366.8945,10.1005,54.8724,33000.0,425.0,0.0,434.0,0.748,CR
82,4421.9095,10.2324,54.9499,33000.0,426.0,0.0,436.0,0.748,CR
83,4473.3719,10.3558,55.0222,33000.0,427.0,0.0,436.0,0.752,CR
84,4521.5427,10.4727,55.09,33000.0,426.7085,0.0,436.0,0.752,CR
85,4574.1206,10.6003,55.1637,33000.0,426.0,0.0,436.0,0.752,CR
86,4630.6382,10.7367,55.2422,33000.0,426.0,0.0,437.8794,0.7558,CR
87,4688.2211,10.8771,55.3225,33000.0,425.0,0.0,436.0,0.752,CR
88,4741.196,11.005,55.3951,33000.0,424.0,0.0,436.0,0.752,CR
89,4796.4322,11.1403,55.4715,33000.0,423.0,0.0,436.0,0.752,CR
90,4851.608,11.2749,55.5472,33000.0,421.0,0.0,434.0,0.748,CR
91,4908.5879,11.4143,55.6249,33000.0,420.0,0.0,434.0,0.748,CR
92,4953.5327,11.5246,55.6862,33000.0,419.0,0.0,434.0,0.748,CR
93,5001.995,11.6433,55.7518,33000.0,417.0,0.0,434.0,0.748,CR
94,5047.3216,11.7532,55.8123,33000.0,417.0,0.0,432.2714,0.7445,CR
95,5089.8995,11.8578,55.8695,33000.0,418.0,0.0,434.0,0.748,CR
96,5140.3819,11.982,55.9373,33000.0,417.0,0.0,434.0,0.748,CR
97,5184.8442,12.0934,55.9976,33000.0,417.0,0.0,434.0,0.748,CR
98,5235.9598,12.2183,56.065,33000.0,416.3266,0.0,432.0,0.748,CR
99,5283.7688,12.338,56.1292,33000.0,418.0,0.0,434.0,0.748,CR
100,5329.6734,12.4526,56.1903,33000.0,418.0,0.0,434.0,0.748,CR
101,5381.0201,12.582,56.259,33000.0,418.6734,0.0,434.0,0.7493,CR
102,5434.7337,12.7175,56.3306,33000.0,418.2111,0.0,436.0,0.752,CR
103,5482.4271,12.837,56.3933,33000.0,419.0,0.0,438.0,0.756,CR
104,5528.0804,12.9544,56.4547,33000.0,419.0,0.0,436.0,0.752,CR
105,5580.9497,13.0858,56.523,33000.0,418.0,0.0,438.0,0.756,CR
106,5629.005,13.211,56.5877,33000.0,416.0,0.0,436.0,0.752,CR
107,5672.8342,13.3222,56.6448,33000.0,418.0,0.0,436.0,0.752,CR
108,5723.4472,13.4522,56.7113,33000.0,416.5176,0.0,436.0,0.752,CR
