,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.5676,48.999,0.0,0.0,0.0,0.0,0.0,GND
1,175.0842,2.5625,48.996,0.0,0.0,0.0,0.0,0.0,GND
2,265.1005,2.6564,49.0011,2319.598,155.2663,1908.2915,0.0,0.268,CL
3,342.0251,2.7579,49.0066,4225.6281,204.8241,1101.1878,218.0,0.332,CL
4,406.1005,2.8753,49.0122,5848.3668,266.9045,3926.9154,278.3317,0.432,CL
5,475.3141,3.0094,49.0243,9237.5628,74.0302,2356.2814,286.3769,0.1294,CL
6,537.201,3.1398,49.0389,10927.5126,247.9598,1261.5914,325.4523,0.5046,CL
7,593.138,3.2738,49.0545,12890.201,209.7739,-145.0988,343.0,0.3235,LVL
8,663.1357,3.4488,49.0742,15608.4171,211.4724,2300.1601,355.0,0.56,CL
9,724.4205,3.6075,49.0897,17713.191,335.6382,1991.1353,367.6985,0.54,CL
10,789.2563,3.7811,49.1013,19737.6884,452.7688,1625.1256,377.8342,0.599,CL
11,901.0352,4.0964,49.1272,22794.8492,292.799,1856.9095,95.5176,0.1553,CL
12,1033.402,4.4713,49.2157,25680.0251,570.7035,554.2292,425.3869,0.7048,CL
13,1135.3126,4.7797,49.2893,27533.1658,0.0,1086.1473,444.4422,0.0,CL
14,1201.513,4.9867,49.3388,28742.5879,0.0,1147.0309,452.0,0.0,CL
15,1310.3769,5.3328,49.4201,30884.4221,354.0905,1062.8141,452.7487,0.764,CL
16,1457.8794,5.7721,49.5543,34238.5678,219.3367,1049.1933,232.2412,0.4006,CL
17,1659.3266,6.3549,49.7451,34979.7739,413.0151,-86.6834,440.0,0.7608,CR
18,1765.0553,6.6672,49.8456,35025.0,354.6734,0.0,440.3015,0.7674,CR
19,1855.4171,6.9339,49.9304,34975.0,410.4221,0.0,440.9849,0.76,CR
20,1960.1709,7.2447,50.0282,35000.0,432.6231,0.0,439.6683,0.7673,CR
21,2032.7035,7.4597,50.0949,35000.0,401.9447,0.0,438.0,0.764,CR
22,2126.1055,7.7363,50.1803,34962.0603,445.7739,-129.397,438.0,0.76,CR
23,2241.7638,8.0816,50.2852,34975.0,509.1005,0.0,437.7186,0.7606,CR
24,2375.206,8.4826,50.4051,35000.0,420.3568,0.0,438.402,0.764,CR
25,2487.6834,8.8209,50.505,35000.0,429.7688,0.0,439.0854,0.7662,CR
26,2587.4221,9.1219,50.5925,35000.0,513.603,0.0,438.2312,0.764,CR
27,2681.6784,9.4074,50.6747,34975.0,465.5578,0.0,438.0,0.76,CR
28,2758.407,9.6438,50.7384,34975.0,459.0,0.0,438.0,0.76,CR
29,2856.4573,9.959,50.8026,34975.0,474.0,0.0,450.0,0.784,CR
30,2909.2613,10.1341,50.8377,35000.0,473.7487,0.0,452.0,0.784,CR
31,2971.5891,10.3374,50.8781,34975.0,472.212,-305.2764,183.1658,0.3191,DE
32,3028.6734,10.5265,50.9094,34975.0,471.0,0.0,448.1307,0.78,CR
33,3080.8291,10.7045,50.9329,34975.0,471.0,0.0,450.0,0.78,CR
34,3144.7482,10.9189,50.9608,35000.0,471.2876,0.0,278.1407,0.4846,CR
35,3209.7186,11.1379,50.9888,35000.0,472.0,0.0,450.0,0.784,CR
36,3285.9045,11.3965,51.0212,35000.0,471.0,0.0,452.0,0.784,CR
37,3334.2864,11.5601,51.0415,35000.0,472.0,0.0,450.7136,0.784,CR
38,3376.9095,11.7055,51.0592,35000.0,471.0151,0.0,450.0302,0.784,CR
39,3432.6533,11.8958,51.0822,35000.0,472.0,0.0,450.0,0.7827,CR
40,3502.6734,12.1336,51.1104,34975.0,473.0,0.0,450.0,0.784,CR
41,3591.0503,12.435,51.1454,35000.0,473.0,0.0,452.0,0.784,CR
42,3651.0944,12.6407,51.1688,35000.0,473.1024,0.0,293.005,0.5082,CR
43,3705.0804,12.8244,51.1895,35000.0,472.0,0.0,451.3869,0.784,CR
44,3751.1055,12.9813,51.2068,34975.0,472.0,0.0,450.0,0.784,CR
45,3818.1307,13.2107,51.2318,34975.0,471.0,0.0,450.0,0.784,CR
46,3875.8744,13.4082,51.2529,34975.0,471.0,0.0,450.0,0.784,CR
47,3928.0712,13.5867,51.2717,34998.4925,472.0116,393.1948,422.8643,0.7367,CL
48,3983.206,13.7772,51.2915,35000.0,473.0,149.4975,450.0,0.784,CR
49,4056.8776,14.0293,51.3171,35000.0,473.7067,0.0,115.3266,0.2009,CR
50,4113.9925,14.226,51.3367,35000.0,474.5573,0.0,38.4422,0.067,CR
51,4161.3398,14.3896,51.3527,35000.0,474.3491,0.0,193.0653,0.3349,CR
52,4198.3065,14.5206,51.3654,35000.0,474.0,0.0,452.0,0.784,CR
