,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.5622,49.0012,0.0,10.0,0.0,0.0,0.0,GND
1,6.9799,2.5621,49.0011,0.0,10.0,0.0,0.0,0.0,GND
2,26.9397,2.5623,49.001,0.0,2.0704,0.0,0.0,0.0,GND
3,334.5226,2.5547,49.0016,0.0,33.4874,0.0,0.0,0.0,GND
4,346.9196,2.5544,49.002,0.0,33.0201,0.0,0.0,0.0,GND
5,385.3467,2.5534,49.0043,0.0,32.9497,0.0,0.0,0.0,GND
6,756.4874,2.5428,49.022,0.0,116.8945,0.0,0.0,0.0,LVL
7,789.2965,2.5162,49.0208,1423.1156,142.7186,4269.3467,0.0,0.2431,CL
8,802.7588,2.5035,49.0205,2014.9497,142.9196,2502.8715,0.0,0.2638,CL
9,833.8241,2.4708,49.0188,2771.7337,175.7337,1444.9169,0.0,0.3253,CL
10,838.8492,2.462,49.0184,2872.4874,188.6985,1025.1256,0.0,0.328,CL
11,848.8894,2.4495,49.0177,3169.4724,201.7789,2917.0854,0.0,0.368,CL
12,869.794,2.4162,49.0225,4238.191,227.6734,3070.4774,0.0,0.4063,CL
13,880.5427,2.4023,49.0279,4922.2362,230.0,3698.8514,0.0,0.4197,CL
14,886.7889,2.394,49.0318,5407.4121,228.0,4964.8241,268.0,0.42,CL
15,907.794,2.3681,49.0438,6751.5075,226.9246,3701.005,268.0,0.42,CL
16,918.7588,2.3526,49.0535,7437.9397,241.4372,3086.145,268.0,0.4237,CL
17,928.402,2.3453,49.0623,7849.3719,253.3166,2565.3266,268.0,0.4353,CL
18,953.0101,2.3297,49.0911,9321.1055,260.5477,3738.3508,280.7337,0.4469,CL
19,962.6181,2.325,49.1,9785.6784,261.0,2321.608,282.0,0.448,CL
20,970.598,2.3195,49.1102,10307.4121,262.8995,2888.8191,285.799,0.4596,CL
21,990.8894,2.307,49.1331,10852.5126,284.6784,1603.2663,300.7337,0.4707,CL
22,997.5578,2.3016,49.143,10994.4724,294.5578,998.7437,293.5477,0.5071,CL
23,1006.8844,2.295,49.1549,11144.2211,307.4221,2739.9497,326.8442,0.518,CL
24,1027.5176,2.2792,49.184,11600.8794,331.2764,2755.2468,345.7588,0.5586,CL
25,1039.1206,2.2702,49.2009,12165.3266,333.0,3748.3848,352.0,0.564,CL
26,1045.608,2.2651,49.2104,12502.1357,333.0,3369.3467,354.0,0.568,CL
27,1055.593,2.2578,49.2238,12979.6482,333.0,2970.9261,354.0,0.568,CL
28,1076.3266,2.2409,49.2552,13880.402,341.0151,2623.1156,358.8744,0.5789,CL
29,1087.2714,2.2319,49.2717,14317.2111,345.5628,2579.7739,360.0,0.584,CL
30,1095.0955,2.2266,49.2814,14606.1558,346.0,1739.9497,358.9045,0.588,CL
31,1102.5327,2.2192,49.2952,15189.9497,343.3116,4675.2513,363.0653,0.592,CL
32,1110.3568,2.2133,49.306,15735.6784,338.4824,5457.2864,358.9648,0.5941,CL
33,1136.6734,2.1936,49.3421,17308.5427,327.8342,2244.8426,350.0,0.572,CL
34,1158.2412,2.1767,49.373,18221.2312,331.3166,2675.8794,355.3166,0.5893,CL
35,1167.2965,2.1694,49.3863,18623.6181,332.0,2513.8191,357.2965,0.592,CL
36,1174.2764,2.1627,49.3984,18952.3869,333.8191,2259.4221,359.6382,0.596,CL
37,1183.6985,2.1546,49.4113,19176.7588,336.4422,1244.0775,365.6281,0.6073,CL
38,1189.6181,2.1481,49.4206,19285.6784,341.4271,1915.8291,370.8543,0.616,CL
39,1219.8241,2.1169,49.4644,19885.804,359.804,1807.9397,388.4322,0.6489,CL
40,1225.196,2.1108,49.4729,20094.8492,361.0,2400.7538,385.5779,0.6512,CL
41,1235.5879,2.1008,49.487,20434.5477,361.794,2172.7387,389.5879,0.6544,CL
42,1243.5226,2.0911,49.5006,20816.9598,361.2111,2809.4042,390.0,0.6552,CL
43,1250.3518,2.0839,49.5108,21162.1859,358.4322,3391.9598,388.4322,0.652,CL
44,1261.8945,2.072,49.5275,21689.196,357.0,1981.6045,386.8844,0.652,CL
