,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.5558,49.0127,0.0,0.0,0.0,230.0,0.228,GND
1,115.3719,2.5558,49.0127,0.0,0.0,0.0,230.0,0.228,GND
2,199.6231,2.5516,49.0121,0.0,28.0,0.0,230.0,0.228,GND
3,273.9347,2.5537,49.0068,0.0,15.3116,0.0,230.0,0.228,GND
4,417.2462,2.5676,48.9993,0.0,24.0,0.0,230.0,0.228,GND
5,481.7186,2.5796,49.0,0.0,25.7437,0.0,230.0,0.228,GND
6,623.5779,2.5975,49.0009,0.0,15.6231,0.0,230.0,0.228,GND
7,980.1809,2.5466,48.9955,1410.5528,141.0,3382.5377,230.0,0.2635,CL
8,1011.9849,2.5172,48.9941,2961.9347,124.0,3380.6533,230.0,0.256,CL
9,1045.8693,2.4855,48.9927,3771.7337,152.7387,1467.3367,230.0,0.2992,CL
10,1080.7437,2.4419,48.9904,4393.593,204.4874,1500.0,230.0,0.3805,CL
11,1113.6181,2.3905,48.9875,5740.4523,227.0,1929.6482,230.0,0.42,CL
12,1149.2462,2.3357,48.9789,7712.3116,239.4925,3000.0,230.0,0.425,CL
13,1194.7839,2.2863,48.9352,9737.9397,267.0,2402.369,230.0,0.4547,CL
14,1234.603,2.2425,48.8919,11037.0603,296.603,2782.9146,230.0,0.509,CL
15,1269.1156,2.2001,48.8508,11950.0,310.0,397.9899,230.0,0.524,CL
16,1303.9698,2.1569,48.809,12673.7437,313.9899,2502.5126,230.0,0.532,CL
17,1337.0251,2.1167,48.7705,14354.6482,309.4322,3666.547,230.0,0.544,CL
18,1369.608,2.075,48.7306,15680.402,316.8693,3000.0,230.0,0.56,CL
19,1404.9196,2.0306,48.6883,16913.3166,326.3065,2103.733,230.0,0.576,CL
20,1437.7186,1.9966,48.6424,18180.1508,357.9497,2138.4422,230.0,0.591,CL
21,1469.9045,1.9953,48.5857,19159.0452,378.6281,845.7286,230.0,0.6094,CL
22,1509.7085,1.9976,48.5134,19652.2613,412.8543,1059.0452,400.0,0.656,CL
23,1542.3317,1.9995,48.4504,20481.9095,423.1106,1486.1809,410.0,0.6762,CL
24,1576.4774,2.0003,48.383,21336.5578,426.5226,1738.6935,414.0,0.692,CL
25,1609.7889,1.9786,48.3185,22541.206,409.0,2508.794,422.0,0.7,CL
26,1645.1005,1.9527,48.2552,23402.5126,417.3668,1500.0,428.0,0.716,CL
27,1682.0201,1.9249,48.1845,24270.603,424.0,1825.1974,434.392,0.7312,CL
28,1752.206,1.8724,48.051,25987.0603,429.2412,1312.867,444.0,0.752,CL
29,1786.7487,1.8468,47.9862,26634.799,434.0,968.0546,450.0,0.764,CL
30,1820.4623,1.8214,47.9219,27417.3367,434.8844,1056.0302,452.4623,0.78,CL
31,1852.6583,1.7955,47.8561,28180.2764,434.0,1776.3819,458.0,0.788,CL
32,1888.9497,1.7697,47.7901,28874.7487,433.9899,300.0,462.0,0.7919,CL
33,1925.2814,1.7408,47.7164,29332.0352,440.0,1500.0,468.0,0.804,CL
34,1959.3216,1.715,47.649,30433.0402,429.1357,1540.7035,464.0,0.7965,CL
35,1992.9045,1.6891,47.5828,30965.0754,431.0,1174.6231,464.0,0.8,CL
36,2030.6935,1.6614,47.5116,31580.402,431.0,958.794,462.0,0.803,CL
37,2067.5276,1.6337,47.44,32354.397,427.1759,912.0603,461.2965,0.796,CL
38,2107.7437,1.6036,47.3623,32878.2663,430.3869,1084.7419,460.0,0.804,CL
39,2152.1005,1.5711,47.2779,33477.5126,432.0503,550.2513,458.0,0.8,CL
40,2188.9749,1.5434,47.2055,33924.3719,435.0,1115.5779,460.0,0.804,CL
41,2224.6231,1.5178,47.1382,34544.3467,432.0,896.7696,452.1508,0.792,CL
42,2273.3618,1.4818,47.0443,34984.0452,430.6382,542.7136,451.2764,0.7931,CL
43,2313.598,1.4519,46.965,35005.0251,423.201,-599.2462,452.392,0.78,DE
44,2347.2362,1.4259,46.9015,35000.0,413.0,0.0,446.0,0.78,CR
45,2385.0201,1.3778,46.8402,35000.0,395.3266,0.0,446.0,0.7813,CR
46,2417.4422,1.335,46.7871,34997.2362,390.8894,-41.4573,442.0,0.776,CR
47,2454.5477,1.2899,46.7312,34950.0,388.0,0.0,440.0,0.772,CR
48,2491.9698,1.2433,46.6737,34950.0,388.0,0.0,442.0,0.776,CR
49,2524.5327,1.2017,46.6221,34975.0,388.0,0.0,442.0,0.776,CR
50,2571.0151,1.1427,46.5489,35000.0,389.0,0.0,444.0,0.78,CR
51,2614.9648,1.0876,46.4803,35025.0,389.0,0.0,446.0,0.784,CR
52,2654.1357,1.0357,46.4155,35025.0,389.0,0.0,444.0,0.78,CR
53,2709.5377,0.9652,46.3272,35025.0,390.0,0.0,444.0,0.78,CR
54,2744.0402,0.9226,46.2735,35025.0,390.0,0.0,446.7839,0.784,CR
55,2780.3618,0.8767,46.2158,35025.0,389.0,0.0,446.0,0.784,CR
56,2820.4121,0.8274,46.1537,35012.9397,388.0,-144.7236,446.0,0.784,CR
57,2854.6784,0.7848,46.0997,35000.0,387.0,0.0,444.0,0.78,CR
58,2889.0704,0.7416,46.045,34983.9196,387.6432,178.392,444.0,0.78,CR
59,2920.9698,0.7023,45.9949,35000.0,388.0,0.0,444.0,0.78,CR
60,2959.9246,0.6533,45.9327,34980.7789,389.0,86.6834,444.0,0.78,CR
61,2999.3367,0.6063,45.8727,35000.0,390.0,0.0,448.0,0.784,CR
62,3032.5276,0.5643,45.8189,35025.0,390.0,0.0,446.0,0.784,CR
63,3065.2563,0.523,45.7659,35025.0,390.0,0.0,446.0,0.7818,CR
64,3104.8593,0.4752,45.7044,35000.0,390.0,0.0,446.0,0.78,CR
65,3142.0854,0.43,45.6462,35000.0,390.0,0.0,446.0,0.78,CR
66,3180.2714,0.3833,45.5857,35000.0,391.0,0.0,446.0,0.784,CR
67,3212.8744,0.3417,45.5317,35007.2864,391.2915,145.7286,446.0,0.784,CR
68,3246.3719,0.3005,45.4783,35000.0,392.0,0.0,446.0,0.78,CR
69,3278.995,0.2596,45.4251,35000.0,392.1658,0.0,446.0,0.784,CR
70,3312.206,0.2188,45.372,35000.0,393.0,0.0,446.0,0.78,CR
71,3350.2412,0.1755,45.3155,35000.0,393.0,0.0,446.0,0.784,CR
72,3387.4322,0.13,45.2558,35000.0,393.0,0.0,446.0,0.7819,CR
73,3428.3166,0.0777,45.1871,35000.0,393.9146,0.0,446.0,0.784,CR
74,3459.0553,0.0394,45.1368,35000.0,394.0,0.0,445.2965,0.78,CR
75,3494.1558,-0.0032,45.0806,35000.0,395.0,0.0,444.0,0.78,CR
76,3530.2261,-0.045,45.0255,35000.0,395.0,0.0,444.0,0.78,CR
77,3561.9799,-0.0854,44.9716,35000.0,395.0,0.0,444.0,0.78,CR
78,3593.804,-0.1248,44.9191,35000.0,396.0,0.0,445.799,0.78,CR
