,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.5812,49.0091,0.0,16.0,0.0,234.0,0.108,GND
1,165.9598,2.5727,49.0192,0.0,15.2613,0.0,234.0,0.108,GND
2,223.2965,2.5706,49.0224,0.0,25.5678,0.0,234.0,0.108,GND
3,243.9045,2.5703,49.0233,0.0,20.1759,0.0,234.0,0.108,LVL
4,267.206,2.5693,49.0237,0.0,24.593,0.0,234.0,0.108,LVL
5,299.0302,2.5489,49.0226,468.0905,89.7538,540.1044,234.0,0.1552,LVL
6,340.593,2.5085,49.0205,1597.2362,158.4322,1897.2362,234.0,0.2417,CL
7,358.3417,2.4882,49.0195,2235.6784,161.0,2046.4824,234.0,0.252,CL
8,375.3668,2.471,49.0186,2755.7789,161.9548,1823.8514,234.0,0.252,CL
9,390.9447,2.451,49.0175,3385.4271,164.8241,2302.7638,234.0,0.2546,CL
10,401.4673,2.4381,49.0168,3652.0101,174.5477,1160.5528,234.0,0.2834,CL
11,436.8141,2.3996,49.0332,4164.0704,227.2513,570.7732,220.2513,0.3508,CL
12,458.9397,2.3994,49.0581,4598.4925,263.6683,1244.4724,261.7789,0.3887,CL
13,477.0151,2.4185,49.0761,5230.9045,280.9045,3704.7739,271.397,0.4148,CL
14,497.2714,2.4545,49.0808,6164.8241,282.2915,2017.4874,271.7085,0.4254,CL
15,542.9347,2.5429,49.0673,8664.4472,279.4523,3018.3561,283.608,0.4391,CL
16,616.6382,2.7012,49.0475,10936.4322,342.5477,2211.8985,332.9146,0.5193,CL
17,635.2312,2.7424,49.0433,11664.196,348.7789,2159.2337,340.0,0.5311,CL
18,687.6734,2.8772,49.0311,13944.7236,362.0201,3071.608,352.3719,0.5567,CL
19,757.5528,3.0536,49.015,16826.7588,373.5176,2229.9871,364.9648,0.5781,CL
20,794.7035,3.1553,49.0056,18016.7085,386.7085,1906.2984,375.0955,0.5982,CL
21,879.5879,3.383,48.9757,20878.1407,395.2563,1991.7321,390.9749,0.631,CL
22,894.005,3.4238,48.9665,21340.7035,397.6281,1429.3342,388.0,0.629,CL
23,914.9296,3.4756,48.9547,21748.4925,407.9698,1283.9645,395.9598,0.636,CL
24,928.3719,3.5104,48.9468,22084.2965,412.4573,1500.0,401.1859,0.644,CL
25,947.0704,3.5666,48.934,22695.1005,414.7337,1821.9887,403.4673,0.6549,CL
26,969.6332,3.628,48.9199,23406.2814,416.397,2084.9879,408.0,0.664,CL
27,989.4472,3.6809,48.9079,23984.799,417.4171,1570.8543,408.9447,0.6699,CL
28,1011.3668,3.7468,48.8928,24717.7136,419.0,2220.603,410.6834,0.672,CL
29,1036.7437,3.8148,48.8771,25600.2513,416.3668,2119.482,410.8442,0.68,CL
30,1053.3216,3.8599,48.8666,26135.0503,415.0804,1530.1508,414.0,0.6803,CL
31,1070.2965,3.9093,48.8552,26511.1809,417.8995,1213.5678,414.0,0.6916,CL
32,1092.0101,3.9681,48.8415,27120.7286,420.0,1656.921,420.0,0.696,CL
33,1110.4422,4.0158,48.8303,27484.4221,423.0,808.5041,420.0,0.7,CL
34,1125.5779,4.0588,48.8202,27761.5578,427.5578,1166.8342,425.1156,0.7085,CL
35,1141.2613,4.1076,48.8088,28128.1407,430.7085,1741.206,424.8543,0.7137,CL
36,1165.5578,4.177,48.7926,28566.7085,436.593,1101.0164,428.8141,0.72,CL
37,1189.9799,4.2471,48.776,29112.0603,438.3317,1468.907,434.0,0.7293,CL
38,1226.3166,4.3515,48.7514,29883.794,442.0,1234.5059,439.9296,0.74,CL
39,1244.9497,4.4085,48.7378,30328.5176,442.9045,1269.2249,439.809,0.7472,CL
40,1258.191,4.445,48.7291,30649.1206,442.2261,1588.5678,443.5477,0.7511,CL
41,1281.5075,4.512,48.7131,31182.2864,441.3568,1337.177,444.7136,0.756,CL
42,1304.6633,4.5794,48.697,31502.5126,445.5377,716.8535,445.0754,0.7601,CL
43,1325.3467,4.6398,48.6826,31893.2161,447.0,1231.8737,448.0,0.7655,CL
44,1385.5126,4.8168,48.6399,33312.9397,442.2462,1536.1501,446.5025,0.769,CL
45,1407.3618,4.8786,48.625,34224.1206,430.397,2837.9397,447.5176,0.7715,CL
46,1430.7889,4.9417,48.6097,35290.9548,413.1307,2585.7861,447.9598,0.772,CL
47,1447.1709,4.9851,48.599,35711.3065,408.4221,1386.1229,440.0,0.7634,CL
48,1459.1005,5.0175,48.5911,35966.0804,407.0,1187.7243,438.0,0.7582,CL
