,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,2.5955,49.0082,0.0,17.0,0.0,264.0,0.192,GND
1,17.8744,2.5957,49.0066,0.0,21.6482,0.0,264.0,0.192,GND
2,30.4372,2.5958,49.0056,0.0,19.1407,0.0,264.0,0.192,GND
3,48.3668,2.596,49.0041,0.0,16.4221,0.0,264.0,0.192,GND
4,65.593,2.5961,49.003,0.0,30.8442,0.0,264.0,0.192,GND
5,76.5377,2.5962,49.0024,0.0,32.0553,0.0,264.0,0.192,GND
6,244.3116,2.5311,48.9954,1947.2362,140.0,1374.8767,264.0,0.2263,CL
7,266.2412,2.5103,48.9951,2759.4221,138.4925,2112.9083,264.0,0.228,CL
8,295.6231,2.4808,48.9954,3743.7186,144.1859,1434.9018,264.0,0.2372,CL
9,305.8342,2.4704,48.9972,3902.5126,156.201,900.0,264.0,0.252,CL
10,320.7789,2.4551,49.0027,4154.6482,174.0754,1035.1759,187.7789,0.276,CL
11,336.2613,2.4386,49.0108,4473.4925,195.2613,1343.8023,202.9749,0.3214,CL
12,351.4925,2.4209,49.0199,5010.6784,212.2714,2347.4246,229.7387,0.3542,CL
13,375.4271,2.3924,49.0352,5819.2211,242.7688,2014.0704,254.8543,0.3718,CL
14,384.1508,2.3827,49.0451,6256.7839,254.1357,3364.8241,270.0603,0.368,CL
15,399.6683,2.3755,49.0619,6818.0905,263.9447,1330.1508,274.0,0.4247,CL
16,417.2412,2.3679,49.0838,7118.593,265.7487,1049.8923,275.4975,0.431,CL
17,432.8442,2.361,49.1021,7365.7035,269.804,943.8556,277.608,0.4344,CL
18,457.0754,2.371,49.1312,7761.809,273.9347,985.891,277.4673,0.4349,CL
19,477.6533,2.3962,49.15,8116.3317,280.3266,1316.3545,279.3266,0.4387,CL
20,503.6382,2.4465,49.1496,8581.6583,286.3719,1067.7895,280.0,0.44,CL
21,520.6131,2.4787,49.1424,9130.6533,288.5226,2856.7839,280.0,0.4419,CL
22,532.8794,2.5006,49.1358,9710.0503,293.7136,2843.448,285.809,0.4494,CL
23,549.1106,2.5329,49.1261,10368.2161,305.6382,3009.4221,298.1106,0.4722,CL
24,607.995,2.6658,49.0856,12538.191,350.2513,1487.6557,338.6935,0.5349,CL
25,716.4824,2.9247,49.0063,17211.1809,398.0,3099.1496,380.4824,0.617,CL
26,780.3668,3.0844,48.9569,20722.6131,401.3417,3256.3123,382.6834,0.6294,CL
27,791.206,3.1147,48.9475,21252.7638,404.402,2512.5628,386.0,0.636,CL
28,813.1508,3.1731,48.9294,22128.7688,414.0302,2161.2608,392.0603,0.6481,CL
29,822.799,3.1978,48.9218,22537.9397,415.9598,3515.5779,392.0804,0.6558,CL
30,845.8995,3.2574,48.9032,23425.3769,423.2261,2199.9471,397.5578,0.6627,CL
31,853.9146,3.2808,48.8959,23713.8191,427.4573,2180.9045,401.2764,0.6673,CL
32,871.9849,3.3283,48.881,24374.3719,432.2462,2342.9648,405.4975,0.675,CL
33,879.3568,3.35,48.8742,24709.799,434.0,3347.9899,406.0,0.68,CL
34,894.4724,3.3919,48.861,25312.8141,436.608,2333.3333,410.0,0.688,CL
35,907.9146,3.4288,48.8494,25697.8643,441.7638,1500.0,411.0754,0.6883,CL
36,920.206,3.4623,48.8389,25885.0503,446.0,500.0,410.9347,0.6899,CL
37,936.3819,3.5115,48.8252,25984.9246,444.0,300.2513,412.0,0.692,CL
38,950.593,3.5511,48.8164,26197.4874,441.9799,1100.992,411.9598,0.6946,CL
39,961.7688,3.5844,48.8088,26651.2563,442.7437,3256.2814,414.0,0.699,CL
40,973.8593,3.6202,48.7991,27397.6131,438.6281,3638.4422,410.0,0.696,CL
41,985.1558,3.6493,48.791,27935.6784,435.7688,1690.7035,405.7688,0.6915,CL
42,1001.2261,3.6943,48.7785,28635.1759,435.0905,1963.4602,404.0905,0.688,CL
43,1012.8241,3.7277,48.7693,29118.0905,436.0251,2365.7574,406.0,0.6958,CL
44,1024.7136,3.7603,48.7601,29638.0653,434.0,2515.9129,404.0,0.688,CL
45,1041.005,3.8073,48.747,30333.5427,435.0,2515.0754,405.6683,0.692,CL
46,1059.0553,3.8565,48.7333,31014.5729,434.0,2250.0,402.0,0.688,CL
47,1068.3869,3.8837,48.7257,31336.6834,435.0,3125.9871,402.0,0.688,CL
48,1083.4925,3.9247,48.7142,31868.4673,435.3769,2155.7789,402.7538,0.687,CL
49,1100.9749,3.9764,48.6996,32452.0101,437.6583,1928.2016,403.1055,0.6942,CL
50,1117.6834,4.0207,48.6871,32794.7236,434.6583,1064.6985,406.0,0.696,CL
51,1134.2965,4.0662,48.6742,32985.3015,428.0,297.7387,402.4724,0.6856,CL
52,1147.7337,4.1047,48.6633,33000.0,428.3417,0.0,398.6834,0.6854,CR
53,1201.005,4.2518,48.6214,32993.2161,430.5427,-3.1553,400.0,0.6851,CR
54,1332.206,4.6148,48.5175,32975.0,431.799,0.0,402.0,0.688,CR
55,1355.5226,4.6757,48.4998,32953.2663,432.0,-23.4506,402.2613,0.688,CR
56,1362.3618,4.695,48.4941,32975.0,431.9397,0.0,404.0,0.6918,CR
57,1377.8995,4.7415,48.4806,32975.0,431.0,0.0,404.0,0.692,CR
58,1388.4372,4.7691,48.4726,32975.0,431.0,0.0,404.0,0.692,CR
59,1402.2462,4.8049,48.4622,33000.0,430.0,25.1256,404.0,0.692,CR
60,1417.0101,4.846,48.4502,33000.0,429.2211,0.0,404.0,0.6929,CR
61,1435.6683,4.9,48.4345,33000.0,429.0,0.0,404.0,0.6892,CR
62,1450.2965,4.9371,48.4236,33000.0,428.3618,0.0,402.0,0.688,CR
63,1460.8392,4.967,48.4149,32985.804,428.5678,-170.3518,400.8643,0.6857,CR
64,1479.9749,5.0191,48.3997,32999.8744,431.9849,149.2462,401.9899,0.694,CR
65,1491.9899,5.0535,48.3896,33014.3216,441.9899,-91.5291,411.4171,0.7165,CR
66,1509.2814,5.102,48.3754,32991.0804,456.9246,-44.598,419.2764,0.7326,CR
67,1524.5829,5.1482,48.3616,32975.0,468.1457,0.0,440.2915,0.7554,CR
68,1560.3769,5.2535,48.3303,33000.0,473.5678,53.4491,448.0,0.764,CR
69,1578.7688,5.3089,48.3139,33000.0,472.2915,0.0,447.7085,0.76,CR
70,1598.9045,5.3712,48.2954,32975.0,473.7739,-462.3116,448.0,0.7677,CR
71,1617.0452,5.4238,48.2797,33000.0,469.0,213.2089,447.9899,0.764,CR
72,1636.2814,5.4755,48.2642,33000.0,468.0653,0.0,447.8693,0.764,CR
73,1645.9146,5.5097,48.2539,33000.0,467.1357,0.0,448.0,0.7605,CR
74,1664.5879,5.5633,48.2377,32994.8492,465.0,576.1621,448.0,0.768,CR
75,1681.7889,5.6111,48.2234,33000.0,463.2764,0.0,448.0,0.764,CR
76,1700.6131,5.6672,48.2066,32975.0,463.0,-37.15,444.6935,0.7586,CR
77,1716.0804,5.7115,48.1933,32960.4271,463.0,-124.9103,440.0,0.7543,CR
78,1731.1508,5.7571,48.1796,32950.0,463.0,0.0,445.0754,0.756,CR
79,1745.3266,5.7977,48.1673,32950.0,463.0,0.0,442.0,0.756,CR
80,1758.7437,5.8393,48.1547,32950.0,463.0,0.0,442.0,0.756,CR
