,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,37.9111,55.4135,0.0,0.0,0.0,0.0,0.0,GND
1,128.5297,37.9111,55.4135,0.0,0.0,0.0,0.0,0.0,GND
2,211.4831,37.9126,55.413,0.0,0.0,0.0,0.0,0.0,GND
3,296.5075,37.9145,55.4123,0.0,3.7538,0.0,0.0,0.0,GND
4,400.0106,37.9147,55.4122,0.0,0.0,0.0,0.0,0.0,GND
5,499.6802,37.9126,55.4134,0.0,2.0503,0.0,0.0,0.0,GND
6,564.0943,37.9123,55.4152,0.0,4.4322,0.0,0.0,0.0,GND
7,626.0371,37.9161,55.4163,0.0,0.7588,0.0,0.0,0.0,GND
8,721.4738,37.9646,55.3682,1950.7538,181.5294,347.29,0.0,0.0,CL
9,803.7839,37.9554,55.2909,3532.6633,253.7387,3381.0858,242.0,0.401,CL
10,888.9969,37.8122,55.2316,6875.0,264.3949,1448.6939,117.9598,0.2067,CL
11,956.5111,37.6898,55.1803,8939.5729,288.9859,3591.3888,184.8442,0.3636,CL
12,1036.0134,37.5061,55.1443,11224.6231,319.004,1944.4698,0.0,0.5122,CL
13,1108.799,37.3251,55.1139,13769.9749,324.2663,3032.2787,64.4523,0.544,CL
14,1176.5417,37.1533,55.0848,15828.5176,333.2753,1530.5911,125.2563,0.3002,CL
15,1248.6638,36.9684,55.0532,17869.2211,340.2741,898.3001,55.9397,0.1368,CL
16,1314.7144,36.7922,55.0228,19501.5075,352.0019,615.7612,4.8643,0.0122,CL
17,1380.4251,36.6143,54.9917,21388.5678,350.0178,2097.562,65.6683,0.1726,CL
18,1445.0782,36.4365,54.9604,22638.0653,363.9306,1119.2335,115.5276,0.3093,CL
19,1507.7929,36.2576,54.9383,23988.6935,370.0151,1418.588,54.7236,0.1511,CL
20,1568.3829,36.0777,54.9271,25176.2563,374.1895,553.3858,6.0804,0.0172,CL
21,1629.3518,35.8901,54.9149,26025.0,386.0772,866.4932,175.1156,0.5036,CL
22,1691.487,35.699,54.9023,27089.5729,388.7527,741.2962,127.6884,0.3736,CL
23,1752.9049,35.5062,54.8892,27969.4724,394.1391,2809.9748,188.4925,0.5639,CL
24,1811.6357,35.3237,54.8767,28727.2613,398.8398,30.1508,7.2965,0.0222,CR
25,1874.0753,35.123,54.8625,29396.1055,406.3207,-847.8828,68.1005,0.2105,DE
26,1936.5037,34.9188,54.8477,30339.9497,405.0821,3072.7391,128.9045,0.4027,CL
27,1998.5678,34.7238,54.8331,31794.598,387.2161,1023.1957,242.0,0.7494,CL
28,2061.0638,34.5282,54.8184,32000.0,386.0176,0.0,233.4874,0.7448,CR
29,2122.0434,34.3459,54.8043,32000.0,389.2537,0.0,69.3166,0.2234,CR
30,2187.4721,34.1427,54.7883,32000.0,387.6826,0.0,130.1206,0.4194,CR
31,2250.4347,33.9506,54.7728,32000.0,388.5493,0.0,51.0754,0.1646,CR
32,2313.9009,33.7572,54.7568,32025.0,386.941,0.0,9.7286,0.0315,CR
33,2373.8744,33.5701,54.7411,31992.7136,387.0,-145.7286,242.0,0.776,CR
34,2434.9796,33.3863,54.7253,31988.5678,387.0859,451.0085,110.6633,0.3567,CL
35,2499.6732,33.1882,54.708,32025.0,386.0575,0.0,192.1407,0.6193,CR
36,2565.0142,32.9891,54.6903,32000.0,385.0181,0.0,231.0553,0.7447,CR
37,2626.9428,32.8017,54.6734,32000.0,384.1546,0.0,0.0,0.5487,CR
38,2690.2839,32.6113,54.6558,32011.3065,383.352,44.128,0.0,0.3528,CR
39,2752.2667,32.4248,54.6383,32000.0,382.9967,0.0,0.0,0.6232,CR
40,2813.0581,32.241,54.6208,31975.0,383.9931,0.0,229.8392,0.737,CR
41,2872.1758,32.0641,54.6036,32000.0,386.3486,0.0,72.9648,0.2352,CR
42,2931.7947,31.8832,54.5857,32025.0,388.1149,0.0,133.7688,0.4334,CR
43,2992.3478,31.6968,54.567,32025.0,388.0934,0.0,0.0,0.6304,CR
44,3053.8267,31.5139,54.5484,32025.0,386.679,0.0,0.0,0.0431,CR
45,3118.0585,31.317,54.528,31975.0,386.0183,0.0,0.0,0.5409,CR
46,3182.4949,31.1248,54.5078,31975.0,386.2783,0.0,0.0,0.3432,CR
47,3246.8964,30.9343,54.4801,32000.0,386.226,0.0,0.0,0.1489,CR
48,3308.1988,30.749,54.452,32025.0,385.0241,0.0,0.0,0.733,CR
49,3373.1897,30.5596,54.4229,32000.0,385.1932,0.0,0.0,0.537,CR
50,3433.3761,30.3817,54.3954,32000.0,385.4727,0.0,0.0,0.3393,CR
51,3492.0513,30.2099,54.3685,32000.0,388.2091,0.0,0.0,0.1458,CR
52,3552.2241,30.0266,54.3394,32000.0,389.0376,0.0,0.0,0.7253,CR
53,3618.2663,29.8349,54.3088,32025.0,390.9273,256.2814,0.0,0.2469,CL
54,3681.2442,29.6466,54.2782,32025.0,392.1203,0.0,0.0,0.3388,CR
55,3747.1609,29.4512,54.2462,32000.0,392.3536,0.0,0.0,0.1418,CR
56,3806.2842,29.2707,54.2164,32000.0,392.0458,0.0,0.0,0.7251,CR
