,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,37.9039,55.4112,0.0,8.0,0.0,0.0,0.0,GND
1,80.9246,37.899,55.4092,0.0,9.0,0.0,0.0,0.0,GND
2,165.2272,37.8944,55.407,0.0,0.5528,0.0,0.0,0.0,GND
3,251.9069,37.8979,55.4027,0.0,0.0,0.0,0.0,0.0,GND
4,364.9023,37.9039,55.3997,0.0,0.0,0.0,0.0,0.0,GND
5,487.4677,37.9034,55.3992,0.0,0.0,0.0,0.0,0.0,GND
6,617.4226,37.9034,55.3992,0.0,0.0,0.0,0.0,0.0,GND
7,731.667,37.9034,55.3992,0.0,0.0,0.0,0.0,0.0,GND
8,841.3728,37.9034,55.3992,0.0,0.0,0.0,0.0,0.0,GND
9,946.4295,37.9034,55.3992,0.0,0.0,0.0,0.0,0.0,GND
10,1041.298,37.9034,55.3992,0.0,0.0,0.0,0.0,0.0,GND
11,1111.2826,37.9042,55.3974,0.0,0.0,0.0,0.0,0.0,GND
12,1183.744,37.9026,55.3957,0.0,0.0,0.0,0.0,0.0,GND
13,1269.4046,37.8469,55.4351,3700.5025,155.2027,2383.0152,61.407,0.0967,CL
14,1336.9476,37.7614,55.4599,5457.4121,197.8235,779.4526,0.0,0.0,CL
15,1399.8307,37.7625,55.3927,6990.201,292.6611,4885.1049,107.7889,0.1673,CL
16,1462.0747,37.7628,55.314,10500.0,284.7206,603.0151,114.1709,0.1817,CL
17,1538.0543,37.6166,55.236,13821.8593,337.2101,5317.2096,117.8894,0.246,CL
18,1598.1942,37.4904,55.1677,15945.8543,381.9477,2150.6232,0.0,0.0,CL
19,1666.6044,37.334,55.0827,18927.2613,399.2239,2248.96,135.5779,0.3227,CL
20,1726.6065,37.1915,55.0049,21324.7487,413.4303,1076.4243,139.2965,0.3522,CL
21,1781.0038,37.0584,54.9316,23300.0,424.9769,987.3469,149.8492,0.3862,CL
22,1840.318,36.909,54.849,24961.1809,441.9419,2346.0946,154.7739,0.4201,CL
23,1896.8065,36.7648,54.7688,26748.8693,444.4483,2074.427,0.0,0.0,CL
24,1954.3431,36.6182,54.6866,28524.6231,443.6436,2198.5225,112.7437,0.3144,CL
25,2011.3266,36.4738,54.6053,30162.1859,442.3747,1644.2085,105.608,0.296,CL
26,2071.4433,36.3236,54.5201,31851.005,438.5783,1260.762,97.0854,0.2746,CL
27,2128.0904,36.1831,54.44,33100.0,439.2164,795.8196,192.6633,0.5373,CL
28,2183.8903,36.0448,54.3606,34425.0,436.8708,1208.2395,84.201,0.236,CL
29,2238.5598,35.9105,54.2831,35581.7839,433.8103,1290.2674,206.9347,0.5771,CL
30,2292.7963,35.7808,54.208,36762.3116,426.0664,1444.1709,211.0553,0.597,CL
31,2350.2537,35.6443,54.1282,37561.0553,427.4579,295.8593,61.9095,0.176,CL
32,2404.6646,35.5164,54.0532,38000.0,418.1135,0.0,225.1256,0.6336,CR
33,2461.5126,35.3845,53.9754,38000.0,419.0,0.0,280.0,0.792,CR
34,2517.2789,35.2563,53.8993,38000.0,418.0844,0.0,0.0,0.6766,CR
35,2572.0942,35.1289,53.8233,38000.0,417.1904,0.0,246.2312,0.7,CR
36,2627.2663,35.0025,53.7475,38025.0,417.0669,933.781,253.2663,0.7164,CL
37,2685.2814,34.871,53.6682,38023.2412,417.0,-26.3819,280.2814,0.7923,CR
38,2739.2025,34.7491,53.5942,38000.0,415.0327,0.0,267.3367,0.7562,CR
39,2796.0553,34.6211,53.5163,38000.0,415.0013,0.0,274.3719,0.7761,CR
40,2852.6764,34.4954,53.4392,38000.0,413.5228,0.0,1.4271,0.004,CR
41,2906.9852,34.3746,53.3647,38000.0,413.5096,0.0,8.4422,0.0239,CR
42,2960.9805,34.2548,53.2906,38000.0,412.9926,0.0,264.5226,0.7444,CR
43,3013.9768,34.1363,53.2168,37975.0,415.0051,0.0,257.4874,0.721,CR
44,3071.8004,34.0093,53.1373,38000.0,418.0611,0.0,254.0302,0.7084,CR
45,3127.608,33.8847,53.059,38025.0,420.0,0.0,284.0,0.796,CR
46,3183.0379,33.7617,52.9812,38025.0,422.08,0.0,44.2412,0.124,CR
47,3237.0516,33.6421,52.9053,38000.0,422.9784,0.0,0.0,0.1433,CR
48,3292.303,33.5184,52.8262,37975.0,425.1258,0.0,0.0,0.6288,CR
49,3346.7422,33.3976,52.7485,38025.0,427.1141,196.3384,0.0,0.1831,CR
50,3401.064,33.277,52.6707,38050.0,426.3639,0.0,0.0,0.205,CR
51,3455.9996,33.1545,52.5913,38032.0352,423.3636,-303.2038,0.0,0.572,DE
52,3512.5332,33.0319,52.5113,38000.0,420.238,0.0,0.0,0.5492,CR
53,3567.7692,32.9127,52.4332,37975.0,419.1519,0.0,0.0,0.5293,CR
54,3623.5201,32.7922,52.3538,37975.0,418.285,0.0,0.0,0.5094,CR
55,3679.3661,32.6729,52.2749,38000.0,418.4937,0.0,0.0,0.3025,CR
56,3733.931,32.5528,52.2004,38000.0,417.0243,0.0,0.0,0.3224,CR
57,3788.4395,32.4321,52.1255,38000.0,416.165,0.0,0.0,0.4475,CR
58,3844.3712,32.3101,52.0493,37975.0,417.3202,0.0,242.0503,0.4277,CR
59,3898.0678,32.1919,51.9751,38000.0,418.2997,0.0,0.0,0.3821,CR
60,3952.6043,32.0721,51.8996,38000.0,419.9495,0.0,0.0,0.402,CR
61,4007.4346,31.9518,51.8233,38000.0,420.2601,0.0,0.0,0.4219,CR
62,4063.074,31.8307,51.7462,38000.0,422.0528,0.0,0.0,0.3502,CR
63,4118.6957,31.7091,51.6684,38025.0,422.0552,0.0,0.0,0.332,CR
64,4174.5678,31.5864,51.5894,38000.0,422.0,0.0,0.0,0.792,CR
65,4230.2445,31.4666,51.5119,38000.0,422.06,-1465.6616,0.0,0.2905,DE
66,4285.4804,31.347,51.4342,38000.0,421.1488,0.0,0.0,0.524,CR
67,4342.2663,31.2248,51.3543,37975.0,420.0,0.0,0.0,0.788,CR
68,4398.6143,31.1049,51.2756,37975.0,421.3086,0.0,0.0,0.2308,CR
69,4453.5327,30.986,51.1971,38000.0,422.0,0.0,0.0,0.792,CR
70,4507.4052,30.8653,51.1269,38025.0,413.2857,0.0,0.0,0.604,CR
