,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,37.9035,55.4123,0.0,2.0,0.0,0.0,0.0,GND
1,99.1335,37.9044,55.4122,0.0,0.0,0.0,0.0,0.0,GND
2,232.3107,37.9044,55.4122,0.0,0.0,0.0,0.0,0.0,GND
3,357.6998,37.9043,55.4121,0.0,1.0251,0.0,0.0,0.0,GND
4,430.0181,37.9032,55.4104,0.0,3.1658,0.0,0.0,0.0,GND
5,502.8758,37.897,55.4084,0.0,10.2513,0.0,0.0,0.0,GND
6,615.5272,37.8883,55.4107,0.0,0.0,0.0,0.0,0.0,GND
7,746.6373,37.8764,55.4206,0.0,0.0,0.0,0.0,0.0,GND
8,879.57,37.8734,55.4214,0.0,0.0,0.0,0.0,0.0,GND
9,990.2848,37.8976,55.4002,1201.8844,146.7657,2444.2788,0.0,0.0,CL
10,1059.8417,37.9331,55.3497,3603.1407,210.5086,3558.2459,65.8693,0.0944,CL
11,1145.2357,37.8952,55.2808,8257.7889,243.393,4345.3801,0.0,0.0,CL
12,1210.2061,37.7605,55.2929,11436.3065,285.0655,2509.8998,283.0251,0.4673,CL
13,1284.4561,37.5871,55.31,13386.0553,292.8686,876.8817,72.9648,0.115,CL
14,1343.5678,37.4474,55.3235,14654.397,302.392,440.9548,336.0,0.532,CL
15,1408.4895,37.286,55.3387,17051.6332,313.9893,3351.8841,0.0,0.0,CL
16,1470.4069,37.1285,55.3534,19955.0251,326.9875,2346.8924,267.0553,0.4314,CL
17,1533.6181,36.9591,55.3691,22780.9045,335.9045,2412.7625,378.0,0.616,CL
18,1598.1713,36.7878,55.4013,24957.5377,378.1934,1607.7416,362.4523,0.5992,CL
19,1662.4809,36.6983,55.5092,27143.4673,420.8367,2074.8906,303.0151,0.5095,CL
20,1725.6992,36.6197,55.6263,28650.0,437.0211,250.9678,175.1759,0.2953,CL
21,1788.2047,36.5368,55.7482,29389.6985,464.7948,456.9479,258.6935,0.4374,CL
22,1852.8701,36.44,55.877,30944.8492,461.577,1804.2243,0.0,0.0,CL
23,1911.3923,36.3231,55.9812,32348.2412,455.4585,3383.5831,31.799,0.0549,CL
24,1969.7357,36.2007,56.0829,33685.0503,450.1965,1314.5572,0.0,0.0,CL
25,2036.0854,36.0254,56.1721,35127.1357,423.1859,407.0352,446.0,0.7811,CL
26,2096.171,35.8456,56.2239,35950.0,402.1412,0.0,245.4271,0.4306,CR
27,2157.7098,35.6585,56.2736,35975.0,406.1912,0.0,270.9749,0.4757,CR
28,2220.5192,35.4656,56.3244,35975.0,410.3522,0.0,95.9397,0.1685,CR
29,2285.8852,35.2666,56.3765,35975.0,407.0367,0.0,423.9196,0.7409,CR
30,2344.4395,35.0847,56.4237,35975.0,405.5379,0.0,55.7789,0.0975,CR
31,2405.3239,34.8971,56.4629,35975.0,384.0577,0.0,131.0452,0.2301,CR
32,2464.402,34.7127,56.4813,35975.0,385.0,0.0,444.0,0.776,CR
33,2528.2764,34.5109,56.5011,35975.0,383.0,0.0,442.0,0.776,CR
34,2590.0825,34.3142,56.52,35975.0,385.5017,0.0,84.402,0.1474,CR
35,2652.9399,34.1157,56.5388,35975.0,388.0052,0.0,437.0352,0.7643,CR
36,2716.7903,33.9092,56.558,35975.0,390.9096,0.0,66.9347,0.117,CR
37,2779.3216,33.7089,56.5762,36000.0,393.0,0.0,445.3568,0.776,CR
38,2841.7462,33.5046,56.5944,35975.0,396.0848,0.0,220.6231,0.3822,CR
39,2903.9899,33.3005,56.6121,35975.0,396.0,0.0,449.3266,0.7787,CR
40,2962.9222,33.1088,56.6288,36000.0,395.1206,0.0,377.0452,0.654,CR
41,3023.7922,32.9082,56.6457,36000.0,391.1127,0.0,2.2613,0.0039,CR
42,3083.7205,32.7149,56.6617,35950.0,388.5738,0.0,79.4975,0.1372,CR
43,3143.9754,32.5226,56.6772,35950.0,386.9787,0.0,292.6633,0.5069,CR
