,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,37.9072,55.4114,0.0,0.0,0.0,0.0,0.0,GND
1,119.6979,37.9072,55.4114,0.0,0.0,0.0,0.0,0.0,GND
2,232.8395,37.9072,55.4114,0.0,0.0,0.0,0.0,0.0,GND
3,322.129,37.9072,55.4114,0.0,0.0,0.0,0.0,0.0,GND
4,398.3735,37.9072,55.4114,0.0,0.0,0.0,0.0,0.0,GND
5,516.9793,37.9055,55.4108,0.0,0.0,0.0,0.0,0.0,GND
6,649.5837,37.8936,55.4079,0.0,10.3367,0.0,0.0,0.0,GND
7,700.0053,37.8885,55.4105,0.0,8.6884,0.0,0.0,0.0,GND
8,780.5205,37.8804,55.4173,0.0,0.0,0.0,0.0,0.0,GND
9,869.3677,37.8777,55.4219,0.0,0.0,0.0,0.0,0.0,GND
10,983.1609,37.8768,55.4216,0.0,0.0,0.0,0.0,0.0,GND
11,1102.439,37.8768,55.4216,0.0,0.0,0.0,0.0,0.0,GND
12,1343.9242,37.8768,55.4216,0.0,0.0,0.0,0.0,0.0,GND
13,1527.4628,37.8768,55.4216,0.0,0.0,0.0,0.0,0.0,GND
14,1762.5641,37.8756,55.4213,0.0,0.0,0.0,0.0,0.0,GND
15,1870.1204,37.8744,55.4218,0.0,0.0,0.0,0.0,0.0,GND
16,1993.624,37.8743,55.4217,0.0,0.0,0.0,0.0,0.0,GND
17,2082.6139,37.8743,55.4193,0.0,44.4724,0.0,0.0,0.0,GND
18,2153.6579,37.9164,55.3795,2186.809,166.4962,2198.5411,131.8593,0.2077,CL
19,2209.4611,37.9442,55.3315,4038.8191,226.6934,3633.349,174.5226,0.2762,CL
20,2269.6394,37.9182,55.2723,6650.0,239.1957,1083.2961,73.5678,0.1287,CL
21,2330.7966,37.8506,55.2131,9981.407,262.1315,4414.2383,152.0101,0.2864,CL
22,2378.0622,37.79,55.1649,12234.4221,283.7464,2907.5251,105.799,0.2029,CL
23,2431.3875,37.6782,55.1228,13699.7487,334.976,2925.2994,121.608,0.2854,CL
24,2481.8643,37.561,55.0792,16443.2161,339.8643,4604.3586,242.0,0.6,CL
25,2532.3186,37.4459,55.0363,18545.8543,351.2699,1720.3111,0.0,0.0,CL
26,2587.9045,37.309,54.985,19797.6131,370.0,1608.7058,241.397,0.6336,CL
27,2633.3295,37.1863,54.9551,21498.6181,368.9396,2277.1497,56.6834,0.1559,CL
28,2682.5953,37.0419,54.9346,23312.8141,376.2922,2186.2553,198.995,0.5605,CL
29,2730.3693,36.901,54.9148,24982.9146,381.0934,1059.0841,214.6734,0.6154,CL
30,2776.6103,36.7641,54.8954,26501.005,384.9625,1813.5588,9.7286,0.0291,CL
31,2821.9672,36.6248,54.8755,27873.1156,390.0335,3406.1057,235.9196,0.7214,CL
32,2870.6382,36.4775,54.8542,28965.9548,400.0,1718.5734,241.8191,0.7636,CL
33,2917.4668,36.3318,54.833,30188.3166,403.3529,1624.0747,37.6985,0.1209,CL
34,2961.5292,36.1931,54.8127,31305.7789,405.5292,2062.8413,53.5075,0.1725,CL
35,3005.1608,36.0551,54.7923,32335.6784,405.1762,730.6155,172.6834,0.5566,CL
36,3050.0823,35.917,54.7716,33041.206,400.2748,752.0181,155.5779,0.5056,CL
37,3094.2961,35.7808,54.7511,33900.0,394.4947,469.2211,100.1005,0.3253,CL
38,3144.2039,35.6297,54.7281,34988.8191,392.1097,1342.1894,116.7437,0.3705,CL
39,3189.5591,35.4924,54.7071,35811.3065,394.2241,1357.0315,109.4472,0.3473,CL
40,3235.7828,35.3512,54.6854,36609.6734,395.1965,1211.4305,268.5226,0.4659,CL
41,3279.479,35.2181,54.6646,37191.0804,398.2471,430.3408,77.1859,0.2457,CL
42,3327.3503,35.0701,54.6414,37875.0,399.006,874.2773,178.4925,0.5771,CL
43,3372.6287,34.9321,54.6196,38000.0,401.3563,0.0,45.8291,0.1489,CR
44,3419.2242,34.7892,54.5967,38000.0,402.2792,0.0,56.2814,0.0975,CR
45,3463.2412,34.6521,54.5746,38000.0,403.0603,0.0,450.1206,0.78,CR
46,3507.9094,34.5153,54.5523,38000.0,403.8531,-1.8844,2.2714,0.0039,CR
47,3553.7889,34.3721,54.5288,38000.0,403.0,-83.8853,437.0854,0.784,CR
48,3598.7286,34.2349,54.5061,38000.0,401.179,0.0,369.9296,0.6742,CR
49,3645.2971,34.0934,54.4826,37975.0,401.1763,0.0,48.2412,0.1552,CR
50,3691.5089,33.9513,54.4588,37950.0,402.2021,0.0,328.6834,0.5693,CR
51,3738.2092,33.8086,54.4346,38000.0,402.9856,0.0,79.598,0.26,CR
52,3783.0332,33.6719,54.4112,38050.0,402.1926,0.0,179.4372,0.3112,DE
53,3830.2705,33.5276,54.3864,38011.5578,400.0564,-511.1107,230.1307,0.4194,DE
54,3875.3288,33.3901,54.3626,37975.0,400.2652,0.0,235.3266,0.4094,CR
55,3919.0241,33.2584,54.3397,37975.0,400.0497,0.0,265.6482,0.4625,CR
56,3964.7322,33.1202,54.3154,37983.5427,401.1453,148.7846,151.7186,0.2652,CR
57,4008.2018,32.9885,54.292,37975.0,403.1435,0.0,66.8844,0.2145,CR
58,4055.5804,32.8431,54.266,38000.0,405.1762,0.0,353.4472,0.6154,CR
59,4099.3553,32.7098,54.242,38025.0,406.9903,0.0,382.7136,0.6697,CR
60,4143.2915,32.5752,54.2176,38050.0,406.0221,0.0,415.6583,0.7246,CR
61,4188.1142,32.4385,54.1926,38049.6231,405.3895,-7.7178,6.7839,0.0119,CR
62,4237.6488,32.2884,54.165,38025.0,403.397,0.0,22.5126,0.0394,CR
63,4282.8148,32.1507,54.1395,38000.0,402.0623,0.0,394.4523,0.6863,CR
64,4325.9674,32.0216,54.1154,37950.0,401.1592,0.0,362.0402,0.6323,CR
65,4373.2085,31.8806,54.087,37950.0,404.555,0.0,109.3266,0.1901,CR
66,4420.2798,31.7391,54.0574,37950.0,407.4081,0.0,138.9548,0.2418,CR
67,4464.2855,31.606,54.0296,38025.0,409.3554,0.0,169.598,0.2955,CR
68,4512.7559,31.4607,53.999,38000.0,403.6754,0.0,198.995,0.3467,CR
69,4556.1727,31.3339,53.9718,38000.0,393.5336,0.0,0.0,0.0,CR
70,4601.6526,31.2017,53.9438,38000.0,396.0957,0.0,189.6482,0.3332,CR
71,4645.7983,31.0719,53.9161,38000.0,401.3624,0.0,160.6432,0.2822,CR
72,4690.4886,30.9379,53.8872,38025.0,406.2116,0.0,313.7688,0.5516,CL
73,4736.0446,30.8027,53.8578,38044.2211,409.5007,907.4341,103.5578,0.1822,CL
74,4787.0466,30.6476,53.8238,38025.0,411.0908,-328.8453,373.7085,0.654,DE
75,4831.3015,30.5152,53.7946,38025.0,412.1005,0.0,448.0,0.784,CR
76,4877.5074,30.3775,53.764,38025.0,413.0829,0.0,15.7588,0.0276,CR
77,4920.3335,30.2485,53.7353,38000.0,412.627,0.0,13.4472,0.0236,DE
78,4964.8411,30.1122,53.7047,37977.3869,412.0617,-815.3749,403.4171,0.7055,DE
79,5014.6633,29.9651,53.6714,38000.0,411.1588,0.0,375.9598,0.6546,CR
80,5058.742,29.8324,53.6411,38000.0,410.1016,0.0,343.598,0.6036,CR
81,5102.7496,29.7017,53.6112,37982.2864,410.0669,-1098.0822,316.0101,0.5527,DE
