,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,37.9036,55.4114,0.0,3.0,0.0,0.0,0.0,GND
1,58.2388,37.9048,55.4114,0.0,1.206,0.0,0.0,0.0,GND
2,157.7925,37.9052,55.4116,0.0,0.0,0.0,0.0,0.0,GND
3,264.0532,37.9043,55.4111,0.0,6.3518,0.0,0.0,0.0,GND
4,324.3326,37.8991,55.4092,0.0,5.8794,0.0,0.0,0.0,GND
5,426.4173,37.8896,55.4096,0.0,0.0,0.0,0.0,0.0,GND
6,534.8264,37.8758,55.4211,0.0,0.0,0.0,0.0,0.0,GND
7,626.1816,37.892,55.4047,1369.2211,148.8874,3169.404,0.0,0.0,CL
8,689.446,37.9214,55.3678,3885.804,150.8372,198.9691,37.598,0.0588,LVL
9,762.8543,37.9484,55.2985,5711.809,230.3819,2418.5633,248.0,0.4,CL
10,833.0245,37.8743,55.2332,9200.5025,243.0092,3887.6755,243.0151,0.4351,CL
11,896.2179,37.8053,55.1729,11781.6583,260.0878,1062.0591,0.0,0.0,CL
12,952.5177,37.723,55.1221,12991.206,296.1734,1028.5847,0.0,0.0957,CL
13,1010.122,37.5936,55.0766,14028.2663,346.676,964.9325,56.0804,0.142,CL
14,1065.2896,37.4615,55.0285,16275.0,351.0773,872.1292,92.2211,0.241,CL
15,1123.007,37.3383,54.9656,18103.0151,366.4887,1542.8951,7.4774,0.0204,CL
16,1179.4873,37.2141,54.9005,19932.4121,369.6368,1751.2949,107.1759,0.3008,CL
17,1236.8834,37.0864,54.8334,21345.8543,381.908,2042.9902,206.8744,0.6006,CL
18,1294.7229,36.9564,54.7646,23111.809,381.3401,1286.517,58.5729,0.1748,CL
19,1345.6133,36.8411,54.7032,24090.9548,391.995,1500.6727,89.7286,0.2721,CL
20,1398.6754,36.7171,54.6369,24953.0151,403.8632,1191.6033,9.9698,0.0309,CL
21,1452.9174,36.5893,54.5681,26000.0,409.3181,714.8696,109.6683,0.3467,CL
22,1506.2384,36.4632,54.5,27438.3166,403.8796,1394.6238,38.6332,0.1215,CL
23,1558.9058,36.3391,54.4326,28375.0,408.6868,786.5414,61.0653,0.1911,CL
24,1611.9556,36.2129,54.3636,29248.6181,411.5019,1330.6756,160.7638,0.5212,CL
25,1665.1005,36.0886,54.2954,30626.2563,403.0,1440.567,248.0,0.8,CL
26,1716.8091,35.9719,54.2311,31761.3065,398.0654,1102.1301,135.8392,0.4382,CL
27,1774.8372,35.8393,54.1577,33267.7136,387.1832,2294.3723,211.8593,0.6834,CL
28,1828.4885,35.7214,54.092,34206.407,385.1026,706.2486,184.4422,0.595,CL
29,1879.2416,35.6103,54.0298,34925.0,386.4731,256.2814,84.7437,0.2734,CL
30,1933.7973,35.4918,53.9629,35525.0,390.2805,851.1762,14.9548,0.0478,CL
31,1986.9837,35.3727,53.8954,36096.2312,394.6926,739.6985,114.6533,0.368,CL
32,2040.3364,35.2529,53.8276,36886.4322,394.1748,1060.3005,382.0302,0.6776,CL
33,2093.7886,35.1348,53.7601,37613.3166,391.9394,1262.1773,324.2814,0.5723,CL
34,2146.2117,35.0212,53.6949,38000.0,395.9648,0.0,147.9196,0.264,CR
35,2197.3998,34.908,53.6297,38000.0,401.6137,0.0,31.799,0.0563,CR
36,2250.7164,34.7892,53.5607,38000.0,400.0644,0.0,212.5628,0.376,CR
37,2304.4564,34.6697,53.4909,38000.0,399.4047,0.0,56.2814,0.1,CR
38,2361.6542,34.5424,53.4162,38000.0,400.2159,0.0,324.1809,0.576,CR
39,2413.3182,34.4297,53.35,37975.0,402.2166,0.0,79.7588,0.2547,CR
40,2465.2946,34.3139,53.2817,37977.0101,405.0141,-1056.6554,228.0603,0.732,DE
41,2518.4431,34.1959,53.2117,38000.0,406.7382,0.0,217.0854,0.3859,DE
42,2572.8636,34.0745,53.1391,38025.0,407.0177,0.0,397.9899,0.7075,CR
43,2625.7811,33.9581,53.0692,38000.0,406.1415,0.0,321.1055,0.568,CR
44,2679.0653,33.8415,52.9989,38000.0,408.0,0.0,450.0,0.8,CR
45,2732.0191,33.725,52.9281,38000.0,407.0139,0.0,409.2965,0.7276,CR
46,2785.5964,33.6077,52.8566,38000.0,406.2433,0.0,227.3769,0.404,CR
47,2836.883,33.4956,52.7882,38000.0,407.0162,0.0,400.7236,0.712,CR
48,2889.1319,33.3804,52.7174,38000.0,407.0455,0.0,315.1759,0.56,CR
49,2940.6231,33.2715,52.6501,38000.0,407.9435,164.4587,312.9246,0.556,CR
50,2993.4004,33.1561,52.5785,38000.0,408.0695,0.0,402.9749,0.716,CR
51,3047.2229,33.0384,52.505,37987.4372,410.3328,-482.5665,225.1256,0.4,DE
52,3100.9627,32.9209,52.4315,38000.0,413.0502,0.0,407.0352,0.72,CR
53,3153.7712,32.8071,52.3597,38007.6633,409.1075,182.75,307.8995,0.5492,CR
54,3206.5264,32.6936,52.2879,38000.0,412.7689,0.0,316.0101,0.5612,CR
55,3260.3471,32.5837,52.2113,38000.0,414.555,0.0,49.3065,0.0871,CR
56,3313.3403,32.4757,52.1342,38000.0,413.982,0.0,0.0,0.3841,CR
57,3367.8229,32.3631,52.0561,37977.1357,413.5659,-328.196,0.0,0.0673,DE
58,3421.1567,32.2468,51.9854,38000.0,414.7268,0.0,0.0,0.2507,CR
59,3474.9201,32.1279,51.9124,38025.0,414.1326,0.0,0.0,0.224,CR
60,3527.9127,32.0123,51.8412,38025.0,412.8662,572.2757,0.0,0.0,CL
61,3582.5232,31.892,51.7667,38000.0,410.3496,0.0,0.0,0.3762,CR
62,3640.6832,31.7678,51.6896,38000.0,408.0521,369.1007,0.0,0.7286,CL
63,3694.0668,31.6538,51.6185,38000.0,407.0501,0.0,0.0,0.5306,CR
64,3745.771,31.5434,51.549,37975.0,407.9491,0.0,0.0,0.5742,CR
65,3800.4991,31.4268,51.4756,38000.0,407.9755,0.0,0.0,0.6885,CR
66,3855.0615,31.3135,51.4036,38000.0,407.0717,0.0,0.0,0.4219,CR
67,3907.804,31.2017,51.3324,38000.0,405.0653,0.0,0.0,0.792,CR
68,3962.0575,31.0889,51.2604,38025.0,399.8192,-358.8081,0.0,0.5307,CR
69,4013.8586,30.9846,51.1933,38000.0,385.5571,0.0,0.0,0.2038,CR
70,4065.7375,30.884,51.1289,38000.0,372.3751,-544.5478,0.0,0.1092,DE
71,4120.6447,30.7659,51.0723,38000.0,369.7721,0.0,0.0,0.3549,CR
72,4172.9512,30.6351,51.0361,38000.0,377.9475,0.0,0.0,0.7482,CR
73,4226.8717,30.4924,51.0027,38000.0,385.8954,0.0,0.0,0.2774,CR
74,4281.9771,30.3459,50.9683,38000.0,384.2259,0.0,0.0,0.201,CR
75,4336.2433,30.2058,50.9351,37975.0,382.0887,0.0,0.0,0.1194,CR
76,4388.6015,30.0676,50.9022,37950.0,383.3857,0.0,0.0,0.4378,CR
77,4443.8788,29.9216,50.8672,37998.8693,386.9674,534.3883,0.0,0.76,CL
78,4501.7136,29.7694,50.8306,38000.0,388.0,0.0,0.0,0.796,CR
79,4560.3707,29.6139,50.7928,38025.0,388.168,0.0,0.0,0.604,CR
80,4612.6696,29.4755,50.7589,38000.0,389.0572,0.0,0.0,0.668,CR
81,4668.9182,29.3287,50.7227,38000.0,390.2946,0.0,0.0,0.448,CR
82,4723.9343,29.181,50.6861,38000.0,392.0306,0.0,0.0,0.768,CR
83,4779.6197,29.0323,50.649,38000.0,396.2449,0.0,0.0,0.292,CR
84,4833.8227,28.8863,50.6124,38025.0,397.9422,0.0,0.0,0.184,CR
85,4891.2843,28.7319,50.5734,38000.0,399.004,-475.2459,0.0,0.6633,DE
