,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,37.8861,55.4142,0.0,0.0,0.0,0.0,0.0,GND
1,100.7459,37.8868,55.4144,0.0,0.191,0.0,0.0,0.0,GND
2,154.6181,37.8876,55.4141,0.0,3.0,0.0,0.0,0.0,GND
3,205.5707,37.8882,55.4136,0.0,1.7186,0.0,0.0,0.0,GND
4,253.2362,37.8888,55.413,0.0,3.0,0.0,0.0,0.0,GND
5,306.1293,37.8894,55.4125,0.0,1.9095,0.0,0.0,0.0,GND
6,352.9123,37.8889,55.4121,0.0,2.5628,0.0,0.0,0.0,GND
7,412.3038,37.8885,55.412,0.0,0.0,0.0,0.0,0.0,GND
8,516.2234,37.8885,55.412,0.0,0.0,0.0,0.0,0.0,GND
9,593.2924,37.8885,55.412,0.0,0.0,0.0,0.0,0.0,GND
10,679.4473,37.8885,55.412,0.0,0.0,0.0,0.0,0.0,GND
11,754.0749,37.8885,55.412,0.0,0.0,0.0,0.0,0.0,GND
12,828.0075,37.8884,55.412,0.0,0.0,0.0,0.0,0.0,GND
13,886.3183,37.8877,55.4112,0.0,2.4121,0.0,0.0,0.0,GND
14,933.781,37.8902,55.4091,0.0,10.7739,0.0,0.0,0.5872,GND
15,982.407,37.894,55.4059,0.0,16.1357,0.0,0.0,0.0,GND
16,1029.2362,37.8973,55.4032,0.0,0.8291,0.0,0.0,0.0,GND
17,1077.6535,37.9009,55.4002,0.0,3.4472,0.0,0.0,0.0,GND
18,1128.6749,37.9045,55.3972,0.0,9.005,0.0,0.0,0.0,GND
19,1179.1156,37.9033,55.3955,0.0,8.0,0.0,0.0,0.0,GND
20,1226.5812,37.9,55.398,0.0,12.3015,0.0,0.0,0.0,GND
21,1292.8823,37.852,55.4328,1123.995,179.6877,1032.2388,0.0,0.0,CL
22,1358.0039,37.772,55.4621,2794.9749,191.8572,1087.8983,39.799,0.0587,CL
23,1411.1164,37.698,55.4355,3875.0,221.8112,453.3074,77.608,0.1301,CL
24,1469.1631,37.685,55.3735,4814.5729,273.9079,-616.5264,155.0553,0.2355,CL
25,1542.3851,37.6481,55.2884,6300.0,322.1263,934.4367,222.8744,0.3746,CL
26,1598.7385,37.5031,55.2691,8057.0352,342.631,2277.2287,0.0,0.0,CL
27,1668.8867,37.3056,55.2423,10563.3166,358.834,5368.3631,243.1357,0.4559,CL
28,1728.1252,37.1295,55.2176,11482.6633,397.7891,926.3564,188.1407,0.3946,CL
29,1780.5307,36.962,55.1941,12675.0,418.1661,806.5327,154.8543,0.3398,CL
30,1857.5045,36.7058,55.1574,14738.5678,433.3304,2524.5424,78.1508,0.1791,CL
31,1919.0079,36.4961,55.127,16410.0503,439.7435,662.5707,0.0,0.0,CL
32,1990.1519,36.249,55.0906,18116.7085,453.0773,919.695,0.0,0.0,CL
33,2051.794,36.0238,55.057,19527.3869,464.6985,1790.7113,288.0,0.72,CL
34,2108.7999,35.8181,55.0258,20863.0653,470.8298,1260.9602,146.1709,0.3756,CL
35,2162.3825,35.6196,54.9954,22023.7437,479.0708,1140.4665,196.8241,0.5139,CL
36,2218.3769,35.4074,54.9625,23356.2814,483.1256,2878.1102,288.0,0.771,CL
37,2274.8009,35.195,54.9292,24518.4673,490.9627,1873.6953,0.0,0.7403,CL
38,2324.2952,35.0084,54.8994,25530.7789,496.7803,1216.9941,0.0,0.592,CL
39,2389.3081,34.7606,54.8595,26841.4573,504.4403,-768.2684,0.0,0.0,CL
40,2450.7555,34.5142,54.8192,27902.1357,514.2169,2119.2903,324.201,0.5335,CL
41,2510.3873,34.2837,54.781,29462.8141,511.0696,395.2927,85.7688,0.1428,CL
42,2565.9279,34.0623,54.7437,30822.9899,509.0066,1639.5418,489.9497,0.8192,CL
43,2617.606,33.8607,54.7123,31984.1709,507.2127,2002.6285,394.4724,0.6627,CL
44,2670.9636,33.6478,54.6957,33194.8492,506.0122,1043.8149,295.407,0.4999,CL
45,2722.5027,33.4428,54.6823,34025.0,504.6827,0.0,199.4472,0.3403,CR
46,2770.8136,33.2522,54.6697,34000.0,503.1363,0.0,105.8794,0.1798,CR
47,2822.0599,33.0434,54.6554,34000.0,503.0099,0.0,477.6884,0.8111,CR
48,2873.3276,32.8413,54.6413,34000.0,502.0853,0.0,408.7437,0.694,CR
