,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,37.895,55.4106,0.0,0.0,0.0,0.0,0.0,GND
1,163.7587,37.895,55.4106,0.0,0.0,0.0,0.0,0.0,GND
2,403.8295,37.895,55.4106,0.0,0.0,0.0,0.0,0.0,GND
3,541.9252,37.8948,55.4105,0.0,1.4573,0.0,0.0,0.0,GND
4,617.8407,37.8938,55.4101,0.0,0.0,0.0,0.0,0.0,GND
5,736.9306,37.8942,55.4103,0.0,0.0,0.0,0.0,0.0,GND
6,927.6348,37.8942,55.4103,0.0,0.0,0.0,0.0,0.0,GND
7,1042.0009,37.895,55.4089,0.0,0.3668,0.0,0.0,0.0,GND
8,1130.6467,37.8942,55.4057,0.0,0.0,0.0,0.0,0.0,GND
9,1257.3994,37.9039,55.3977,0.0,11.397,0.0,0.0,0.0,GND
10,1400.9357,37.9049,55.3959,0.0,0.0,0.0,0.0,0.0,GND
11,1548.0303,37.8797,55.4148,1351.1307,167.6348,2604.3963,0.0,0.0,CL
12,1649.8498,37.7828,55.4619,4920.7286,186.7174,1560.7046,193.8894,0.2927,CL
13,1727.2168,37.6542,55.4256,7526.6332,242.8872,3351.1818,174.7136,0.3527,CL
14,1799.4446,37.5022,55.4004,9500.0,298.979,599.2462,56.4623,0.1385,CL
15,1875.671,37.3132,55.3678,12339.3216,326.9833,4988.5521,131.2161,0.3653,CL
16,1950.1717,37.1214,55.3342,15232.9146,338.8205,2998.533,117.1859,0.3339,CL
17,2024.8492,36.9257,55.2998,18057.7889,341.4623,4248.5225,208.3015,0.6338,CL
18,2099.2077,36.7329,55.2652,20621.4824,339.5846,1117.9526,0.0,0.0,CL
19,2174.1759,36.5308,55.2288,22642.9648,346.0813,1124.1046,152.3417,0.4973,CL
20,2248.4684,36.3309,55.1925,24104.7739,356.9687,1112.7204,171.5176,0.5728,CL
21,2324.2385,36.1234,55.1542,25480.0251,365.465,784.8502,21.3065,0.0732,CL
22,2400.0194,35.905,55.1135,26875.2513,371.0056,2096.3126,209.8693,0.7444,CL
23,2466.6465,35.7215,55.0789,28650.0,357.8594,40.201,17.0452,0.0621,CR
24,2537.9949,35.5234,55.0414,29620.7286,364.0721,829.3351,36.2211,0.1333,CL
25,2606.1558,35.3355,55.0052,30830.402,362.3865,731.0579,0.0,0.0,CL
26,2671.7692,35.1524,54.9702,31841.206,363.5369,1797.8322,137.4271,0.5082,CL
27,2740.8563,34.9638,54.9329,33163.9447,357.1536,850.7897,93.7487,0.3449,CL
28,2809.8375,34.7782,54.8963,34125.0,357.1467,296.4731,99.0754,0.3664,CL
29,2879.1296,34.589,54.8585,34940.5779,359.8841,-1176.0542,132.1005,0.486,DE
30,2949.1457,34.3991,54.8203,35700.0,358.2864,0.0,212.0,0.784,CR
31,3016.4302,34.2145,54.7823,35900.0,368.9845,0.0,170.4523,0.64,CR
32,3082.4172,34.0282,54.7446,36000.0,371.0588,0.0,189.6281,0.712,CR
33,3147.3295,33.8506,54.7111,36000.0,365.3841,0.0,3.196,0.0121,CR
34,3215.7833,33.6523,54.6961,36000.0,362.0082,0.0,421.6281,0.7397,CR
35,3279.4465,33.472,54.6844,35975.0,363.1735,0.0,75.2864,0.132,CR
36,3346.9029,33.2756,54.6714,36000.0,365.1039,0.0,339.1357,0.592,CR
37,3412.2144,33.0879,54.6586,36025.0,366.3292,0.0,158.1106,0.2774,CR
38,3480.255,32.8901,54.6446,36000.0,366.4073,0.0,199.3568,0.3497,CR
39,3545.8894,32.6987,54.631,36000.0,367.0,0.0,340.7437,0.796,CR
40,3611.3455,32.5083,54.6172,36000.0,367.314,0.0,283.0854,0.4945,CR
41,3679.7286,32.3108,54.6024,36000.0,367.9482,-434.6888,323.0955,0.5668,DE
42,3747.8378,32.1158,54.5875,36000.0,367.1303,0.0,92.0603,0.1608,CR
43,3812.2211,31.9263,54.5727,36025.0,365.0,0.0,453.7789,0.792,CR
44,3880.3131,31.735,54.5575,35950.0,366.2785,0.0,9.1256,0.0159,CR
45,3945.8593,31.5414,54.5418,36000.0,369.0,0.0,458.0,0.8,CR
46,4012.432,31.3517,54.526,36025.0,369.6712,0.0,73.6482,0.1286,CR
47,4080.4972,31.1555,54.5093,36050.0,363.9006,0.0,114.5729,0.2,CR
48,4147.9012,30.9658,54.478,36000.0,375.1752,0.0,297.5477,0.5187,CR
