,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,37.9139,55.4111,0.0,0.0,0.0,0.0,0.0,GND
1,138.9297,37.9139,55.4111,0.0,0.0,0.0,0.0,0.0,GND
2,227.7242,37.9139,55.4111,0.0,0.0,0.0,0.0,0.0,GND
3,359.1843,37.9125,55.4108,0.0,1.1759,0.0,0.0,0.0,GND
4,417.4053,37.9153,55.411,0.0,2.3518,0.0,0.0,0.0,GND
5,487.2993,37.9185,55.4101,0.0,0.0,0.0,0.0,0.0,GND
6,578.894,37.9223,55.4071,0.0,3.1357,0.0,0.0,0.0,GND
7,652.6728,37.9261,55.4052,0.0,4.3417,0.0,0.0,0.0,GND
8,749.8922,37.9284,55.4049,0.0,6.2714,0.0,0.0,0.0,GND
9,825.9582,37.9364,55.3995,0.0,0.0,0.0,0.0,0.0,GND
10,954.5776,37.9089,55.4242,1419.3467,150.8936,2814.0615,0.0,0.0,CL
11,1034.1915,37.8617,55.4894,3207.0352,242.2245,922.5111,176.7739,0.2759,CL
12,1105.6894,37.7597,55.5327,5639.8241,259.3458,4305.5276,57.4774,0.0908,CL
13,1183.0634,37.6164,55.4846,8228.7688,273.9992,1030.0566,40.1005,0.0663,CL
14,1256.7799,37.4996,55.4201,10054.2714,285.0854,788.3232,266.0,0.452,CL
15,1320.6953,37.4108,55.349,11700.5025,296.8335,1945.0073,281.6784,0.0092,CL
16,1386.4733,37.3301,55.2678,12973.8693,339.9095,503.2304,266.0,0.5316,CL
17,1445.4726,37.253,55.1745,13972.2362,394.6918,1297.6629,267.7688,0.5088,CL
18,1512.0814,37.1617,55.0628,15411.809,408.0,1236.1809,266.0,0.636,CL
19,1571.7969,37.0798,54.9612,16000.0,409.1906,0.0,269.8593,0.4856,CR
20,1630.1769,36.9984,54.8597,17236.6834,415.6535,1404.5382,277.0955,0.2011,CL
21,1692.8943,36.8903,54.7584,18681.407,408.4205,1527.5687,271.9497,0.4246,CL
22,1762.3747,36.6756,54.7353,20646.9849,390.7015,2405.1883,275.005,0.2973,CL
23,1831.1015,36.4738,54.7285,23937.1859,372.0,1243.7186,266.0,0.652,CL
24,1930.4733,36.1787,54.6932,26657.4121,388.0,1824.1206,266.0,0.696,CL
25,2017.1546,35.9105,54.6603,28918.3417,397.4464,1830.0981,276.1307,0.2656,CL
26,2102.4714,35.6449,54.6272,30947.6131,402.985,4427.0008,277.1759,0.2255,CL
27,2217.7899,35.286,54.5814,33648.6181,397.7638,1715.5779,266.0,0.7511,CL
28,2329.7799,34.9488,54.5374,36075.0,383.1709,497.4874,220.5528,0.7301,CL
29,2443.8159,34.5956,54.4901,36802.6382,407.0626,975.1921,267.6884,0.6834,CL
30,2524.9189,34.3402,54.4552,37700.0,407.7798,877.5974,270.6633,0.0309,CL
31,2592.2043,34.1254,54.4254,37923.7437,419.4465,793.0106,281.598,0.0195,CL
32,2650.3999,33.9387,54.3992,38000.0,415.4574,0.0,280.5528,0.0706,CR
33,2708.1417,33.7554,54.3732,38000.0,420.0,0.0,266.0,0.78,CR
34,2767.4285,33.5622,54.3453,38019.4724,421.1681,415.4099,278.4623,0.1742,CL
35,2825.0811,33.3776,54.3184,38000.0,415.2021,0.0,277.4171,0.2246,CR
36,2884.9385,33.1874,54.2903,38000.0,419.0065,0.0,271.6281,0.503,CR
37,2946.2601,32.9916,54.261,38000.0,418.0814,0.0,275.3266,0.3237,CR
38,3006.3937,32.7993,54.2319,38012.0603,418.2997,-512.1253,274.2814,0.3782,DE
39,3069.4217,32.5993,54.2013,37988.6935,419.2071,-377.5136,127.5377,0.425,DE
40,3128.8967,32.4088,54.1719,37975.0,420.9985,0.0,272.191,0.4782,CR
41,3186.2522,32.2257,54.1432,38025.0,422.0,0.0,266.0,0.784,CR
42,3245.5971,32.0335,54.1129,38025.0,422.5607,0.0,277.8995,0.2009,CR
