,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,37.903,55.4135,0.0,0.0,0.0,0.0,0.0,GND
1,69.5673,37.9022,55.4131,0.0,0.9648,0.0,0.0,0.0,GND
2,129.9121,37.9019,55.4129,0.0,0.0,0.0,0.0,0.0,GND
3,176.7057,37.9024,55.4125,0.0,1.1055,0.0,0.0,0.0,GND
4,274.9392,37.9025,55.4124,0.0,0.0,0.0,0.0,0.0,GND
5,358.2362,37.9034,55.4117,0.0,9.4121,0.0,0.0,0.0,GND
6,437.7889,37.8992,55.4092,0.0,9.8392,0.0,0.0,0.0,GND
7,490.9857,37.8939,55.4068,0.0,5.6533,0.0,0.0,0.0,GND
8,540.5505,37.8969,55.4035,0.0,18.9045,0.0,0.0,0.0,GND
9,596.9843,37.9037,55.3978,0.0,7.8593,0.0,0.0,0.0,GND
10,654.1835,37.9027,55.3957,0.0,0.0,0.0,0.0,0.0,GND
11,728.1951,37.8593,55.4271,1711.3065,152.997,2617.888,0.0,0.0,CL
12,791.0556,37.796,55.4579,3784.1709,192.3612,1104.1656,0.0,0.0,CL
13,851.1888,37.6972,55.4331,6067.8392,257.9369,2816.1956,0.0,0.0,CL
14,903.1023,37.7125,55.3743,8450.3769,277.9698,2714.3313,66.9749,0.1054,CL
15,950.7179,37.7782,55.3214,10595.8543,305.1529,989.3545,68.0201,0.1077,CL
16,1008.4372,37.8502,55.2438,12510.9296,363.4372,2180.0061,324.8744,0.5166,CL
17,1060.793,37.8767,55.1533,14320.1005,399.4464,3872.6533,276.4523,0.4506,CL
18,1121.4134,37.7536,55.0756,16360.4271,397.969,1602.2371,0.0,0.0,CL
19,1182.2552,37.5697,55.0197,17933.2915,435.119,2408.6808,291.9598,0.5606,CL
20,1236.4838,37.3978,54.967,19323.6181,459.2906,1893.9289,123.1156,0.242,CL
21,1285.3561,37.2388,54.9179,21081.5327,464.376,1722.1697,45.206,0.0925,CL
22,1337.1205,37.0683,54.865,22730.6533,469.488,1145.2244,214.5729,0.4488,CL
23,1384.7698,36.9083,54.815,23811.9347,482.8232,169.7275,0.0,0.0,CL
24,1436.4222,36.733,54.7598,25343.3417,484.7094,1821.3783,146.0503,0.3174,CL
25,1487.1738,36.5741,54.6912,27031.0302,494.1027,2183.2313,328.8945,0.7067,CL
26,1537.5093,36.4324,54.6113,28515.7035,493.6323,1564.107,160.0503,0.3421,CL
27,1594.0298,36.2726,54.5208,30200.6281,489.0083,2094.223,337.3065,0.7331,CL
28,1642.2648,36.1405,54.4454,31225.3769,491.9836,1415.6774,172.3618,0.3684,CL
29,1690.9695,36.0033,54.3665,32224.2462,495.0049,1477.3937,346.4824,0.7405,CL
30,1738.4648,35.8705,54.2899,33100.0,500.2537,791.4573,184.6734,0.3968,CL
31,1786.5355,35.7368,54.2121,33871.608,504.6797,1160.2707,19.7186,0.0344,CL
32,1833.6588,35.6081,54.1319,33975.0,506.9489,0.0,189.7387,0.3323,CR
33,1882.8053,35.4769,54.046,33975.0,504.0572,0.0,399.1055,0.6989,CR
34,1930.8165,35.35,53.9628,33975.0,504.2862,0.0,260.7236,0.4545,CR
35,1979.8997,35.2203,53.8792,33975.0,502.9594,0.0,50.1608,0.0878,CR
36,2027.8312,35.0926,53.7972,33975.0,501.2332,0.0,274.794,0.4787,CR
37,2076.5477,34.9638,53.7137,33975.0,501.0,876.4758,434.0,0.756,CR
38,2123.3317,34.8406,53.6334,33966.7085,501.0,41.7878,434.0,0.756,CR
39,2173.8458,34.7099,53.5478,33975.0,501.6964,0.0,80.6935,0.1413,CR
40,2225.3622,34.5754,53.4591,34000.0,501.1381,0.0,129.2663,0.2253,CR
41,2273.9754,34.4497,53.3758,34000.0,500.4183,0.0,96.8442,0.1689,CR
42,2323.2245,34.3223,53.291,34000.0,498.8275,0.0,322.0704,0.5614,CR
43,2373.7889,34.1936,53.2047,33975.0,498.4162,0.0,111.7387,0.1948,CR
44,2420.0653,34.0753,53.125,33975.0,497.6968,0.0,98.593,0.1719,CR
45,2470.1644,33.9472,53.0383,33975.0,498.1631,0.0,308.9246,0.5385,CR
46,2518.678,33.8219,52.9583,33975.0,496.2931,0.0,83.2563,0.1451,CR
47,2566.3259,33.6914,52.8822,33975.0,497.0145,0.0,142.4121,0.2482,CR
48,2615.5209,33.5572,52.8035,34000.0,496.0564,0.0,368.0804,0.645,CR
49,2665.627,33.4221,52.7239,33975.0,494.9364,0.0,278.2513,0.485,CR
50,2715.0697,33.2897,52.6456,33975.0,493.061,0.0,383.4171,0.6683,CR
51,2761.6852,33.1643,52.5708,33975.0,493.2008,0.0,262.9146,0.4583,CR
52,2810.0847,33.0364,52.4942,33975.0,493.0432,0.0,398.7538,0.6951,CR
53,2858.2774,32.9078,52.4168,33975.0,493.2186,0.0,247.5779,0.4316,CR
54,2907.1005,32.7789,52.339,33975.0,494.0,0.0,436.0,0.76,CR
55,2955.5314,32.6509,52.2611,34000.0,493.2695,0.0,203.7588,0.3552,CR
56,3004.3227,32.5238,52.1823,33975.3769,492.8339,13.2784,6.5729,0.0115,CR
57,3052.9899,32.3959,52.1027,33975.0,493.0,0.0,436.0,0.76,CR
58,3100.7305,32.2731,52.0259,33975.0,493.4957,0.0,8.7638,0.0153,CR
59,3150.3393,32.145,51.9452,33975.0,493.2339,0.0,234.4322,0.4086,CR
60,3198.8549,32.0197,51.8661,33975.0,493.028,0.0,411.8995,0.718,CR
61,3246.5704,31.8971,51.7882,33975.0,492.485,0.0,186.2312,0.3246,CR
62,3295.533,31.7728,51.7088,33975.0,492.1705,0.0,39.4372,0.0687,CR
63,3343.5174,31.6504,51.6304,33975.0,491.121,0.0,265.1055,0.4597,CR
64,3393.8381,31.5228,51.5479,33996.8593,491.0388,1017.5002,381.2261,0.6645,CR
65,3443.889,31.3972,51.4665,34000.0,490.6494,0.0,0.0,0.0,CR
66,3493.5653,31.2711,51.3843,34000.0,489.9984,0.0,365.8894,0.6411,CR
67,3544.4261,31.1459,51.3023,34000.0,488.0086,0.0,140.2211,0.2457,CR
68,3596.3315,31.0182,51.2181,33975.0,485.6556,0.0,85.4472,0.1489,CR
69,3646.6375,30.8862,51.1412,33950.0,486.7819,0.0,124.8844,0.2165,CR
70,3694.6399,30.735,51.0922,33950.0,486.196,0.0,100.7839,0.1748,CR
71,3747.0756,30.5517,51.083,33975.0,477.0066,0.0,326.4523,0.569,CR
72,3795.9516,30.3821,51.0932,33975.0,477.0193,146.4971,116.1206,0.2013,CR
73,3841.8323,30.2211,51.1026,33975.0,479.0008,0.0,341.7889,0.5958,CR
74,3891.1034,30.0494,51.1125,34000.0,479.6166,114.4096,131.4573,0.2291,CR
75,3941.1316,29.8741,51.1223,33995.4774,481.7047,-118.964,78.8744,0.1375,CR
76,3995.7051,29.6812,51.1328,34000.0,482.4904,0.0,146.794,0.2559,CR
77,4042.3473,29.5143,51.1417,34000.0,483.0901,0.0,372.4623,0.6527,CR
78,4091.5446,29.3419,51.1507,34000.0,483.2503,0.0,162.1307,0.2826,CR
79,4140.1369,29.1706,51.1593,33975.0,483.3544,0.0,48.201,0.084,CR
80,4190.8282,28.991,51.1681,33975.0,483.1622,0.0,258.5327,0.4507,CR
81,4246.8679,28.7924,51.1775,33976.8844,483.1652,25.2999,32.8643,0.0576,CR
82,4295.9544,28.6191,51.1854,34000.0,482.0447,0.0,192.804,0.3378,CR
83,4346.0873,28.4408,51.1933,33975.0,479.0002,0.0,418.4724,0.7294,CR
84,4395.2817,28.269,51.2006,33950.0,479.002,0.0,208.1407,0.3609,CR
85,4443.4708,28.1005,51.2075,33950.0,479.0039,0.0,2.191,0.0038,CR
86,4493.5064,27.9242,51.2145,33950.0,479.4525,0.0,212.5226,0.3685,CR
87,4541.6671,27.7551,51.221,33975.0,479.6431,0.0,13.1457,0.0228,CR
88,4589.8103,27.5849,51.2273,33975.0,480.4172,0.0,197.1859,0.3437,CR
89,4637.9158,27.4142,51.2334,33975.0,481.0418,0.0,407.5176,0.7066,CR
90,4687.2787,27.2395,51.2392,33975.0,483.2323,0.0,181.8492,0.317,CR
91,4741.6569,27.0444,51.2455,34000.0,485.0599,0.0,392.1809,0.6872,CR
