,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,37.8777,55.4209,0.0,0.0,0.0,0.0,0.0,GND
1,149.4395,37.8777,55.4209,0.0,0.0,0.0,0.0,0.0,GND
2,244.0378,37.8777,55.4209,0.0,0.0,0.0,0.0,0.0,GND
3,340.9045,37.8775,55.4208,0.0,4.0,0.0,0.0,0.0,GND
4,378.5478,37.8772,55.4199,0.0,4.8241,0.0,0.0,0.0,GND
5,413.4518,37.8796,55.4179,0.0,7.5377,0.0,0.0,0.0,GND
6,450.809,37.8821,55.4158,0.0,11.0,0.0,0.0,0.0,GND
7,485.1106,37.8837,55.4145,0.0,14.407,0.0,0.0,0.0,GND
8,544.0997,37.8892,55.4099,0.0,15.2764,0.0,0.0,0.0,GND
9,624.5914,37.896,55.4043,0.0,0.0,0.0,0.0,0.0,GND
10,731.1602,37.9036,55.3979,0.0,0.0704,0.0,0.0,0.0,GND
11,776.2111,37.9055,55.3963,0.0,5.0,0.0,0.0,0.0,GND
12,812.6181,37.9053,55.3961,0.0,0.0,0.0,0.0,0.0,GND
13,878.9251,37.9034,55.3954,0.0,2.4523,0.0,0.0,0.0,GND
14,936.2921,37.8938,55.403,910.1759,115.4956,152.6382,0.0,0.0,LVL
15,987.8247,37.8512,55.4323,2600.3769,160.4263,2045.0329,90.6131,0.1379,CL
16,1037.862,37.8008,55.4562,4125.0,164.4029,505.9722,110.6633,0.1678,CL
17,1084.3375,37.7803,55.4954,4660.4271,233.106,1241.4598,165.799,0.2551,CL
18,1126.4158,37.7907,55.5446,5785.6784,268.2315,2676.5147,51.9397,0.0794,CL
19,1162.2666,37.8058,55.5886,7340.9548,278.2675,2429.1296,25.1457,0.0391,CL
20,1201.3004,37.8509,55.6331,8951.005,287.2109,22.1128,2.8543,0.0044,CL
21,1241.2686,37.8695,55.6862,10308.2915,296.9835,2936.8178,259.7186,0.402,CL
22,1282.1696,37.867,55.7424,12076.3819,304.2912,2701.7739,63.7387,0.0996,CL
23,1315.3226,37.8654,55.7896,12932.7889,308.9556,987.1694,94.7136,0.1495,CL
24,1351.0569,37.8638,55.8415,13376.5075,321.4241,2204.0186,124.4422,0.1978,CL
25,1384.8172,37.8192,55.8846,14600.0,332.7301,790.4387,172.2211,0.2727,CL
26,1417.5957,37.7448,55.9134,15276.6332,335.3203,2211.651,126.9146,0.2089,CL
27,1456.2987,37.6411,55.9278,17160.6784,341.4815,1892.2912,93.9497,0.1375,CL
28,1491.5345,37.5433,55.9387,17990.7035,347.9906,608.2718,0.0,0.0,CL
29,1525.9288,37.4469,55.9498,18000.0,348.0429,0.0,30.2412,0.0482,LVL
30,1564.0339,37.3394,55.9621,18000.0,345.0128,0.0,348.6633,0.5555,LVL
31,1597.656,37.2522,55.9817,18000.0,346.2925,0.0,40.4523,0.0652,LVL
32,1635.1721,37.1686,56.0203,18005.402,349.1141,66.3774,77.7889,0.1245,LVL
33,1671.9412,37.0846,56.0556,17975.0,338.8271,-351.7933,114.603,0.1798,LVL
34,1707.9743,37.0065,56.0885,18014.5729,330.0122,-267.8203,202.8543,0.3264,DE
35,1747.468,36.9189,56.125,18000.0,339.917,0.0,0.0,0.0,LVL
36,1782.4928,36.8394,56.1583,18000.0,337.9769,0.0,223.7487,0.3437,LVL
37,1822.7296,36.7522,56.1976,18000.0,337.983,0.0,255.8191,0.4082,LVL
38,1872.2538,36.6419,56.2476,18602.3869,360.9465,1395.632,309.6181,0.4947,CL
39,1915.7588,36.5356,56.2948,19693.9698,396.8392,1609.7752,410.0,0.664,CL
40,1951.9961,36.4397,56.337,21129.5226,411.3416,2070.4017,8.5628,0.014,CL
41,1988.1828,36.3285,56.37,22581.0302,420.0406,2633.3873,381.6583,0.6226,CL
42,2027.6684,36.1918,56.3912,23977.6382,433.894,3909.4838,347.3869,0.5702,CL
43,2064.1983,36.0683,56.4088,25864.3216,428.31,762.2549,0.0,0.0,CL
44,2100.0983,35.9421,56.4263,26846.1055,442.9868,1636.3238,258.8945,0.4392,CL
45,2138.4051,35.8023,56.4457,28003.392,454.2062,2091.9007,220.5528,0.3743,CL
46,2179.0107,35.6502,56.4666,29327.8894,461.7836,272.7925,299.0955,0.5035,CL
47,2214.9459,35.5165,56.4849,30326.6332,468.9667,2357.4824,134.3216,0.2277,CL
48,2252.2745,35.3732,56.5042,31810.4271,464.3974,2978.529,400.5226,0.6791,CL
49,2285.861,35.248,56.5209,32969.3467,460.0578,2256.4012,447.5176,0.7064,CL
50,2325.0754,35.1023,56.5401,33925.6281,459.9749,12.5628,487.9497,0.8439,CL
51,2364.3769,34.957,56.5593,34000.0,456.8744,0.0,482.0,0.8355,CR
52,2403.3845,34.8122,56.578,34000.0,457.0242,0.0,108.995,0.1881,CR
53,2449.253,34.6397,56.6001,34000.0,459.29,0.0,323.2161,0.5575,CR
54,2483.8436,34.511,56.6165,34000.0,462.4263,0.0,205.8794,0.3537,CR
55,2518.8635,34.3777,56.6333,34000.0,462.2477,0.0,255.3769,0.439,CR
56,2555.8401,34.2397,56.6506,34000.0,460.0399,0.0,300.2513,0.5176,CR
57,2588.7855,34.115,56.6632,34000.0,459.3266,0.0,130.2513,0.2236,CR
58,2629.0115,33.9615,56.6718,34000.0,457.9102,0.0,0.0,0.0,CR
