,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,37.9023,55.4138,0.0,0.0,0.0,0.0,0.0,GND
1,166.1643,37.9023,55.4138,0.0,0.0,0.0,0.0,0.0,GND
2,337.2814,37.9024,55.4138,0.0,0.0,0.0,0.0,0.0,GND
3,521.5848,37.9024,55.4137,0.0,0.0,0.0,0.0,0.0,GND
4,701.9527,37.9024,55.4138,0.0,0.0,0.0,0.0,0.0,GND
5,888.1759,37.902,55.4138,0.0,0.0,0.0,0.0,0.0,GND
6,1029.9511,37.9024,55.4138,0.0,0.0,0.0,0.0,0.0,GND
7,1227.6058,37.9024,55.4138,0.0,0.0,0.0,0.0,0.0,GND
8,1396.0813,37.9024,55.4138,0.0,0.0,0.0,0.0,0.0,GND
9,1653.6526,37.9024,55.4138,0.0,0.0,0.0,0.0,0.0,GND
10,1833.6545,37.9024,55.4138,0.0,0.0,0.0,0.0,0.0,GND
11,1988.9076,37.9024,55.4138,0.0,0.0,0.0,0.0,0.0,GND
12,2201.0295,37.9022,55.4139,0.0,0.0,0.0,0.0,0.0,GND
13,2279.1967,37.9023,55.4138,0.0,0.0,0.0,0.0,0.0,GND
14,2390.8421,37.9024,55.4138,0.0,0.0,0.0,0.0,0.0,GND
15,2536.5276,37.9022,55.4138,0.0,0.4724,0.0,0.0,0.0,GND
16,2652.4495,37.9017,55.413,0.0,0.0,0.0,0.0,0.0,GND
17,2760.2738,37.9023,55.4125,0.0,0.0,0.0,0.0,0.0,GND
18,2835.7762,37.9032,55.4118,0.0,1.8995,0.0,0.0,0.0,GND
19,3031.0111,37.9045,55.4122,0.0,0.0,0.0,0.0,0.0,GND
20,3228.8445,37.8998,55.4095,0.0,0.0,0.0,0.0,0.0,GND
21,3275.7387,37.8961,55.4082,0.0,11.0,0.0,0.0,0.0,GND
22,3315.7313,37.8922,55.4079,0.0,3.392,0.0,0.0,0.0,GND
23,3357.636,37.8883,55.4107,0.0,18.608,0.0,0.0,0.0,GND
24,3453.3081,37.8805,55.4187,0.0,1.5578,0.0,0.0,0.0,GND
25,3576.9369,37.8776,55.4209,0.0,0.0,0.0,0.0,0.0,GND
26,3806.5599,37.8776,55.4209,0.0,0.0,0.0,0.0,0.0,GND
27,4086.6963,37.8776,55.4209,0.0,0.0,0.0,0.0,0.0,GND
28,4229.298,37.8743,55.4217,0.0,0.0,0.0,0.0,0.0,GND
29,4366.052,37.8904,55.4061,1853.5176,117.9822,3770.0692,0.0,0.0,CL
30,4449.5569,37.9289,55.3559,4276.3819,189.7001,1296.5732,10.392,0.0164,CL
31,4537.0728,37.9161,55.2698,7427.2613,249.9845,2442.4139,220.1106,0.3893,CL
32,4622.3769,37.8128,55.1872,11084.4221,278.2513,1378.6035,242.0,0.4805,CL
33,4706.4824,37.6215,55.2108,13258.0402,303.8392,1419.598,322.0,0.52,CL
34,4790.5864,37.4207,55.2539,14000.0,331.1543,0.0,279.799,0.4535,LVL
35,4878.6935,37.2006,55.3009,14842.3367,338.2312,1305.3922,350.0,0.572,CL
36,4961.3294,37.0495,55.4029,17125.0,356.4521,1055.1319,96.4121,0.1587,CL
37,5043.9045,36.9119,55.5161,18000.0,368.0,0.0,370.0,0.612,CR
38,5130.2329,36.7636,55.6374,19025.2513,373.1087,568.722,125.9196,0.2087,CL
39,5214.7932,36.6145,55.7583,21052.8894,384.0305,1757.3693,242.4623,0.4045,CL
40,5302.2211,36.4551,55.8866,23505.5276,388.0,2128.3809,398.0,0.6736,CL
41,5385.1243,36.3013,56.0093,25000.0,403.4783,585.0933,179.5377,0.306,CL
42,5471.4322,36.1268,56.1397,26760.804,406.0,1158.2234,417.0452,0.716,CL
43,5553.6915,35.867,56.1872,28537.8141,408.1228,1832.3951,218.3518,0.3772,CL
44,5636.6991,35.5935,56.227,30513.6935,411.993,1292.7306,197.1859,0.3455,CL
45,5723.7487,35.3042,56.2683,32004.1457,417.5829,582.9146,446.0,0.7863,CL
46,5810.4203,35.0104,56.3095,33109.5477,424.3163,-1047.3716,173.3869,0.3071,CL
47,5896.6382,34.7173,56.3498,35016.3317,404.8278,1869.8019,156.0302,0.2746,CL
48,5980.2472,34.4551,56.3852,36875.0,382.3745,155.7789,133.3467,0.238,CR
49,6063.1709,34.195,56.4197,37393.0905,388.0,361.809,435.4472,0.7749,CL
50,6144.0692,33.9419,56.4526,37975.0,390.1778,263.1339,105.1658,0.1872,CR
51,6225.2346,33.686,56.4854,38000.0,387.649,0.0,89.8291,0.1591,CR
52,6305.8291,33.431,56.5175,38000.0,385.0,0.0,432.0,0.768,CR
53,6386.9646,33.1784,56.5487,38000.0,382.9857,0.0,59.1558,0.1053,CR
54,6469.6985,32.9213,56.5799,38000.0,378.0,0.0,434.0,0.768,CR
55,6548.9837,32.6766,56.6089,38000.0,379.0162,0.0,403.7789,0.7178,CR
56,6627.386,32.4327,56.6375,38000.0,382.1013,0.0,13.1457,0.0233,CR
57,6700.0101,32.2045,56.6637,38000.0,379.0035,0.0,435.799,0.7681,CR
58,6770.0402,31.9867,56.6883,38000.0,378.0,0.0,434.0,0.768,CR
59,6834.202,31.7842,56.7108,38000.0,380.0261,0.0,404.9849,0.7175,CR
60,6907.063,31.5596,56.7353,38000.0,377.9922,0.0,386.0201,0.6831,CR
61,6972.4349,31.3547,56.7574,38000.0,378.1178,0.0,374.1709,0.6595,CR
62,7038.0848,31.1485,56.7785,38000.0,378.027,0.0,357.1256,0.6291,CR
63,7110.804,30.9202,56.7867,38000.0,377.3843,0.0,94.2111,0.1659,CR
64,7175.2513,30.7147,56.7927,38000.0,379.5025,0.0,436.0,0.773,CR
65,7240.6318,30.506,56.7922,38000.0,379.9338,0.0,124.8844,0.22,CR
66,7303.9295,30.3035,56.7916,38000.0,379.9371,0.0,140.2211,0.247,CR
67,7362.4976,30.1168,56.7907,38000.0,379.9403,0.0,155.5578,0.2754,CR
