,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-6.2488,53.4301,0.0,0.0,0.0,0.0,0.0,GND
1,57.8424,-6.2488,53.4297,0.0,1.4573,0.0,0.0,0.0,GND
2,109.0892,-6.2482,53.4294,0.0,1.0854,0.0,0.0,0.0,GND
3,168.454,-6.2476,53.4294,0.0,0.0,0.0,0.0,0.0,GND
4,353.2165,-6.2476,53.4294,0.0,0.0,0.0,0.0,0.0,GND
5,402.3785,-6.2506,53.4296,0.0,9.005,0.0,0.0,0.0,GND
6,450.4479,-6.2548,53.4285,0.0,0.0,0.0,0.0,0.0,GND
7,493.7752,-6.2537,53.4255,0.0,0.0,0.0,0.0,0.0,GND
8,533.4469,-6.2508,53.4216,0.0,3.9296,0.0,0.0,0.0,GND
9,575.5715,-6.2563,53.4206,0.0,42.392,0.0,0.0,0.0,GND
10,637.2087,-6.3242,53.4238,1814.3216,154.6202,2882.3493,0.0,0.0745,CL
11,690.5689,-6.386,53.4316,4000.3769,163.9927,970.5643,0.0,0.004,CL
12,751.3246,-6.3701,53.4886,5712.1859,250.3113,1714.0611,68.1709,0.1046,CL
13,808.1857,-6.3297,53.5603,7607.6633,310.8159,1838.8986,0.0,0.0,CL
14,858.402,-6.2904,53.6311,10110.0503,319.0,3465.148,351.598,0.544,CL
15,900.7862,-6.2577,53.6898,12264.4472,319.0185,2753.1537,316.0804,0.4909,CL
16,942.9749,-6.2244,53.7491,14207.2864,325.0,2687.5228,345.3166,0.5426,CL
17,989.0943,-6.1864,53.8167,15988.6935,340.563,1968.9988,220.7035,0.3482,CL
18,1032.0948,-6.1486,53.8836,17450.0,355.263,1768.8442,332.5427,0.5271,CL
19,1075.6884,-6.1098,53.9522,18892.2111,368.0,1653.5203,389.6884,0.6234,CL
20,1117.2021,-6.0865,54.0217,20271.608,370.3888,2412.9341,168.2915,0.2699,CL
21,1163.7627,-6.0651,54.1011,21540.0754,382.221,282.3986,124.2211,0.2002,CL
22,1212.6364,-6.0377,54.1885,22450.7538,405.4137,1486.9404,12.9648,0.021,CL
23,1253.9001,-5.9948,54.2631,23218.9698,418.8455,2951.0431,332.3518,0.5403,CL
24,1303.9497,-5.9405,54.3573,24061.5578,433.0,1073.1752,450.9749,0.7379,CL
25,1350.5322,-5.8904,54.4462,24966.206,439.9596,943.8065,99.397,0.1625,CL
26,1396.9776,-5.8363,54.5356,26048.6181,445.9903,3586.251,438.3518,0.7218,CL
27,1440.3292,-5.7445,54.6079,27000.5025,452.6367,1538.4392,0.0,0.0,CL
28,1485.4826,-5.6445,54.683,28205.1508,450.1767,1711.7404,276.2714,0.4616,CL
29,1530.4369,-5.5465,54.7562,29459.799,446.9613,1933.2585,398.1608,0.6711,CL
30,1574.5912,-5.4506,54.8274,30750.0,440.9924,237.4743,63.8794,0.1081,CL
31,1618.7026,-5.3553,54.8977,31864.6985,437.7964,1562.1203,186.2513,0.3165,CL
32,1659.0798,-5.2488,54.9541,32656.6583,454.152,444.5349,142.4623,0.2444,CL
33,1702.5007,-5.1123,55.0005,33776.1307,453.6569,1777.2938,20.2613,0.0349,CL
34,1744.4183,-4.9808,55.0441,34613.6935,451.4164,861.225,100.402,0.1737,CL
35,1786.5025,-4.846,55.0886,35237.5628,454.0,1126.8844,446.0,0.772,CL
36,1829.0398,-4.7131,55.1327,35925.0,454.142,922.6131,345.9799,0.5997,CL
37,1879.4072,-4.5539,55.1852,36748.995,453.284,614.2435,17.7688,0.0309,CL
38,1928.0653,-4.3968,55.2367,37025.0,461.6884,0.0,448.0,0.784,CR
39,1976.6951,-4.2401,55.2878,37000.0,462.3057,0.0,187.6884,0.327,CR
