,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-6.2464,53.4251,0.0,3.0,0.0,0.0,0.0,GND
1,88.0494,-6.2472,53.4242,0.0,0.6683,0.0,0.0,0.0,GND
2,138.6121,-6.2477,53.4247,0.0,0.3367,0.0,0.0,0.0,GND
3,205.2019,-6.2477,53.4247,0.0,0.0,0.0,0.0,0.0,GND
4,296.8649,-6.2474,53.4238,0.0,0.0,0.0,0.0,0.0,GND
5,345.9749,-6.2475,53.422,0.0,7.3417,0.0,0.0,0.0,GND
6,392.9684,-6.248,53.4213,0.0,0.9899,0.0,0.0,0.0,GND
7,465.6133,-6.2483,53.4211,0.0,1.608,0.0,0.0,0.0,GND
8,514.9543,-6.2502,53.4203,0.0,0.0,0.0,0.0,0.0,GND
9,582.9774,-6.2702,53.4214,649.2462,141.8567,1969.8492,0.0,0.0,CL
10,666.7734,-6.3678,53.4263,3863.3166,202.0237,2593.169,0.0,0.0,CL
11,734.1014,-6.4102,53.4814,7619.4724,283.773,3864.5575,0.0,0.0,CL
12,793.9397,-6.3612,53.5576,11522.4874,311.9397,2516.3067,307.598,0.4912,CL
13,857.3727,-6.3049,53.6484,14829.5226,341.6894,3397.3425,227.1859,0.3663,CL
14,916.0774,-6.2497,53.7371,18080.402,359.6551,2243.9595,222.5528,0.3628,CL
15,963.9329,-6.201,53.815,20395.603,377.0068,3859.286,352.9045,0.581,CL
16,1018.1367,-6.1451,53.904,22845.9799,390.9333,1818.9513,117.7085,0.1974,CL
17,1076.5284,-6.0607,54.0024,24675.0,445.5266,134.3683,147.6181,0.2489,CR
18,1128.4245,-5.9165,54.074,25000.0,470.8175,0.0,12.9045,0.0217,CR
19,1186.7444,-5.7492,54.155,25922.6131,480.1634,1073.397,301.7487,0.5113,CL
20,1236.0169,-5.6031,54.2247,27719.9749,483.3074,2543.1601,267.196,0.4559,CL
21,1287.9005,-5.4491,54.2982,29719.7236,482.0569,3167.6861,412.9447,0.7101,CL
