,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
1,124.4301,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
2,231.5808,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
3,350.2689,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
4,439.6163,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
5,580.804,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
6,749.9696,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
7,894.7007,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
8,1023.9567,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
9,1144.8233,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
10,1262.5352,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
11,1447.9725,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
12,1584.7723,-6.2462,53.4255,0.0,0.0,0.0,0.0,0.0,GND
13,1709.903,-6.2464,53.4253,0.0,1.6181,0.0,0.0,0.0,GND
14,1776.8496,-6.2467,53.4245,0.0,0.0754,0.0,0.0,0.0,GND
15,1839.2137,-6.2477,53.4246,0.0,0.2412,0.0,0.0,0.0,GND
16,1937.9475,-6.2477,53.4246,0.0,0.0,0.0,0.0,0.0,GND
17,2018.8262,-6.2476,53.4236,0.0,2.2864,0.0,0.0,0.0,GND
18,2074.6692,-6.2474,53.422,0.0,4.4472,0.0,0.0,0.0,GND
19,2131.2589,-6.2488,53.4208,0.0,8.9447,0.0,0.0,0.0,GND
20,2187.4699,-6.2564,53.4206,0.0,40.0251,0.0,0.0,0.0,GND
21,2260.8733,-6.3277,53.4244,2053.7688,122.1792,92.0763,0.0,0.1204,LVL
22,2337.6881,-6.4102,53.4238,3531.5327,169.0356,636.6291,0.0,0.2261,CL
23,2406.9138,-6.4702,53.4594,5943.2161,227.936,4622.7569,226.9447,0.353,CL
24,2477.6145,-6.3501,53.4963,7868.593,309.8838,4364.9353,229.5678,0.3549,CL
25,2544.87,-6.1876,53.4879,10590.201,331.8962,-1370.7464,124.6231,0.1946,DE
26,2604.7485,-6.0209,53.4803,12450.0,369.6302,572.8643,130.6131,0.2062,CL
27,2673.877,-5.8161,53.4706,15087.5628,386.844,5169.148,298.6332,0.4705,CL
28,2739.6997,-5.6183,53.4609,17432.5377,400.3749,1291.9463,18.794,0.0302,CL
29,2817.3164,-5.3704,53.4482,19950.0,418.1542,1983.9088,283.196,0.4578,CL
30,2884.0328,-5.1521,53.4368,21899.1206,431.3679,1840.5356,207.0352,0.3375,CL
31,2956.7162,-4.9029,53.429,23879.7739,444.8513,866.865,287.7789,0.4722,CL
