,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-6.2489,53.4285,0.0,2.0,0.0,100.0,0.152,GND
1,16.8945,-6.2493,53.4285,0.0,10.0,0.0,100.0,0.152,GND
2,36.8945,-6.2496,53.4285,0.0,2.0,0.0,100.0,0.152,GND
3,55.0251,-6.2498,53.4285,0.0,2.0,0.0,100.0,0.152,GND
4,75.5779,-6.2498,53.4286,0.0,2.0,0.0,100.0,0.152,GND
5,92.4724,-6.2497,53.4287,0.0,2.0,0.0,100.0,0.152,GND
6,112.0251,-6.2494,53.4287,0.0,9.0,0.0,100.0,0.152,GND
7,137.0653,-6.2492,53.4289,0.0,1.8693,0.0,100.0,0.152,GND
8,154.7337,-6.2493,53.4288,0.0,9.0,0.0,100.0,0.152,GND
9,172.5377,-6.2495,53.4287,0.0,2.0,0.0,100.0,0.152,GND
10,201.1809,-6.2495,53.4287,0.0,0.0,0.0,100.0,0.152,GND
11,229.799,-6.2495,53.4287,0.0,0.0,0.0,100.0,0.152,GND
12,254.6834,-6.2495,53.4287,0.0,0.0,0.0,100.0,0.152,GND
13,274.407,-6.2495,53.4287,0.0,0.0,0.0,100.0,0.152,GND
14,300.6533,-6.2495,53.4287,0.0,0.0,0.0,100.0,0.152,GND
15,330.9799,-6.2495,53.4287,0.0,0.0,0.0,100.0,0.152,GND
16,358.4673,-6.2498,53.4285,0.0,13.7337,0.0,100.0,0.152,GND
17,379.809,-6.2507,53.428,0.0,24.603,0.0,100.0,0.152,GND
18,403.0754,-6.2521,53.427,0.0,33.5226,0.0,100.0,0.152,GND
19,426.2462,-6.2538,53.4258,0.0,29.2513,0.0,100.0,0.152,GND
20,444.8894,-6.2532,53.4249,0.0,29.4724,0.0,100.0,0.152,GND
21,462.9799,-6.2525,53.424,0.0,22.0201,0.0,100.0,0.152,GND
22,488.8392,-6.2524,53.4237,0.0,2.0,0.0,100.0,0.152,GND
23,509.9296,-6.2522,53.4235,0.0,13.0,0.0,100.0,0.152,GND
24,527.8342,-6.2519,53.423,0.0,17.3668,0.0,100.0,0.152,GND
25,547.2714,-6.2515,53.4225,0.0,15.0905,0.0,100.0,0.152,GND
26,566.6985,-6.2512,53.4221,0.0,10.1156,0.0,100.0,0.152,GND
27,583.5377,-6.2511,53.422,0.0,0.0,0.0,100.0,0.152,GND
28,603.2613,-6.2511,53.422,0.0,0.0,0.0,100.0,0.152,GND
29,622.9548,-6.2511,53.4219,0.0,8.8945,0.0,100.0,0.152,GND
30,642.8342,-6.2508,53.4216,0.0,14.7085,0.0,100.0,0.152,GND
31,660.593,-6.2506,53.4213,0.0,1.1357,0.0,100.0,0.152,GND
32,680.7789,-6.2506,53.4213,0.0,0.0,0.0,100.0,0.152,GND
33,708.397,-6.2506,53.4213,0.0,0.0,0.0,100.0,0.152,GND
34,737.0151,-6.2506,53.4213,0.0,0.0,0.0,100.0,0.152,GND
35,760.6332,-6.2506,53.4213,0.0,0.0,0.0,100.0,0.152,GND
36,786.1508,-6.2506,53.4213,0.0,0.0,0.0,100.0,0.152,GND
37,808.0955,-6.2506,53.4213,0.0,0.0,0.0,100.0,0.152,GND
38,833.995,-6.2505,53.4211,0.0,16.4925,0.0,100.0,0.152,GND
39,854.5477,-6.2504,53.4204,0.0,23.5678,0.0,100.0,0.152,GND
40,874.8342,-6.2509,53.4203,0.0,0.0,0.0,100.0,0.152,GND
