,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-6.3743,53.4265,3000.0,0.0,-0.012,184.0,0.34,CL
1,44.598,-6.4842,53.4266,5413.6985,236.0854,2302.6185,184.0,0.4197,CL
2,69.8543,-6.5186,53.4073,6679.0201,248.5377,1804.7595,184.0,0.4233,CL
3,103.7688,-6.515,53.3599,8197.1005,308.5126,2855.061,276.5126,0.436,CL
4,123.7085,-6.4907,53.3296,9147.3166,314.0,3085.4874,280.0,0.4454,CL
5,140.1357,-6.4671,53.3045,9943.8844,314.8543,2856.0302,283.4171,0.4537,CL
6,156.5628,-6.4429,53.2806,10663.2563,316.0,1755.6784,288.0,0.4721,CL
7,175.5879,-6.4157,53.2532,10968.804,316.0,1350.9045,288.0,0.5048,CL
8,196.8342,-6.3868,53.2225,11625.6231,316.0,1834.5528,288.0,0.5187,CL
9,213.0754,-6.3635,53.1962,12275.3216,316.0,2337.5126,288.0,0.52,CL
10,235.2714,-6.3378,53.1656,12965.2462,316.0,2051.9311,288.0,0.5348,CL
11,258.5176,-6.308,53.1282,13915.9899,316.0,2656.3643,288.0,0.5438,CL
12,275.0754,-6.2881,53.1025,14522.2915,316.0,1621.7286,288.0,0.544,CL
13,295.3317,-6.264,53.0708,15141.3719,378.0,1664.3015,342.0,0.556,CL
14,310.7839,-6.2442,53.0448,15671.9648,378.0,2490.603,342.0,0.56,CL
15,332.2513,-6.2172,53.0091,16340.8744,390.0,1500.2261,346.0,0.5651,CL
16,352.1005,-6.1934,52.9778,16833.6834,393.6683,1782.191,348.201,0.568,CL
17,367.809,-6.1726,52.9504,17182.5377,408.0,1220.3518,354.0,0.576,CL
18,391.3769,-6.1459,52.9155,17675.005,417.2261,1021.2362,358.1508,0.5843,CL
19,408.8693,-6.1188,52.88,18195.5879,424.0,1609.9497,360.0,0.588,CL
20,429.1256,-6.0913,52.8442,18718.0201,426.0,2348.4422,360.0,0.596,CL
21,445.1759,-6.0685,52.8141,19165.8392,435.5276,1874.0201,364.7638,0.6,CL
22,462.397,-6.0461,52.7846,19590.6633,444.0,1196.3819,369.7588,0.604,CL
23,483.7889,-6.0163,52.7451,20173.6231,444.0,995.0879,370.0,0.612,CL
24,502.201,-5.9875,52.7068,20710.3668,444.0,2082.9648,370.0,0.6162,CL
25,522.5427,-5.9625,52.6734,21126.0503,460.0,1190.8686,378.0,0.624,CL
26,539.9899,-5.9337,52.6355,21575.1508,466.0,2212.9313,380.0,0.6329,CL
27,559.5327,-5.9044,52.5965,22124.5578,470.0,2132.6231,384.0,0.6372,CL
28,577.5678,-5.8789,52.5628,22665.0905,470.0,1522.7638,384.0,0.644,CL
29,596.4322,-5.8475,52.5219,23163.3668,476.0,1343.9196,388.0,0.644,CL
30,618.5025,-5.8131,52.4777,23569.6784,482.0,1373.3668,390.0,0.6543,CL
31,637.2412,-5.7843,52.4405,24049.3618,482.0,1465.5075,390.0,0.66,CL
32,653.4673,-5.7591,52.4074,24453.2312,482.0,2390.5025,390.0,0.664,CL
33,673.6382,-5.7272,52.3665,24897.6131,482.0,2025.8291,390.0,0.668,CL
34,694.5226,-5.6931,52.3244,25271.794,482.0,774.2714,390.0,0.672,CL
35,713.9196,-5.6595,52.2811,25747.3568,482.0,1966.3945,390.0,0.684,CL
36,734.3769,-5.6277,52.2413,26310.5528,482.0,1430.3518,390.0,0.688,CL
37,751.4824,-5.6002,52.206,26677.2764,482.0,1060.804,390.0,0.692,CL
