,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-6.2476,53.427,0.0,2.0,0.0,162.0,0.2,GND
1,18.5126,-6.2475,53.4271,0.0,3.196,0.0,162.0,0.2,GND
2,68.0503,-6.2474,53.4272,0.0,0.0,0.0,162.0,0.2,GND
3,133.0151,-6.2477,53.427,0.0,7.6884,0.0,162.0,0.2,GND
4,193.4673,-6.2488,53.4262,0.0,15.3668,0.0,162.0,0.2,GND
5,221.7085,-6.2488,53.4258,0.0,2.0,0.0,162.0,0.2,GND
6,260.0251,-6.2494,53.4254,0.0,15.0251,0.0,162.0,0.2,GND
7,277.1759,-6.2497,53.4251,0.0,13.0,0.0,162.0,0.2,GND
8,297.8342,-6.2496,53.4249,0.0,0.0,0.0,162.0,0.2,GND
9,337.3015,-6.2495,53.4249,0.0,0.0,0.0,162.0,0.2,GND
10,386.6281,-6.2495,53.4249,0.0,0.0,0.0,162.0,0.2,GND
11,421.5176,-6.2496,53.4249,0.0,0.0,0.0,162.0,0.2,GND
12,481.5025,-6.2495,53.4249,0.0,0.0,0.0,162.0,0.2,GND
13,512.1055,-6.2495,53.4249,0.0,0.0,0.0,162.0,0.2,GND
14,541.1357,-6.2496,53.4249,0.0,0.0,0.0,162.0,0.2,GND
15,589.6884,-6.2496,53.4249,0.0,0.0,0.0,162.0,0.2,GND
16,611.7337,-6.2495,53.4249,0.0,0.0,0.0,162.0,0.2,GND
17,650.5226,-6.2495,53.4249,0.0,1.809,0.0,162.0,0.2,GND
18,673.3015,-6.2494,53.4246,0.0,13.9246,0.0,162.0,0.2,GND
19,700.4925,-6.249,53.4242,0.0,13.5075,0.0,162.0,0.2,GND
20,719.0854,-6.2489,53.424,0.0,6.0804,0.0,162.0,0.2,GND
21,739.3518,-6.2488,53.4239,0.0,2.0,0.0,162.0,0.2,GND
22,761.7588,-6.2487,53.4238,0.0,0.0,0.0,162.0,0.2,GND
23,799.9447,-6.2487,53.4237,0.0,0.1407,0.0,162.0,0.2,GND
24,831.5025,-6.2487,53.4237,0.0,0.0,0.0,162.0,0.2,GND
25,857.3568,-6.2487,53.4237,0.0,0.0,0.0,162.0,0.2,GND
26,893.6533,-6.2487,53.4237,0.0,0.0,0.0,162.0,0.2,GND
27,928.8392,-6.2486,53.4235,0.0,15.6131,0.0,162.0,0.2,GND
28,954.9196,-6.2482,53.4231,0.0,10.0,0.0,162.0,0.2,GND
29,978.8191,-6.2481,53.423,0.0,0.0,0.0,162.0,0.2,GND
30,1008.6281,-6.2481,53.4229,0.0,11.3769,0.0,162.0,0.2,GND
31,1032.8894,-6.2479,53.4225,0.0,2.0,0.0,162.0,0.2,GND
32,1053.804,-6.2477,53.4223,0.0,5.7286,0.0,162.0,0.2,GND
33,1073.2764,-6.2476,53.4221,0.0,2.0,0.0,162.0,0.2,GND
34,1094.4271,-6.2475,53.4221,0.0,2.0,0.0,162.0,0.2,GND
35,1119.8794,-6.2475,53.422,0.0,2.0,0.0,162.0,0.2,GND
36,1145.1508,-6.2474,53.4218,0.0,2.0,0.0,162.0,0.2,GND
37,1164.9648,-6.2475,53.4217,0.0,12.3216,0.0,162.0,0.2,GND
38,1185.9548,-6.2477,53.4214,0.0,5.5528,0.0,162.0,0.2,GND
39,1205.9899,-6.2478,53.4214,0.0,0.0,0.0,162.0,0.2,GND
40,1240.3367,-6.2478,53.4214,0.0,0.0,0.0,162.0,0.2,GND
41,1267.0251,-6.2478,53.4214,0.0,0.0,0.0,162.0,0.2,GND
42,1294.7035,-6.248,53.4212,0.0,16.3518,0.0,162.0,0.2,GND
43,1319.0804,-6.2492,53.4206,0.0,29.0,0.0,162.0,0.2,GND
44,1340.5528,-6.2546,53.4205,0.0,74.7638,0.0,162.0,0.2,LVL
45,1362.6884,-6.2748,53.4216,0.0,158.4422,0.0,162.0,0.2,LVL
46,1413.0302,-6.3359,53.4238,1490.201,180.0452,1649.5693,162.0,0.3029,CL
47,1435.4523,-6.3725,53.4258,2269.598,213.4523,2018.0905,162.0,0.345,CL
48,1471.2161,-6.4302,53.4373,4226.005,235.608,3949.7487,162.0,0.3792,CL
49,1520.4874,-6.4166,53.4854,7133.6683,263.3719,4081.6583,162.0,0.3815,CL
50,1562.3417,-6.3234,53.4885,8017.8392,330.8844,2566.5829,309.4271,0.4843,CL
51,1590.4271,-6.2455,53.4845,9232.0352,351.0,4070.3518,332.0,0.516,CL
52,1647.4221,-6.0843,53.4781,12065.3266,371.7688,3502.9146,347.5377,0.5475,CL
53,1679.3317,-5.9957,53.4748,13741.5829,374.0553,3566.8342,354.0,0.5562,CL
54,1699.9045,-5.9323,53.4723,14697.6131,381.2261,2892.9648,358.4523,0.5689,CL
55,1742.4975,-5.8039,53.4667,16416.0804,397.7638,2418.2678,370.7638,0.5895,CL
56,1794.1106,-5.6468,53.4598,18766.9598,402.1357,2675.0419,380.0,0.612,CL
57,1832.1709,-5.5285,53.4545,19480.402,429.6935,670.8543,404.0,0.6579,CL
58,1882.9196,-5.3519,53.4463,20457.0352,461.005,1217.5005,445.0955,0.7222,CL
59,1905.0452,-5.2669,53.4422,21122.1106,467.3216,2171.1442,448.6432,0.7293,CL
60,1934.7688,-5.1578,53.437,21987.9397,472.005,4844.2211,456.5025,0.746,CL
