,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-6.2473,53.4256,0.0,3.0,0.0,0.0,0.0,GND
1,60.206,-6.2481,53.4252,0.0,2.0,0.0,0.0,0.0,GND
2,93.3379,-6.2481,53.4252,0.0,0.5879,0.0,0.0,0.0,GND
3,238.6181,-6.2481,53.4253,0.0,2.0,0.0,0.0,0.0,GND
4,278.8241,-6.2489,53.4257,0.0,6.0,0.0,0.0,0.0,GND
5,316.0302,-6.2491,53.4243,0.0,13.0,0.0,0.0,0.0,GND
6,346.2362,-6.248,53.4228,0.0,11.0,0.0,0.0,0.0,GND
7,375.9955,-6.2475,53.4221,0.0,0.4422,0.0,0.0,0.0,GND
8,492.6482,-6.2475,53.422,0.0,3.0,0.0,0.0,0.0,GND
9,527.8543,-6.2481,53.4212,0.0,5.0,0.0,0.0,0.0,GND
10,556.0603,-6.2482,53.4212,0.0,0.0,0.0,0.0,0.0,GND
11,605.0061,-6.2486,53.421,0.0,3.6683,0.0,0.0,0.0,GND
12,646.4724,-6.2528,53.4204,0.0,37.7236,0.0,0.0,0.0,GND
13,714.3568,-6.3164,53.4254,1658.9196,132.0,2464.8241,0.0,0.244,CL
14,771.7688,-6.3759,53.4311,2925.0,161.6533,0.0,180.0,0.2835,LVL
15,839.5025,-6.4884,53.4412,4729.5226,248.0648,3559.9076,24.2412,0.0369,CL
16,891.2965,-6.5717,53.4715,7664.8241,271.2965,4030.1511,276.0,0.428,CL
17,945.2577,-6.5397,53.5361,10175.1256,326.6047,1838.0883,144.7236,0.2251,CL
18,1018.8009,-6.3368,53.5304,12859.4221,377.036,3682.0908,100.8442,0.1586,CL
19,1099.7751,-6.0951,53.512,16551.5075,399.0555,2677.5118,0.0,0.0,CL
20,1161.1206,-5.8979,53.4968,18878.0151,422.0,3059.3889,390.2412,0.628,CL
21,1232.1165,-5.6658,53.4785,21699.4975,433.4984,2623.3629,131.9598,0.2143,CL
22,1301.2116,-5.4293,53.4592,24014.9497,450.6354,1420.8565,221.5879,0.3665,CL
23,1376.2017,-5.1684,53.4379,26548.8693,455.3011,1640.4135,317.6382,0.5319,CL
24,1474.8623,-4.815,53.43,29370.8543,463.0709,1808.199,415.6784,0.7029,CL
25,1561.7869,-4.5021,53.4104,31418.8442,472.3141,1239.1164,68.1407,0.117,CL
26,1676.1008,-4.0799,53.3852,33333.9196,489.3543,382.8154,166.2613,0.2869,CL
27,1784.2468,-3.6727,53.3594,35217.2111,491.421,634.4347,201.9799,0.348,CL
28,1926.2825,-3.1385,53.3236,37484.5477,484.6158,1397.7738,356.7437,0.6274,CL
29,2056.3584,-2.6692,53.29,38999.3719,474.3799,424.4736,11.3065,0.02,CL
30,2150.5624,-2.324,53.2641,39025.0,477.124,0.0,371.8693,0.6586,CR
31,2297.8163,-1.7847,53.2216,39000.0,485.0958,0.0,176.4422,0.3111,CR
32,2430.6607,-1.2933,53.1807,39010.1759,483.2516,260.7539,268.0201,0.4744,CR
33,2570.1252,-0.7776,53.1354,39000.0,486.0512,0.0,362.7437,0.6424,CR
34,2695.0295,-0.3211,53.0934,39000.0,483.6137,0.0,0.0,0.0,CR
35,2841.2879,0.2143,53.0419,39000.0,483.0377,0.0,358.1809,0.0,CR
36,3047.2163,0.9707,52.9646,39000.0,491.0371,0.0,264.6432,0.471,CR
37,3179.3644,1.4561,52.9123,39000.0,488.7547,0.0,0.0,0.0,CR
38,3275.9303,1.8105,52.8729,39000.0,488.1927,0.0,77.5678,0.1374,CR
39,3410.0352,2.3017,52.8163,39000.0,493.0,0.0,454.0,0.804,CR
40,3512.4451,2.6637,52.7502,39000.0,479.5032,0.0,110.4724,0.1959,CR
41,3709.0945,3.2827,52.5341,39000.0,478.7842,0.0,0.0,0.0,CR
42,3825.5102,3.6475,52.4047,39000.0,476.3834,0.0,159.4975,0.2815,CR
43,3917.7186,3.9321,52.3026,39000.0,469.0,0.0,463.7186,0.8194,CR
44,4026.196,4.2571,52.1846,39000.0,460.0,0.0,452.0,0.8,CR
45,4194.2714,4.7565,52.0,39000.0,464.0,0.0,454.0,0.804,CR
46,4320.8643,5.1332,51.8584,39000.0,469.0,0.0,453.0452,0.804,CR
47,4411.6834,5.4048,51.755,39000.0,470.0,0.0,454.0,0.804,CR
48,4527.8022,5.7521,51.6212,39000.0,474.9568,0.0,405.5879,0.7222,CR
49,4617.8196,6.0186,51.5172,39000.0,474.3524,0.0,43.3467,0.0768,CR
50,4843.6931,6.6852,51.2525,39000.0,468.6262,0.0,137.4874,0.2436,CR
51,4989.0151,7.1071,51.0814,39000.0,472.0,0.0,454.0,0.804,CR
52,5146.7136,7.5633,50.8931,39000.0,475.0,0.0,452.0,0.8011,CR
53,5267.5176,7.9148,50.7458,39000.0,478.0,0.0,456.0,0.808,CR
54,5391.1256,8.2665,50.5966,39000.0,468.0,0.0,454.0,0.804,CR
55,5472.3317,8.4963,50.4979,39000.0,469.0,0.0,454.0,0.804,CR
56,5550.0376,8.7329,50.4292,39000.0,466.9564,0.0,210.8141,0.3735,CR
57,5633.6556,8.9984,50.3685,39000.0,464.4102,0.0,339.1357,0.5979,CR
58,5709.8492,9.2376,50.3118,39000.0,461.0,0.0,454.0,0.804,CR
59,5792.9347,9.4975,50.2494,39000.0,460.0,0.0,454.0,0.804,CR
60,5891.809,9.8038,50.1749,39000.0,461.0,0.0,456.0,0.808,CR
61,6033.2506,10.237,50.0679,39000.0,457.6782,0.0,260.0704,0.4611,CR
62,6179.9748,10.684,49.9553,39000.0,457.7043,0.0,102.6633,0.1818,CR
63,6290.8904,11.021,49.8689,39000.0,456.0075,0.0,442.9146,0.7839,CR
64,6475.3015,11.5786,49.723,39000.0,452.8141,0.0,452.3719,0.804,CR
65,6712.1118,12.2803,49.5344,39000.0,449.608,0.0,177.9497,0.3151,CR
66,6802.2476,12.5445,49.4618,39000.0,448.6782,0.0,183.3166,0.3264,CR
67,6937.8241,12.9385,49.3521,39000.0,442.196,0.0,454.392,0.808,CR
68,7127.1206,13.4788,49.1988,39000.0,445.0101,0.0,4.5628,0.0081,CR
69,7285.4083,13.9322,49.0673,39000.0,443.5506,0.0,0.0,0.0,CR
70,7379.0544,14.1627,48.9422,39000.0,455.2082,0.0,262.3618,0.4646,CR
71,7510.6281,14.477,48.7594,39000.0,455.0,0.0,452.7437,0.804,CR
72,7673.8392,14.8648,48.5318,39000.0,452.0,0.0,452.0,0.8033,CR
73,7773.2412,15.097,48.3936,39000.0,456.0,0.0,454.0,0.804,CR
74,7868.6311,15.3231,48.258,39000.0,457.9779,0.0,342.2111,0.609,CR
75,7966.2878,15.5497,48.121,39000.0,456.2307,0.0,0.0,0.0,CR
76,8047.9749,15.7404,48.0048,39000.0,458.0,0.0,452.0,0.804,CR
77,8181.6432,16.0538,47.812,39000.0,460.1357,0.0,452.0,0.804,CR
78,8341.1209,16.4213,47.5829,39000.0,459.0625,0.0,420.201,0.7474,CR
79,8441.7123,16.6517,47.4374,39000.0,458.5318,0.0,0.0,0.0,CR
