,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-6.2496,53.4287,0.0,0.0,0.0,316.0,0.12,GND
1,17.0955,-6.2496,53.4287,0.0,0.0,0.0,316.0,0.12,GND
2,51.8291,-6.2496,53.4287,0.0,0.0,0.0,316.0,0.12,GND
3,65.2864,-6.2496,53.4286,0.0,4.1156,0.0,316.0,0.12,GND
4,82.8291,-6.25,53.4284,0.0,19.5528,0.0,316.0,0.12,GND
5,95.0955,-6.2506,53.428,0.0,29.2864,0.0,316.0,0.12,GND
6,105.402,-6.2515,53.4274,0.0,16.8291,0.0,316.0,0.12,GND
7,117.1357,-6.2525,53.4268,0.0,16.2663,0.0,316.0,0.12,GND
8,126.3166,-6.2534,53.4262,0.0,23.1859,0.0,316.0,0.12,GND
9,138.2312,-6.2537,53.4257,0.0,30.7437,0.0,316.0,0.12,GND
10,149.1457,-6.2533,53.425,0.0,15.191,0.0,316.0,0.12,GND
11,159.0402,-6.2527,53.4242,0.0,16.9899,0.0,316.0,0.12,GND
12,170.4874,-6.2522,53.4235,0.0,30.5126,0.0,316.0,0.12,GND
13,181.9447,-6.2518,53.423,0.0,21.7035,0.0,316.0,0.12,GND
14,193.402,-6.2516,53.4227,0.0,13.9347,0.0,316.0,0.12,GND
15,205.1457,-6.2514,53.4224,0.0,11.8543,0.0,316.0,0.12,GND
16,273.0553,-6.2514,53.4224,0.0,0.2111,0.0,316.0,0.12,GND
17,291.6985,-6.2513,53.4222,0.0,13.7739,0.0,316.0,0.12,GND
18,302.4874,-6.2511,53.4219,0.0,19.7437,0.0,316.0,0.12,GND
19,313.3769,-6.2508,53.4216,0.0,19.6231,0.0,316.0,0.12,GND
20,335.7638,-6.2507,53.4214,0.0,0.0,0.0,316.0,0.12,GND
21,343.407,-6.2507,53.4214,0.0,0.0,0.0,316.0,0.12,GND
22,363.1005,-6.2507,53.4214,0.0,0.0,0.0,316.0,0.12,GND
23,377.196,-6.2506,53.4214,0.0,0.0,0.0,316.0,0.12,GND
24,416.6332,-6.2506,53.4214,0.0,6.608,0.0,316.0,0.12,GND
25,429.8643,-6.2505,53.4212,0.0,16.4322,0.0,316.0,0.12,GND
26,440.6683,-6.2503,53.4208,0.0,21.0,0.0,316.0,0.12,GND
27,451.0402,-6.25,53.4205,0.0,16.8844,0.0,316.0,0.12,GND
28,473.608,-6.2507,53.4203,0.0,2.7839,0.0,316.0,0.12,GND
29,483.2613,-6.2508,53.4203,0.0,11.3065,0.0,316.0,0.12,LVL
30,493.4372,-6.2527,53.4204,0.0,42.6131,0.0,316.0,0.12,LVL
31,505.9598,-6.2598,53.4208,0.0,98.3116,0.0,316.0,0.12,LVL
32,519.5327,-6.2727,53.4215,153.0151,137.1106,765.0754,316.0,0.12,LVL
33,540.0905,-6.2966,53.4231,1204.5226,142.9698,3000.0,316.0,0.2359,CL
34,557.3417,-6.3146,53.424,1818.4673,147.794,2008.4513,316.0,0.249,CL
35,571.005,-6.3301,53.4243,2200.1256,160.6734,1665.8291,316.0,0.2827,CL
36,590.9749,-6.3576,53.4253,2786.5578,187.4121,1865.5779,316.0,0.336,CL
37,603.9196,-6.3749,53.4266,3213.3166,203.9196,2066.5829,316.0,0.364,CL
38,627.6281,-6.4133,53.4295,4706.5327,209.0,3656.3173,316.0,0.3795,CL
39,651.1709,-6.455,53.4359,6158.5427,229.005,3066.3317,316.0,0.3873,CL
40,663.5276,-6.4725,53.444,6814.5729,243.2915,4145.7286,316.0,0.3951,CL
41,678.8291,-6.4869,53.4589,7764.3216,257.4975,3854.2714,258.8342,0.4017,CL
42,701.2462,-6.4846,53.4861,8961.809,286.2864,4531.7894,269.2362,0.4257,CL
43,724.6633,-6.456,53.5136,9741.5829,332.4422,1500.0,294.2111,0.4738,CL
44,784.1206,-6.2945,53.5124,11907.0352,377.0402,3020.1005,346.0804,0.5442,CL
45,810.5779,-6.217,53.5068,13400.3769,377.0,3479.8995,352.0,0.5526,CL
46,822.7136,-6.1829,53.5047,13959.799,379.6784,2236.809,353.3568,0.5587,CL
47,844.4925,-6.1139,53.5003,14874.6231,389.4975,3000.0,362.0,0.572,CL
48,857.2663,-6.0793,53.4981,15364.5729,392.3166,3156.407,364.0,0.576,CL
49,872.5427,-6.034,53.4953,15962.3116,397.1357,2226.5793,368.2714,0.588,CL
50,882.9095,-6.0007,53.4932,16444.3467,399.0,3648.2412,370.0,0.588,CL
51,897.9648,-5.9527,53.4902,17095.8543,402.5477,2653.6851,373.5477,0.5951,CL
52,911.5578,-5.9129,53.4877,17598.2412,405.593,2215.0754,377.1859,0.5991,CL
53,921.8844,-5.8787,53.4855,18053.0151,407.4121,3087.7602,378.0,0.604,CL
54,938.4623,-5.8276,53.4822,18623.1156,412.4623,2011.486,382.0,0.6129,CL
55,948.201,-5.7928,53.4799,19031.2814,416.0,2373.6181,386.1005,0.6202,CL
56,966.608,-5.7343,53.476,19808.6683,416.8693,2532.6633,388.0,0.628,CL
57,978.0653,-5.6978,53.4736,20236.0553,418.6884,2655.7789,390.0,0.632,CL
58,998.5226,-5.6334,53.4694,20888.0653,424.0,1670.4677,394.0,0.64,CL
59,1009.9799,-5.5941,53.4667,21224.4975,428.3266,1904.0201,396.6533,0.6453,CL
60,1025.2915,-5.5456,53.4635,21689.5729,432.0,1974.8744,400.0,0.652,CL
61,1035.8945,-5.5073,53.4609,22071.4824,434.0,2000.0,401.9296,0.6559,CL
62,1053.6231,-5.4475,53.4568,22604.7739,437.5678,1908.2686,404.0,0.6631,CL
63,1067.0151,-5.4046,53.4538,22990.4523,441.206,1680.9045,406.0,0.6664,CL
64,1089.1106,-5.3281,53.4484,23613.3166,446.8442,1734.9874,410.0,0.676,CL
65,1100.9648,-5.2879,53.4456,23930.1508,450.4824,1590.4523,412.4824,0.677,CL
66,1121.1809,-5.2184,53.4407,24479.5226,455.0,1608.4267,416.1206,0.688,CL
67,1132.2764,-5.1808,53.4383,24847.8643,455.0,2219.8492,418.0,0.6885,CL
68,1142.191,-5.1421,53.4365,25349.6231,450.603,3103.0151,412.603,0.6852,CL
69,1161.0704,-5.0777,53.4345,26264.6985,443.4824,3141.3317,404.0,0.676,CL
70,1172.3467,-5.0391,53.4333,26708.6683,442.0,2494.9749,402.0,0.6747,CL
71,1203.4271,-4.934,53.4299,27780.7789,442.4422,2482.6405,405.0653,0.6754,CL
72,1231.8744,-4.8406,53.4268,28823.1156,432.0,915.0754,401.8492,0.672,CL
73,1264.3518,-4.7338,53.4233,29000.0,420.4121,0.0,388.0,0.6528,CR
74,1281.0352,-4.6756,53.4213,29000.0,417.1608,0.0,384.7739,0.6495,CR
75,1297.593,-4.6249,53.4196,29000.0,415.5678,0.0,382.0,0.648,CR
76,1326.7538,-4.5343,53.4164,29000.0,415.0,0.0,382.0,0.648,CR
77,1337.8442,-4.4963,53.4151,29000.0,416.0,0.0,384.0,0.6483,CR
78,1355.6683,-4.4415,53.4131,29000.0,416.0,0.0,384.0,0.6484,CR
79,1366.4171,-4.4035,53.4118,29000.0,416.0,0.0,384.0,0.6492,CR
80,1385.5829,-4.3402,53.4094,29000.0,416.0,0.0,384.0,0.6499,CR
81,1398.0402,-4.3019,53.408,29000.0,417.0,0.0,383.3065,0.648,CR
82,1420.4975,-4.2284,53.4052,29000.0,418.0,0.0,384.0,0.652,CR
83,1432.9095,-4.1892,53.4038,29000.0,418.0,0.0,384.0,0.652,CR
84,1450.608,-4.1336,53.4016,29025.0,419.0,0.0,386.0,0.652,CR
85,1467.1156,-4.0796,53.3996,29025.0,419.0,0.0,385.2462,0.652,CR
86,1509.2111,-3.9435,53.3941,29025.0,420.0,0.0,386.0,0.6538,CR
87,1522.8291,-3.8975,53.3922,29025.0,420.0,0.0,386.0,0.652,CR
88,1542.4824,-3.8337,53.3896,29025.0,420.0,0.0,384.0,0.652,CR
89,1556.4975,-3.7893,53.3877,29000.0,420.0,-37.6884,384.0,0.652,CR
90,1581.3116,-3.7109,53.3831,29000.0,421.0,0.0,384.0,0.652,CR
91,1607.3769,-3.6258,53.3722,29000.0,423.0,0.0,384.9246,0.652,CR
92,1635.4271,-3.5416,53.3549,29016.0804,424.0,-133.794,385.2864,0.652,CR
93,1650.8141,-3.494,53.3428,29000.0,424.0,0.0,384.3518,0.652,CR
94,1672.9799,-3.4247,53.325,29024.8744,423.005,373.1156,384.0,0.652,CR
95,1703.8844,-3.3358,53.3021,29000.0,422.0,0.0,384.0,0.652,CR
96,1733.1658,-3.2463,53.2789,29000.0,421.0,0.0,384.0,0.652,CR
97,1752.2362,-3.1899,53.2643,29000.0,420.0,0.0,384.0,0.6502,CR
98,1776.4271,-3.1183,53.2457,28993.2161,420.0,-20.3518,383.4573,0.648,CR
99,1802.5427,-3.0411,53.2255,28975.0,420.0,0.0,382.0,0.648,CR
100,1825.7337,-2.9708,53.2071,28975.0,420.0,0.0,382.0,0.648,CR
101,1840.6432,-2.9262,53.1954,28975.0,420.0,0.0,383.4573,0.648,CR
102,1865.2864,-2.8539,53.1763,28988.6935,420.0,136.9347,382.9045,0.652,CR
103,1888.8342,-2.785,53.1581,29000.0,420.3668,0.0,382.0,0.648,CR
104,1902.3015,-2.7444,53.1473,29000.0,421.0,0.0,382.3719,0.6487,CR
105,1922.0251,-2.6853,53.1316,29000.0,422.0,0.0,384.0,0.652,CR
106,1936.9447,-2.6433,53.1204,29000.0,421.1759,0.0,384.0,0.652,CR
107,1973.4372,-2.5346,53.0913,29025.0,421.0,0.0,384.0,0.652,CR
108,1994.8492,-2.4708,53.0743,29025.0,421.0,0.0,386.0,0.6538,CR
109,2020.407,-2.3994,53.0547,29025.0,420.7186,0.0,386.0,0.656,CR
110,2035.005,-2.3576,53.0401,29027.5126,419.8995,15.0754,385.799,0.6556,CR
111,2052.598,-2.3114,53.0187,29027.0101,418.0,-275.8794,384.0,0.652,CR
112,2074.8191,-2.2643,52.9879,29006.5327,416.2613,-69.2525,382.5226,0.649,CR
113,2090.3467,-2.2344,52.9626,29000.0,414.5578,0.0,382.0,0.648,CR
114,2109.0151,-2.2031,52.9328,29000.0,413.3769,0.0,384.0,0.652,CR
115,2125.1558,-2.1758,52.9077,29000.0,413.804,0.0,384.0,0.652,CR
116,2143.0905,-2.1425,52.8783,29000.0,412.9849,0.0,382.0,0.648,CR
117,2172.3367,-2.0916,52.833,28975.0,411.0,-12.4372,380.3317,0.648,DE
118,2200.9598,-2.0408,52.7875,28609.6734,411.6533,-1618.593,378.0,0.64,DE
119,2231.8342,-1.9873,52.7392,27690.9548,409.5276,-1506.8765,377.0553,0.6379,DE
120,2260.7487,-1.9373,52.6937,26791.7085,407.0,-1964.5729,372.0,0.624,DE
121,2295.5528,-1.8784,52.6405,25755.6533,403.0,-1833.1658,368.0,0.612,DE
122,2308.7889,-1.8548,52.619,25382.0352,402.0,-1947.2362,368.0,0.6083,DE
123,2329.4925,-1.8205,52.5878,24887.6884,397.2513,-1500.0,364.0,0.6,DE
124,2346.6784,-1.7926,52.5624,24433.0402,393.8643,-1500.0,360.8643,0.596,DE
125,2362.9347,-1.765,52.5373,24061.3065,390.6131,-1200.0,359.2261,0.5945,DE
126,2386.4422,-1.7264,52.5024,23524.2462,384.5879,-1411.7014,355.5879,0.584,DE
127,2401.3769,-1.7029,52.4809,23189.9497,380.9497,-1210.0503,353.9497,0.58,DE
128,2425.2211,-1.6637,52.4454,22590.5779,376.3116,-1246.7337,352.0,0.5766,DE
129,2446.2864,-1.6308,52.4154,22092.8392,372.0101,-1415.8291,347.3467,0.5667,DE
130,2463.8945,-1.6031,52.3901,21602.6382,371.0,-1655.2764,346.0,0.564,DE
131,2488.206,-1.5659,52.3559,21044.8492,365.397,-1290.4523,344.0,0.5588,DE
132,2502.206,-1.5437,52.3355,20744.8492,360.7588,-1236.1809,340.0,0.556,DE
133,2521.6985,-1.5157,52.3092,20282.5377,358.0,-1484.9246,338.1206,0.5482,DE
134,2536.3116,-1.4948,52.2898,19936.1809,354.2412,-1337.4013,336.9648,0.544,DE
135,2555.4673,-1.4661,52.2629,19377.7638,353.0,-1608.794,334.0,0.54,DE
136,2569.3819,-1.4457,52.2437,19025.3769,351.603,-1400.7538,333.206,0.5344,DE
137,2593.0804,-1.4113,52.2115,18417.5879,348.7839,-1564.8241,329.5678,0.528,DE
138,2613.1407,-1.3828,52.1852,17844.7236,347.0,-1815.8291,326.0,0.5239,DE
139,2627.4171,-1.3617,52.1659,17400.5025,347.0,-2429.8277,324.0,0.52,DE
140,2656.6935,-1.3187,52.1273,16515.8291,346.3266,-1845.8363,322.0,0.516,DE
141,2697.0704,-1.2573,52.0782,15647.1106,337.0905,-1095.9686,317.0754,0.5041,DE
142,2742.2312,-1.1855,52.023,14602.0101,324.196,-1476.6332,309.3769,0.4908,DE
143,2766.6533,-1.1486,51.9949,14002.1357,316.8693,-1839.196,306.0,0.484,DE
144,2799.7437,-1.0988,51.9572,13060.1759,316.9497,-1670.9548,302.201,0.4884,DE
145,2814.8442,-1.074,51.9384,12603.8945,316.2312,-1569.3467,302.0,0.476,DE
146,2846.5276,-1.0291,51.9043,12166.206,307.4121,-1082.4121,297.1759,0.468,DE
147,2875.0352,-0.9753,51.8775,11434.2965,307.0,-1733.6683,293.1859,0.46,DE
148,2892.2613,-0.9444,51.8666,11026.5075,306.2261,-2066.0804,292.4523,0.46,DE
149,2910.2261,-0.9067,51.8533,10543.2161,304.9548,-940.7035,290.0,0.4558,DE
150,2932.9648,-0.8598,51.8367,9950.8794,303.0,-1500.0,290.0,0.452,DE
151,2948.4171,-0.8289,51.8257,9606.6583,300.6332,-1389.9497,288.0,0.4493,DE
152,2972.5126,-0.7824,51.8092,9062.1859,299.4975,-1350.7538,285.005,0.444,DE
153,2990.1457,-0.7496,51.7975,8793.7186,293.4271,-821.608,277.4271,0.4321,DE
154,3011.7035,-0.7085,51.7829,8542.9648,275.5779,-857.7889,267.1558,0.412,DE
155,3030.598,-0.6769,51.7716,8378.0151,266.201,-456.0302,250.402,0.3925,DE
156,3044.8945,-0.6496,51.7619,8191.5829,263.4422,-833.6683,246.0,0.3809,DE
157,3068.9899,-0.6101,51.7478,8025.0,255.598,-160.804,242.0,0.376,LVL
158,3083.0854,-0.5873,51.7397,8000.0,255.1658,-174.8744,242.0,0.376,LVL
159,3107.1809,-0.5481,51.7238,7980.9045,247.4724,-0.7538,240.0,0.372,LVL
160,3121.8291,-0.5347,51.7095,8000.0,244.5025,0.0,240.0,0.376,LVL
161,3145.3719,-0.5237,51.6849,8000.0,236.0,0.0,239.7487,0.376,LVL
162,3174.4673,-0.5098,51.6527,8000.0,234.3065,0.0,240.0,0.372,LVL
163,3208.5628,-0.4936,51.6155,8000.0,233.5126,0.0,238.0,0.372,LVL
164,3229.2915,-0.4839,51.593,8000.0,235.0,0.0,240.0,0.3733,LVL
165,3256.7538,-0.471,51.5631,8000.0,233.8492,0.0,241.6985,0.3754,LVL
166,3270.8492,-0.4643,51.548,8000.0,233.9698,0.0,238.0603,0.372,LVL
167,3284.9447,-0.4568,51.5333,8000.0,236.5779,0.0,240.0,0.376,LVL
168,3309.6482,-0.425,51.5154,8000.0,253.392,0.0,238.7839,0.372,DE
169,3339.1357,-0.3709,51.5209,7964.3216,251.2814,-171.1055,238.0,0.3703,DE
170,3356.9246,-0.3441,51.5338,7689.196,247.9698,-1236.9347,236.0,0.368,DE
171,3383.3266,-0.3055,51.5535,7121.7337,255.0653,-1441.206,236.0,0.368,DE
172,3407.4221,-0.2707,51.5709,7002.8894,255.3467,-288.4422,240.0,0.372,DE
173,3420.8141,-0.2495,51.577,7000.0,260.0,0.0,238.593,0.372,DE
174,3445.6131,-0.1994,51.5776,6859.6734,253.0,-1141.9598,232.0,0.36,DE
175,3469.7085,-0.1537,51.5766,6390.8291,253.6583,-1134.1709,232.6332,0.3626,DE
176,3483.804,-0.1278,51.5762,6083.9196,254.1608,-1451.7588,232.0,0.3606,DE
177,3502.8995,-0.0911,51.5758,5751.5075,253.0402,-903.0151,232.0,0.36,DE
178,3516.995,-0.0649,51.5745,5470.1005,250.201,-1260.3015,228.0,0.356,DE
179,3536.0905,-0.0355,51.5638,5294.0955,225.1457,-542.7136,214.2915,0.3311,DE
180,3554.5578,-0.0254,51.5481,5192.2111,199.8141,-300.0,202.7538,0.3153,DE
181,3574.2814,-0.0214,51.5313,5068.593,192.0,-300.0,196.0,0.304,DE
182,3594.5075,-0.0189,51.5133,4858.0402,177.7186,-605.6533,192.0,0.2997,DE
183,3626.9447,-0.0437,51.494,4557.9146,165.7889,-434.1709,192.0,0.292,DE
184,3641.5678,-0.0601,51.4888,4439.3216,166.0,-535.5528,192.0,0.2931,DE
185,3666.6633,-0.0878,51.4805,4171.7337,166.0,-872.8643,192.0,0.296,DE
186,3696.7588,-0.1209,51.4707,3773.6181,163.0,-779.6123,192.0,0.2906,DE
187,3712.5879,-0.1368,51.4677,3603.0151,164.5126,-134.2426,192.0,0.2887,DE
188,3764.7487,-0.2054,51.4654,2779.0201,164.0402,-962.4121,192.0,0.2801,DE
189,3799.0452,-0.2451,51.4654,2234.5477,156.5729,-668.7437,192.0,0.2688,DE
190,3819.4221,-0.268,51.4654,1967.9648,149.6281,-851.2563,192.0,0.2585,DE
191,3850.4975,-0.3019,51.4653,1549.3719,144.1055,-770.0344,192.0,0.2502,DE
192,3937.593,-0.3851,51.4651,565.0754,118.5327,-606.2956,192.0,0.2,DE
193,3965.5126,-0.4097,51.465,268.593,121.0,-456.0302,192.0,0.1997,DE
194,4055.407,-0.4637,51.4659,16.7085,37.7839,-153.2663,192.0,0.196,GND
195,4115.196,-0.4747,51.4666,0.0,22.1709,0.0,192.0,0.196,GND
196,4153.8844,-0.4811,51.4665,0.0,23.0,0.0,192.0,0.196,GND
197,4219.0854,-0.4875,51.4678,0.0,25.0,0.0,192.0,0.196,GND
198,4271.2161,-0.4884,51.4688,0.0,10.191,0.0,192.0,0.196,GND
199,4331.0,-0.4886,51.4692,0.0,2.0,0.0,192.0,0.196,NA
