,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-6.2483,53.4311,0.0,10.0,0.0981,0.0,0.0,GND
1,317.5226,-6.2521,53.4321,0.0,27.0955,0.0,0.0,0.0,GND
2,344.6633,-6.2541,53.4318,0.0,24.191,0.0,0.0,0.0,GND
3,369.1407,-6.2547,53.4311,0.0,24.7136,0.0,0.0,0.0,GND
4,410.4724,-6.2536,53.4296,0.0,20.0,0.0,0.0,0.0,GND
5,497.1357,-6.2528,53.4285,0.0,7.8392,0.0,0.0,0.0,GND
6,530.2814,-6.2515,53.4272,0.0,28.0,0.0,0.0,0.0,GND
7,557.6633,-6.2504,53.4261,0.0,28.0,0.0,0.0,0.0,GND
8,585.9447,-6.2493,53.4246,0.0,29.5276,0.0,0.0,0.0,GND
9,616.5628,-6.2482,53.4231,0.0,20.8593,0.0,0.0,0.0,GND
10,697.4523,-6.2478,53.4226,0.0,0.0,0.0,0.0,0.0,GND
11,738.8492,-6.2475,53.4217,0.0,9.1508,0.0,0.0,0.0,GND
12,775.9799,-6.2475,53.4217,0.0,0.0,0.0,0.0,0.0,GND
13,808.0704,-6.2476,53.4215,0.0,8.0704,0.0,0.0,0.0,GND
14,834.9899,-6.2481,53.4212,0.0,4.3568,0.0,0.0,0.0,GND
15,861.7035,-6.2482,53.4212,0.0,0.0,0.0,0.0,0.0,GND
16,895.4724,-6.2487,53.4209,0.0,23.4724,0.0,0.0,0.0,GND
17,930.1307,-6.2507,53.4203,0.0,27.2613,0.0,0.0,0.0,GND
18,968.8442,-6.2762,53.4216,0.0,142.4372,0.0,0.0,0.236,CL
19,1008.4171,-6.3162,53.424,1460.4271,142.4623,1805.2764,0.0,0.2442,CL
20,1050.4523,-6.372,53.4272,2868.0905,187.0,2536.4322,0.0,0.32,CL
21,1087.9849,-6.4337,53.4303,4449.1206,221.9799,3496.2312,0.0,0.36,CL
22,1166.3869,-6.4928,53.3627,8137.1859,307.5779,1623.9853,0.0,0.43,CL
23,1198.2362,-6.4778,53.3125,9431.9095,339.2161,3231.9933,308.0,0.4832,CL
24,1239.4171,-6.4598,53.2494,11573.995,350.0,4157.0352,312.0804,0.504,CL
25,1274.8392,-6.448,53.1907,13341.9598,366.6131,2535.6784,320.0,0.5265,CL
26,1314.6231,-6.4361,53.1206,15644.0955,381.5176,3593.3238,340.9648,0.544,CL
27,1349.9548,-6.4253,53.0573,17647.7387,393.8442,3288.9447,350.0,0.564,CL
28,1394.6533,-6.4113,52.977,20007.1608,407.0,3657.2284,366.0,0.596,CL
29,1429.4623,-6.3995,52.9094,21603.8945,420.0,2788.9447,371.3869,0.6058,CL
30,1464.6784,-6.3877,52.8395,23270.3518,422.0,4133.6683,387.7286,0.5974,CL
31,1501.9246,-6.3756,52.7681,24885.1759,430.3216,2731.2104,390.0,0.6403,CL
32,1580.4472,-6.3481,52.6058,27432.0352,461.7789,1952.7638,409.7789,0.676,CL
33,1630.2462,-6.33,52.4986,29048.6181,473.0,2100.0,423.397,0.7154,CL
34,1669.7688,-6.3154,52.4127,30438.0653,477.0,1947.7387,430.0,0.731,CL
35,1723.9497,-6.2955,52.2933,32115.201,481.0,1664.5729,432.6834,0.744,CL
36,1768.8794,-6.2791,52.1958,33564.196,480.0,1943.2161,428.0,0.7423,CL
37,1823.3367,-6.2582,52.0735,34671.7337,485.4673,1040.201,430.0,0.748,CL
38,1867.8593,-6.2165,51.9765,35000.0,489.0,0.0,430.0,0.752,CR
39,1910.1457,-6.1703,51.886,35000.0,490.0,0.0,432.0,0.7531,CR
40,1969.5327,-6.106,51.7584,35000.0,488.0,0.0,430.0,0.752,CR
41,2022.3417,-6.0491,51.6449,35000.0,488.0,0.0,430.0,0.752,CR
42,2058.9598,-6.0096,51.5654,35000.0,487.0,0.0,430.0,0.752,CR
43,2101.2613,-5.9645,51.4747,35411.809,488.0,1090.2728,432.0,0.756,CL
44,2154.995,-5.9065,51.357,36000.0,489.0,0.0,428.0,0.7552,CL
45,2199.5176,-5.8588,51.26,36000.0,489.0,0.0,428.0,0.752,CR
46,2249.6482,-5.8063,51.1528,36000.0,489.0,0.0,430.0,0.756,CR
47,2292.5628,-5.7603,51.0591,36000.0,488.0,0.0,432.0,0.76,CR
48,2343.2513,-5.7086,50.9523,36000.0,486.0,0.0,430.0,0.756,CR
49,2390.608,-5.6602,50.8523,36082.1608,484.3216,792.9648,430.0,0.756,CR
50,2437.3568,-5.6102,50.7485,36878.2663,493.2261,1056.5327,436.0,0.768,CL
51,2478.7437,-5.5683,50.6609,37730.5276,493.6935,1462.6705,437.7387,0.776,CL
52,2542.1759,-5.5022,50.522,39204.397,489.9648,1210.5528,432.0,0.772,CL
53,2586.6985,-5.4562,50.4247,40167.4623,484.0603,1469.8492,430.0,0.772,CL
54,2641.2211,-5.4015,50.3082,41000.0,483.0,140.201,426.0,0.768,CR
55,2695.7437,-5.3482,50.1946,41000.0,487.0,0.0,428.0,0.772,CR
56,2747.5327,-5.2955,50.0823,41016.3317,477.1206,97.9899,439.2261,0.7826,CR
57,2794.7889,-5.2477,49.9796,41000.0,470.0,0.0,438.0,0.78,CR
58,2849.3116,-5.1954,49.8662,41000.0,467.5377,0.0,435.0754,0.7742,CR
59,2888.4673,-5.1574,49.7837,41000.0,466.6332,0.0,433.2663,0.7705,CR
60,2928.3568,-5.1189,49.6998,41018.2161,471.1005,-81.407,425.8291,0.7578,CR
61,2962.0553,-5.0854,49.6274,41000.0,466.8241,0.0,428.3518,0.7647,CR
62,3007.3216,-5.0568,49.5303,41000.0,469.0,0.0,424.1608,0.7603,CR
63,3051.7739,-5.0352,49.4355,41000.0,468.0151,-3.7688,431.9698,0.7719,CR
64,3096.4472,-5.0131,49.3368,41000.0,469.0,0.0,428.2211,0.7644,CR
65,3134.9397,-4.9944,49.2532,41000.0,469.0,0.0,426.4121,0.7648,CR
66,3174.794,-4.9746,49.1649,41007.5377,469.0,-171.4824,437.397,0.78,CR
67,3225.4121,-4.9511,49.0588,41000.0,473.397,0.0,438.0,0.78,CR
68,3272.5528,-4.9286,48.9574,41000.0,471.0,0.0,434.0,0.772,CR
69,3302.6482,-4.9137,48.8905,41000.0,470.5879,0.0,434.0,0.7736,CR
70,3330.5829,-4.9006,48.8315,41000.0,469.0,0.0,434.0,0.7733,CR
71,3359.4422,-4.8869,48.7693,41000.0,468.0,0.0,434.0,0.7729,CR
72,3384.5025,-4.8743,48.7121,41000.0,466.8744,0.0,432.2513,0.772,CR
73,3412.1809,-4.8616,48.6541,41000.0,465.9698,0.0,430.0,0.768,CR
74,3445.7387,-4.846,48.5843,41000.0,466.0,0.0,426.0,0.764,CR
75,3477.3568,-4.8308,48.5158,41000.0,464.0,0.0,424.3216,0.76,CR
76,3505.7186,-4.818,48.4582,41000.0,464.0,0.0,422.0,0.757,CR
77,3532.593,-4.8055,48.4009,41000.0,467.0,0.0,423.2965,0.7626,CR
78,3567.6583,-4.7892,48.3242,41000.0,469.0,0.0,424.0,0.764,CR
79,3602.4874,-4.7731,48.2485,41000.0,469.0,0.0,424.0,0.7618,CR
80,3634.1709,-4.7571,48.1814,41000.0,468.0,0.0,424.7236,0.764,CR
81,3670.3317,-4.7242,48.1076,41000.0,467.0,0.0,424.0,0.764,CR
82,3698.5126,-4.6961,48.0479,41000.0,467.0,0.0,422.0,0.76,CR
83,3735.1508,-4.6619,47.9747,41000.0,467.9246,0.0,422.0,0.76,CR
84,3763.9196,-4.6339,47.9129,41000.0,468.0201,0.0,424.0,0.7639,CR
85,3805.4221,-4.5958,47.8277,41000.0,469.8844,0.0,426.0,0.768,CR
86,3835.7889,-4.5672,47.764,41000.0,469.0,0.0,429.5779,0.772,CR
87,3870.3869,-4.5353,47.6924,41000.0,469.0,-229.8995,438.0,0.784,CR
88,3907.794,-4.5009,47.6154,41000.0,466.0,0.0,432.0,0.7776,CR
89,3943.0101,-4.4691,47.5424,41000.0,465.0,0.0,430.0,0.772,CR
90,3980.8141,-4.4362,47.4676,41000.0,464.0,0.0,432.0,0.776,CR
91,4026.3116,-4.3977,47.3698,41000.0,466.0,0.0,428.0,0.7708,CR
92,4075.6482,-4.3662,47.2673,41000.0,466.0,0.0,430.0,0.772,CR
93,4114.2412,-4.343,47.1859,41000.0,467.0,0.0,428.0,0.768,CR
94,4149.201,-4.3332,47.1082,41000.0,468.0,0.0,427.9497,0.768,CR
95,4187.9296,-4.3232,47.0257,41000.0,468.0,0.0,427.8593,0.772,CR
96,4219.8342,-4.3145,46.955,41000.0,468.0,0.0,426.0,0.768,CR
97,4256.7387,-4.305,46.8766,41000.0,469.0,0.0,426.0,0.768,CR
98,4313.2161,-4.2902,46.7578,41000.0,468.0,0.0,424.0,0.764,CR
99,4340.0955,-4.2826,46.6994,41000.0,468.0,0.0,427.0955,0.772,CR
100,4366.1658,-4.2752,46.638,41000.0,467.5477,0.0,430.0,0.772,CR
101,4393.1407,-4.2683,46.5813,41000.0,468.0,0.0,427.2864,0.768,CR
102,4447.5226,-4.2541,46.4667,41000.0,466.0,0.0,432.0,0.775,CR
103,4476.995,-4.2466,46.4021,41000.0,466.0,0.0,429.3367,0.7713,CR
104,4518.2814,-4.2352,46.3128,41000.0,465.0704,0.0,426.0,0.768,CR
105,4553.8492,-4.2257,46.2363,41000.0,465.0,0.0,426.0,0.768,CR
106,4584.5176,-4.2182,46.172,41000.0,465.0,0.0,426.0,0.764,CR
107,4619.5678,-4.2089,46.095,41000.0,464.0,0.0,426.0,0.768,CR
108,4678.6884,-4.1938,45.9714,41000.0,464.0,0.0,428.6231,0.772,CR
109,4763.1859,-4.1717,45.7887,41000.0,463.0,0.0,424.0,0.76,CR
110,4821.9899,-4.1571,45.6666,41000.0,464.0,0.0,426.0,0.764,CR
111,4871.608,-4.1445,45.5591,41000.0,465.0,0.0,428.0,0.768,CR
112,4911.2261,-4.1343,45.4729,41000.0,466.0,0.0,430.0,0.7692,CR
113,4947.8442,-4.1252,45.3947,41000.0,466.0,0.0,434.0,0.776,CR
114,4986.9246,-4.1153,45.3109,41000.0,465.0,0.0,434.0,0.7765,CR
115,5032.1206,-4.1032,45.2096,41000.0,461.9799,0.0,434.0402,0.7681,CR
116,5064.6985,-4.095,45.1404,41000.0,460.0,0.0,434.0,0.776,CR
117,5099.3166,-4.0868,45.071,41000.0,459.0,0.0,430.0,0.7727,CR
118,5129.6683,-4.0796,45.0094,41000.0,458.0,0.0,430.5327,0.7709,CR
119,5155.9146,-4.0728,44.9515,41000.0,456.0,0.0,432.0,0.7694,CR
120,5183.7136,-4.0663,44.8953,41000.0,455.0,0.0,432.0,0.7698,CR
121,5211.1307,-4.0595,44.8364,41000.0,454.0,0.0,432.0,0.772,CR
122,5239.3518,-4.0526,44.7769,41000.0,452.6482,0.0,432.0,0.772,CR
123,5267.2563,-4.0462,44.7215,41000.0,451.0,0.0,432.0,0.772,CR
124,5298.4824,-4.0385,44.6533,41000.0,449.0,0.0,430.0,0.768,CR
125,5339.0653,-4.0293,44.5729,41000.0,447.0,0.0,430.0,0.768,CR
126,5372.9397,-4.0208,44.4994,41000.0,446.0,0.0,426.0,0.76,CR
127,5410.6231,-4.0123,44.4258,41000.0,446.0,0.0,426.0,0.764,CR
128,5444.5578,-4.004,44.352,41000.0,446.0,0.0,428.0,0.764,CR
129,5480.4171,-3.9956,44.2786,41000.0,446.0,0.0,428.0,0.764,CR
130,5575.5276,-3.9735,44.0845,41000.0,446.0,0.0,428.0,0.764,CR
131,5610.9548,-3.9651,44.0107,41000.0,447.0,0.0,426.0,0.762,CR
132,5639.397,-3.9586,43.9529,41000.0,447.0,0.0,426.0,0.76,CR
133,5697.7136,-3.945,43.8321,41000.0,449.0,0.0,428.603,0.768,CR
134,5746.0302,-3.9335,43.7307,41000.0,450.0,0.0,432.0,0.772,CR
135,5790.6633,-3.9234,43.6384,41000.0,450.0,0.0,434.0,0.776,CR
136,5847.0603,-3.9106,43.5242,41000.0,449.0,0.0,430.0,0.7719,CR
137,5891.5176,-3.9058,43.4318,41000.0,449.9196,0.0,428.0,0.768,CR
