,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,-6.2462,53.423,0.0,0.0,0.0,0.0,0.0,GND
1,49.9749,-6.2462,53.423,0.0,0.0,0.0,0.0,0.0,GND
2,116.3166,-6.2467,53.4234,0.0,10.0,0.0,0.0,0.0,GND
3,157.3166,-6.2471,53.4239,0.0,10.0,0.0,0.0,0.0,GND
4,196.2663,-6.2474,53.4243,0.0,9.7889,0.0,0.0,0.0,GND
5,236.5829,-6.2477,53.4248,0.0,9.0,0.0,0.0,0.0,GND
6,274.5829,-6.2478,53.4249,0.0,0.0,0.0,0.0,0.0,GND
7,323.8693,-6.2478,53.4249,0.0,0.0,0.0,0.0,0.0,GND
8,380.2663,-6.2478,53.4249,0.0,0.0,0.0,0.0,0.0,GND
9,424.8744,-6.2477,53.4246,0.0,12.9749,0.0,0.0,0.0,GND
10,465.1658,-6.2474,53.4238,0.0,12.9447,0.0,0.0,0.0,GND
11,507.2412,-6.2481,53.4233,0.0,1.8392,0.0,0.0,0.0,GND
12,550.3317,-6.2481,53.4233,0.0,0.0,0.0,0.0,0.0,GND
13,603.9296,-6.2481,53.4233,0.0,0.0,0.0,0.0,0.0,GND
14,652.4322,-6.2481,53.4233,0.0,0.0,0.0,0.0,0.0,GND
15,745.6231,-6.2481,53.4233,0.0,9.8744,0.0,0.0,0.0,GND
16,786.3769,-6.2479,53.4227,0.0,0.0,0.0,0.0,0.0,GND
17,835.9849,-6.2479,53.4227,0.0,0.0,0.0,0.0,0.0,GND
18,885.8492,-6.2478,53.4225,0.0,1.8995,0.0,0.0,0.0,GND
19,940.5126,-6.2478,53.4225,0.0,2.0,0.0,0.0,0.0,GND
20,993.2764,-6.2478,53.4225,0.0,2.0,0.0,0.0,0.0,GND
21,1033.0402,-6.2474,53.4219,0.0,17.0,0.0,0.0,0.0,GND
22,1072.4824,-6.2481,53.4212,0.0,7.8744,0.0,0.0,0.0,GND
23,1110.7085,-6.2482,53.4212,0.0,2.0,0.0,0.0,0.0,GND
24,1157.3317,-6.2482,53.4212,0.0,2.0,0.0,0.0,0.0,GND
25,1203.191,-6.2494,53.4204,0.0,24.9045,0.0,0.0,0.0,GND
26,1245.1156,-6.2562,53.4206,0.0,79.7186,0.0,0.0,0.0,GND
27,1282.7739,-6.2914,53.4223,1013.6935,123.0,2962.3116,0.0,0.2182,CL
28,1324.8643,-6.3333,53.4241,2446.608,145.8191,1500.0,0.0,0.2796,CL
29,1364.0905,-6.3874,53.4282,3504.5226,205.0905,2168.7006,0.0,0.3681,CL
30,1403.7487,-6.4315,53.4509,6106.1558,205.5829,3874.3719,249.6683,0.3817,CL
31,1465.5427,-6.4158,53.5146,8712.3116,285.2211,2936.5578,288.0,0.4445,CL
32,1514.1307,-6.2988,53.5202,10793.8442,354.196,1155.7789,314.2613,0.4908,CL
33,1561.206,-6.1609,53.5079,12841.3317,376.2412,3300.0,346.0,0.54,CL
34,1609.7638,-6.0195,53.4982,15218.3417,384.5879,2878.7688,356.0,0.5632,CL
35,1688.7337,-5.7787,53.4819,18002.0101,415.6935,1965.0357,374.0,0.596,CL
36,1737.2965,-5.6206,53.4706,19657.4121,432.799,1575.3769,383.799,0.6156,CL
37,1784.2613,-5.4589,53.4588,21304.1457,446.0,2100.0,394.0,0.64,CL
38,1842.0251,-5.2619,53.4441,23300.6281,447.0,1500.0,402.0101,0.66,CL
39,1901.2312,-5.0611,53.4337,24766.8342,446.5578,1125.0,410.0,0.676,CL
40,1943.5528,-4.9083,53.4289,25833.2915,453.8894,1700.5025,420.0,0.696,CL
41,1984.9899,-4.7629,53.424,26883.1658,454.0,1168.3417,424.6734,0.708,CL
42,2023.6482,-4.6313,53.4195,27866.206,451.0,1891.9598,430.4322,0.72,CL
43,2059.8442,-4.5023,53.4151,28771.1055,455.0,1153.2663,436.0,0.7351,CL
44,2104.9648,-4.3441,53.4094,29891.0804,460.3216,1339.196,438.0,0.74,CL
45,2143.4975,-4.2087,53.4043,30715.5779,466.0,1091.3496,446.0,0.7595,CL
46,2180.7085,-4.0736,53.399,31742.7136,466.0,1500.0,446.0,0.76,CL
47,2216.9598,-3.9399,53.3937,32573.995,465.0,1484.9246,446.0,0.764,CL
48,2256.7286,-3.7994,53.3873,33000.0,461.4673,0.0,442.0,0.76,CR
49,2306.598,-3.6241,53.3789,33812.8141,460.9146,1024.4078,442.0,0.764,CL
50,2351.191,-3.4698,53.3704,35154.7739,451.3618,1590.4523,438.0,0.76,CL
