,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2454,41.7959,0.0,1.0,0.0,0.0,0.0,GND
1,225.5176,12.2452,41.7964,0.0,5.7588,0.0,0.0,0.0,GND
2,310.6055,12.2446,41.7999,0.0,10.0704,0.0,0.0,0.0,GND
3,361.4288,12.2478,41.8012,0.0,2.6533,0.0,0.0,0.0,GND
4,404.2475,12.2503,41.8021,0.0,4.1809,0.0,0.0,0.0,GND
5,448.1591,12.2543,41.803,0.0,6.8342,0.0,0.0,0.0,GND
6,490.7525,12.2595,41.8045,0.0,12.4221,0.0,0.0,0.0,GND
7,533.1859,12.265,41.806,0.0,15.4372,0.0,0.0,0.0,GND
8,574.9902,12.2693,41.8072,0.0,5.3518,0.0,0.0,0.0,GND
9,617.1055,12.271,41.809,0.0,14.4472,0.0,0.0,0.0,GND
10,666.7114,12.2698,41.8097,0.0,0.0,0.0,0.0,0.0,GND
11,743.5384,12.2689,41.8095,0.0,6.7035,0.0,0.0,0.0,GND
12,808.2338,12.2167,41.7953,1480.2764,160.6668,788.9211,0.0,0.0091,CL
13,870.2344,12.1494,41.816,4935.3015,214.0137,2395.0989,0.0,0.0,CL
14,939.3719,12.0924,41.872,9178.0151,258.1206,2213.0653,257.9799,0.4045,CL
15,1002.3819,12.0749,41.9573,12458.794,312.794,5218.6689,317.1759,0.496,CL
16,1066.1138,12.056,42.0492,16371.2312,326.2101,3772.5194,232.6231,0.3768,CL
17,1121.5327,12.0376,42.1374,19042.4623,353.0,4584.9136,346.8643,0.5625,CL
18,1181.4566,12.0169,42.2338,22079.6482,362.6999,2072.5352,201.206,0.3272,CL
19,1234.6519,11.983,42.3195,24545.8543,368.7264,1663.8967,180.4422,0.2929,CL
20,1302.0524,11.9373,42.4313,27323.995,379.5162,1861.7943,151.2965,0.2571,CL
21,1362.2165,11.8944,42.5354,29442.2111,391.6553,704.4575,283.6382,0.4736,CL
22,1420.6935,11.8519,42.6385,31292.3367,399.2312,2126.4657,422.0,0.708,CL
23,1488.4606,11.8015,42.7615,32803.7688,420.37,1347.8892,370.2714,0.6284,CL
24,1546.1517,11.802,42.8794,33976.7588,459.047,978.5943,412.7638,0.7065,CL
25,1602.9397,11.8256,43.0011,35173.995,463.9899,1005.0251,448.0,0.768,CL
26,1657.7923,11.8477,43.1139,36645.4774,458.4274,1058.4069,40.5226,0.0695,CL
27,1718.804,11.8727,43.2417,37945.7286,449.3417,433.9555,443.6583,0.768,CL
28,1781.995,11.8985,43.3733,38343.7186,452.7487,434.9239,436.0,0.76,CL
29,1832.6683,11.9194,43.4782,38891.7085,459.0,1251.2563,442.0,0.772,CL
30,1894.4227,11.9447,43.6054,39000.0,456.76,0.0,179.6583,0.3148,CR
31,1956.1303,11.9705,43.7348,39000.0,456.4119,0.0,215.6985,0.3782,CR
32,2027.5638,12.0006,43.8852,39000.0,457.8678,0.0,250.9146,0.44,CR
33,2088.0402,12.0266,44.0128,39000.0,459.0,0.0,438.0,0.764,CR
