,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2471,41.7935,0.0,2.0,0.0,0.0,0.0,GND
1,78.4288,12.2469,41.7933,0.0,0.0,0.0,0.0,0.0,GND
2,168.0726,12.2461,41.7932,0.0,0.0,0.0,0.0,0.0,GND
3,372.196,12.2437,41.7934,0.0,10.9347,0.0,0.0,0.0,GND
4,428.1844,12.2404,41.7935,0.0,2.7085,0.0,0.0,0.0,GND
5,490.4788,12.239,41.7969,0.0,5.5779,0.0,0.0,0.0,GND
6,552.9731,12.2428,41.7986,0.0,1.5678,0.0,0.0,0.0,GND
7,607.8629,12.2447,41.801,0.0,13.9246,0.0,0.0,0.0,GND
8,664.3766,12.2508,41.8021,0.0,9.3568,0.0,0.0,0.0,GND
9,723.876,12.2575,41.8039,0.0,3.5276,0.0,0.0,0.0,GND
10,782.071,12.2634,41.8056,0.0,2.0804,0.0,0.0,0.0,GND
11,839.9253,12.2691,41.8072,0.0,8.0201,0.0,0.0,0.0,GND
12,897.4369,12.2692,41.8096,0.0,7.3869,0.0,0.0,0.0,GND
13,964.6108,12.2308,41.7991,889.9497,150.9742,1967.7765,0.0,0.0,CL
14,1039.5528,12.1792,41.7651,3597.8643,164.191,1226.2822,0.0,0.2866,CL
15,1098.1112,12.1694,41.7122,4766.3317,241.0884,-743.0197,0.0,0.1267,DE
16,1156.0625,12.1734,41.6409,7176.8844,263.0168,6633.7951,0.0,0.4215,CL
17,1224.7152,12.1827,41.5546,10167.5879,288.6616,2090.8868,0.0,0.1352,CL
18,1286.1759,12.2639,41.4835,12098.995,356.9598,3083.2383,0.0,0.5296,CL
19,1353.5428,12.3982,41.5142,15016.0804,377.4508,361.0869,0.0,0.0457,CL
20,1424.0754,12.4764,41.6247,18459.5477,383.7688,3423.1337,0.0,0.596,CL
21,1481.9041,12.535,41.7197,20725.0,404.8794,1736.5805,0.0,0.343,CL
22,1548.6757,12.5886,41.837,23507.7889,404.587,388.6481,58.0,0.0962,CL
23,1615.6715,12.6262,41.9623,25679.1457,426.5914,-1305.6118,68.6533,0.1148,DE
24,1678.4576,12.6806,42.082,27626.1307,437.4782,1682.1934,203.3668,0.3437,CL
25,1741.8442,12.7371,42.2066,29446.1055,447.0,3175.0785,436.0,0.7408,CL
26,1818.3699,12.8053,42.3567,31075.0,463.2657,90.4523,44.0201,0.0768,CR
27,1882.1084,12.8655,42.4883,32589.6985,468.0103,1070.0519,183.7789,0.3181,CL
28,1941.9652,12.9217,42.6104,34045.7286,470.1555,869.7332,122.1608,0.2134,CL
29,2007.359,12.9837,42.7447,35499.1206,471.3025,691.7221,15.5477,0.0274,CL
30,2062.1769,13.0352,42.8552,36457.6633,452.417,476.8368,0.0,0.0,CL
31,2125.806,13.0945,42.9821,37400.6281,453.8258,316.9185,148.3015,0.2624,CL
32,2196.0603,13.1612,43.1251,38025.0,458.0,560.8226,440.0,0.78,CL
33,2260.2548,13.2218,43.252,38000.0,457.4416,0.0,319.0553,0.5634,CR
34,2318.0352,13.2776,43.3683,38000.0,455.0,0.0,438.0,0.776,CR
35,2381.2111,13.3359,43.4935,38000.0,451.893,0.0,385.3266,0.6911,CR
36,2443.9196,13.3939,43.6173,38000.0,450.2161,0.0,431.5678,0.764,CR
37,2501.0926,13.4467,43.7274,38011.809,448.322,159.9419,233.2161,0.4137,CR
38,2557.0695,13.4994,43.8365,38000.0,447.1205,0.0,69.7889,0.1241,CR
