,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2405,41.7963,0.0,0.0,0.0,0.0,0.0,GND
1,71.0804,12.2398,41.7967,0.0,2.0,0.0,0.0,0.0,GND
2,136.1608,12.239,41.7968,0.0,2.0,0.0,0.0,0.0,GND
3,200.2965,12.239,41.7963,0.0,1.0,0.0,0.0,0.0,GND
4,291.3894,12.239,41.7963,0.0,0.0,0.0,0.0,0.0,GND
5,367.1476,12.2389,41.7965,0.0,3.6784,0.0,0.0,0.0,GND
6,406.0795,12.24,41.7973,0.0,7.0352,0.0,0.0,0.0,GND
7,443.1733,12.2426,41.7981,0.0,3.8995,0.0,0.0,0.0,GND
8,489.9146,12.2422,41.8001,0.0,7.7286,0.0,0.0,0.0,GND
9,525.8417,12.2447,41.8009,0.0,0.9397,0.0,0.0,0.0,GND
10,561.0724,12.2487,41.802,0.0,2.8945,0.0,0.0,0.0,GND
11,597.1014,12.2531,41.8027,0.0,8.2915,0.0,0.0,0.0,GND
12,635.7827,12.2585,41.8042,0.0,10.5829,0.0,0.0,0.0,GND
13,674.7046,12.2638,41.8057,0.0,18.608,0.0,0.0,0.0,GND
14,721.1256,12.2695,41.8072,0.0,14.0,0.0,0.0,0.0,GND
15,775.9648,12.2701,41.8087,0.0,1.0,0.0,0.0,0.0,GND
16,839.6088,12.2701,41.8087,0.0,0.0,0.0,0.0,0.0,GND
17,937.5965,12.2698,41.8093,0.0,7.407,0.0,0.0,0.0,GND
18,973.9749,12.2689,41.8095,0.0,0.8894,0.0,0.0,0.0,LVL
19,1017.1913,12.2487,41.8039,-134.1709,145.2827,-382.5256,0.0,0.0,LVL
20,1064.4716,12.2055,41.789,1649.1206,164.3351,1187.6734,0.0,0.0849,CL
21,1106.3356,12.1809,41.7563,2351.8844,233.7992,1342.8495,0.0,0.1646,CL
22,1146.5307,12.1805,41.7081,4188.0653,268.716,4461.4104,200.5025,0.3075,CL
23,1202.8492,12.1791,41.6371,7614.4472,277.0302,4163.8191,266.0,0.432,CL
24,1267.5578,12.1829,41.5533,10068.593,287.1859,1898.2412,290.3719,0.452,CL
25,1325.8141,12.2527,41.487,12035.804,335.0,3172.29,354.0,0.5536,CL
26,1389.4724,12.3817,41.4803,15298.6181,354.6181,3000.0,368.0,0.58,CL
27,1453.5025,12.5249,41.5033,17954.2714,383.8342,2500.0,384.0,0.612,CL
28,1502.2513,12.6369,41.5268,19506.2814,390.0,1806.3891,393.4975,0.632,CL
29,1542.8946,12.732,41.5464,20388.3166,391.9979,1418.2415,293.4673,0.4725,CL
30,1584.25,12.8282,41.5664,20975.0,394.3034,258.794,208.0704,0.3375,CL
31,1622.8658,12.9191,41.5858,21967.4623,400.4703,3049.4922,284.9849,0.4638,CL
32,1658.3719,13.0048,41.6038,23120.7286,412.1893,2000.0,34.8543,0.0571,CL
33,1699.0123,13.1065,41.619,24575.0,414.9796,1630.0251,365.1256,0.6051,CL
34,1742.0808,13.2154,41.6034,26018.3417,418.5817,2304.1458,280.9045,0.4651,CL
35,1788.2513,13.3326,41.5856,27681.2814,408.0,1709.7454,422.0,0.7097,CL
36,1837.9566,13.4571,41.5674,28427.8894,423.0976,990.3299,338.0402,0.5702,CL
37,1890.9749,13.5963,41.5466,29574.3719,441.995,1498.1156,444.0,0.752,CL
38,1939.8442,13.7274,41.5269,30740.8291,449.2111,1420.8543,450.4221,0.7688,CL
39,1991.8543,13.8683,41.5056,32271.3568,446.0,1482.6008,451.1457,0.776,CL
40,2034.8216,13.9842,41.4878,33116.0804,451.992,2286.4322,295.8794,0.512,CL
41,2078.2965,14.1033,41.4696,34082.4121,452.1407,1973.0784,466.0,0.808,CL
42,2116.5007,14.2046,41.4538,35280.6533,443.0989,1936.8967,34.5226,0.0603,CL
43,2159.5305,14.3185,41.4361,36407.2864,434.3085,1303.0261,323.0955,0.5668,CL
44,2199.8486,14.4232,41.4196,37312.6884,428.0139,1009.347,222.593,0.394,CL
45,2236.4588,14.5169,41.4048,37918.0905,426.036,795.985,124.3719,0.22,CL
46,2274.772,14.6167,41.389,38271.9849,430.9532,745.5952,422.8643,0.7518,CL
47,2320.3289,14.7334,41.3703,38757.7889,431.399,147.7044,70.7236,0.1252,CR
48,2362.7889,14.8439,41.3525,39000.0,434.3889,0.0,168.8241,0.3005,CR
49,2409.3518,14.9655,41.3328,39000.0,433.0,0.0,452.0,0.8,CR
50,2453.4121,15.0811,41.3139,39000.0,435.804,0.0,452.0,0.804,CR
51,2499.0603,15.2011,41.2942,39000.0,437.0,0.0,456.0,0.808,CR
52,2554.2048,15.345,41.2703,39000.0,436.0371,0.0,349.8291,0.6172,CR
53,2607.3568,15.4822,41.2475,39000.0,434.0,0.0,456.0,0.8062,CR
54,2660.8107,15.6218,41.2239,39000.0,434.1325,0.0,303.4271,0.5373,CR
55,2701.5377,15.7281,41.2059,39000.0,434.0,0.0,454.0,0.804,CR
56,2739.3015,15.8253,41.1893,39000.0,434.0,0.0,452.0,0.8036,CR
57,2782.6904,15.9368,41.1702,39000.0,435.4905,0.0,143.7286,0.2545,CR
58,2817.8173,16.0282,41.1545,39000.0,436.3815,0.0,240.7638,0.4283,CR
59,2862.409,16.1456,41.1341,39000.0,437.0091,0.0,339.9296,0.602,CR
60,2903.4096,16.2512,41.1157,39000.0,437.2469,0.0,15.8995,0.0283,CR
61,2944.4403,16.3583,41.097,39000.0,437.2096,0.0,81.7688,0.1447,CR
62,2987.0203,16.47,41.0772,39000.0,438.1407,0.0,273.7688,0.4848,CR
63,3032.8392,16.5888,41.0561,39000.0,438.0,0.0,454.0,0.804,CR
64,3082.1457,16.7175,41.0331,39000.0,437.0,0.0,454.0,0.804,CR
65,3143.1809,16.877,41.0043,39000.0,437.0452,0.0,454.0,0.804,CR
66,3204.7518,17.0363,40.9754,39000.0,437.9372,0.0,119.1558,0.2111,CR
67,3249.5756,17.1518,40.9543,39000.0,435.0306,0.0,215.7789,0.3819,CR
68,3294.9831,17.2698,40.9325,39000.0,435.0853,0.0,317.608,0.5631,CR
69,3334.7223,17.3712,40.9138,39000.0,433.0272,0.0,412.9347,0.7276,CR
70,3382.2052,17.4942,40.8908,39000.0,432.0806,0.0,396.9648,0.703,CR
71,3425.2516,17.6031,40.8704,39000.0,432.4224,0.0,155.8191,0.2761,CR
72,3467.6734,17.7129,40.8496,39000.0,430.4422,0.0,456.0,0.804,CR
73,3514.1007,17.8298,40.8275,39000.0,429.9017,0.0,352.8844,0.6191,CR
74,3558.9598,17.945,40.8055,39000.0,430.0,0.0,454.0,0.8,CR
75,3603.2913,18.055,40.7844,39000.0,431.0213,0.0,360.4623,0.6352,CR
76,3646.5487,18.1657,40.763,39000.0,432.2438,0.0,192.4824,0.3394,CR
77,3696.9146,18.2938,40.7381,39000.0,431.0,0.0,458.0,0.808,CR
78,3752.5086,18.4345,40.7107,39000.0,428.0653,0.0,66.7437,0.1177,CR
79,3802.2814,18.5589,40.6862,39000.0,423.0,0.0,452.0,0.8,CR
80,3852.6695,18.6848,40.6612,39000.0,424.6516,0.0,130.0402,0.2291,CR
81,3900.5075,18.8055,40.6372,39000.0,425.0,0.0,456.0,0.806,CR
82,3941.8744,18.9085,40.6166,39000.0,424.0,0.0,456.0,0.804,CR
83,3988.8693,19.0258,40.5974,39000.0,425.9347,0.0,452.1307,0.8,CR
84,4038.9805,19.1559,40.5902,39000.0,428.7338,0.0,69.0452,0.1218,CR
85,4083.0459,19.2701,40.584,39000.0,426.9738,0.0,291.2563,0.5116,CR
86,4116.922,19.3584,40.5791,39000.0,424.9796,0.0,265.809,0.4687,CR
87,4155.6056,19.4565,40.5737,39000.0,422.9789,0.0,92.4623,0.1632,CR
88,4190.6525,19.5456,40.5688,39000.0,417.9211,0.0,6.8744,0.0122,CR
89,4235.6935,19.6593,40.5624,39000.0,415.0,0.0,452.4623,0.8,CR
90,4284.3314,19.7817,40.5553,39000.0,413.4315,0.0,248.7437,0.44,CR
91,4331.9799,19.9013,40.5482,39000.0,415.0,0.0,450.0,0.796,CR
