,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2473,41.7936,0.0,2.0,0.0,0.0,0.0,GND
1,71.1503,12.247,41.7933,0.0,0.0,0.0,0.0,0.0,GND
2,138.2062,12.2461,41.7931,0.0,0.0,0.0,0.0,0.0,GND
3,313.6231,12.2437,41.7933,0.0,14.0,0.0,0.0,0.0,GND
4,350.2462,12.2412,41.7936,0.0,11.0,0.0,0.0,0.76,GND
5,381.3719,12.2399,41.7944,0.0,12.0,0.0,0.0,0.76,GND
6,412.2462,12.2388,41.7965,0.0,12.7538,0.0,0.0,0.0,GND
7,446.0603,12.2406,41.7975,0.0,16.0,0.0,0.0,0.0,GND
8,475.4975,12.2428,41.7984,0.0,10.0,0.0,0.0,0.0,GND
9,500.9347,12.2423,41.7996,0.0,11.0,0.0,0.0,0.0,GND
10,527.3719,12.2433,41.8006,0.0,12.0,0.0,0.0,0.0,GND
11,554.809,12.2462,41.8014,0.0,22.0,0.0,0.0,0.0,GND
12,582.4053,12.2495,41.8021,0.0,4.9246,0.0,0.0,0.0,GND
13,606.9158,12.2526,41.8026,0.0,15.0352,0.0,0.0,0.0,GND
14,635.1206,12.2573,41.8039,0.0,30.0,0.0,0.0,0.78,GND
15,663.135,12.2619,41.8052,0.0,12.3819,0.0,0.0,0.3343,GND
16,690.9899,12.2667,41.8065,0.0,27.0,0.0,0.0,0.7799,GND
17,723.064,12.2704,41.8077,0.0,6.2462,0.0,0.0,0.4429,GND
18,753.9266,12.2695,41.8096,0.0,9.5628,0.0,0.0,0.6781,GND
19,788.3065,12.2687,41.8094,0.0,12.7588,0.0,0.0,0.7634,GND
20,847.7437,12.2262,41.7979,1687.1859,160.0,2615.5779,0.0,0.264,CL
21,898.3095,12.1826,41.7682,3600.0,199.1323,4914.5729,0.0,0.285,CL
22,941.2362,12.1686,41.7258,5255.9045,269.2362,2072.8643,0.0,0.4474,CL
23,976.0553,12.1711,41.6792,6677.7638,316.2211,3523.852,0.0,0.5047,CL
24,1018.4925,12.1741,41.6125,9124.6231,348.4925,4684.2383,0.0,0.554,CL
25,1054.9296,12.1893,41.5526,11223.2412,381.0,1816.5829,0.0,0.588,CL
26,1097.7337,12.2748,41.51,13461.6834,417.3668,3000.0,0.0,0.6135,CL
27,1140.608,12.3821,41.5285,15730.402,431.4121,3625.8087,0.0,0.6352,CL
28,1183.2412,12.4778,41.5747,17868.0905,442.0,2982.4121,0.0,0.668,CL
29,1223.3568,12.5702,41.6208,19942.8392,449.0,3482.4121,0.0,0.688,CL
30,1261.2312,12.6545,41.6685,21402.8894,453.1156,2739.9497,0.0,0.7,CL
31,1302.1055,12.7214,41.7378,22602.6382,464.0,1500.0,428.0,0.7262,CL
32,1336.9899,12.7772,41.8003,23899.7487,469.0,1484.9246,448.0,0.752,CL
33,1375.4271,12.8393,41.8696,25071.3568,469.0,1711.0553,434.8342,0.752,CL
34,1409.8643,12.8958,41.9324,25700.0,474.0,407.0352,448.0,0.764,CL
