,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2623,41.8026,0.0,0.0,0.0,148.0,0.224,GND
1,33.5377,12.2623,41.8026,0.0,0.0,0.0,148.0,0.224,GND
2,67.1859,12.2623,41.8027,0.0,12.2965,0.0,148.0,0.224,GND
3,88.7789,12.2627,41.8031,0.0,13.0,0.0,148.0,0.224,GND
4,111.9648,12.2628,41.8031,0.0,6.1508,0.0,148.0,0.224,GND
5,135.9648,12.2627,41.8031,0.0,0.0,0.0,148.0,0.224,GND
6,163.8894,12.2627,41.8031,0.0,0.0,0.0,148.0,0.224,GND
7,192.7638,12.2627,41.8031,0.0,0.0,0.0,148.0,0.224,GND
8,224.9296,12.2627,41.8031,0.0,0.0,0.0,148.0,0.224,GND
9,253.1709,12.2627,41.8031,0.0,0.0,0.0,148.0,0.224,GND
10,290.9296,12.2623,41.8033,0.0,16.4121,0.0,148.0,0.224,GND
11,312.7839,12.2617,41.8044,0.0,18.1307,0.0,148.0,0.224,GND
12,356.5578,12.2663,41.8063,0.0,21.0,0.0,148.0,0.224,GND
13,412.2714,12.2703,41.8096,0.0,24.9799,0.0,148.0,0.224,GND
14,477.5276,12.2666,41.8088,0.0,61.1859,0.0,148.0,0.224,GND
15,503.0653,12.2486,41.8039,108.5427,158.7487,930.3661,148.0,0.224,CL
16,525.2312,12.2277,41.7985,942.9648,164.0,2107.4121,148.0,0.2465,CL
17,549.0804,12.2061,41.7927,1627.0101,175.1206,1010.0503,148.0,0.2682,CL
18,584.005,12.1635,41.7925,2250.1256,215.3417,1301.005,148.0,0.3373,CL
19,604.9497,12.1303,41.7925,2848.7437,244.9497,1841.7085,148.0,0.3853,CL
20,955.8593,11.5326,41.9696,16621.4824,358.9296,1552.7638,148.0,0.584,CL
21,991.0653,11.4664,41.9981,17786.3065,365.6131,1548.2412,148.0,0.604,CL
22,1016.0452,11.4133,42.0209,18619.598,372.2613,2510.0503,148.0,0.613,CL
23,1054.3719,11.3384,42.053,19843.4673,377.8191,2030.5695,148.0,0.6273,CL
24,1083.7889,11.2785,42.0785,20697.6131,383.5578,1613.5678,148.0,0.6382,CL
25,1103.4422,11.2331,42.098,21366.206,386.206,2139.6267,148.0,0.648,CL
26,1467.9397,10.64,42.6089,29313.5678,437.1256,785.7999,437.7085,0.7554,CL
27,1519.5075,10.5537,42.6981,30275.1256,440.0,1035.5348,444.0,0.768,CL
28,1542.4523,10.5168,42.7361,30525.0,445.0,363.9627,443.6985,0.772,CL
29,1563.794,10.4812,42.7727,30734.9246,450.0,699.7487,446.0,0.7792,CL
30,1584.7889,10.447,42.8078,31058.5427,452.0,710.4271,450.0,0.784,CL
31,1607.4774,10.4076,42.8482,31432.1608,453.0,1442.7136,452.0,0.7884,CL
32,1633.2312,10.3693,42.8876,31930.7789,451.0,1335.2477,448.5126,0.784,CL
33,1654.9598,10.3311,42.9268,32294.598,452.0,691.206,449.2161,0.784,CL
34,1677.1206,10.2929,42.9659,32627.0101,452.0,1000.0,448.0,0.784,CL
35,1698.8191,10.2567,43.0028,33222.1106,447.2462,2176.2383,449.2462,0.792,CL
36,1720.6935,10.2214,43.0388,33783.6683,442.0,2242.4623,446.6734,0.7827,CL
37,1750.8191,10.1749,43.0859,34296.2312,441.0452,1253.7688,449.9698,0.784,CL
38,1775.2663,10.1331,43.1283,35106.6583,429.3668,1591.7085,446.7337,0.776,CL
39,1797.8442,10.0971,43.1648,35307.0352,432.0,448.6719,445.4372,0.7771,CL
40,1818.7186,10.0631,43.1993,35471.4824,434.9296,697.2362,446.0,0.7797,CL
41,1873.4673,9.973,43.29,35939.4472,438.0,461.0553,449.6884,0.784,CL
42,1955.2261,9.8426,43.421,36000.0,439.0,0.0,452.0,0.784,CR
43,1989.1206,9.7856,43.4782,36000.0,439.0,0.0,452.0,0.7875,CR
44,2029.5678,9.7185,43.5451,36000.0,435.0,0.0,450.9548,0.784,CR
45,2053.8543,9.6794,43.5838,35975.0,434.8291,0.0,450.0,0.7807,CR
46,2105.9447,9.5944,43.6681,35975.0,431.1809,0.0,448.3618,0.7774,CR
47,2135.8693,9.5467,43.7155,35950.0,430.0,0.0,448.0,0.78,CR
48,2155.5779,9.5134,43.7484,35975.0,431.0,0.0,446.2312,0.776,CR
49,2179.0553,9.4762,43.7852,35975.0,431.0,0.0,444.9447,0.7769,CR
50,2201.6482,9.4384,43.8226,35960.3015,432.0,154.5226,448.0,0.78,CR
51,2226.1206,9.4011,43.8593,35975.0,433.0,0.0,446.0,0.78,CR
52,2247.7085,9.3634,43.8964,36000.0,434.0,0.0,449.4171,0.7812,CR
53,2271.7136,9.3254,43.9338,36000.0,435.0,0.0,446.7136,0.78,CR
54,2403.0101,9.1052,44.1486,36025.0,441.0,0.0,447.9899,0.784,CR
55,2423.6131,9.068,44.1848,36025.0,442.0,0.0,448.6935,0.784,CR
56,2576.809,8.8068,44.437,36025.0,441.0,0.0,452.603,0.788,CR
57,2599.8492,8.768,44.4743,36025.0,440.0,0.0,454.0,0.788,CR
58,2637.7437,8.7047,44.5347,36025.0,437.206,0.0,454.0,0.792,CR
59,2674.4925,8.6433,44.593,36025.0,433.7538,0.0,452.0,0.787,CR
60,2696.5779,8.6052,44.6292,36000.0,432.0,0.0,450.0,0.7876,CR
