,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2456,41.7935,0.0,2.0,0.0,0.0,0.0,GND
1,52.2225,12.2459,41.7931,0.0,0.0804,0.0,0.0,0.0,GND
2,262.0352,12.245,41.793,0.0,8.0,0.0,0.0,0.0,GND
3,326.0352,12.2408,41.793,0.0,14.0,0.0,0.0,0.0,GND
4,386.0704,12.2394,41.7971,0.0,15.0,0.0,0.0,0.0,GND
5,432.4622,12.2427,41.7988,0.0,5.6281,0.0,0.0,0.0,GND
6,471.7289,12.2445,41.8009,0.0,12.4221,0.0,0.0,0.0,GND
7,513.3732,12.2517,41.8023,0.0,16.8844,0.0,0.0,0.0,GND
8,549.0704,12.2576,41.804,0.0,28.0,0.0,0.0,0.0,GND
9,595.1404,12.2647,41.8059,0.0,18.8141,0.0,0.0,0.0,GND
10,634.2338,12.2696,41.8073,0.0,2.5477,0.0,0.0,0.0,GND
11,672.3025,12.2701,41.8088,0.0,9.7286,0.0,0.0,0.0,GND
12,728.0352,12.2693,41.8096,0.0,0.0,0.0,0.0,0.0,GND
13,796.7286,12.2288,41.7983,514.8241,172.9095,2238.6935,0.0,0.2444,CL
14,861.7487,12.16,41.8106,2315.5779,207.8744,2231.1558,208.2513,0.3085,CL
15,926.3819,12.0983,41.8533,5264.6985,227.7638,1058.8658,234.0,0.356,CL
16,982.8543,12.0826,41.9202,7592.7136,275.7136,3310.3448,283.4271,0.4337,CL
17,1024.1479,12.0714,41.9736,9747.4874,288.1781,2855.484,107.8492,0.1658,CL
18,1063.7556,12.06,42.0291,10950.0,324.0092,503.1407,125.2261,0.1861,CL
19,1103.0228,12.0473,42.0915,12409.0452,357.5017,3057.7396,170.0503,0.2645,CL
20,1152.5678,12.0189,42.1724,14922.9899,366.0,3521.9849,376.0,0.588,CL
21,1216.5578,11.9779,42.2783,17904.5226,377.3116,2203.2663,391.2462,0.6185,CL
22,1283.9246,11.9333,42.3937,20565.4523,392.2312,2336.6834,407.0754,0.6529,CL
23,1348.4523,11.889,42.5077,22915.0754,404.1508,1893.8442,418.0,0.6766,CL
24,1412.1407,11.8435,42.6243,24855.2764,420.0,1751.9742,436.0,0.7086,CL
25,1474.9598,11.7969,42.7433,26823.995,426.0,1505.0251,446.0,0.74,CL
26,1517.8636,11.7649,42.825,28020.4774,430.9895,1809.4452,409.2965,0.6803,CL
27,1558.3166,11.7344,42.9025,29057.9146,435.8291,1475.2982,456.3417,0.76,CL
28,1600.4975,11.7018,42.985,30012.4372,442.0,1500.0,460.0,0.776,CL
29,1650.6734,11.6629,43.0835,31458.5427,438.3317,1750.6281,460.0,0.78,CL
30,1714.3518,11.6147,43.2078,33044.0955,437.5879,1279.5226,456.0,0.78,CL
31,1769.5226,11.6009,43.3179,34338.0653,434.4925,1647.7387,452.0,0.78,CL
32,1837.1357,11.5901,43.4524,35807.0352,429.0,957.2864,446.0,0.776,CL
33,1901.3869,11.5799,43.5804,36000.0,430.0,0.0,446.0,0.776,CR
34,1976.0653,11.5685,43.7284,36000.0,429.0,0.0,444.0,0.7749,CR
35,2048.5578,11.5572,43.872,36000.0,429.0,0.0,444.0,0.7753,CR
36,2091.3166,11.5507,43.9573,36000.0,428.0,0.0,444.0,0.772,CR
37,2142.1508,11.5424,44.0571,35975.6281,428.0,6.2814,443.9497,0.772,CR
38,2210.5578,11.5316,44.193,35998.6181,428.0,166.7714,443.8894,0.7758,CR
39,2275.3216,11.5214,44.3218,36000.0,429.0,0.0,444.0,0.772,CR
40,2337.9196,11.5116,44.4451,36000.0,429.0,0.0,444.0,0.776,CR
41,2405.1106,11.5005,44.578,36000.0,429.0,0.0,444.0,0.776,CR
42,2472.2462,11.4897,44.7112,36000.0,429.0,0.0,444.0,0.776,CR
43,2538.1709,11.4791,44.8427,36000.0,428.0,0.0,447.0854,0.78,CR
