,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2517,41.7983,0.0,0.0,0.0,144.0,0.128,GND
1,13.8342,12.2517,41.7983,0.0,0.0,0.0,144.0,0.128,GND
2,57.5126,12.2517,41.7983,0.0,0.0,0.0,144.0,0.128,GND
3,113.6332,12.2517,41.7983,0.0,0.0,0.0,144.0,0.128,GND
4,137.6784,12.2517,41.7983,0.0,0.0,0.0,144.0,0.128,GND
5,168.1407,12.2517,41.7983,0.0,0.0,0.0,144.0,0.128,GND
6,208.2513,12.2514,41.7984,0.0,9.0,0.0,144.0,0.128,GND
7,217.8392,12.2513,41.7985,0.0,9.0,0.0,144.0,0.128,GND
8,230.3467,12.2512,41.7985,0.0,9.0,0.0,144.0,0.128,GND
9,239.2613,12.251,41.7986,0.0,9.0,0.0,144.0,0.128,GND
10,248.2563,12.2509,41.7986,0.0,2.0,0.0,144.0,0.128,GND
11,261.3819,12.2508,41.7986,0.0,7.5578,0.0,144.0,0.128,GND
12,271.005,12.2506,41.7986,0.0,5.4824,0.0,144.0,0.128,GND
13,283.6332,12.2505,41.7985,0.0,9.0,0.0,144.0,0.128,GND
14,296.7588,12.2504,41.7984,0.0,9.0804,0.0,144.0,0.128,GND
15,308.5126,12.2504,41.7983,0.0,0.0,0.0,144.0,0.128,GND
16,350.7839,12.2504,41.7983,0.0,0.0,0.0,144.0,0.128,GND
17,388.6332,12.2504,41.7983,0.0,0.0,0.0,144.0,0.128,GND
18,445.8442,12.2504,41.7983,0.0,0.0,0.0,144.0,0.128,GND
19,488.6332,12.2505,41.7984,0.0,6.4724,0.0,144.0,0.128,GND
20,517.0251,12.2508,41.799,0.0,21.3417,0.0,144.0,0.128,GND
21,534.794,12.2513,41.7997,0.0,27.5176,0.0,144.0,0.128,GND
22,550.7638,12.2518,41.8006,0.0,31.0,0.0,144.0,0.128,GND
23,562.4824,12.2525,41.8011,0.0,28.3668,0.0,144.0,0.128,GND
24,581.0251,12.254,41.8019,0.0,17.005,0.0,144.0,0.128,GND
25,592.995,12.2545,41.8028,0.0,18.0,0.0,144.0,0.128,GND
26,603.5327,12.2554,41.8034,0.0,17.8442,0.0,144.0,0.128,GND
27,612.9146,12.2566,41.8037,0.0,20.1307,0.0,144.0,0.128,GND
28,623.6784,12.2579,41.804,0.0,21.8392,0.0,144.0,0.128,GND
29,635.6432,12.2592,41.8044,0.0,16.4523,0.0,144.0,0.128,GND
30,646.5126,12.2603,41.8047,0.0,18.2563,0.0,144.0,0.128,GND
31,656.8945,12.2616,41.8051,0.0,20.0,0.0,144.0,0.128,GND
32,672.0402,12.2633,41.8055,0.0,21.6734,0.0,144.0,0.128,GND
33,685.4372,12.2653,41.8061,0.0,23.3819,0.0,144.0,0.128,GND
34,697.2714,12.2669,41.8065,0.0,23.0905,0.0,144.0,0.128,GND
35,709.392,12.2686,41.807,0.0,19.206,0.0,144.0,0.128,GND
36,726.5377,12.2702,41.8075,0.0,16.5075,0.0,144.0,0.128,GND
37,742.6482,12.2714,41.808,0.0,33.2161,0.0,144.0,0.128,GND
38,753.4724,12.2711,41.8088,0.0,31.2261,0.0,144.0,0.128,GND
39,767.8995,12.271,41.8091,0.0,2.0,0.0,144.0,0.128,GND
40,798.0503,12.2706,41.8097,0.0,20.0,0.0,144.0,0.128,GND
41,810.3518,12.2701,41.8098,0.0,19.0,0.0,144.0,0.128,GND
42,841.1055,12.2658,41.8086,0.0,61.2161,0.0,144.0,0.128,CL
43,863.4673,12.2506,41.8044,0.0,159.1407,0.0,144.0,0.128,CL
44,875.0553,12.2385,41.8012,48.3668,173.6482,483.6683,144.0,0.2553,CL
45,890.5377,12.2248,41.7976,748.995,171.8844,3257.3582,144.0,0.2555,CL
46,902.3719,12.2132,41.7929,1417.7136,169.407,2825.5564,167.1859,0.248,CL
47,913.9045,12.2063,41.785,2005.1508,165.3015,3484.2965,168.0,0.2492,CL
48,925.0402,12.2034,41.7768,2376.2563,168.0,1998.7437,168.0,0.252,CL
49,1191.0302,11.8167,41.6036,12715.5779,367.0,2504.7919,168.0,0.556,CL
50,1219.5628,11.7601,41.5801,14003.1407,373.0,2809.0452,168.0,0.572,CL
51,1235.407,11.7279,41.5668,14838.5678,372.1357,2864.3216,168.0,0.572,CL
52,1245.2211,11.7074,41.5582,15193.8442,376.6884,2337.6884,168.0,0.5794,CL
53,1256.3166,11.6856,41.5492,15602.0101,379.5528,2056.7839,168.0,0.588,CL
54,1265.8291,11.6647,41.5404,16008.794,382.5226,3274.0488,168.0,0.589,CL
55,1279.9397,11.6368,41.5287,16471.9849,387.9397,2961.2347,168.0,0.5999,CL
56,1297.4271,11.6026,41.5145,17178.5176,389.3216,2330.402,168.0,0.604,CL
57,1311.1608,11.5707,41.5011,17823.3668,390.3869,2806.5327,168.0,0.6095,CL
58,1321.2864,11.5531,41.4938,18148.8693,391.0955,2738.6935,168.0,0.616,CL
59,1331.8241,11.5257,41.4823,18660.804,392.804,2097.9899,168.0,0.62,CL
60,1343.0754,11.5035,41.473,19052.5126,395.5126,1939.0704,168.0,0.6261,CL
61,1358.4422,11.4709,41.4593,19647.1106,396.2211,2610.5528,168.0,0.6311,CL
62,1369.5779,11.4468,41.4492,20060.9296,398.8593,2017.5879,168.0,0.632,CL
63,1381.191,11.4247,41.4399,20304.7739,403.2764,1364.3216,168.0,0.6386,CL
