,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2554,41.7979,0.0,0.0,-4.2528,0.0,0.0,GND
1,15.1256,12.2554,41.7979,0.0,0.0,0.0,0.0,0.0,GND
2,30.3015,12.2554,41.7979,0.0,1.8995,0.0,0.0,0.0,GND
3,46.6784,12.2553,41.798,0.0,10.0,0.0,0.0,0.0,GND
4,66.201,12.2551,41.7981,0.0,11.1005,0.0,0.0,0.0,GND
5,78.3769,12.2549,41.7982,0.0,11.0,0.0,0.0,0.0,GND
6,93.7538,12.2547,41.7982,0.0,9.8492,0.0,0.0,0.0,GND
7,106.5829,12.2547,41.7983,0.0,3.407,0.0,0.0,0.0,GND
8,121.407,12.2547,41.7984,0.0,10.0,0.0,0.0,0.0,GND
9,141.3568,12.2549,41.7986,0.0,10.0,0.0,0.0,0.0,GND
10,157.7839,12.2549,41.7986,0.0,0.0,0.0,0.0,0.0,GND
11,279.1055,12.2549,41.7987,0.0,2.0,0.0,0.0,0.0,GND
12,296.4121,12.2551,41.7989,0.0,16.809,0.0,0.0,0.0,GND
13,314.3065,12.2555,41.7995,0.0,22.0,0.0,0.0,0.0,GND
14,324.7588,12.2557,41.7999,0.0,22.0553,0.0,0.0,0.0,GND
15,344.5075,12.2566,41.7998,0.0,21.7538,0.0,0.0,0.0,GND
16,361.206,12.2574,41.7995,0.0,28.804,0.0,0.0,0.0,GND
17,376.8543,12.2585,41.7993,0.0,24.8543,0.0,0.0,0.0,GND
18,395.809,12.259,41.8,0.0,24.9045,0.0,0.0,0.0,GND
19,407.8643,12.2594,41.8006,0.0,28.9548,0.0,0.0,0.0,GND
20,419.5126,12.2598,41.8012,0.0,33.005,0.0,0.0,0.0,GND
21,432.6382,12.2603,41.802,0.0,16.0,0.0,0.0,0.0,GND
22,443.7638,12.2607,41.8027,0.0,16.0,0.0,0.0,0.0,GND
23,454.5779,12.2612,41.8035,0.0,16.0,0.0,0.0,0.0,GND
24,467.4121,12.2617,41.8043,0.0,15.794,0.0,0.0,0.0,GND
25,485.5377,12.2625,41.8052,0.0,32.8844,0.0,0.0,0.0,GND
26,503.6131,12.264,41.8057,0.0,17.6533,0.0,0.0,0.0,GND
27,514.6784,12.2653,41.8061,0.0,20.0,0.0,0.0,0.0,GND
28,527.407,12.2668,41.8065,0.0,22.0,0.0,0.0,0.0,GND
29,539.6432,12.2683,41.8069,0.0,23.0,0.0,0.0,0.0,GND
30,566.0905,12.2702,41.8079,0.0,27.7839,0.0,0.0,0.0,GND
31,581.6734,12.2702,41.8086,0.0,29.7789,0.0,0.0,0.0,GND
32,594.0201,12.2698,41.8093,0.0,30.804,0.0,0.0,0.0,GND
33,606.1457,12.2689,41.8095,0.0,18.2462,0.0,0.0,0.0,LVL
34,621.7085,12.2657,41.8085,0.0,69.5226,0.0,0.0,0.0,LVL
35,633.5176,12.2588,41.8067,0.0,123.191,0.0,0.0,0.0,LVL
36,644.9045,12.2485,41.8038,0.0,164.5226,0.0,0.0,0.0,LVL
37,678.2965,12.2149,41.7953,875.3769,180.8593,2078.8945,0.0,0.2512,CL
38,788.6884,12.1317,41.8787,4251.5075,253.0905,3274.1878,0.0,0.3844,CL
39,825.7789,12.1212,41.9225,6136.9347,255.0402,3525.4454,0.0,0.3998,CL
40,852.0603,12.1142,41.9505,7352.5126,254.0151,2761.8355,0.0,0.4,CL
41,899.603,12.1001,42.0072,9600.6281,254.1508,2736.1148,0.0,0.4164,CL
42,940.2764,12.0878,42.0565,11154.1457,266.1658,2229.8802,0.0,0.4364,CL
43,991.0553,12.0719,42.1209,12060.3015,312.6533,1014.8109,0.0,0.5125,CL
44,1083.5829,12.0352,42.2672,14835.6784,357.4221,2183.9089,0.0,0.5884,CL
45,1118.6533,12.0163,42.3252,16144.598,367.1307,2109.7048,0.0,0.5965,CL
46,1209.8291,11.9493,42.4744,19186.3065,382.0905,2072.8643,61.0653,0.6339,CL
47,1368.4171,11.8234,42.7524,23810.4271,406.9045,1418.0905,414.7236,0.6934,CL
48,1489.6784,11.6564,42.9477,26481.6583,432.206,1253.9621,430.4121,0.732,CL
