,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2703,41.8075,0.0,34.0,0.0,368.0,0.848,GND
1,24.4774,12.2713,41.8083,0.0,30.5075,0.0,368.0,0.848,GND
2,43.9095,12.2709,41.8092,0.0,21.9698,0.0,368.0,0.848,GND
3,70.9095,12.2698,41.8097,0.0,24.4774,0.0,368.0,0.848,GND
4,93.7286,12.2694,41.8096,0.0,0.0603,0.0,368.0,0.724,GND
5,117.6231,12.2694,41.8096,0.0,0.0,0.0,368.0,0.724,GND
6,149.8191,12.266,41.8087,0.0,68.3668,0.0,368.0,0.724,CL
7,179.1307,12.2434,41.8025,161.809,156.8945,1142.6179,368.0,0.724,CL
8,206.6985,12.2185,41.7959,1286.4322,157.8191,1564.6088,368.0,0.2438,CL
9,329.0503,12.0931,41.8735,6366.7085,267.2965,3663.4961,368.0,0.376,CL
10,358.6231,12.0791,41.9098,8069.8492,272.0,4709.5477,368.0,0.3805,CL
11,385.2513,12.0668,41.942,9462.5628,277.8342,2750.1795,368.0,0.448,CL
12,407.4573,12.0599,41.9704,10479.6482,292.4573,2295.2261,368.0,0.4676,CL
13,436.206,12.0558,42.0122,11170.1005,328.206,1099.665,368.0,0.5176,CL
14,466.8392,12.0513,42.0601,12456.407,340.1055,3424.5774,368.0,0.5436,CL
15,490.2563,12.0477,42.0961,13629.7739,343.5477,4062.8141,368.0,0.5471,CL
16,517.0352,12.0436,42.1375,14785.804,349.0,2686.2437,368.0,0.5675,CL
17,541.1156,12.0392,42.1799,15971.4824,355.3719,2625.6281,368.0,0.5775,CL
18,563.1859,12.0319,42.2155,16844.4724,358.8643,2453.5176,368.0,0.5875,CL
19,596.1407,12.0197,42.27,18189.196,365.0,3062.8141,368.0,0.608,CL
20,617.6985,12.0118,42.3057,19138.6935,365.0,2272.6131,368.0,0.612,CL
21,644.0503,11.9964,42.3497,20185.4271,365.3417,3816.5829,374.1508,0.624,CL
22,670.5075,11.9779,42.3923,21071.1055,372.6683,2139.0285,386.0,0.6353,CL
23,692.6332,11.9623,42.4279,21790.3266,377.6533,1793.9698,386.0,0.6413,CL
24,717.8291,11.9434,42.4709,22561.6834,386.0955,1750.0,395.8291,0.652,CL
25,736.6231,11.9293,42.5029,23065.5779,392.3116,1500.0,400.6231,0.6572,CL
26,758.2362,11.9129,42.5396,23691.206,397.0,2195.9799,406.0,0.668,CL
27,789.1859,11.8892,42.5934,24856.5327,396.407,3032.0352,416.8141,0.6868,CL
28,806.3668,11.8752,42.6252,25514.4472,395.7889,1501.2563,414.0,0.688,CL
29,830.9698,11.8566,42.6672,25992.2111,405.5628,1260.0503,420.5628,0.7011,CL
30,850.0955,11.8405,42.7035,26566.0804,408.0,2012.5628,425.5477,0.7102,CL
31,872.598,11.8231,42.7424,27239.9497,409.0,1866.8342,426.0,0.716,CL
32,913.8643,11.7903,42.8161,28189.6985,416.5176,1237.3405,430.4824,0.728,CL
33,945.2513,11.7651,42.8725,28937.5628,421.0,1427.6382,436.995,0.741,CL
34,964.7437,11.7478,42.9114,29493.593,422.0,2268.8442,440.5126,0.752,CL
35,997.3618,11.7207,42.972,30587.1859,416.8191,3251.005,442.0,0.7511,CL
