,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2455,41.7976,0.0,2.0,0.0,0.0,0.0,GND
1,21.799,12.2453,41.7975,0.0,2.0,0.0,0.0,0.0,GND
2,44.598,12.245,41.7975,0.0,2.0,0.0,0.0,0.0,GND
3,67.397,12.2448,41.7973,0.0,1.0,0.0,0.0,0.0,GND
4,90.0459,12.2449,41.7972,0.0,0.804,0.0,0.0,0.0,GND
5,109.9968,12.2448,41.7973,0.0,1.9899,0.0,0.0,0.0,GND
6,130.6539,12.2447,41.7975,0.0,0.794,0.0,0.0,0.0,GND
7,151.593,12.2447,41.7977,0.0,1.0,0.0,0.0,0.0,GND
8,171.254,12.2446,41.7977,0.0,0.0,0.0,0.0,0.0,GND
9,223.7977,12.2446,41.7977,0.0,0.0,0.0,0.0,0.0,GND
10,310.9899,12.2447,41.7979,0.0,1.0,0.0,0.0,0.0,GND
11,333.7889,12.2443,41.7983,0.0,11.0,0.0,0.0,0.0,GND
12,360.5879,12.2452,41.7993,0.0,12.0,0.0,0.0,0.0,GND
13,384.3869,12.2471,41.7997,0.0,14.0,0.0,0.0,0.0,GND
14,406.1859,12.2478,41.8007,0.0,13.0,0.0,0.0,0.0,GND
15,427.9849,12.2482,41.8019,0.0,13.0,0.0,0.0,0.0,GND
16,449.8109,12.2502,41.8021,0.0,10.9749,0.0,0.0,0.0,GND
17,471.5736,12.2521,41.8024,0.0,6.2563,0.0,0.0,0.0,GND
18,496.3819,12.2543,41.8031,0.0,17.3819,0.0,0.0,0.0,GND
19,523.123,12.2579,41.8041,0.0,18.8392,0.0,0.0,0.0,GND
20,543.9979,12.2608,41.8049,0.0,23.5176,0.0,0.0,0.0,GND
21,566.7789,12.264,41.8057,0.0,23.0,0.0,0.0,0.0,GND
22,587.5779,12.267,41.8066,0.0,24.0,0.0,0.0,0.0,GND
23,612.3769,12.2706,41.8075,0.0,21.6231,0.0,0.0,0.0,GND
24,636.1759,12.271,41.809,0.0,15.0,0.0,0.0,0.0,GND
25,657.9749,12.2695,41.8097,0.0,14.0251,0.0,0.0,0.0,GND
26,685.7739,12.2641,41.8082,0.0,73.0955,0.0,0.0,0.0,LVL
27,726.7186,12.2319,41.7991,871.608,150.0,1432.1608,0.0,0.248,CL
28,771.6753,12.1951,41.78,2127.8894,181.364,1850.9168,0.0,0.116,CL
29,827.5126,12.1917,41.7342,4350.6281,224.3417,2585.4271,0.0,0.3567,CL
30,893.9095,12.2942,41.7433,6795.4774,295.9698,2909.5477,0.0,0.424,CL
31,959.3065,12.402,41.7846,9726.8844,317.0,2115.5779,0.0,0.448,CL
32,1024.4287,12.523,41.8306,12981.7839,332.8104,3082.7907,0.0,0.2057,CL
33,1082.1005,12.6359,41.8644,15989.196,345.0,3183.4171,0.0,0.5095,CL
34,1137.6633,12.7491,41.8969,18770.7286,355.1658,4064.6985,328.0,0.5287,CL
35,1198.9648,12.885,41.9353,20223.2412,408.0,3000.0,361.7889,0.616,CL
36,1250.6162,13.0099,41.9708,22407.2864,421.8148,2372.8432,293.3065,0.4858,CL
37,1297.1256,13.126,42.0036,24131.2814,436.5628,2344.2211,397.3769,0.664,CL
38,1341.4472,13.2408,42.0358,25777.1357,446.0,2651.9554,406.0,0.684,CL
39,1395.3216,13.3815,42.0751,27566.0804,457.1608,1741.206,415.6784,0.712,CL
40,1448.9598,13.5274,42.1157,29197.9899,466.0,2969.8492,422.1608,0.7318,CL
41,1512.2764,13.6992,42.1632,30906.9095,476.7588,1319.0955,435.5176,0.752,CL
42,1556.2312,13.8214,42.1968,32294.7236,476.0,2040.8291,436.8844,0.76,CL
43,1609.7136,13.9702,42.2374,34026.7588,470.0,1767.5879,430.0,0.756,CL
44,1647.4673,14.0771,42.2666,34957.7889,473.0,2135.6056,426.0,0.756,CL
45,1687.4927,14.1848,42.2956,35700.0,476.6508,0.0,19.4472,0.0346,CL
46,1730.7548,14.3064,42.3283,36462.6884,481.7291,1156.7666,105.8794,0.1881,CL
47,1772.5528,14.4244,42.3599,37000.0,479.0,0.0,432.0,0.76,CR
48,1805.0553,14.5173,42.3849,37016.206,478.0,-175.8794,432.0,0.764,CR
49,1851.5159,14.6461,42.4192,37000.0,476.4984,0.0,65.1256,0.1146,CR
50,1896.8995,14.7748,42.4534,37000.0,476.0,0.0,424.0,0.752,CR
51,1948.4975,14.9187,42.4909,37000.0,476.0,0.0,426.0,0.752,CR
52,1998.6432,15.0599,42.5277,37000.0,478.0,0.0,426.0,0.7542,CR
53,2048.6935,15.2013,42.5643,37000.0,478.0,0.0,426.0,0.756,CR
54,2086.5829,15.3088,42.5919,37000.0,478.0,0.0,426.2915,0.7572,CR
55,2119.9447,15.4017,42.6156,37000.0,479.0,0.0,426.0,0.756,CR
56,2164.2611,15.5281,42.647,37000.0,476.0378,0.0,316.8241,0.5652,CR
57,2211.6281,15.6656,42.6701,37000.0,475.0,0.0,424.9146,0.756,CR
58,2254.6834,15.7909,42.6908,37000.0,474.6583,0.0,424.0,0.756,CR
59,2296.2814,15.9125,42.7108,37000.0,474.0,0.0,422.0,0.748,CR
60,2341.7588,16.0417,42.7323,37000.0,474.0,0.0,420.1206,0.7482,CR
61,2382.2161,16.1631,42.7525,37000.0,476.0,-130.6533,420.0,0.748,CR
62,2427.5377,16.2935,42.7739,37000.0,478.0,0.0,422.0,0.7502,CR
63,2472.3367,16.4259,42.7952,37000.0,480.0,0.0,424.0,0.756,CR
64,2524.407,16.5773,42.8193,37000.0,481.8643,0.0,424.0,0.756,CR
65,2584.6807,16.7568,42.8478,37000.0,482.3455,0.0,27.4372,0.0491,CR
66,2632.5158,16.8987,42.87,37000.0,484.5259,0.0,111.8593,0.1992,CR
67,2674.1307,17.0243,42.8896,37000.0,487.0,0.0,425.0653,0.756,CR
68,2719.4099,17.1599,42.9105,37000.0,487.2363,0.0,140.6231,0.2507,CR
69,2771.15,17.3163,42.9344,37000.0,488.0017,0.0,372.0804,0.6642,CR
70,2827.7889,17.4853,42.96,37000.0,483.0,0.0,426.0,0.76,CR
71,2880.1859,17.6419,42.9834,37000.0,483.0,0.0,426.0,0.76,CR
72,2933.5276,17.8006,43.0069,37000.0,482.0,0.0,426.0,0.7581,CR
78,3251.9648,18.7482,43.078,39025.0,478.0,0.0,436.0,0.7733,CR
79,3307.1206,18.9165,43.0764,38975.0,477.0,0.0,430.2412,0.76,CR
80,3368.2856,19.0998,43.0746,39000.0,480.053,0.0,35.2161,0.063,CR
81,3429.5779,19.2861,43.0722,39000.0,480.9948,0.0,310.4322,0.5605,CR
82,3492.0352,19.4755,43.0695,38975.0,478.0,0.0,428.0,0.76,CR
84,3611.3467,19.8356,43.0639,39000.0,482.0,0.0,433.7688,0.772,CR
85,3662.7437,19.9861,43.0612,39022.8643,479.0854,457.2864,434.0,0.772,CR
86,3709.1407,20.1329,43.0582,38975.0,480.0,-177.394,432.0,0.772,CR
87,3757.0682,20.2763,43.0551,39000.0,477.0135,0.0,210.5729,0.3763,CR
88,3801.8434,20.4096,43.0522,39000.0,475.3452,0.0,133.9698,0.238,CR
89,3848.1641,20.5486,43.0488,39000.0,475.0054,0.0,380.6834,0.676,CR
