,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.24,41.7942,0.0,15.0,0.0,0.0,0.0,GND
1,44.4612,12.2395,41.7972,0.0,2.7136,0.0,0.0,0.0,GND
2,90.4308,12.2427,41.799,0.0,5.4271,0.0,0.0,0.0,GND
3,135.431,12.2451,41.801,0.0,10.0603,0.0,0.0,0.0,GND
4,181.5052,12.2515,41.8023,0.0,18.0905,0.0,0.0,0.0,GND
5,220.3923,12.2575,41.8039,0.0,24.4221,0.0,0.0,0.0,GND
6,268.7711,12.2647,41.8059,0.0,22.8643,0.0,0.0,0.0,GND
7,310.215,12.2706,41.8075,0.0,5.3266,0.0,0.0,0.0,GND
8,351.2111,12.271,41.809,0.0,2.3417,0.0,0.0,0.0,GND
9,404.6149,12.2702,41.8098,0.0,5.9497,0.0,0.0,0.0,GND
10,458.8827,12.2355,41.8008,533.4171,161.5683,2803.1962,0.0,0.0496,CL
11,496.4421,12.201,41.7854,1551.5075,193.6436,25.1676,0.0,0.0033,LVL
12,540.1052,12.1676,41.7509,3403.6432,222.153,2961.792,0.0,0.0615,CL
13,586.8188,12.1711,41.7048,6194.4724,212.3752,3588.5424,85.1256,0.1309,CL
14,638.9402,12.2226,41.6734,9053.5176,215.8783,3404.4726,118.7035,0.1851,CL
15,685.3136,12.2913,41.6878,10196.4824,299.4959,816.2367,221.206,0.3454,CL
16,725.2614,12.3602,41.7155,11885.5528,322.8839,3485.1135,296.9648,0.4651,CL
17,769.1197,12.4294,41.7595,13775.0,358.3458,188.4422,25.7789,0.0407,CL
18,810.4691,12.4889,41.8158,15043.593,388.2133,592.2989,93.799,0.1456,CL
19,852.0128,12.5561,41.8785,16448.4925,427.8334,3812.9642,230.7538,0.367,CL
20,901.9095,12.6393,41.9564,18951.3819,441.1457,3337.3034,416.7638,0.6695,CL
21,946.4472,12.7173,42.0289,20500.1256,460.0858,1799.8122,88.4422,0.1423,CL
22,993.0708,12.8022,42.1076,22527.5126,462.9993,2394.5501,437.0352,0.7134,CL
23,1040.3568,12.8876,42.1868,24379.8995,470.0,2059.6316,454.0,0.7514,CL
24,1092.3601,12.9839,42.2756,25850.0,479.055,341.7085,156.5025,0.2597,CL
25,1144.4079,13.083,42.3667,27273.8693,486.4777,2357.7573,224.3719,0.3743,DE
26,1197.6745,13.1841,42.4592,29159.2965,479.0027,-3112.8286,136.9749,0.2301,DE
27,1246.4502,13.2754,42.5424,30811.5578,473.8404,2615.8868,53.397,0.0906,CL
28,1286.8983,13.3512,42.6111,31696.7337,474.5696,1484.8553,30.3116,0.0517,CL
29,1327.5669,13.4274,42.6801,32831.9095,466.3886,1359.8923,345.2261,0.594,CL
30,1374.2397,13.5127,42.7572,33878.6432,461.118,1114.5259,193.0653,0.3349,CL
31,1417.4299,13.5918,42.8283,34694.598,460.1282,778.3655,273.6181,0.4767,CL
32,1465.0553,13.6793,42.9067,35360.5528,461.0,1031.0405,450.4221,0.7888,CL
33,1512.1281,13.766,42.984,35975.7538,459.0599,520.7305,438.3719,0.7681,CL
34,1564.2462,13.8612,43.069,36000.0,446.0,0.0,434.3015,0.764,CR
35,1618.6734,13.9588,43.1555,36000.0,446.6683,0.0,435.3367,0.764,CR
36,1674.9497,14.0603,43.2452,36000.0,447.0,0.0,436.0,0.7661,CR
37,1725.9196,14.1518,43.3258,36000.0,447.0,0.0,434.0,0.7612,CR
38,1774.5722,14.2401,43.4032,36000.0,446.0609,0.0,382.9749,0.6715,CR
39,1816.3283,14.3148,43.4695,36000.0,445.572,0.0,24.2111,0.0425,CR
40,1857.2742,14.3877,43.5352,36000.0,444.2193,0.0,103.4472,0.1814,CR
41,1898.7487,14.4622,43.6018,36000.0,442.0,0.0,434.0,0.76,CR
42,1937.1622,14.5296,43.6618,36000.0,441.0848,0.0,258.3317,0.4521,CR
43,1978.1626,14.6026,43.7267,36000.0,440.4298,0.0,95.9598,0.168,CR
44,2022.7005,14.6818,43.7966,36000.0,440.2785,0.0,17.4472,0.0306,CR
45,2072.4372,14.771,43.875,36000.0,439.0,0.0,434.0,0.76,CR
46,2131.0352,14.8752,43.9666,36000.0,438.0,0.0,432.0,0.756,CR
47,2190.9899,14.9822,44.0605,36000.0,437.0,0.0,432.0,0.756,CR
48,2246.2663,15.0815,44.147,36000.0,438.0,0.0,432.0,0.7573,CR
49,2288.9663,15.1577,44.2131,36000.0,438.6862,0.0,59.1558,0.1037,CR
50,2337.2234,15.2444,44.2884,36000.0,438.758,0.0,19.809,0.0346,CR
51,2381.7801,15.3251,44.3579,36000.0,438.4444,0.0,98.593,0.1719,CR
52,2425.2318,15.4038,44.4256,36000.0,438.3405,0.0,176.6533,0.3077,CR
53,2465.0387,15.4759,44.4874,36000.0,439.9557,0.0,256.3417,0.4468,CR
54,2503.7355,15.5469,44.548,36000.0,439.9174,0.0,102.1709,0.1785,CR
55,2543.1076,15.6194,44.6099,36000.0,437.9516,0.0,414.0905,0.7218,CR
56,2582.7506,15.6904,44.6701,36003.2663,436.3277,-412.1429,57.4874,0.1009,CR
