,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2485,41.7968,0.0,0.0,0.0,0.0,0.0,GND
1,40.5377,12.2486,41.7969,0.0,9.5126,0.0,0.0,0.0,GND
2,83.1256,12.2492,41.7972,0.0,10.0,0.0,0.0,0.0,GND
3,134.1508,12.2494,41.7973,0.0,10.0,0.0,0.0,0.0,GND
4,170.201,12.2492,41.7978,0.0,10.0503,0.0,0.0,0.0,GND
5,208.6884,12.249,41.7982,0.0,0.0,0.0,0.0,0.0,GND
6,268.3769,12.249,41.7981,0.0,0.0,0.0,0.0,0.0,GND
7,319.3518,12.249,41.7982,0.0,0.0,0.0,0.0,0.0,GND
8,362.402,12.2487,41.7989,0.0,16.0,0.0,0.0,0.0,GND
9,402.8392,12.2481,41.8,0.0,21.0,0.0,0.0,0.0,GND
10,440.1256,12.2479,41.8017,0.0,29.1256,0.0,0.0,0.0,GND
11,486.2764,12.2518,41.8023,0.0,15.6382,0.0,0.0,0.0,GND
12,545.7538,12.2578,41.804,0.0,19.0,0.0,0.0,0.0,GND
13,617.3266,12.2667,41.8064,0.0,23.0,0.0,0.0,0.0,GND
14,682.0553,12.2702,41.8086,0.0,7.7688,0.0,0.0,0.0,GND
15,721.8191,12.2701,41.8087,0.0,0.0,0.0,0.0,0.0,GND
16,818.005,12.2698,41.8094,0.0,23.402,0.0,0.0,0.0,GND
17,905.2814,12.2613,41.8074,0.0,106.6935,0.0,0.0,0.0,CL
18,944.6784,12.2244,41.7972,533.9196,176.7739,3386.9347,0.0,0.0,CL
19,981.2161,12.1825,41.7956,1611.9347,202.9548,1065.3266,0.0,0.3179,CL
20,1020.5025,12.1301,41.7982,2518.8442,247.7538,1407.6633,0.0,0.389,CL
21,1059.5276,12.0617,41.799,3363.191,300.0553,1500.0,0.0,0.4732,CL
22,1098.3819,11.9856,41.7997,4712.1859,325.8291,2555.2764,0.0,0.5011,CL
23,1145.5779,11.8933,41.8007,7098.6181,326.7889,3401.7588,0.0,0.5128,CL
24,1182.809,11.8133,41.8015,8462.6884,344.809,2472.3618,0.0,0.5352,CL
25,1223.6985,11.7288,41.8032,10303.5176,345.0,2720.5671,0.0,0.548,CL
26,1265.9397,11.6454,41.8321,12039.3216,349.6533,2782.2446,0.0,0.5653,CL
27,1321.3568,11.5376,41.8777,13833.9196,369.8392,1620.603,0.0,0.5874,CL
28,1363.7588,11.4529,41.9136,15245.3518,378.7035,2059.6734,0.0,0.6054,CL
29,1402.3216,11.3722,41.9476,16551.2563,385.7286,2086.4322,0.0,0.62,CL
30,1440.8844,11.2914,41.9816,17697.1106,394.0,2060.804,0.0,0.636,CL
31,1481.5578,11.2038,42.0182,18866.7085,402.0,1199.6231,0.0,0.6476,CL
32,1520.8141,11.1182,42.0544,19825.2513,411.804,1327.71,0.0,0.66,CL
33,1567.6583,11.0087,42.1015,21091.4573,419.0,1628.1407,0.0,0.676,CL
34,1607.5628,10.9192,42.1403,21914.0704,429.0,1285.1759,0.0,0.688,CL
35,1646.6382,10.8282,42.1792,22817.4623,435.8794,1242.4623,0.0,0.696,CL
36,1687.3568,10.7307,42.2202,23647.6131,443.0,1273.8693,193.5678,0.712,CL
37,1731.6834,10.6259,42.2637,24542.9648,448.9648,1321.608,428.0,0.7239,CL
38,1769.4322,10.5329,42.3023,25298.8693,452.4774,1037.3295,434.0,0.732,CL
39,1805.9698,10.4391,42.3407,25999.2462,457.0,1497.4874,434.0,0.744,CL
40,1843.5075,10.3468,42.3795,26562.5628,462.0,500.0,434.0,0.752,CL
41,1881.1055,10.2512,42.4219,27126.8844,467.0,1001.0768,434.2714,0.76,CL
42,1925.5829,10.1422,42.4697,27901.3819,470.0,932.5197,450.0,0.764,CL
43,1962.1608,10.0464,42.5115,28677.0101,468.0,1469.8492,448.0,0.76,CL
44,2000.7638,9.9519,42.5524,29352.6382,469.0,1002.5126,446.0,0.7622,CL
45,2040.392,9.8497,42.5965,30131.5327,466.0,1186.9347,444.0,0.76,CL
46,2079.6231,9.752,42.6386,30761.6834,466.4221,1283.2915,444.3116,0.764,CL
47,2121.0854,9.6464,42.684,31497.6131,464.8191,1022.6131,440.1809,0.7636,CL
48,2174.4271,9.5117,42.7416,32285.3015,464.0,997.4874,439.206,0.76,CL
49,2217.809,9.4043,42.7873,32786.5578,466.0,762.3833,438.0,0.7605,CL
50,2275.2563,9.2578,42.8494,33615.7035,462.0,657.0352,436.0,0.76,CL
51,2315.4221,9.1622,42.8899,33975.0,460.8593,0.0,434.0,0.76,CR
52,2352.2663,9.0635,42.9314,34000.0,463.6533,0.0,436.0,0.7666,CR
53,2390.4975,8.9646,42.9729,34000.0,469.1658,0.0,444.0,0.776,CR
54,2428.3568,8.8672,43.0136,34000.0,470.0,0.0,444.0,0.7787,CR
55,2467.3819,8.7701,43.0541,34000.0,471.0,0.0,444.0,0.776,CR
56,2508.8141,8.6603,43.0997,34000.0,471.0,0.0,444.0,0.776,CR
57,2547.4322,8.5603,43.141,34000.0,471.0,0.0,444.0,0.776,CR
58,2585.9146,8.4629,43.1812,34000.0,472.0,0.0,444.0,0.776,CR
59,2622.7236,8.3645,43.2217,34000.0,471.0,0.0,444.0,0.776,CR
60,2660.7538,8.2666,43.2619,34000.0,471.2462,0.0,444.0,0.776,CR
61,2698.598,8.1687,43.3019,34000.0,471.0,0.0,444.0,0.776,CR
62,2761.5578,8.0042,43.3687,34000.0,471.0,0.0,442.0,0.776,CR
63,2802.7487,7.896,43.4125,34000.0,471.0,0.0,444.0,0.776,CR
64,2842.8241,7.7936,43.4539,34000.0,471.0,0.0,444.0,0.776,CR
65,2880.2663,7.693,43.4943,34000.0,471.0,0.0,444.0,0.776,CR
66,2926.9749,7.5721,43.5426,34000.0,470.0,0.0,444.0,0.776,CR
67,2965.0251,7.4731,43.5838,34000.0,469.0,0.0,444.0,0.776,CR
68,3007.5628,7.3726,43.6419,33978.6432,464.1457,-427.1357,442.0,0.776,CR
69,3046.201,7.2978,43.7044,34000.0,461.0,0.0,444.0,0.776,CR
70,3102.7588,7.2066,43.8026,34000.0,460.0,0.0,444.0,0.776,CR
71,3162.7839,7.1091,43.9085,34000.0,459.0,0.0,444.0,0.776,CR
72,3209.7136,7.0316,43.9923,34022.6131,457.0,452.2613,444.0,0.776,CL
73,3247.6683,6.9702,44.0585,34000.0,456.5829,0.0,444.0,0.776,CR
74,3283.9296,6.9104,44.1228,34000.0,456.0,0.0,444.0,0.776,CR
75,3328.3266,6.8418,44.2021,34000.0,454.0,0.0,444.0,0.776,CR
76,3369.8191,6.7811,44.2762,34000.0,454.0,0.0,444.0,0.776,CR
77,3406.8693,6.7258,44.3433,34000.0,453.0,0.0,444.0,0.776,CR
78,3449.8794,6.6607,44.4223,34000.0,452.9799,0.0,442.0,0.776,CR
79,3491.4925,6.6004,44.495,34000.0,453.0,0.0,442.0,0.772,CR
80,3529.0302,6.5436,44.5634,34000.0,453.0,0.0,444.0,0.776,CR
81,3568.1055,6.4851,44.6339,34000.0,453.0,0.0,444.0,0.776,CR
82,3607.1809,6.4263,44.7042,34025.0,452.0,0.0,445.9397,0.7799,CR
83,3647.0854,6.3657,44.7766,34025.0,452.0,0.0,444.0,0.78,CR
84,3708.3317,6.2745,44.8851,34000.0,451.0,0.0,444.0,0.776,CR
85,3759.7035,6.1967,44.9773,34000.0,451.0,0.0,444.0,0.776,CR
86,3808.4824,6.1219,45.0656,34000.0,449.0,0.0,444.0,0.776,CR
87,3855.5578,6.0509,45.149,33975.0,449.0,-152.6382,444.0,0.776,CR
88,3903.4221,5.9791,45.2331,34000.0,448.0,0.0,444.0,0.776,CR
89,3952.0905,5.9048,45.3199,34000.0,448.0,0.0,444.0,0.776,CR
90,3997.0452,5.838,45.3977,34000.0,447.1307,0.0,444.0,0.776,CR
91,4055.2161,5.7489,45.5008,34000.0,446.0,0.0,444.0,0.776,CR
92,4100.9347,5.6771,45.5837,34000.0,446.0,0.0,442.3116,0.772,CR
93,4151.3417,5.6006,45.6717,34000.0,446.3317,0.0,444.0,0.776,CR
94,4215.3618,5.5031,45.7834,34000.0,446.0,0.0,444.0,0.776,CR
95,4252.0804,5.4451,45.8496,34000.0,446.0,0.0,446.0,0.78,CR
96,4289.8241,5.3876,45.9149,34025.0,444.0,0.0,444.0,0.776,CR
97,4328.4372,5.3287,45.9817,34000.0,444.0,0.0,442.0,0.772,CR
98,4367.1558,5.2695,46.0487,33975.0,444.0,0.0,444.0,0.776,CR
99,4405.7186,5.2086,46.1176,33981.407,445.0,-223.1156,442.5126,0.772,CR
100,4448.7688,5.1444,46.1897,34000.0,445.0,0.0,444.0,0.776,CR
101,4484.3065,5.0858,46.2554,34000.0,445.0,0.0,444.0,0.776,CR
102,4529.2814,5.0174,46.3319,34000.0,445.0,0.0,445.4372,0.776,CR
103,4566.9698,4.9581,46.3982,34025.0,445.0,0.0,446.0,0.78,CR
104,4602.9196,4.8986,46.4641,34000.0,445.0,0.0,444.0,0.776,CR
105,4646.0955,4.8316,46.5384,34000.0,444.0,0.0,444.0,0.776,CR
106,4687.9899,4.767,46.6096,34000.0,443.0,0.0,444.0,0.776,CR
107,4725.5327,4.7071,46.6755,34000.0,443.0,0.0,444.0,0.776,CR
108,4765.4975,4.6471,46.7418,34000.0,441.0,0.0,446.0,0.78,CR
109,4805.3467,4.5882,46.8185,34003.2663,440.0,-260.804,444.0,0.776,CR
110,4843.5276,4.5368,46.8875,34000.0,439.0,0.0,442.7638,0.776,CR
111,4881.5779,4.4861,46.9554,34000.0,439.0,26.3819,444.0,0.776,CR
112,4918.0352,4.4363,47.0219,33975.0,439.0,0.0,442.8141,0.776,CR
113,4956.7588,4.3843,47.0912,34000.0,438.0,0.0,444.0,0.772,CR
114,4996.1608,4.3322,47.1603,33975.0,438.0,0.0,442.0,0.772,CR
115,5034.7236,4.2783,47.2317,34000.0,438.0,0.0,442.1106,0.772,CR
116,5074.2864,4.2242,47.3032,34000.0,440.0,0.0,445.0854,0.776,CR
117,5136.9095,4.1394,47.4149,34050.0,437.0603,0.0,448.0,0.7839,CR
118,5176.9296,4.0862,47.4845,34025.0,436.0,0.0,446.0,0.78,CR
119,5212.9849,4.0347,47.5519,34025.0,434.005,0.0,444.0,0.776,CR
120,5256.0452,3.9778,47.626,34000.0,433.0,0.0,444.0,0.776,CR
121,5293.0804,3.924,47.6958,33975.0,432.0,0.0,444.0,0.776,CR
122,5332.1307,3.8733,47.7615,33975.0,432.0,0.0,444.9347,0.776,CR
123,5369.3166,3.8216,47.8281,34000.0,430.0,0.0,444.0,0.776,CR
124,5412.6734,3.7613,47.9058,33975.0,430.0,-110.5528,444.0,0.776,CR
125,5454.3518,3.7051,47.9779,34000.0,429.0,0.0,444.0,0.776,CR
126,5496.3317,3.6449,48.0534,34025.0,428.0,0.0,448.0,0.7817,CR
127,5534.191,3.5923,48.1189,34025.0,425.0,0.0,442.0,0.772,CR
128,5583.2161,3.5271,48.1997,33975.0,425.0,0.0,442.0,0.772,CR
129,5618.4824,3.4753,48.2636,33975.0,426.0,0.0,442.0,0.7685,CR
130,5662.1658,3.4147,48.3383,34000.0,426.0,0.0,443.2663,0.776,CR
131,5703.5829,3.356,48.4105,34025.0,426.0,0.0,446.0,0.784,CR
132,5741.3166,3.3033,48.475,34050.0,424.0,0.0,448.0,0.7826,CR
133,5776.5126,3.2535,48.5357,34000.0,409.8291,0.0,438.0,0.7586,CR
134,5816.0503,3.2001,48.6006,34000.0,402.0,0.0,425.3668,0.744,CR
135,5869.9799,3.1296,48.6863,34000.0,404.0,0.0,428.392,0.7488,CR
136,5911.1256,3.0725,48.7552,34000.0,405.0,0.0,433.4171,0.756,CR
