,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2543,41.7986,0.0,17.0,0.0,134.0,0.2,GND
1,15.9497,12.2546,41.7991,0.0,23.0503,0.0,134.0,0.2,GND
2,48.7487,12.256,41.7993,0.0,23.8995,0.0,134.0,0.2,GND
3,89.2663,12.2584,41.799,0.0,27.2261,0.0,134.0,0.2,GND
4,109.2965,12.259,41.8,0.0,30.799,0.0,134.0,0.2,GND
5,123.8744,12.2595,41.8008,0.0,29.8744,0.0,134.0,0.2,GND
6,139.2462,12.26,41.8016,0.0,31.1508,0.0,134.0,0.2,GND
7,159.2412,12.2607,41.8028,0.0,18.1658,0.0,134.0,0.2,GND
8,185.7889,12.2616,41.8043,0.0,31.0,0.0,134.0,0.2,GND
9,222.4171,12.2637,41.8056,0.0,19.2965,0.0,134.0,0.2,GND
10,237.995,12.2651,41.806,0.0,15.0,0.0,134.0,0.2,GND
11,258.4472,12.2667,41.8065,0.0,15.0,0.0,134.0,0.2,GND
12,333.3719,12.2696,41.8089,0.0,23.9196,0.0,134.0,0.2,GND
13,375.3668,12.2694,41.8096,0.0,18.6332,0.0,134.0,0.2,LVL
14,390.2965,12.2654,41.8085,0.0,76.593,0.0,134.0,0.2,LVL
15,410.1156,12.2516,41.8047,0.0,154.3467,0.0,134.0,0.2,LVL
16,427.392,12.2352,41.8001,549.7487,161.0,2327.2613,134.0,0.2144,CL
17,441.7186,12.2217,41.7964,1085.9296,167.5729,2359.2965,134.0,0.2383,CL
18,459.191,12.2053,41.7908,1786.9347,168.3568,2902.0101,134.0,0.2458,CL
19,474.5678,12.1956,41.7808,2515.3266,161.4774,2500.0,134.0,0.2419,CL
20,488.9899,12.1907,41.7715,3099.7487,157.0,3007.5377,134.0,0.234,CL
21,504.3618,12.1853,41.7601,3435.4271,172.8342,2008.0402,134.0,0.2638,CL
22,522.7889,12.1773,41.7454,3833.5427,194.3417,1332.2864,134.0,0.2894,CL
23,547.5528,12.1765,41.7212,4428.2663,224.196,1619.1457,134.0,0.347,CL
24,580.5879,12.1796,41.685,5919.0955,248.206,3595.4774,134.0,0.3848,CL
25,600.1156,12.1815,41.6609,7399.3719,241.0,4785.1759,134.0,0.38,CL
26,619.8543,12.1833,41.6412,8450.3769,242.3467,3252.3331,246.0,0.3854,CL
27,641.9296,12.1888,41.6159,9563.4422,247.0,3937.1859,250.0,0.392,CL
28,670.8894,12.2213,41.5961,10991.7085,243.7035,3444.7236,252.0,0.412,CL
29,701.3568,12.2645,41.6045,12692.8392,245.8141,3049.6802,258.0,0.412,CL
30,721.7387,12.2807,41.6244,13293.4673,268.2312,1273.8693,264.9548,0.437,CL
31,736.5477,12.2915,41.6433,13597.1106,289.2111,968.4135,290.2111,0.4738,CL
32,756.5879,12.3066,41.6696,13909.799,316.9799,2608.0402,318.0,0.5089,CL
33,772.8543,12.3179,41.6919,14162.8141,337.196,775.6281,337.0251,0.544,CL
34,796.1658,12.336,41.7283,14543.2161,363.7286,1418.0276,361.4573,0.5926,CL
35,813.9648,12.3508,41.7575,15105.1508,374.1206,2864.3216,376.0,0.6085,CL
36,832.4774,12.3656,41.7868,15846.4824,378.0955,1953.7688,378.0,0.6124,CL
37,853.1407,12.3827,41.8206,16607.0352,384.0,2380.2345,384.0,0.624,CL
38,868.1357,12.395,41.8454,17129.5226,389.0452,2238.6935,386.0905,0.632,CL
39,888.0804,12.4131,41.8816,17777.5126,398.0,4447.2362,390.0,0.64,CL
40,907.9698,12.429,41.9133,18398.995,402.9899,1998.5642,393.9899,0.648,CL
41,927.8794,12.4474,41.9501,19046.9849,410.9698,1518.0905,396.0,0.6559,CL
42,947.5025,12.4657,41.9862,19708.4171,415.8894,2013.8191,401.8894,0.6638,CL
43,963.7588,12.4801,42.0149,20191.9598,421.7588,1979.8995,404.0,0.6717,CL
44,978.6834,12.494,42.0424,20689.4472,423.8945,2000.0,406.0,0.6756,CL
45,997.0854,12.5099,42.0741,21180.402,428.7387,1411.7014,407.7387,0.676,CL
46,1021.1307,12.5321,42.118,21732.1608,437.2211,1394.4724,413.3769,0.6874,CL
47,1037.2764,12.5479,42.149,22156.9095,441.0,1500.0,414.3618,0.692,CL
48,1058.3216,12.5698,42.1921,22648.4925,448.1759,1225.1643,417.5879,0.6992,CL
49,1075.0754,12.5863,42.2246,22963.4422,454.7688,807.7889,420.0,0.7031,CL
50,1094.206,12.6064,42.2639,23323.7437,462.9749,1428.715,423.4874,0.711,CL
51,1110.4372,12.6234,42.2964,23660.9296,467.7186,1394.4724,425.4372,0.7149,CL
52,1131.3869,12.6457,42.3381,24134.6734,473.0,1500.0,428.0,0.72,CL
53,1146.005,12.6621,42.3684,24433.4171,477.6683,1041.4573,430.0,0.7267,CL
54,1170.2864,12.6898,42.4195,24998.2412,483.0,1982.4121,432.7136,0.732,CL
55,1194.2362,12.7157,42.4675,25465.4523,489.2362,860.1662,435.2362,0.736,CL
56,1210.1508,12.7348,42.5031,25799.1206,493.1859,1856.425,436.8141,0.74,CL
57,1233.1357,12.7606,42.5516,26242.5879,499.5678,1648.0617,439.1357,0.748,CL
58,1249.2563,12.7797,42.5875,26631.407,503.0854,1842.9648,442.0,0.752,CL
59,1273.1407,12.8081,42.6402,27089.6985,509.0352,1208.8568,442.9648,0.76,CL
60,1298.9698,12.8371,42.6939,27736.1809,511.0,2054.0201,446.0,0.764,CL
61,1319.206,12.8612,42.7384,28253.5176,511.4673,1655.7789,448.0,0.7699,CL
62,1337.7688,12.8841,42.7809,28708.1658,513.0,1334.1709,450.0,0.776,CL
63,1358.0854,12.9077,42.8243,29112.5628,516.0,1450.2513,454.0,0.7823,CL
64,1377.3518,12.9292,42.8639,29722.9899,510.2161,1614.0075,454.4322,0.7824,CL
65,1401.8342,12.9603,42.9208,30602.5126,504.6332,2229.6482,450.0,0.78,CL
66,1418.4422,12.981,42.9587,31094.598,502.6583,3514.3023,450.0,0.7814,CL
67,1441.5829,13.0068,43.0059,31822.4874,496.6834,1594.9749,448.6332,0.78,CL
68,1466.0402,13.0345,43.0565,32640.5779,489.1256,2262.5987,450.0,0.78,CL
