,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,12.2649,41.7988,0.0,0.0,0.0,0.0,0.0,GND
1,41.5779,12.2649,41.7988,0.0,0.0,0.0,0.0,0.0,GND
2,136.9296,12.265,41.7989,0.0,5.5377,0.0,0.0,0.0,GND
3,159.9648,12.2655,41.7992,0.0,15.9648,0.0,0.0,0.0,GND
4,178.5729,12.2652,41.7997,0.0,21.6432,0.0,0.0,0.0,GND
5,203.0201,12.2647,41.8007,0.0,18.5879,0.0,0.0,0.0,GND
6,236.8945,12.2641,41.802,0.0,28.9648,0.0,0.0,0.0,GND
7,258.6281,12.2638,41.8033,0.0,31.0,0.0,0.0,0.0,GND
8,284.2864,12.2627,41.8039,0.0,27.5729,0.0,0.0,0.0,GND
9,306.8945,12.2608,41.8034,0.0,16.0,0.0,0.0,0.0,GND
10,327.6482,12.2587,41.8028,0.0,18.0,0.0,0.0,0.0,GND
11,351.8442,12.2559,41.8021,0.0,19.0,0.0,0.0,0.0,GND
12,371.7186,12.2537,41.8014,0.0,19.0,0.0,0.0,0.0,GND
13,393.2714,12.2517,41.8009,0.0,15.0,0.0,0.0,0.0,GND
14,415.005,12.2502,41.8011,0.0,18.7487,0.0,0.0,0.0,GND
15,434.8844,12.2494,41.8011,0.0,20.6482,0.0,0.0,0.0,GND
16,454.2915,12.248,41.8009,0.0,32.1457,0.0,0.0,0.0,GND
17,476.201,12.2461,41.8003,0.0,16.0,0.0,0.0,0.0,GND
18,500.6834,12.244,41.7997,0.0,29.1055,0.0,0.0,0.0,GND
19,518.608,12.244,41.7988,0.0,27.9447,0.0,0.0,0.0,GND
20,554.7286,12.2416,41.7978,0.0,15.0,0.0,0.0,0.0,GND
21,612.8844,12.2394,41.7954,0.0,32.0,0.0,0.0,0.0,GND
22,643.7638,12.24,41.7935,0.0,32.5377,0.0,0.0,0.0,GND
23,666.4925,12.2393,41.7925,0.0,32.397,0.0,0.0,0.0,GND
24,687.5779,12.2399,41.791,0.0,17.0,0.0,0.0,0.0,GND
25,708.2211,12.2406,41.7892,0.0,21.0201,0.0,0.0,0.0,GND
26,733.3618,12.2417,41.7868,0.0,21.1809,0.0,0.0,0.0,GND
27,754.6834,12.2425,41.7848,0.0,19.3417,0.0,0.0,0.0,GND
28,776.0101,12.2427,41.7833,0.0,24.4523,0.0,0.0,0.0,GND
29,834.3166,12.2418,41.783,0.0,0.0,0.0,0.0,0.0,GND
30,864.4724,12.2405,41.7827,0.0,26.7035,0.0,0.0,0.0,GND
31,885.9246,12.24,41.783,0.0,0.0,0.0,0.0,0.0,GND
32,904.2915,12.24,41.783,0.0,0.0,0.0,0.0,0.0,LVL
33,938.9196,12.2365,41.7913,725.0,121.3719,0.0,0.0,0.0,LVL
34,965.402,12.2293,41.8082,1391.8342,149.9347,2600.5025,0.0,0.0,CL
35,995.1407,12.2173,41.8289,2575.6281,173.2814,2251.2563,0.0,0.248,CL
36,1024.3668,12.1858,41.8352,3523.6181,196.5779,2334.1709,0.0,0.26,CL
37,1049.8492,12.1548,41.8398,4372.4874,221.6985,1033.5008,0.0,0.2714,CL
38,1068.5528,12.1269,41.8441,4677.6382,260.4422,1332.2864,0.0,0.3462,CL
