,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5644,50.0445,0.0,0.0,0.0,0.0,0.0,GND
1,44.8353,8.5642,50.0447,0.0,1.7035,0.0,0.0,0.0,GND
2,91.9481,8.564,50.0452,0.0,0.407,0.0,0.0,0.0,GND
3,136.9762,8.5645,50.0456,0.0,1.407,0.0,0.0,0.0,GND
4,288.407,8.5644,50.0454,0.0,2.9146,0.0,0.0,0.0,GND
5,327.4599,8.5623,50.0448,0.0,9.2312,0.0,0.0,0.0,GND
6,367.1289,8.5606,50.0434,0.0,5.6985,0.0,0.0,0.0,GND
7,407.6629,8.5628,50.0417,0.0,0.2764,0.0,0.0,0.0,GND
8,448.7842,8.5658,50.042,0.0,5.4874,0.0,0.0,0.0,GND
9,487.5528,8.5713,50.0433,0.0,25.0,0.0,0.0,0.684,GND
10,527.5102,8.5782,50.045,0.0,17.6382,0.0,0.0,0.0,GND
11,566.3862,8.5841,50.0464,0.0,2.9548,0.0,0.0,0.1822,GND
12,602.4422,8.586,50.0457,0.0,11.0,0.0,0.0,0.6944,GND
13,642.6866,8.5856,50.0448,0.0,0.0,0.0,0.0,0.2826,GND
14,681.76,8.5816,50.0439,0.0,2.8141,0.0,0.0,0.0344,GND
15,741.7611,8.5216,50.0292,1464.6985,166.9838,1449.9338,0.0,0.1387,CL
16,792.507,8.4797,49.9977,2652.1357,208.3353,237.7378,0.0,0.0256,CL
17,843.5694,8.4642,49.9465,4373.995,226.8398,2920.4997,0.0,0.2273,CL
18,909.8501,8.3817,49.9102,6519.2211,251.0649,2072.2164,54.8342,0.0876,CL
19,966.2814,8.3301,49.967,8397.2362,272.1584,2169.5019,0.0,0.0,CL
20,1034.4172,8.2836,50.0499,10733.9196,294.5685,1260.8516,110.603,0.1713,CL
21,1090.3618,8.338,50.1244,11861.809,342.0149,1858.2176,0.0,0.0,CL
22,1152.6831,8.4183,50.2105,14161.1809,354.4024,1790.2123,0.0,0.0,CL
23,1222.1749,8.5119,50.3102,16485.5528,366.2444,2303.5688,0.0,0.0,CL
24,1277.1603,8.5875,50.3905,18337.8141,370.1707,1669.1073,251.2563,0.4045,CL
25,1335.9003,8.6704,50.4779,19994.598,379.9818,3682.1818,331.2563,0.5339,CL
26,1383.4526,8.7387,50.5497,21163.191,389.0353,1138.7529,98.7236,0.1606,CL
27,1434.8428,8.8146,50.6292,22366.4573,396.1648,1389.6031,0.0,0.0,CL
28,1493.598,8.9046,50.723,23739.9497,403.0,2037.6193,434.0,0.712,CL
29,1544.402,8.9604,50.8097,24848.3668,403.0,1541.5434,442.0,0.728,CL
30,1592.1055,9.0022,50.8952,25628.5176,411.0,1093.8568,450.0,0.744,CL
31,1639.5214,9.0446,50.982,26515.0754,414.3763,755.4957,179.4372,0.2985,CL
32,1687.231,9.0876,51.0698,27304.2714,419.1158,1081.4315,381.407,0.6368,CL
33,1729.0528,9.126,51.1477,28180.402,417.183,1082.0345,336.8442,0.5732,CL
34,1771.8549,9.1647,51.2261,28957.6633,416.2518,1007.8122,320.3819,0.5409,CL
35,1819.9534,9.208,51.3136,29809.2965,415.7227,1263.8432,0.0,0.0,CL
36,1868.8981,9.2521,51.4022,30972.1106,405.1749,1261.6892,255.4673,0.4351,CL
37,1908.0302,9.287,51.472,31600.5025,404.0,627.2259,456.0,0.78,CL
38,1955.8814,9.3297,51.5575,32414.4472,401.0004,3561.5299,262.3618,0.4508,CL
39,1999.4396,9.3679,51.6336,32975.0,399.2077,0.0,65.8693,0.1137,CR
40,2034.1407,9.3992,51.6954,33000.0,397.0,0.0,450.0,0.7771,CR
41,2072.6529,9.4328,51.7618,33000.0,398.0407,0.0,323.3668,0.5576,CR
42,2111.4335,9.4674,51.83,33000.0,399.2065,0.0,68.1407,0.1176,CR
43,2157.0193,9.5082,51.9101,33000.0,399.1417,0.0,188.5226,0.3253,CR
44,2199.3937,9.5464,51.9845,33000.0,399.6723,0.0,6.8442,0.0118,CR
45,2233.6892,9.5775,52.0452,33013.8191,399.3053,678.951,249.8492,0.0265,CL
46,2268.4717,9.6087,52.106,33000.0,399.6003,0.0,54.5126,0.0941,CL
47,2305.1242,9.642,52.1705,33000.0,399.4699,0.0,140.8241,0.243,CR
48,2342.3024,9.6756,52.2357,33000.0,398.1497,0.0,336.1608,0.5801,CR
49,2386.5548,9.7165,52.3142,33000.0,397.124,0.0,372.5025,0.6428,CR
50,2426.4205,9.7523,52.383,33000.0,396.5023,0.0,176.3819,0.3042,CR
51,2462.8101,9.7853,52.4464,33000.0,396.793,0.0,18.1709,0.0312,CR
52,2502.9169,9.8221,52.5167,33000.0,396.4359,0.0,213.5075,0.3684,CR
53,2544.2424,9.8599,52.5882,33000.0,395.0695,0.0,408.8442,0.7019,CR
54,2583.6502,9.8962,52.6572,33000.0,395.245,0.0,299.8191,0.5147,CR
55,2623.2402,9.9327,52.7262,33000.0,396.191,0.0,347.5176,0.5997,CR
56,2662.7705,9.9689,52.7945,33000.0,397.0367,0.0,90.8543,0.1568,CR
57,2701.2487,10.0049,52.8619,33000.0,397.0291,0.0,166.5427,0.2861,CR
58,2739.7826,10.0407,52.929,33023.3668,397.003,275.4587,424.3417,0.7328,CR
59,2776.5754,10.0751,52.993,33025.0,396.1943,0.0,225.8593,0.388,CR
60,2816.1,10.1124,53.0622,33001.7588,396.0117,-274.4074,422.0603,0.7288,CR
61,2853.2764,10.1471,53.1266,33000.0,395.0,0.0,454.0,0.78,CR
62,2899.6117,10.1905,53.2068,33000.0,395.1046,0.0,302.5025,0.0381,CR
63,2935.1484,10.2242,53.2686,33000.0,394.1466,0.0,102.6633,0.1764,CR
64,2979.3311,10.2679,53.3454,33000.0,394.8732,0.0,297.5477,0.5135,CR
65,3016.8184,10.3101,53.4093,33000.0,394.037,0.0,411.1156,0.7058,CR
66,3063.4215,10.3614,53.4871,32975.0,393.0434,0.0,236.2211,0.4055,CR
67,3098.0933,10.4001,53.5456,32975.0,394.0185,0.0,431.5578,0.7409,CR
68,3134.8518,10.4413,53.6076,33000.0,394.1583,0.0,277.1055,0.4782,CR
69,3176.1272,10.488,53.6776,33000.0,394.074,0.0,371.8693,0.6389,CR
70,3210.995,10.5278,53.7372,33025.0,393.0,0.0,454.0,0.78,CR
71,3248.6332,10.5705,53.8008,33025.0,394.0,0.0,452.0,0.78,CR
72,3284.1768,10.6102,53.8597,33002.8894,393.0908,-330.3369,0.0,0.0,CR
73,3320.9927,10.6522,53.9218,33000.0,391.9965,0.0,247.5779,0.4272,CR
74,3360.0157,10.6967,53.9876,33000.0,390.0135,0.0,442.9146,0.7643,CR
75,3395.9843,10.7376,54.0478,33000.0,390.3962,0.0,186.2513,0.3198,CR
76,3431.7422,10.7782,54.1074,32975.0,391.0956,0.0,70.1005,0.1209,CR
77,3467.9201,10.8201,54.1686,32975.0,391.9978,0.0,325.6281,0.5615,CR
78,3505.3248,10.8631,54.2312,33000.0,392.3058,0.0,132.3216,0.2273,CR
79,3547.9484,10.9122,54.3025,33025.0,391.0778,0.0,390.1206,0.6703,CR
80,3585.7085,10.9565,54.3666,33025.0,391.0,0.0,454.0,0.7817,CR
81,3623.9852,11.0003,54.4297,33025.0,390.0034,0.0,449.7286,0.7761,CR
82,3662.4176,11.0453,54.4943,33000.0,389.3237,0.0,197.608,0.341,CR
83,3700.396,11.0896,54.5577,33000.0,389.0752,0.0,392.9447,0.6781,CR
84,3739.1227,11.1345,54.6219,33000.0,389.4018,0.0,136.2814,0.234,CR
85,3776.2891,11.1779,54.6836,33000.0,389.422,0.0,120.3819,0.2067,CR
86,3816.8342,11.2263,54.7523,33000.0,389.0,0.0,392.4422,0.1687,CR
87,3855.2711,11.2711,54.8155,33000.0,390.0088,0.0,181.7085,0.3136,CR
88,3889.8895,11.3126,54.8739,33000.0,390.0004,0.0,438.3719,0.7565,CR
89,3927.8951,11.357,54.9362,33000.0,391.1539,0.0,243.0352,0.4194,CR
90,3969.2152,11.4062,55.0052,33025.0,391.0351,0.0,406.0905,0.6977,CR
91,4006.0684,11.4508,55.0674,33025.0,390.1483,0.0,304.3618,0.5252,CR
92,4047.1621,11.4999,55.1353,33000.0,390.2155,0.0,289.1005,0.0364,CR
93,4083.4331,11.5434,55.1955,33000.0,390.0867,0.0,365.6884,0.6311,CR
94,4123.6533,11.5921,55.2627,33000.0,389.3584,0.0,169.598,0.294,CR
95,4161.3434,11.6376,55.3251,33000.0,389.8063,0.0,24.9849,0.0431,CR
96,4196.0251,11.6799,55.3831,33000.0,390.458,0.0,219.3467,0.3783,CR
97,4233.016,11.7247,55.4442,33000.0,390.2155,0.0,36.1809,0.0624,CR
98,4267.4585,11.767,55.5019,32983.794,391.0734,-432.1608,158.2915,0.273,CR
99,4311.2077,11.8258,55.5742,33000.0,395.1097,0.0,354.3317,0.6115,CR
100,4345.5435,11.8806,55.6283,33025.0,397.2082,0.0,97.6683,0.1685,CR
101,4382.3324,11.9406,55.6875,33025.0,396.2906,0.0,293.005,0.5056,CR
102,4419.6922,12.0005,55.7464,33025.0,396.0664,0.0,415.6583,0.7173,CR
103,4453.9549,12.0556,55.8002,33025.0,395.973,0.0,220.3216,0.3802,CR
104,4491.3359,12.1162,55.8593,33000.0,394.5941,0.0,24.8744,0.0429,CR
105,4525.9958,12.1729,55.9144,33000.0,395.0426,0.0,169.598,0.2925,CR
106,4560.4327,12.229,55.9687,33000.0,394.0362,0.0,365.6884,0.6311,CR
107,4594.6518,12.2844,56.0222,33000.0,394.1438,0.0,108.5427,0.1872,CR
108,4632.3817,12.3456,56.0812,33000.0,393.3106,0.0,0.0,0.0,CR
109,4674.475,12.4145,56.1472,33000.0,392.3861,0.0,47.6985,0.0823,CR
110,4713.6512,12.4785,56.2084,33013.4422,392.4316,-161.9872,0.0,0.0,CR
111,4752.6433,12.5426,56.2693,33000.7538,390.2273,-907.996,13.6281,0.0235,DE
112,4796.9134,12.6148,56.3378,33000.0,388.0149,0.0,267.8995,0.464,DE
113,4843.3018,12.691,56.4097,32975.0,387.0991,0.0,375.3769,0.6473,CR
114,4879.6628,12.7506,56.4656,32975.0,387.1592,0.0,330.1508,0.5693,CR
115,4914.9907,12.8085,56.52,33000.0,387.4175,0.0,135.6784,0.234,CR
116,4953.2601,12.8716,56.5788,33000.0,387.3286,0.0,58.794,0.1019,CR
117,4989.8767,12.9322,56.6351,33000.0,387.2127,0.0,196.7337,0.3393,CR
118,5029.806,12.9982,56.6963,33000.0,387.376,0.0,2.2613,0.0039,CR
119,5067.3941,13.0612,56.7545,33000.0,387.2165,0.0,192.2111,0.3332,CR
120,5112.4395,13.1357,56.8229,33025.0,386.8766,0.0,0.0,0.0,CR
121,5151.5788,13.2016,56.8833,33000.0,385.1807,-171.1099,320.2613,0.5527,CR
122,5189.3552,13.2643,56.9406,33000.0,384.5363,0.0,124.9246,0.2156,CR
123,5226.4339,13.3262,56.9969,33000.0,384.099,0.0,70.1005,0.1215,CR
124,5262.0446,13.3863,57.0512,33000.0,383.507,0.0,185.4271,0.3214,CR
125,5299.8035,13.4491,57.1079,33000.0,382.9837,0.0,9.0452,0.0157,CR
126,5337.6833,13.5128,57.1652,33000.0,382.1045,0.0,0.0,0.0,CR
127,5374.1653,13.574,57.2201,33000.0,381.2256,0.0,0.0,0.0,CR
128,5415.5392,13.6441,57.2828,33000.0,381.6047,0.0,142.4623,0.2457,CR
129,5450.0804,13.7024,57.3345,33000.0,381.0015,0.0,335.4372,0.581,CR
130,5489.3374,13.7684,57.3931,32975.0,381.2256,-392.223,0.0,0.0,DE
131,5528.3512,13.8352,57.4522,32990.3266,382.1255,-166.209,274.6533,0.4757,CR
132,5574.6629,13.9142,57.5215,33000.0,382.3096,0.0,20.3518,0.0353,CR
133,5608.1309,13.9715,57.5718,33011.9347,383.1062,-362.2549,214.8241,0.3705,DE
134,5643.8287,14.0331,57.6256,33000.0,383.7022,0.0,0.0,0.0,CR
135,5683.7437,14.1034,57.6865,33025.0,384.1031,0.0,296.2312,0.5135,CR
136,5717.6697,14.1617,57.7371,33025.0,384.2335,0.0,101.7588,0.1764,CR
137,5755.0745,14.2285,57.7938,33025.0,386.7157,0.0,357.2864,0.6193,CR
138,5790.1027,14.3033,57.842,33025.0,393.3384,0.0,162.8141,0.2822,CR
139,5828.0747,14.3893,57.893,33000.0,392.197,0.0,31.5176,0.0546,CR
140,5867.7603,14.4795,57.9465,33000.0,391.2778,0.0,222.8744,0.3861,CR
141,5901.7877,14.5567,57.9921,32975.0,392.1981,0.0,29.1357,0.0504,CR
142,5938.0943,14.6413,58.0417,32975.0,392.0777,0.0,282.392,0.4888,CR
143,5980.6107,14.7372,58.0978,33000.0,392.696,271.0295,90.0503,0.156,CL
144,6018.0905,14.8236,58.1481,33000.0,392.6697,0.0,103.5578,0.1794,CR
145,6054.8395,14.9091,58.1977,33000.0,392.4321,0.0,150.8342,0.2613,CR
146,6088.9221,14.9873,58.2429,33025.0,392.5892,0.0,42.7739,0.0741,CR
147,6130.9225,15.0859,58.2997,33025.0,391.9963,0.0,201.0302,0.0253,CR
148,6167.0264,15.1689,58.3472,33000.0,391.0134,0.0,429.9899,0.7448,CR
149,6203.608,15.2546,58.3961,32534.799,389.0,-1748.3899,406.4774,0.3318,DE
150,6239.2652,15.3362,58.4427,31595.603,390.2344,-1604.6081,367.5578,0.6329,DE
151,6274.876,15.4199,58.4901,30556.407,390.1164,-2735.0117,330.2111,0.5652,DE
152,6319.9154,15.5235,58.5483,29268.8442,381.7587,-1404.6157,298.7839,0.5342,DE
153,6355.4441,15.6044,58.5939,28290.0754,376.0472,-1561.0532,376.3819,0.6332,DE
154,6389.1257,15.6812,58.6369,27286.1809,373.7921,729.0912,231.0553,0.4289,CL
155,6425.0436,15.7636,58.6829,26123.8693,374.0129,-3963.1641,407.7588,0.7643,DE
156,6462.8924,15.8473,58.7293,24860.4271,369.0587,-3845.3693,236.6633,0.3917,DE
157,6500.2344,15.931,58.7756,23592.4623,362.0165,-2220.2175,338.0,0.5571,DE
158,6543.0809,16.0236,58.8268,22210.1759,353.152,-2102.3481,281.6884,0.4599,DE
159,6575.8593,16.0942,58.8655,21046.3568,349.0,-2856.6876,384.0,0.628,DE
160,6614.6858,16.1758,58.9102,19760.9296,344.0454,-1901.5768,322.9146,0.5228,DE
161,6649.1878,16.2476,58.9495,18882.7889,334.9317,-574.8215,0.0,0.0,DE
162,6682.9905,16.3171,58.9871,18050.2513,333.0011,-1582.5021,360.3417,0.5821,DE
163,6721.6663,16.3968,59.0303,17069.2211,333.0466,-1453.1487,201.9196,0.4328,DE
164,6760.4273,16.5036,59.0577,16087.4372,359.7476,-869.7204,0.0,0.0,DE
165,6799.1834,16.6212,59.0794,14805.6533,354.8892,-1906.0243,241.3266,0.3883,DE
166,6835.4401,16.7265,59.1013,13643.4673,349.2698,-1875.6558,90.9347,0.1453,DE
167,6869.0016,16.8233,59.1216,12658.5427,341.7304,-1471.7785,58.4322,0.0923,DE
168,6903.6985,16.9197,59.142,12000.0,325.6478,-516.8701,128.6231,0.2048,DE
169,6939.9093,17.0148,59.1622,11476.7588,303.1083,-1148.1017,295.2362,0.4631,DE
170,6973.4555,17.0972,59.1804,10746.7337,295.2487,-967.0136,155.5377,0.2429,DE
171,7010.004,17.1839,59.2005,9844.9749,291.1239,-893.4533,28.5427,0.0454,DE
172,7046.7589,17.2706,59.2221,9024.8744,289.8672,-1199.1837,189.809,0.2941,DE
173,7083.1901,17.357,59.2435,8225.0,292.0039,-1145.7286,212.3417,0.3361,DE
174,7117.0165,17.4361,59.2632,7509.799,288.4221,-1276.658,54.0905,0.0854,DE
175,7153.1156,17.52,59.2844,6756.407,282.0,-371.8593,274.7437,0.424,DE
176,7187.8808,17.5986,59.2997,6301.5075,261.1479,-712.9731,246.201,0.3684,DE
177,7223.8603,17.6805,59.3055,5812.3116,249.0862,-1042.0003,118.191,0.1871,DE
178,7258.9885,17.7574,59.3114,5173.1156,239.8704,-1057.8822,18.0905,0.0283,DE
179,7292.4472,17.8028,59.3395,4475.0,241.5239,-475.7119,84.201,0.1299,DE
180,7328.6332,17.8195,59.3768,4119.7236,218.1558,-105.5276,221.7789,0.3223,LVL
181,7363.7132,17.8315,59.4092,3800.0,189.2351,-122.7001,160.4523,0.2181,LVL
182,7397.6678,17.8411,59.4363,3541.3317,173.3815,-145.6864,58.2513,0.0888,LVL
183,7431.7216,17.8507,59.4633,3325.0,175.7145,0.0,14.0101,0.0219,LVL
184,7466.8918,17.8609,59.4918,2900.8794,175.973,-1093.5969,80.0804,0.1254,DE
185,7502.0264,17.8706,59.5189,2297.4874,169.5973,-1047.6489,8.1407,0.0125,DE
186,7535.7525,17.88,59.5451,1759.5477,169.1563,-1772.5694,98.8945,0.1558,DE
187,7570.1301,17.8892,59.5706,1245.3518,155.2752,-838.4488,27.5176,0.0424,DE
188,7604.5065,17.8978,59.5946,725.0,152.3695,-220.9011,36.4422,0.0561,DE
189,7639.0991,17.9063,59.6182,216.9598,146.8255,-917.5039,47.598,0.072,CL
190,7679.7859,17.9161,59.6451,-24.8744,137.4493,5831.7083,126.3015,0.1992,CL
191,7720.2145,17.9207,59.6578,0.0,15.7387,0.0,39.0754,0.1216,GND
192,7754.3147,17.9234,59.6591,0.0,0.3769,0.0,1.809,0.0056,GND
193,7788.5562,17.9241,59.6572,0.0,6.5126,0.0,29.3065,0.0912,GND
194,7822.7806,17.923,59.6543,0.0,3.2161,0.0,11.5779,0.036,GND
195,7857.0587,17.9241,59.6529,0.0,2.7136,0.0,19.5377,0.0608,GND
196,7891.5257,17.9269,59.6524,0.0,7.0352,0.0,50.6533,0.1576,GND
197,7926.3501,17.9283,59.6517,0.0,0.9497,0.0,9.7688,0.0304,GND
198,7960.7092,17.9281,59.6513,0.0,0.5678,0.0,40.8844,0.1272,GND
199,7995.0,17.9282,59.6512,0.0,0.0,0.0,72.0,0.224,NA
