,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5856,50.0501,0.0,2.0,0.0,0.0,0.0,GND
1,32.8492,8.5858,50.0497,0.0,3.0,0.0,0.0,0.0,GND
2,81.1709,8.5855,50.0492,0.0,2.0,0.0,0.0,0.0,GND
3,137.608,8.5854,50.0492,0.0,0.0,0.0,0.0,0.0,GND
4,227.5477,8.5862,50.0493,0.0,7.0,0.0,0.0,0.0,GND
5,264.9347,8.5872,50.0483,0.0,5.3116,0.0,0.0,0.0,GND
6,298.0955,8.5877,50.0471,0.0,11.0,0.0,0.0,0.0,GND
7,332.9447,8.5864,50.0453,0.0,15.0,0.0,0.0,0.0,GND
8,456.397,8.5836,50.0443,0.0,45.6834,0.0,0.0,0.0,GND
9,583.608,8.4816,49.9876,3439.3216,203.1608,3407.0352,0.0,0.324,CL
10,784.6935,8.33,50.017,12586.1809,296.809,2033.5733,298.4322,0.4654,CL
11,868.5126,8.4195,50.1291,15712.8141,346.5126,2140.201,340.8543,0.545,CL
12,977.191,8.5633,50.2963,19468.4673,391.0955,2218.3325,383.809,0.62,CL
13,1021.0603,8.6237,50.366,21052.5126,400.0101,2500.0,396.0402,0.636,CL
14,1084.9447,8.7166,50.4729,22885.4271,421.4724,1854.2714,415.1658,0.676,CL
15,1131.4774,8.786,50.5546,24007.0352,436.0,2039.7523,430.0,0.7,CL
16,1178.794,8.8478,50.6403,25939.6985,427.0,2396.9849,426.0,0.7,CL
17,1218.7337,8.8991,50.7108,27261.3065,425.0,1839.196,422.2814,0.7006,CL
18,1254.9296,8.9457,50.7763,28289.3216,426.0,1660.804,421.3568,0.7013,CL
19,1319.9196,9.0283,50.8925,30028.392,427.7839,1264.8241,427.5678,0.72,CL
20,1371.4774,9.096,50.9874,31111.9347,432.0,1217.3367,430.5226,0.732,CL
21,1421.8342,9.16,51.0766,32538.5678,423.2915,1828.1587,440.5025,0.7332,CL
22,1469.8543,9.2221,51.1629,33662.8141,420.0,900.0,424.3417,0.7273,CL
23,1563.9648,9.341,51.3271,35460.804,415.0,971.2197,418.7337,0.728,CL
24,1603.3819,9.391,51.3957,36204.7739,413.0,1040.7394,416.9548,0.728,CL
25,1645.7889,9.4445,51.4688,36802.8894,413.0,583.4171,415.1156,0.728,CL
26,1687.2412,9.4979,51.5416,37153.0151,417.0,382.5377,417.9598,0.7318,CL
27,1746.8945,9.5751,51.6465,37674.1206,421.0,551.7588,420.0,0.7381,CL
28,1827.6683,9.6822,51.7909,38272.2362,426.0,513.8191,426.0,0.752,CL
29,1887.4422,9.762,51.8979,38645.3518,426.0,457.6454,423.1859,0.748,CL
30,1933.3467,9.8231,51.9794,38993.4673,426.0,600.0,421.7387,0.748,CL
31,1987.995,9.8974,52.0782,39000.0,436.3317,0.0,432.6633,0.7693,CR
32,2022.9698,9.9456,52.142,39000.0,442.794,0.0,439.5879,0.7792,CR
33,2057.0251,9.9941,52.2059,39000.0,445.2563,0.0,442.0,0.784,CR
34,2090.593,10.0421,52.269,39000.0,447.7186,0.0,446.0,0.7909,CR
35,2132.3618,10.102,52.3474,39000.0,447.0,0.0,446.0,0.7887,CR
36,2169.2864,10.1549,52.4165,39000.0,448.0,0.0,444.7136,0.788,CR
37,2211.4221,10.2151,52.4949,39000.0,447.0,0.0,446.0,0.7916,CR
38,2253.7035,10.2756,52.5732,39000.0,446.0,0.0,444.0,0.788,CR
39,2299.0905,10.3412,52.6579,39000.0,446.0,0.0,444.0,0.788,CR
40,2333.9698,10.3919,52.723,39000.0,447.0,0.0,446.0,0.79,CR
41,2367.7286,10.4411,52.786,39000.0,448.0,0.0,444.0,0.788,CR
42,2405.7538,10.4976,52.858,39000.0,449.4171,0.0,443.1658,0.7863,CR
43,2450.6382,10.5638,52.9422,39000.0,450.0,0.0,444.0,0.788,CR
44,2485.0251,10.6145,53.0064,39000.0,451.0,0.0,442.6834,0.788,CR
45,2519.0201,10.6652,53.0704,39000.0,452.0,0.0,446.0,0.792,CR
46,2554.8643,10.719,53.138,39000.0,451.0,0.0,444.9347,0.7899,CR
47,2598.9146,10.7845,53.2202,39000.0,451.2714,0.0,444.5427,0.792,CR
48,2643.9548,10.8529,53.3054,39000.0,451.0,0.0,444.0,0.788,CR
49,2721.2663,10.9695,53.4501,39000.0,453.0,0.0,444.0,0.788,CR
50,2764.1156,11.0347,53.5305,39000.0,452.0,0.0,446.0,0.792,CR
51,2801.7337,11.0925,53.6014,39000.0,451.0,0.0,444.0,0.788,CR
52,2836.1206,11.1461,53.667,39000.0,451.0,0.0,444.0,0.788,CR
53,2873.005,11.2022,53.7354,39000.0,451.0,0.0,444.0,0.788,CR
54,2918.6834,11.2722,53.8205,39000.0,453.0,0.0,444.0,0.7881,CR
55,2953.7085,11.3274,53.8871,39000.0,453.0,0.0,444.0,0.788,CR
56,2999.4472,11.3989,53.9732,39000.0,455.0,0.0,444.0,0.788,CR
57,3039.1106,11.4609,54.0475,39000.0,453.0,0.0,446.0,0.792,CR
58,3075.0704,11.5173,54.1148,39000.0,449.0,0.0,444.3719,0.7887,CR
59,3119.6583,11.5864,54.1971,39000.0,447.0,0.0,444.0,0.792,CR
60,3162.9548,11.6536,54.2768,39000.0,447.0,0.0,442.0,0.788,CR
61,3194.603,11.7037,54.3358,39000.0,448.799,0.0,444.0,0.7912,CR
62,3238.6533,11.7738,54.4176,39000.0,449.0,0.0,443.3266,0.788,CR
63,3278.3769,11.8603,54.4839,39000.0,466.1256,0.0,442.2513,0.788,CR
64,3314.9397,11.9559,54.5405,39000.0,468.0,0.0,444.0,0.788,CR
65,3351.2513,12.0501,54.5956,39000.0,468.0,0.0,444.1005,0.7882,CR
66,3385.0503,12.1399,54.6478,39000.0,468.0,0.0,444.0,0.788,CR
67,3421.9246,12.239,54.7052,39000.0,468.0,0.0,444.0,0.788,CR
68,3456.0603,12.3283,54.7566,39000.0,468.4372,0.0,444.0,0.788,CR
69,3495.4975,12.4324,54.8163,39000.0,470.0,0.0,445.799,0.7916,CR
70,3553.8945,12.589,54.9057,39000.0,468.0,0.0,443.2764,0.788,CR
71,3591.2965,12.6887,54.9623,39000.0,469.0,0.0,444.0,0.788,CR
72,3625.005,12.7801,55.014,39000.0,469.0,0.0,444.0,0.788,CR
73,3665.4975,12.8884,55.0749,39000.0,468.0,0.0,445.4975,0.791,CR
74,3700.2663,12.9822,55.1275,39000.0,468.0,0.0,444.0,0.788,CR
75,3743.0201,13.098,55.1921,39000.0,470.0,0.0,444.0,0.788,CR
76,3783.6784,13.21,55.2543,39000.0,470.0,0.0,444.2714,0.7885,CR
77,3822.5879,13.3143,55.312,39000.0,468.402,0.0,444.804,0.792,CR
78,3865.4824,13.4314,55.3765,39000.0,465.9397,0.0,444.1206,0.792,CR
79,3905.6131,13.5404,55.4375,39000.0,466.0,0.0,444.0,0.788,CR
80,3939.9548,13.6326,55.4889,39000.0,468.0,0.0,444.0,0.788,CR
81,3974.3417,13.7267,55.5411,39000.0,469.0,0.0,444.0,0.788,CR
82,4012.3668,13.8315,55.5989,39000.0,471.0,0.0,444.0,0.788,CR
83,4046.1156,13.9242,55.6498,39000.0,471.6281,0.0,445.2563,0.7945,CR
84,4083.3367,14.0265,55.7057,39000.0,468.0,0.0,447.3367,0.7913,CR
85,4117.4824,14.1228,55.7582,39000.0,472.0,0.0,442.0,0.784,CR
86,4150.5176,14.214,55.8077,39000.0,473.0,0.0,444.0,0.788,CR
87,4193.8844,14.3343,55.8727,39000.0,474.0,0.0,446.0,0.792,CR
88,4227.1005,14.4292,55.9237,39000.0,474.6834,0.0,442.0,0.784,CR
89,4260.7286,14.5233,55.9741,39000.0,476.1457,0.0,442.2915,0.7846,CR
90,4297.8643,14.6292,56.0306,39000.0,478.0,0.0,446.0,0.792,CR
91,4340.0704,14.7511,56.0952,39000.0,479.0,0.0,446.0,0.792,CR
92,4374.598,14.8513,56.1481,39000.0,478.0,0.0,445.0653,0.7901,CR
93,4405.9899,14.9403,56.1949,39000.0,476.0,0.0,446.0,0.792,CR
94,4441.3719,15.0405,56.2474,39000.0,474.0,0.0,444.0,0.792,CR
95,4475.6784,15.1387,56.2987,39000.0,474.0,0.0,442.0,0.788,CR
96,4512.6734,15.2472,56.355,39000.0,476.0,0.0,442.0,0.7855,CR
97,4545.5327,15.3432,56.4047,39000.0,478.0,0.0,446.0,0.792,CR
98,4590.2261,15.4729,56.4712,39000.0,475.0,0.0,446.0,0.792,CR
99,4643.8442,15.6274,56.5503,39000.0,471.0,0.0,444.0,0.788,CR
100,4691.9246,15.767,56.6213,39000.0,471.0,0.0,444.0,0.788,CR
101,4731.0804,15.8798,56.6784,39000.0,472.0,0.0,442.0,0.7852,CR
102,4763.6231,15.9747,56.7261,39000.0,474.0,0.0,442.6231,0.7852,CR
103,4797.2362,16.0753,56.7766,39000.0,473.0,0.0,443.2362,0.7905,CR
104,4841.3216,16.2031,56.8403,39000.0,476.0804,0.0,442.1608,0.788,CR
105,4874.0854,16.3019,56.8893,39000.0,477.0,0.0,444.9146,0.7898,CR
106,4916.0151,16.4266,56.951,39000.0,477.0,0.0,447.9799,0.796,CR
107,4953.9347,16.5407,57.007,39000.0,475.0,0.0,444.0,0.788,CR
108,4992.5779,16.6574,57.0641,39000.0,475.9296,0.0,442.0,0.788,CR
109,5025.9598,16.7575,57.1129,39000.0,478.0,0.0,445.2161,0.792,CR
110,5060.4171,16.8602,57.1626,39000.0,479.0,0.0,444.0,0.788,CR
111,5098.8492,16.9787,57.2198,39000.0,482.0,0.0,444.0,0.7867,CR
112,5140.1156,17.1045,57.2802,39000.0,484.0,0.0,445.5578,0.792,CR
113,5173.206,17.2082,57.3297,39000.0,483.2412,0.0,446.0,0.792,CR
114,5206.8141,17.3126,57.3793,39000.0,484.0,0.0,446.0,0.792,CR
115,5239.1608,17.4133,57.427,39000.0,486.0,0.0,445.6683,0.788,CR
116,5278.7688,17.5382,57.4859,39000.0,488.0,0.0,446.0,0.792,CR
117,5311.5427,17.6409,57.534,39000.0,487.0,0.0,447.8191,0.7916,CR
118,5346.6583,17.7513,57.5855,39000.0,488.0,0.0,446.0,0.7898,CR
119,5385.0603,17.8734,57.6422,39000.0,490.0151,0.0,444.0,0.788,CR
