,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5673,50.0474,0.0,2.0,0.0,0.0,0.0,GND
1,41.6231,8.5666,50.0475,0.0,2.0,0.0,0.0,0.0,GND
2,226.6644,8.5667,50.0477,0.0,0.0,0.0,0.0,0.0,GND
3,370.2191,8.5647,50.0468,0.0,11.3015,0.0,0.0,0.0,GND
4,411.32,8.5603,50.0457,0.0,8.6281,0.0,0.0,0.0,GND
5,455.4623,8.5596,50.0429,0.0,12.1156,0.0,0.0,0.0,GND
6,498.3025,8.5557,50.0415,0.0,4.7035,0.0,0.0,0.0,GND
7,532.2125,8.5511,50.0404,0.0,7.598,0.0,0.0,0.0,GND
8,568.9965,8.5449,50.0389,0.0,25.608,0.0,0.0,0.0,GND
9,610.4629,8.5394,50.0373,0.0,8.2312,0.0,0.0,0.0,GND
10,657.6935,8.5313,50.0354,0.0,28.0,0.0,0.0,0.0,GND
11,706.7085,8.5259,50.0338,0.0,6.0,0.0,0.0,0.0,GND
12,770.2294,8.5261,50.0176,633.5427,118.8721,622.6115,0.0,0.0,CL
13,900.9986,8.6278,49.9294,5665.201,279.0508,3165.5456,26.9347,0.0414,CL
14,1029.6695,8.8623,49.8328,12060.1759,290.7636,3332.8443,92.3116,0.1426,CL
15,1171.3114,9.1135,49.6785,18600.0,357.9011,2204.7739,0.0,0.0,CL
16,1280.7588,9.3215,49.549,22468.2161,381.9095,1699.9372,389.8794,0.6278,CL
17,1334.5226,9.4278,49.4826,24232.5377,391.593,2262.378,398.3719,0.6455,CL
18,1461.2412,9.686,49.3198,27970.2261,410.2161,1456.7839,420.4322,0.6969,CL
19,1641.6231,10.1367,49.1069,31477.6382,459.6784,1259.8708,443.6784,0.7474,CL
20,1812.6985,10.6244,48.9311,34630.9045,463.5377,606.7839,449.0754,0.772,CL
21,1925.3557,10.9587,48.8315,36406.407,462.4014,1006.8933,406.0704,0.7061,CL
22,2061.2513,11.3722,48.736,37000.0,461.0,0.0,441.4171,0.772,CR
23,2178.9749,11.7313,48.6516,37050.0,466.0,0.0,444.0,0.78,CR
24,2275.5362,12.0231,48.5819,36975.0,464.9441,-33.9196,19.9899,0.0349,CR
25,2324.6999,12.1738,48.5456,36975.0,464.0264,-88.3816,255.4271,0.4461,CR
26,2386.603,12.3625,48.4998,36975.0,463.0,0.0,439.598,0.768,CR
27,2589.4824,12.973,48.3489,37025.0,459.1759,0.0,444.0,0.776,CR
28,2693.0251,13.2812,48.2727,36950.0,457.5528,0.0,437.1055,0.7622,CR
29,2783.7004,13.5428,48.1984,37001.7588,458.5996,22.8168,31.0955,0.0543,CR
30,2832.9127,13.6766,48.1413,37025.0,458.3092,0.0,0.0,0.0,CR
31,2879.225,13.7971,48.0897,37025.0,456.9506,0.0,0.0,0.0,CR
32,2947.6985,13.9775,48.0119,36975.0,456.0,0.0,439.8794,0.7678,CR
33,3134.3819,14.469,47.7971,37010.9296,454.0,-38.3737,192.3618,0.3375,CR
34,3216.0966,14.682,47.7029,37000.0,453.055,0.0,358.191,0.6285,CR
35,3280.5666,14.8466,47.6295,37000.0,452.6367,0.0,0.0,0.0,CR
36,3335.2653,14.9881,47.5662,36975.0,452.4863,0.0,0.0,0.0,CR
37,3380.1658,15.1053,47.5133,36975.0,452.0473,0.0,413.7889,0.7255,CR
38,3432.7077,15.2379,47.4533,37025.0,453.2959,81.5712,0.0,0.0,CR
39,3501.3273,15.4138,47.3733,37025.0,453.0532,0.0,133.2663,0.2328,CR
40,3551.6231,15.5434,47.314,37025.0,451.0,0.0,442.1508,0.776,CR
41,3673.6432,15.8501,47.1727,37000.0,444.0,0.0,442.0,0.772,CR
42,3724.5126,15.9754,47.1145,36975.0,441.0,0.0,440.0,0.768,CR
43,3768.0413,16.0825,47.0645,36975.0,440.9912,0.0,0.0,0.0,CR
44,3806.2513,16.1767,47.0203,36950.0,440.0,0.0,436.0,0.764,CR
45,3843.1099,16.2708,46.9806,36973.995,437.9789,697.7931,418.4724,0.7333,CL
46,3877.9538,16.3595,46.9473,36975.0,439.3006,90.9136,146.794,0.2572,CL
47,3910.5496,16.444,46.9153,37000.0,440.8974,0.0,0.0,0.0,CR
48,3950.4685,16.5483,46.8758,37025.0,442.4498,0.0,0.0,0.0,CR
49,3997.8075,16.6727,46.8284,37000.0,444.387,0.0,204.6935,0.3589,CR
50,4030.9347,16.7591,46.7953,37025.0,446.0,0.0,440.0,0.772,CR
51,4086.5578,16.9065,46.7388,37050.0,447.0,0.0,442.0,0.776,CR
52,4174.4121,17.1361,46.6502,37025.0,445.0,0.0,440.0,0.772,CR
53,4258.1508,17.3534,46.5656,36975.0,445.9749,0.0,438.0,0.768,CR
54,4319.593,17.5131,46.5029,37000.0,445.0,0.0,442.0,0.776,CR
55,4362.8613,17.6241,46.4592,37025.0,443.9378,0.0,119.9397,0.2106,CR
56,4412.5589,17.751,46.409,37000.0,441.0686,-41.4376,391.7789,0.687,CR
57,4445.6339,17.8353,46.3754,36975.0,440.7715,0.0,0.0,0.0,CR
58,4478.3289,17.9187,46.3422,36975.0,440.0965,0.0,61.3467,0.1081,CR
