,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5787,50.0492,0.0,0.0,0.0,0.0,0.0,GND
1,55.1174,8.5782,50.0486,0.0,2.0,0.0,0.0,0.0,GND
2,106.3004,8.5783,50.0485,0.0,0.0,0.0,0.0,0.0,GND
3,192.8108,8.5783,50.0485,0.0,0.0,0.0,0.0,0.0,GND
4,306.2271,8.5785,50.0485,0.0,0.2111,0.0,0.0,0.0,GND
5,344.7637,8.5793,50.0476,0.0,3.2965,0.0,0.0,0.0,GND
6,390.8037,8.5754,50.0462,0.0,1.794,0.0,0.0,0.0,GND
7,435.2932,8.5691,50.0447,0.0,23.0,0.0,0.0,0.0,GND
8,474.6055,8.5624,50.0431,0.0,21.4824,0.0,0.0,0.0,GND
9,513.8185,8.5563,50.0417,0.0,5.4673,0.0,0.0,0.0,GND
10,550.5746,8.5514,50.0405,0.0,20.0,0.0,0.0,0.0,GND
11,587.1274,8.5457,50.0391,0.0,24.6131,0.0,0.0,0.0,GND
12,623.4394,8.541,50.0377,0.0,16.5678,0.0,0.0,0.0,GND
13,658.1283,8.5361,50.0365,0.0,4.8844,0.0,0.0,0.0,GND
14,693.555,8.5317,50.0355,0.0,11.3065,0.0,0.0,0.0,GND
15,732.3385,8.5276,50.0344,0.0,15.0,0.0,0.0,0.0,GND
16,775.1726,8.526,50.0337,0.0,0.2814,0.0,0.0,0.0,GND
17,838.1769,8.5261,50.0043,1469.7236,141.9547,2220.8933,25.3266,0.0474,CL
18,924.9465,8.5887,49.943,4094.9749,272.6332,2707.107,82.3116,0.1279,CL
19,992.1207,8.7101,49.902,8241.9598,289.5692,3573.1401,233.5678,0.367,CL
20,1062.8994,8.867,49.9058,11136.5578,346.8746,3931.818,191.8794,0.3008,CL
21,1129.8234,9.0422,49.9168,14604.2714,371.7461,4829.7786,44.6834,0.07,CL
22,1213.5219,9.2574,49.9292,18298.3668,372.6545,913.4076,133.8794,0.2167,CL
23,1267.6651,9.4044,49.9376,19000.0,380.0,0.0,357.4271,0.5752,CR
24,1324.2319,9.5594,49.9461,20614.4472,393.1311,-58.6495,211.5075,0.3421,CR
25,1406.444,9.7968,49.9586,23702.3869,413.8191,2114.3216,385.6382,0.6315,CL
26,1482.9063,10.0239,49.9703,26312.9397,429.4573,2137.1859,398.0,0.664,CL
27,1544.7374,10.2168,49.9798,28148.7437,442.0876,1736.3712,10.201,0.0172,CL
28,1633.1192,10.5033,49.9933,30174.6231,462.4704,1531.7593,207.8191,0.3526,CL
29,1678.1174,10.656,50.0002,31101.5075,472.0101,1497.8464,428.0,0.732,CL
30,1753.5524,10.9104,50.0114,32701.3819,477.0211,1347.8282,232.1608,0.401,CL
31,1805.0675,11.0877,50.0187,33600.0,481.0389,716.0804,422.0101,0.7294,CL
32,1844.9267,11.2235,50.0244,34603.1407,476.3965,2067.8762,193.2362,0.334,CL
33,1895.6902,11.3958,50.031,35935.0503,464.0,1454.7739,439.8392,0.764,CL
34,1968.4289,11.6361,50.04,36989.9497,460.0,300.67,435.608,0.7656,CL
35,2068.4877,11.9674,50.0515,37000.0,459.0518,0.0,385.608,0.6757,CR
36,2120.2393,12.1355,50.0569,36975.0,458.2214,0.0,159.206,0.2803,CR
37,2169.0275,12.2947,50.0619,36975.0,456.316,0.0,65.1256,0.1146,CR
38,2210.7204,12.4318,50.0653,36975.0,456.3317,0.0,431.3367,0.7587,CR
39,2256.7831,12.5821,50.0656,36979.6482,455.9451,100.2857,79.9497,0.1406,CR
40,2306.2711,12.7459,50.0658,37000.0,457.9734,0.0,306.7337,0.5403,CR
41,2349.206,12.8855,50.0657,37050.0,458.759,292.0854,341.1558,0.5982,CL
