,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5356,50.0331,1675.0,0.0,0.4012,180.0,0.652,LVL
1,63.0201,8.4946,50.0221,2960.9849,211.2864,486.1435,180.0,0.3365,CL
2,92.8894,8.4661,49.9764,6382.206,234.9246,3446.2312,180.0,0.344,CL
3,105.8894,8.4631,49.9639,7031.1809,222.0,2058.6935,180.0,0.3636,CL
4,117.6683,8.4595,49.9518,7318.0653,221.8894,1102.4456,180.0,0.3991,CL
5,140.0854,8.4525,49.9351,7836.5578,226.0,1202.2613,180.0,0.4235,CL
6,154.8342,8.4348,49.915,9205.8543,239.0,5423.3417,180.0,0.4238,CL
7,170.8442,8.4165,49.9046,10233.608,238.0,2959.6131,180.0,0.4262,CL
8,185.3719,8.3894,49.8997,10769.7286,276.3015,1356.0678,290.7437,0.4591,CL
9,217.6683,8.3252,49.9132,11087.6281,350.5025,987.1106,345.6683,0.5417,CL
10,228.4472,8.3049,49.9272,11492.2111,362.9648,2778.1658,352.4824,0.556,CL
11,240.4573,8.2907,49.9455,12022.1759,368.0,3317.3582,358.0,0.564,CL
12,255.6683,8.28,49.9735,12809.995,368.0,3634.1709,358.0,0.5644,CL
13,265.8543,8.2738,49.9976,13374.8593,375.4271,3004.4472,362.8543,0.5749,CL
14,277.1508,8.2702,50.021,13825.8342,383.2261,2305.201,368.1508,0.5883,CL
15,295.598,8.2707,50.0579,14213.6633,434.5477,1366.6045,375.4472,0.5963,CL
16,315.7437,8.282,50.1023,14694.1709,404.0,1388.2915,382.0,0.612,CL
17,332.0302,8.2981,50.1328,15432.4925,404.0,2817.7487,382.0,0.612,CL
18,349.6734,8.3213,50.1687,16525.2211,404.0,3470.0126,382.0,0.6153,CL
19,366.6332,8.3416,50.1975,17334.0653,404.0,2945.2613,382.0,0.6186,CL
20,377.4121,8.3565,50.2177,17842.3266,404.0,2246.3518,382.0,0.6239,CL
21,392.8392,8.3749,50.2448,18222.0553,404.0,1134.3216,382.0,0.644,CL
22,407.6533,8.3916,50.2724,18521.5427,404.0,1193.7286,382.0,0.6485,CL
23,418.8643,8.4039,50.2928,18745.4271,404.0,1552.6382,382.0,0.652,CL
24,437.4523,8.424,50.3265,18993.4724,409.5377,441.7085,438.2714,0.656,CL
25,451.8241,8.4395,50.3529,18999.397,406.0,-4.5226,448.0,0.656,CL
26,464.7085,8.453,50.3767,18999.0,406.0,-11.4573,448.0,0.656,CL
27,481.0101,8.4697,50.4071,19082.2814,406.0,624.2714,448.0,0.659,CL
28,495.6784,8.4844,50.4341,19628.1558,406.0,3225.6281,448.0,0.656,CL
29,510.6985,8.4989,50.4626,20268.9045,406.0,3642.7136,448.0,0.66,CL
30,526.4472,8.5143,50.4905,20889.9899,406.0,3692.1608,448.0,0.664,CL
31,538.191,8.5257,50.5103,21208.1256,410.0,1065.1508,450.0,0.6742,CL
32,548.4874,8.5364,50.5322,21418.4925,410.0,1079.2462,450.0,0.688,CL
33,559.7839,8.5466,50.5535,21625.1106,438.0,1401.608,418.0,0.6888,CL
34,571.0804,8.5566,50.5752,21830.4472,438.0,1471.9598,418.0,0.692,CL
35,582.5327,8.5663,50.5966,22073.0603,438.0,2280.8442,418.0,0.692,CL
36,594.005,8.5767,50.6195,22465.5427,438.0,2255.8995,418.0,0.6987,CL
37,604.9698,8.5866,50.6413,22887.4221,438.0,2236.3568,418.0,0.7,CL
38,616.5829,8.5972,50.6641,23319.407,438.0,2705.8291,418.0,0.7,CL
39,628.1256,8.6076,50.6866,23556.0905,438.0,1488.995,418.0,0.696,CL
40,642.8945,8.6213,50.7168,23860.799,438.0,1790.593,418.0,0.7,CL
41,655.1558,8.6284,50.7383,23998.201,438.0,311.7889,418.0,0.7112,CL
42,685.8392,8.6211,50.8005,24941.0804,438.0,1929.0452,418.0,0.7145,CL
43,702.3116,8.5986,50.8273,25316.9698,436.8744,1452.8643,432.8744,0.7257,CL
44,713.0905,8.5745,50.8485,25718.2915,438.0,1978.7186,434.0,0.732,CL
45,727.3417,8.5438,50.8719,26187.7638,438.0,1793.9698,434.0,0.732,CL
46,742.3668,8.5096,50.8962,26582.2663,438.0,1562.7653,434.0,0.7396,CL
47,753.9347,8.4833,50.9147,26852.3668,438.0,1553.2663,434.0,0.7429,CL
48,765.7889,8.4571,50.9337,27124.0452,438.0,1503.3166,434.0,0.748,CL
49,778.0553,8.4287,50.9546,27433.9447,438.0,1548.392,434.0,0.7535,CL
50,794.2362,8.3975,50.9785,27750.7337,438.0,1046.3317,434.0,0.7576,CL
51,808.1508,8.3672,51.0027,28107.6181,438.0,1454.5477,434.0,0.764,CL
52,819.2714,8.3443,51.0218,28378.9045,438.0,1218.0905,434.0,0.764,CL
53,834.392,8.3141,51.0478,28680.201,438.0,993.855,434.0,0.772,CL
54,846.0151,8.291,51.068,28944.7136,438.0,1949.4472,434.0,0.776,CL
55,858.3065,8.2691,51.0874,29203.0905,466.0,906.1809,456.0,0.78,CL
56,873.3015,8.2396,51.1152,29585.0905,470.0,1417.4372,458.0,0.7846,CL
57,882.8995,8.2187,51.1375,29990.4271,468.0503,2708.8945,458.0,0.784,CL
58,895.196,8.2015,51.1584,30372.0302,468.0,2429.4724,458.0,0.784,CL
59,905.4925,8.1854,51.1798,30768.5126,468.0,1940.8794,458.0,0.78,CL
60,917.3417,8.1687,51.2022,31113.0653,468.0,1974.3216,458.0,0.7818,CL
61,932.8141,8.1471,51.2319,31512.9648,462.0,1347.4372,454.0,0.788,CL
62,948.2864,8.1262,51.2614,31858.6884,464.0,1204.9246,456.0,0.7884,CL
63,958.6784,8.1099,51.2835,31999.8392,464.0,96.3317,456.0,0.7957,CL
64,974.2312,8.0872,51.313,31999.2563,322.0,-14.8744,360.0,0.788,CR
65,989.8392,8.0625,51.3428,31999.4322,322.0,-6.8141,360.0,0.788,CR
66,1000.9598,8.0423,51.3635,31999.392,322.0,-7.4573,360.0,0.788,CR
67,1012.6482,8.022,51.3828,32000.0,322.0,0.0,360.0,0.788,CR
68,1023.1608,7.9996,51.4022,32000.0,322.0,0.0,360.0,0.788,CR
69,1039.3216,7.9687,51.4276,32000.0,322.0,0.0,360.0,0.788,CR
70,1054.4422,7.9378,51.4517,31999.0,322.0,-2.3367,360.0,0.788,CR
71,1069.5628,7.9045,51.4772,32000.0,458.0,4.178,454.0,0.788,CR
72,1080.3467,7.8804,51.4958,32000.0,458.0,0.0,454.0,0.788,CR
73,1095.804,7.8467,51.5215,31999.1608,458.0,1.9296,454.0,0.7886,CR
74,1114.9397,7.7842,51.5584,31999.0151,458.0,-14.7739,454.0,0.792,CR
