,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.569,50.0481,0.0,0.0,0.0,0.0,0.0,GND
1,52.5691,8.5689,50.0481,0.0,0.0,0.0,0.0,0.0,GND
2,82.3641,8.569,50.0481,0.0,0.0,0.0,0.0,0.0,GND
3,115.6128,8.569,50.0481,0.0,0.0,0.0,0.0,0.0,GND
4,169.154,8.569,50.048,0.0,0.0,0.0,0.0,0.0,GND
5,216.6843,8.569,50.0481,0.0,0.0,0.0,0.0,0.0,GND
6,264.5528,8.5692,50.048,0.0,2.0,0.0,0.0,0.0,GND
7,315.3116,8.57,50.0478,0.0,2.0,0.0,0.0,0.0,GND
8,355.1527,8.5703,50.0479,0.0,0.0,0.0,0.0,0.0,GND
9,408.2864,8.5703,50.0479,0.0,0.0,0.0,0.0,0.0,GND
10,492.9849,8.5703,50.0479,0.0,0.0,0.0,0.0,0.0,GND
11,566.6734,8.5698,50.0471,0.0,4.0,0.0,0.0,0.0,GND
12,605.8789,8.569,50.0458,0.0,9.407,0.0,0.0,0.0,GND
13,642.0456,8.5682,50.0432,0.0,10.191,0.0,0.0,0.0,GND
14,681.5513,8.5715,50.0434,0.0,11.8191,0.0,0.0,0.0,GND
15,718.3819,8.5751,50.0442,0.0,10.7136,0.0,0.0,0.0,GND
16,784.1759,8.5766,50.0438,0.0,1.0704,0.0,0.0,0.0,GND
17,824.8995,8.5769,50.0427,0.0,6.0,0.0,0.0,0.0,GND
18,863.6866,8.5693,50.0409,114.3216,6.6633,1701.6365,0.0,0.0,CL
19,916.5252,8.5171,50.0286,1464.0704,153.6519,1430.9006,0.0,0.2119,CL
20,971.8696,8.478,49.992,3144.8492,200.8744,2451.7352,0.0,0.2541,CL
21,1023.8628,8.4627,49.9423,4961.6834,220.5353,1066.6274,0.0,0.0916,CL
22,1076.0402,8.3985,49.9073,7243.8442,248.0,3295.2564,0.0,0.396,CL
23,1125.6614,8.3417,49.9486,9215.3266,277.49,1505.3845,174.1106,0.2722,CL
24,1180.4239,8.2951,50.0205,9988.8191,319.9219,322.4461,0.0,0.0,CL
25,1225.4318,8.298,50.0864,10111.9347,328.0255,1037.5718,166.4724,0.2578,CL
26,1272.1352,8.3495,50.1506,11957.4121,340.2512,1853.5849,144.3417,0.2282,CL
27,1326.9646,8.4222,50.2276,14037.1859,356.9493,2535.1636,219.8492,0.3467,CL
28,1380.7473,8.4959,50.3049,16282.7889,366.0805,2694.6233,112.7839,0.1795,CL
29,1433.7362,8.571,50.3836,18162.6884,380.2775,2040.8333,92.9648,0.1487,CL
30,1483.3439,8.6439,50.4597,19814.3216,392.1978,2092.6811,72.9447,0.1169,CL
31,1529.1508,8.7134,50.5317,21194.598,405.1627,1826.0256,50.6935,0.0821,CL
32,1565.1368,8.7707,50.591,22178.5176,416.0114,1987.2215,366.2814,0.595,CL
33,1596.0666,8.8193,50.6411,23000.7538,422.7664,1816.1114,4.0201,0.0066,CL
34,1632.8705,8.88,50.7035,23996.2312,430.9831,1657.8236,383.6985,0.6306,CL
35,1661.0694,8.9265,50.7513,24775.0,435.0521,165.8291,45.1055,0.0747,CL
36,1698.9924,8.9901,50.8163,25857.9146,437.5765,1762.8855,71.0754,0.1175,CL
37,1739.673,9.0588,50.8862,26871.1055,441.3311,1193.9366,97.0854,0.1618,CL
38,1792.5647,9.1494,50.98,28000.0,450.3114,437.1859,124.7437,0.2098,CL
39,1828.2332,9.2003,51.0477,28757.4121,452.4858,1306.4506,280.0402,0.4719,CL
40,1890.4636,9.2837,51.166,30421.9849,452.0173,2170.8346,0.0,0.0,CL
41,1957.0553,9.3733,51.2923,32126.3819,445.4354,1656.5888,201.2261,0.3458,CL
42,2009.5424,9.4435,51.391,33336.6834,443.2174,1579.199,197.2161,0.3402,CL
43,2047.9113,9.4946,51.4625,33970.3518,446.4175,1429.2201,172.5829,0.2979,CL
44,2083.2514,9.5424,51.5294,34433.6683,450.8381,436.4449,278.2915,0.4834,CL
45,2121.703,9.5959,51.6038,34732.1608,462.2174,518.3528,124.8844,0.2165,CR
46,2157.0265,9.646,51.6731,34975.0,461.1957,0.0,334.3116,0.5819,CR
47,2189.6958,9.6914,51.7358,35000.0,461.7217,0.0,71.3065,0.1247,CR
48,2228.4615,9.7462,51.8113,35000.0,461.7739,0.0,45.3769,0.0794,CR
49,2291.4561,9.8355,51.9336,35000.0,463.1753,0.0,19.5377,0.034,CR
50,2340.9548,9.9069,52.0308,35025.0,463.0,0.0,434.0,0.756,CR
51,2391.9971,9.9799,52.1299,35000.0,461.0155,-28.5446,397.5879,0.6916,CR
52,2433.8601,10.0398,52.2107,34996.608,460.0444,1224.1474,371.6583,0.6465,CL
53,2488.3479,10.1181,52.3159,35000.0,460.263,97.9899,84.2714,0.1466,CR
54,2534.6444,10.1849,52.4054,35000.0,460.5701,128.1407,110.201,0.1917,CR
55,2572.0231,10.2392,52.4777,35000.0,462.085,0.0,0.0,0.0,CR
56,2613.7429,10.2999,52.5584,35025.0,461.5053,0.0,163.5678,0.2849,CR
57,2654.2777,10.36,52.6376,35025.0,461.3633,0.0,187.9899,0.3288,CR
58,2693.5349,10.4175,52.7134,35000.0,460.1628,0.0,216.0804,0.3759,CR
59,2737.059,10.4809,52.7967,35000.0,460.1825,0.0,189.2663,0.3308,CR
60,2777.4022,10.5406,52.8745,35000.0,460.4738,0.0,164.2211,0.2857,CR
61,2831.2864,10.621,52.979,35000.0,460.0,0.0,430.0,0.748,CR
62,2870.7034,10.6792,53.0543,35000.0,460.2417,0.0,112.3618,0.1955,CR
63,2912.4239,10.7412,53.1344,35000.0,460.0658,0.0,343.5678,0.5976,CR
64,2948.0264,10.7946,53.2028,35000.0,460.4699,0.0,60.5025,0.1052,CR
65,2981.2412,10.8456,53.2679,35000.0,460.0,0.0,430.0,0.7483,CR
66,3017.0603,10.8996,53.3368,35000.0,460.0,0.0,432.0,0.752,CR
67,3062.9196,10.9683,53.424,35025.0,458.0,0.0,432.0,0.752,CR
68,3105.9788,11.034,53.5072,35000.0,457.0473,0.0,386.7839,0.6728,CR
69,3148.6533,11.0989,53.5889,35000.0,457.005,0.0,359.1759,0.6277,CR
70,3184.3001,11.152,53.6554,34975.0,457.0243,0.0,94.6332,0.1645,CR
71,3222.5769,11.2105,53.7285,35000.0,457.3382,178.3314,121.005,0.2105,CR
72,3253.913,11.2586,53.7883,35000.0,457.9409,0.0,146.9347,0.2556,CR
73,3290.3242,11.3143,53.8575,35014.9497,457.5426,134.7634,258.3317,0.4497,CR
74,3326.4032,11.3702,53.9265,35025.0,456.8831,0.0,232.2814,0.4043,CR
75,3363.8244,11.4277,53.9974,35025.0,455.6022,0.0,205.2764,0.3571,CR
76,3405.6223,11.4921,54.0763,35000.0,454.4861,0.0,179.3467,0.312,CR
77,3445.4877,11.5542,54.1522,35000.0,453.3408,0.0,275.2965,0.4811,CR
78,3491.7632,11.6258,54.2392,34975.0,453.9811,0.0,127.4874,0.2218,CR
79,3529.4724,11.6852,54.3111,35000.0,453.0,0.0,430.0,0.748,CR
80,3565.4631,11.7406,54.3778,35000.0,453.052,0.0,352.7236,0.6164,CR
81,3603.1158,11.8047,54.4477,35000.0,459.753,0.0,0.0,0.0,CR
82,3636.9632,11.8764,54.5071,35000.0,468.2242,0.0,23.7688,0.0413,CR
83,3676.5738,11.9663,54.5749,35025.0,468.2361,0.0,2.1508,0.0038,CR
84,3710.9345,12.0444,54.6337,35025.0,466.919,0.0,0.0,0.0,CR
85,3756.328,12.1476,54.7109,35000.0,466.04,0.0,0.0,0.0,CR
86,3795.7386,12.2374,54.778,34975.0,467.0666,0.0,346.794,0.6057,CR
87,3840.9459,12.3421,54.8555,34975.0,469.0827,0.0,319.598,0.5578,CR
88,3869.9856,12.4103,54.9057,34975.0,469.9985,0.0,294.0302,0.5132,CR
89,3908.2818,12.4982,54.9704,35000.0,471.1985,0.0,156.2714,0.2729,CR
90,3949.613,12.5948,55.041,35025.0,471.1339,0.0,245.1859,0.4262,CR
91,3991.1251,12.6926,55.1124,35000.0,471.1607,0.0,207.6482,0.3627,CR
92,4030.0564,12.7845,55.179,35011.3065,471.3405,149.1955,235.5276,0.4097,CR
93,4069.4728,12.8767,55.2455,35025.0,469.3379,0.0,168.5427,0.2948,CR
94,4107.5169,12.966,55.3097,35025.0,467.3864,0.0,141.9497,0.2481,CR
95,4139.108,13.0408,55.3632,35000.0,465.2775,0.0,115.598,0.2019,CR
96,4175.8178,13.127,55.4247,34975.0,464.396,0.0,89.4874,0.1562,CR
97,4214.3074,13.2183,55.4897,34975.0,465.0243,0.0,360.0804,0.6284,CR
98,4257.1414,13.319,55.5609,35000.0,465.0742,0.0,389.2864,0.6767,CR
99,4289.8332,13.3964,55.6155,35000.0,465.7956,0.0,12.8442,0.0224,CR
100,4320.6903,13.47,55.6671,35000.0,466.465,0.0,12.8442,0.0224,CR
101,4348.8862,13.5382,55.7147,35000.0,465.0543,0.0,387.4673,0.6767,CR
102,4381.9507,13.6168,55.7696,35000.0,465.5101,0.0,64.2211,0.1122,CR
103,4416.7396,13.7011,55.8281,35000.0,466.0548,0.0,337.6683,0.587,CR
104,4456.5297,13.7967,55.8941,35000.0,466.6696,0.0,115.598,0.2019,CR
105,4491.2924,13.8811,55.9523,35000.0,466.0268,0.0,141.9497,0.2468,CR
106,4525.6428,13.9639,56.009,35025.0,465.3809,0.0,0.0,0.0,CR
107,4558.6231,14.0448,56.0642,35025.0,464.7564,0.0,192.6633,0.3347,CR
108,4591.7104,14.1245,56.1185,35025.0,464.2573,518.0891,208.6231,0.3646,CL
109,4626.7085,14.2039,56.1786,35000.0,456.5729,0.0,428.0,0.744,CR
110,4662.5275,14.283,56.2407,34984.1709,456.2171,66.9094,268.4623,0.4685,CR
111,4700.5069,14.3659,56.3053,34975.0,457.174,0.0,130.5829,0.2268,CR
112,4732.145,14.4352,56.3591,34975.0,457.1892,0.0,104.8945,0.1832,CR
113,4765.8852,14.5101,56.4171,35000.0,456.3029,0.0,79.206,0.1383,CR
114,4793.53,14.5726,56.4652,35003.1407,456.0467,44.6651,372.4824,0.6505,CR
115,4825.2542,14.6429,56.5194,35000.0,455.0322,0.0,398.1709,0.6954,CR
116,4857.0112,14.7117,56.5722,35000.0,456.0008,0.0,423.8593,0.7403,CR
117,4886.3878,14.7779,56.6227,35000.0,456.7667,0.0,23.4372,0.0409,CR
118,4916.1521,14.8447,56.6735,34975.0,456.8333,0.0,49.005,0.0855,CR
119,4949.9791,14.921,56.7316,35000.0,458.107,0.0,74.9246,0.1309,CR
120,4983.3375,14.9974,56.7892,35000.0,458.1864,0.0,326.9146,0.5713,CR
121,5015.407,15.0701,56.8439,35025.0,458.0,0.0,426.0,0.744,CR
122,5050.7193,15.1493,56.9032,35025.0,457.0312,0.0,0.0,0.0,CR
123,5085.0682,15.2279,56.9618,35025.0,454.9308,0.0,249.4874,0.4337,CR
124,5116.452,15.2989,57.0147,35000.0,454.0834,0.0,221.5879,0.3867,CR
125,5148.8027,15.3734,57.07,34975.0,454.3303,0.0,196.0201,0.3421,CR
126,5178.7758,15.4411,57.1199,35000.0,455.2949,0.0,171.2563,0.2991,CR
127,5208.2281,15.509,57.1699,35000.0,456.0521,0.0,280.4322,0.4898,CR
128,5239.2658,15.5803,57.2223,35000.0,455.1965,0.0,119.8794,0.2094,CR
129,5268.3524,15.6466,57.2715,35000.0,452.9683,0.0,331.809,0.5795,CR
130,5301.3575,15.7112,57.3293,35000.0,442.3096,0.0,0.0,0.0,CR
131,5332.8477,15.7701,57.3851,35000.0,441.8832,0.0,42.8141,0.0748,CR
132,5362.0804,15.8261,57.4376,35000.0,442.0402,0.0,427.9196,0.748,CR
133,5393.9275,15.8867,57.4947,35000.0,441.0087,0.0,417.4372,0.729,CR
134,5423.8392,15.9421,57.5469,35000.0,442.0,0.0,426.0,0.744,CR
135,5455.5944,16.0012,57.6024,35000.0,443.1193,0.0,366.0603,0.6393,CR
136,5485.8241,16.059,57.6563,35000.0,444.0577,0.0,340.3719,0.5976,CR
137,5517.6836,16.1205,57.7135,35025.0,444.075,0.0,314.6834,0.5496,CR
138,5548.8653,16.1794,57.768,35000.0,445.6055,0.0,0.0,0.0,CR
139,5581.9273,16.2433,57.827,35000.0,445.0622,0.0,0.0,0.0,CR
140,5610.9807,16.2995,57.8786,35000.0,445.1706,0.0,236.5025,0.415,CR
141,5642.6442,16.3615,57.9354,35000.0,445.1919,0.0,213.0653,0.3739,CR
142,5673.3314,16.4205,57.9893,35000.0,444.2216,0.0,239.7588,0.4187,CR
143,5707.0403,16.4861,58.0488,35025.0,444.7807,210.2752,0.0,0.0,DE
144,5736.605,16.5441,58.1014,34517.0854,444.3464,-2618.9968,135.4975,0.2368,DE
145,5767.4541,16.6045,58.156,33180.7789,444.9601,-2452.3908,110.7136,0.1907,CR
146,5799.1546,16.667,58.2123,31740.7035,446.2128,2034.6571,84.2714,0.145,CR
147,5833.1315,16.7347,58.2729,30421.608,442.042,-1938.6717,364.7437,0.6258,DE
148,5862.2709,16.7908,58.3229,29363.6935,437.9936,-188.7568,386.4925,0.6583,DE
149,5893.0197,16.8513,58.3768,28224.2462,433.9828,-2004.5053,407.7588,0.6894,DE
150,5923.103,16.9087,58.4276,27154.5226,426.2573,-1888.5207,18.5427,0.0313,DE
151,5954.7201,16.9688,58.4808,26025.0,420.9965,-240.0538,43.0553,0.0722,DE
152,5990.3724,17.0355,58.5394,24762.4372,410.558,-1723.0408,67.3266,0.1121,DE
153,6021.3154,17.0922,58.5892,23697.6131,403.5496,-1891.073,92.2613,0.1483,DE
154,6054.279,17.1518,58.6416,22575.0,398.1031,-644.4724,108.2714,0.1799,DE
155,6085.6078,17.2083,58.6909,21559.6734,392.9158,-2022.0642,130.3719,0.2164,DE
156,6116.7044,17.2632,58.7388,20535.1759,388.8199,-1594.5683,153.0452,0.2491,DE
157,6146.7214,17.3164,58.7848,19595.1005,386.0317,-3835.052,175.7186,0.2804,DE
158,6179.9802,17.3751,58.8352,18590.9548,380.8785,-1600.7786,172.8844,0.2815,DE
159,6210.0548,17.4271,58.88,17625.0,375.1207,-1304.0488,214.0101,0.3528,DE
160,6238.3398,17.475,58.9211,16797.2362,365.3688,-2205.1797,0.0,0.0,DE
161,6269.5829,17.5278,58.9662,15885.4271,353.7085,-2783.3535,362.5025,0.572,DE
162,6299.7268,17.5757,59.007,15038.4422,344.7463,-1894.7839,80.4422,0.1285,DE
163,6337.0606,17.6341,59.0567,14016.4573,333.9984,-1417.2653,58.0905,0.0923,DE
164,6365.2211,17.6783,59.0943,13266.7085,324.0,-1814.672,338.0101,0.5231,DE
165,6398.1072,17.726,59.1345,12447.4874,317.9641,-1426.1699,305.8191,0.4863,DE
166,6425.7039,17.7672,59.1681,12075.0,300.3625,-8.8914,3.0754,0.0049,DE
167,6462.0021,17.8186,59.209,11283.794,288.5996,-2133.1362,20.402,0.0324,DE
168,6493.2626,17.8619,59.2444,10344.598,288.4723,-1999.2563,0.0,0.0,DE
169,6523.7539,17.903,59.2788,9504.7739,286.3937,-1108.8864,231.3869,0.3657,DE
170,6554.7255,17.9442,59.3134,8787.5628,277.8789,-2661.0257,71.3568,0.1106,DE
171,6590.5691,17.9912,59.3529,8057.7889,280.7356,-1005.0948,191.3869,0.3029,DE
172,6624.5126,18.036,59.3909,7493.593,275.3719,-1321.3937,280.0,0.4345,DE
173,6656.0454,18.0759,59.4246,6996.608,272.0122,-909.7568,118.4121,0.185,DE
174,6688.0302,18.1158,59.4588,6474.6231,271.0,-380.6533,272.0,0.428,DE
175,6719.7889,18.1652,59.4899,5966.4573,271.0,-503.1407,273.3668,0.42,DE
176,6749.8435,18.2128,59.5191,5465.3266,269.3189,-744.6984,164.3015,0.255,DE
