,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5645,50.0456,0.0,11.0,0.0,238.0,0.644,GND
1,129.1558,8.5645,50.0456,0.0,11.7387,0.0,238.0,0.644,GND
2,172.9347,8.5622,50.0448,0.0,21.0,0.0,238.0,0.644,GND
3,194.407,8.5604,50.0437,0.0,17.799,0.0,238.0,0.644,GND
4,226.3467,8.5583,50.0421,0.0,20.8693,0.0,238.0,0.644,GND
5,248.3518,8.5551,50.0414,0.0,26.005,0.0,238.0,0.644,GND
6,277.206,8.5502,50.0402,0.0,27.402,0.0,238.0,0.644,GND
7,298.5427,8.5458,50.0391,0.0,32.1357,0.0,238.0,0.644,GND
8,315.7387,8.5422,50.038,0.0,33.8693,0.0,238.0,0.644,GND
9,340.0452,8.5365,50.0366,0.0,36.0,0.0,238.0,0.644,GND
10,366.0201,8.5306,50.0352,0.0,26.9899,0.0,238.0,0.644,GND
11,385.2814,8.5279,50.0345,0.0,15.9146,0.0,238.0,0.644,GND
12,405.4121,8.5263,50.0341,0.0,25.7839,0.0,238.0,0.644,GND
13,422.1508,8.5259,50.0331,0.0,30.5276,0.0,238.0,0.644,CL
14,478.4121,8.5263,50.0017,1434.9246,155.0704,2173.2858,216.2915,0.5322,CL
15,525.0302,8.5289,49.965,2875.6281,193.0101,1871.8593,190.0,0.3001,CL
16,552.2161,8.5308,49.9383,3710.804,230.4774,2843.2161,190.0,0.3525,CL
17,577.8894,8.5323,49.9117,5318.0905,229.5276,3987.4372,240.0,0.368,CL
18,606.0302,8.5343,49.8815,6961.809,235.4121,3123.6181,238.4121,0.376,CL
19,625.5779,8.5359,49.8601,8028.8945,241.9397,3090.4523,246.0,0.3878,CL
20,643.0201,8.5371,49.8413,9026.005,242.0,3163.3166,250.0,0.3933,CL
21,663.2211,8.5387,49.8179,10200.8794,246.407,2669.4185,252.8141,0.3976,CL
22,680.4221,8.5402,49.7969,11064.0704,253.5628,1892.5879,264.0,0.416,CL
23,701.4975,8.5402,49.773,11637.4372,279.6231,1526.9203,270.995,0.455,CL
24,719.6482,8.5367,49.7477,12101.005,303.8643,1347.9899,267.1357,0.4929,CL
25,738.3668,8.5331,49.7206,12500.6281,326.7085,1371.8593,332.0,0.5294,CL
26,759.2261,8.5288,49.6881,13134.4221,348.0754,2500.0,352.0,0.5603,CL
27,774.4271,8.5253,49.6619,13936.809,354.0,3809.0452,361.6181,0.5752,CL
28,799.0854,8.5202,49.6233,15267.8392,355.0854,3064.0704,362.0,0.5822,CL
29,818.8291,8.516,49.5907,16209.5477,361.0,2680.9045,364.8945,0.592,CL
30,836.0603,8.5122,49.5618,16928.2663,366.0201,1517.5879,374.0201,0.608,CL
31,855.7186,8.5077,49.5279,17873.7437,372.4874,2681.9095,366.1005,0.612,CL
32,878.3869,8.496,49.4888,18793.2161,381.4774,3090.4523,382.0,0.624,CL
33,897.4221,8.4825,49.4567,19601.3819,386.0,3158.2915,386.0,0.636,CL
34,916.7236,8.4682,49.4221,20462.5628,388.9447,2675.1256,392.0,0.644,CL
35,934.7136,8.4557,49.3918,21184.799,391.6784,2236.809,394.0,0.652,CL
36,954.8241,8.4445,49.3558,21876.5075,395.0,2805.0969,396.0,0.6656,CL
37,972.8744,8.4397,49.3238,22632.7889,395.2915,2036.4322,397.4573,0.6726,CL
38,992.6382,8.4347,49.2876,23384.9246,398.0,2524.1206,397.4472,0.6835,CL
39,1011.6784,8.4296,49.2515,24087.9397,399.0,2346.7337,408.2613,0.6945,CL
40,1030.0402,8.4246,49.2169,24776.005,400.3467,2153.2663,396.0,0.7,CL
41,1050.2412,8.4195,49.1812,25360.0503,405.0,1856.2814,419.9095,0.7083,CL
42,1066.8141,8.415,49.1488,25936.0553,406.8141,4035.1759,426.0,0.72,CL
43,1087.6432,8.405,49.1098,26641.0804,409.5477,1907.0352,428.0,0.7262,CL
44,1115.9095,8.3828,49.0585,27447.7387,414.1256,1931.1558,433.1256,0.7383,CL
45,1151.0754,8.3544,48.9946,28301.5075,421.0151,1864.8241,438.0,0.752,CL
46,1175.7437,8.3357,48.9525,28787.4372,418.7487,763.3166,438.9849,0.759,CL
47,1198.9296,8.3142,48.904,29373.2412,423.0,1500.0,436.7538,0.768,CL
48,1222.0804,8.2951,48.8605,29966.206,433.0,1840.7035,448.4322,0.7769,CL
49,1245.7487,8.2745,48.8142,30642.4623,432.0,1815.0754,450.0,0.7876,CL
50,1269.4171,8.2549,48.7695,31669.598,418.6332,2194.9749,447.2663,0.78,CL
51,1293.5025,8.2354,48.7252,32231.2814,403.0,1187.1859,442.3317,0.772,CL
52,1316.7538,8.2181,48.6856,32593.8442,401.8492,1245.2261,440.603,0.7766,CL
53,1345.4221,8.1943,48.6312,32950.0,400.1156,34.6734,443.5377,0.78,CR
54,1369.7085,8.1752,48.5875,33000.0,405.0,114.5729,440.0,0.772,CR
55,1392.7588,8.1565,48.5445,33000.0,405.3518,0.0,440.0,0.776,CR
56,1416.4271,8.1391,48.5046,33000.0,399.0,0.0,442.0,0.776,CR
57,1440.0955,8.1215,48.4643,33000.0,401.0,0.0,442.0,0.776,CR
58,1468.7638,8.0961,48.4072,33013.8191,408.4221,165.8291,442.0,0.776,CR
59,1492.4322,8.0724,48.3656,33289.3216,418.5729,600.0,442.0,0.776,CR
60,1517.0804,8.0467,48.3227,33525.5025,419.0402,497.4874,442.0402,0.7729,CL
61,1539.7688,8.0217,48.2808,33850.7538,431.7538,1809.0452,446.4925,0.78,CL
62,1563.9497,7.9946,48.2351,34361.5578,432.4874,1317.2111,445.9497,0.78,CL
63,1587.1055,7.9684,48.1912,34927.6382,430.0,1500.0,448.0,0.776,CL
64,1611.8643,7.9401,48.1437,35372.7387,430.9548,997.1734,446.0905,0.776,CL
65,1636.4422,7.9116,48.0983,35751.6332,433.6884,993.4673,445.3769,0.776,CL
66,1660.1106,7.8818,48.0573,35975.0,437.0,173.3668,446.0,0.7777,CL
67,1683.7789,7.8494,48.0126,36000.0,436.0,0.0,446.0,0.776,CR
68,1707.5578,7.8185,47.9697,36000.0,435.0,0.0,446.0,0.7796,CR
69,1732.1156,7.7876,47.927,36000.0,433.3769,0.0,446.7538,0.7775,CR
70,1755.7839,7.7565,47.8837,36000.0,432.3568,0.0,446.0,0.776,CR
71,1779.4523,7.7251,47.8398,36000.0,434.0,0.0,435.0854,0.776,CR
72,1803.2965,7.6955,47.7986,36000.0,434.0,0.0,448.0,0.6317,CR
73,1826.3467,7.6643,47.7551,36000.0,434.5578,0.0,446.0,0.776,CR
74,1851.4573,7.633,47.7115,35992.7136,436.0,-87.4372,446.0,0.6541,CR
75,1875.1005,7.6025,47.6685,36000.0,436.0251,0.0,446.0503,0.776,CR
76,1898.0352,7.5718,47.6253,36000.0,437.2412,0.0,446.0,0.78,CR
77,1922.4623,7.5411,47.5823,36000.0,436.0,0.0,448.0,0.778,CR
78,1946.9045,7.5095,47.5378,36000.0,437.0,0.0,446.0,0.776,CR
79,1969.799,7.48,47.496,36047.9899,437.0,575.8794,448.0,0.78,CR
80,2023.0302,7.4114,47.399,36817.7136,435.2261,835.9876,450.0,0.7812,CL
81,2063.1357,7.3605,47.3266,36975.0,431.0,0.0,450.0,0.772,CR
82,2126.7688,7.2769,47.2103,36975.0,435.1608,-35.9655,446.3216,0.776,CR
83,2155.3668,7.2278,47.1658,37000.0,436.0,0.0,446.0,0.776,CR
84,2180.1407,7.18,47.1282,37000.0,437.0,0.0,446.0,0.776,CR
85,2203.1709,7.1353,47.093,36975.0,438.0,-239.3216,446.0,0.776,CR
86,2231.4774,7.0784,47.0481,36977.3869,438.0,28.6432,448.0,0.78,CR
87,2255.1457,7.0324,47.0118,37000.0,438.1709,0.0,446.3417,0.78,CR
88,2279.3769,6.9864,46.9755,37000.0,440.0,0.0,448.0,0.7783,CR
89,2303.4824,6.9405,46.9391,37000.0,440.0,0.0,448.0,0.78,CR
90,2327.1508,6.8946,46.9026,37000.0,439.0,0.0,448.0,0.78,CR
91,2350.8191,6.8482,46.8639,37019.0955,439.0,229.1457,450.0,0.78,CR
92,2374.9849,6.8051,46.8273,37000.0,438.0,0.0,450.0,0.78,CR
93,2398.9246,6.7602,46.7894,37000.0,437.0,0.0,448.0,0.7791,CR
94,2421.8241,6.7179,46.7538,37000.0,437.0,0.0,445.9296,0.776,CR
95,2445.794,6.6735,46.7163,36975.0,437.0,0.0,443.397,0.772,CR
96,2469.593,6.6282,46.6781,36950.0,438.0,0.0,442.8643,0.7697,CR
97,2492.995,6.5842,46.6409,36950.0,439.0,0.0,441.6683,0.7673,CR
98,2608.5779,6.3684,46.4569,37042.4623,444.8995,97.0192,451.799,0.7836,CR
99,2672.1658,6.2514,46.3568,37034.1709,443.0,-189.9497,454.5327,0.784,CR
100,2735.1005,6.1505,46.2488,37025.0,438.6332,0.0,456.0,0.788,CR
101,2765.5025,6.1216,46.1916,37025.0,435.0,0.0,453.799,0.78,CR
102,2788.005,6.1082,46.1454,37000.0,434.0,0.0,450.0,0.776,CR
103,2817.2714,6.0954,46.0883,36950.0,432.4322,-129.6482,448.0,0.772,CR
104,2860.206,6.0765,46.0042,36950.0,431.0,0.0,448.0,0.6435,CR
105,2885.1759,6.0652,45.9538,36950.0,430.0,0.0,448.0,0.7721,CR
106,2907.6131,6.0541,45.915,36975.0,429.0,0.0,447.5377,0.772,CR
107,2931.5226,6.0401,45.8664,36975.0,430.0,0.0,446.995,0.768,CR
108,2952.1809,6.0278,45.8231,36975.0,431.0,0.0,442.0,0.7671,CR
109,2970.9698,6.0174,45.7863,36950.0,432.0,0.0,442.0,0.7641,CR
110,2992.2211,6.006,45.7465,36950.0,433.0,0.0,448.1508,0.7708,CR
111,3010.3116,5.9958,45.7109,36975.0,434.4372,0.0,446.6231,0.78,CR
112,3030.3417,5.9845,45.6715,37025.0,433.1709,177.6741,456.0,0.7887,CR
113,3071.7588,5.962,45.5939,37027.3869,431.0955,-68.564,454.191,0.7884,CR
114,3159.191,5.9131,45.4208,37000.0,424.0,0.0,448.0,0.7734,CR
115,3195.1156,5.8938,45.3528,36990.7035,423.0,-185.9296,450.7437,0.7785,CR
116,3217.3166,5.8818,45.3098,36975.0,420.8945,0.0,446.6332,0.772,CR
117,3239.6784,5.8703,45.2687,36950.0,420.0,0.0,446.0,0.772,CR
118,3262.5729,5.8576,45.2236,36950.0,419.0,0.0,444.8543,0.768,CR
119,3290.5327,5.8424,45.1699,36950.0,419.0,0.0,444.0,0.768,CR
120,3312.1206,5.8321,45.133,36950.0,418.0402,0.0,446.0,0.7682,CR
121,3332.4171,5.8207,45.0919,36994.3467,418.7739,165.8291,446.0,0.772,CR
122,3351.0302,5.8107,45.0564,37000.0,420.0,0.0,446.0,0.772,CR
123,3368.4121,5.8007,45.0209,37000.0,421.0,0.0,447.5176,0.772,CR
124,3396.8744,5.786,44.9681,37024.3719,420.0251,292.4623,448.0,0.776,CR
125,3413.8342,5.777,44.9356,37025.0,420.0,0.0,448.0,0.7732,CR
