,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5685,50.0477,0.0,0.0,-0.1454,120.0,0.556,GND
1,16.9548,8.5685,50.0478,0.0,0.4925,0.0,120.0,0.556,GND
2,45.402,8.5689,50.0476,0.0,9.4925,0.0,120.0,0.556,GND
3,59.2161,8.569,50.0475,0.0,9.7387,0.0,120.0,0.556,GND
4,71.9548,8.5693,50.0474,0.0,10.0,0.0,120.0,0.556,GND
5,84.5427,8.5695,50.0473,0.0,10.0,0.0,120.0,0.556,GND
6,106.6834,8.5698,50.0473,0.0,6.7035,0.0,120.0,0.556,GND
7,119.1709,8.57,50.0475,0.0,9.7236,0.0,120.0,0.556,GND
8,138.6985,8.5701,50.0475,0.0,9.9698,0.0,120.0,0.556,GND
9,320.2965,8.5699,50.0473,0.0,15.2161,0.0,120.0,0.556,GND
10,332.3869,8.5697,50.047,0.0,17.4623,0.0,120.0,0.556,GND
11,344.3769,8.5695,50.0467,0.0,21.8342,0.0,120.0,0.556,GND
12,357.6382,8.569,50.0463,0.0,27.8191,0.0,120.0,0.556,GND
13,372.608,8.5688,50.0451,0.0,17.0,0.0,120.0,0.556,GND
14,389.6834,8.5683,50.0439,0.0,18.0,0.0,120.0,0.556,GND
15,412.0151,8.5677,50.0425,0.0,29.3869,0.0,120.0,0.556,GND
16,424.6382,8.5669,50.0422,0.0,16.0251,0.0,120.0,0.556,GND
17,452.5578,8.5635,50.0414,0.0,30.0704,0.0,120.0,0.556,GND
18,459.4573,8.5628,50.0412,0.0,27.2965,0.0,120.0,0.556,GND
19,481.2462,8.5609,50.0407,0.0,21.1809,0.0,120.0,0.556,GND
20,492.8492,8.5596,50.0406,0.0,28.9447,0.0,120.0,0.556,GND
21,508.196,8.5584,50.0403,0.0,15.1709,0.0,120.0,0.556,GND
22,516.4171,8.5575,50.04,0.0,17.0,0.0,120.0,0.556,GND
23,532.6432,8.5555,50.0394,0.0,20.0,0.0,120.0,0.556,GND
24,550.9146,8.553,50.039,0.0,21.9095,0.0,120.0,0.556,GND
25,563.5578,8.551,50.0385,0.0,20.3116,0.0,120.0,0.556,GND
26,575.804,8.5493,50.038,0.0,22.402,0.0,120.0,0.556,GND
27,587.5377,8.5475,50.0376,0.0,24.6482,0.0,120.0,0.556,GND
28,598.6834,8.5456,50.0372,0.0,24.2111,0.0,120.0,0.556,GND
29,616.2663,8.5438,50.0373,0.0,32.8593,0.0,120.0,0.556,GND
30,634.7739,8.5431,50.0381,0.0,31.0,0.0,120.0,0.556,GND
31,643.6985,8.5421,50.0378,0.0,32.5327,0.0,120.0,0.556,GND
32,654.397,8.541,50.0377,0.0,15.8794,0.0,120.0,0.556,GND
33,668.2513,8.5396,50.0374,0.0,19.0,0.0,120.0,0.556,GND
34,682.603,8.5375,50.0368,0.0,21.7437,0.0,120.0,0.556,GND
35,698.2362,8.5353,50.0363,0.0,24.6181,0.0,120.0,0.556,GND
36,709.3216,8.5333,50.0358,0.0,26.8643,0.0,120.0,0.556,GND
37,731.3317,8.5298,50.0349,0.0,22.0,0.0,120.0,0.556,GND
38,739.8543,8.5289,50.0348,0.0,19.8593,0.0,120.0,0.556,GND
39,769.0754,8.5277,50.0344,0.0,5.5578,0.0,120.0,0.556,GND
40,874.794,8.5269,50.0343,0.0,21.0955,0.0,120.0,0.556,GND
41,894.0503,8.526,50.0339,0.0,21.8543,0.0,120.0,0.556,GND
42,1017.0754,8.5259,50.0332,0.0,23.8593,0.0,120.0,0.556,GND
43,1031.2915,8.526,50.0302,0.0,78.9849,0.0,120.0,0.556,CL
44,1074.5377,8.5263,50.0005,1564.0704,157.5477,2085.4271,166.7136,0.556,CL
45,1106.402,8.5275,49.9745,2735.0503,178.402,1894.1134,171.6784,0.2803,CL
46,1119.2663,8.5283,49.9635,3048.4925,192.9196,1451.005,181.799,0.2945,CL
47,1142.3015,8.5301,49.942,3689.8241,212.7186,1876.5418,286.7839,0.332,CL
48,1168.2864,8.5321,49.914,4448.1156,240.9246,1693.9698,242.9548,0.3742,CL
49,1186.392,8.5334,49.8928,5116.3317,255.1307,2406.5327,252.0,0.3597,CL
50,1202.5427,8.5313,49.8745,5861.5578,259.2462,2955.4917,252.0,0.4237,CL
51,1229.3467,8.5175,49.8436,7303.392,260.0,3302.7638,252.0,0.4298,CL
52,1253.8241,8.5019,49.8157,8455.9045,266.2161,2396.9849,252.0,0.432,CL
53,1282.5025,8.4813,49.7826,9526.3819,281.0503,2437.6884,252.0,0.4562,CL
54,1300.8543,8.4535,49.7673,10340.8291,287.5578,2127.3676,252.0,0.4596,CL
55,1332.3417,8.3864,49.7584,11158.5427,319.4271,1385.6784,321.598,0.5109,CL
56,1346.1558,8.3531,49.756,11453.8945,333.9447,1409.5477,328.0,0.5366,CL
57,1367.1759,8.3018,49.7523,11878.5176,354.1407,1296.4824,350.4925,0.5684,CL
58,1379.6884,8.272,49.75,12110.1759,364.407,1070.3518,364.0,0.588,CL
59,1390.5829,8.243,49.7477,12377.7638,372.5829,1763.8191,364.0,0.6,CL
60,1429.3116,8.1388,49.7396,13745.603,386.2864,2091.4062,387.2161,0.6186,CL
61,1442.2211,8.1011,49.7364,14232.5377,389.0201,2980.8132,394.0,0.6281,CL
