,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5818,50.0474,0.0,0.0,0.0,0.0,0.0,GND
1,70.9749,8.5818,50.0474,0.0,0.0,0.0,0.0,0.0,GND
2,155.9497,8.5818,50.0474,0.0,0.0,0.0,0.0,0.0,GND
3,213.9397,8.5814,50.048,0.0,3.0,0.0,0.0,0.0,GND
4,447.8995,8.5816,50.0483,0.0,0.0,0.0,0.0,0.0,GND
5,583.8744,8.5799,50.0478,0.0,11.9749,0.0,0.0,0.0,GND
6,637.8794,8.5789,50.0451,0.0,14.9698,0.0,0.0,0.0,GND
7,697.8593,8.57,50.043,0.0,27.0,0.0,0.0,0.0,GND
8,772.7588,8.5554,50.0395,0.0,28.0402,0.0,0.0,0.0,GND
9,824.8643,8.5471,50.0373,0.0,15.0,0.0,0.0,0.0,GND
10,875.8492,8.5546,50.0374,0.0,81.2965,0.0,0.0,0.0,LVL
11,983.8342,8.6772,50.0649,3163.9447,230.0,3935.5109,184.0,0.3107,CL
12,1085.0955,8.8644,50.0667,8497.2362,290.6382,3500.0,290.9146,0.4506,CL
13,1260.804,9.2968,50.0728,16366.8342,380.9347,2500.0,376.392,0.5928,CL
14,1358.9296,9.5808,50.0757,20248.2412,413.9296,1565.9548,404.0,0.6517,CL
15,1454.9246,9.8778,50.078,23471.2312,444.0,2932.1608,418.7538,0.6849,CL
16,1523.5176,10.0989,50.079,25685.9296,455.9196,1770.1005,440.0,0.724,CL
17,1599.7437,10.3518,50.0796,27595.7286,472.9146,1010.6784,454.0,0.752,CL
18,1653.3668,10.5365,50.0799,28738.6935,483.9095,1110.1938,461.8191,0.772,CL
19,1712.7136,10.7449,50.0797,30320.2261,483.0,1047.7387,463.809,0.78,CL
20,1797.397,11.0367,50.0789,32357.4121,481.1005,1775.1256,458.201,0.784,CL
21,1872.3668,11.2941,50.0775,34064.4472,476.0,1026.3819,452.0,0.78,CL
22,1936.6683,11.5146,50.0759,35169.4724,476.0,955.7789,450.0,0.78,CL
23,2005.4221,11.7504,50.0737,36191.3317,478.0,900.0,450.0,0.7835,CL
24,2076.6382,11.9924,50.071,37000.0,473.1206,25.8435,444.0,0.776,CR
25,2133.3719,12.1833,50.0684,37000.0,470.8744,0.0,441.7487,0.772,CR
26,2185.4774,12.3606,50.0658,37000.0,472.0,0.0,444.0,0.7725,CR
27,2241.1859,12.5463,50.0652,37468.2161,471.8643,483.0402,441.7286,0.772,CL
28,2292.4372,12.7212,50.0656,38096.4824,471.0,392.5879,440.0,0.772,CL
29,2345.2714,12.8998,50.0655,38667.7136,471.0,643.7186,440.0,0.772,CL
30,2397.0955,13.0752,50.0652,38996.2312,472.0,212.3116,441.6985,0.772,CL
31,2453.2211,13.2649,50.0645,39000.0,471.0,0.0,439.6884,0.7714,CR
32,2502.8392,13.4326,50.0636,39000.0,472.0,0.0,440.0,0.772,CR
33,2560.5025,13.6264,50.0622,39025.0,473.0,0.0,442.0,0.776,CR
34,2611.4874,13.8022,50.0608,39025.0,474.0,0.0,441.6583,0.772,CR
35,2684.9447,14.05,50.0582,39000.0,474.0,0.0,440.0,0.772,CR
36,2740.0955,14.239,50.056,39000.0,474.0,0.0,440.0,0.772,CR
37,2800.6985,14.4439,50.0533,39000.0,475.0,0.0,440.0,0.772,CR
38,2857.0452,14.636,50.0504,39000.0,474.809,0.0,439.6181,0.7712,CR
39,2912.4121,14.8247,50.0471,39000.0,475.0,0.0,440.0,0.772,CR
40,2964.995,15.0033,50.0439,38975.0,476.0,0.0,438.0,0.768,CR
41,3028.3819,15.2191,50.0394,38975.0,477.0,0.0,438.0,0.7712,CR
42,3087.7337,15.4243,50.0348,39025.0,479.0,0.0,440.0,0.772,CR
43,3152.1357,15.6449,50.0297,39000.0,480.0,0.0,440.0,0.772,CR
44,3204.6734,15.8245,50.025,39025.0,480.7789,0.0,442.0,0.776,CR
45,3268.8693,16.0453,50.0189,39025.0,481.0,0.0,442.0,0.776,CR
46,3323.6131,16.2334,50.0134,39000.0,480.0,0.0,442.0,0.776,CR
47,3379.5276,16.4257,50.0074,39025.0,478.0,0.0,442.0,0.772,CR
48,3430.5176,16.6016,50.0019,39025.0,477.0,0.0,442.0,0.776,CR
49,3484.2613,16.7828,49.9958,38975.0,475.0,0.0,438.0,0.768,CR
50,3544.995,16.9897,49.9884,38975.0,474.0,0.0,438.0,0.768,CR
51,3596.9749,17.1656,49.9818,38975.0,475.0,0.0,438.0,0.768,CR
52,3648.9548,17.3431,49.975,38975.0,475.0,0.0,438.0,0.768,CR
53,3703.1357,17.529,49.9674,39000.0,476.2663,0.0,440.0,0.768,CR
54,3768.1859,17.7481,49.9582,38975.0,479.0,0.0,438.0,0.768,CR
55,3819.8945,17.9275,49.9503,39018.0905,481.0,271.3568,442.0,0.772,CR
56,3876.0302,18.1205,49.9416,39050.0,482.0,0.0,442.0,0.776,CR
