,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5762,50.048,0.0,0.0,0.0,0.0,0.0,GND
1,18.8191,8.5762,50.048,0.0,0.0,0.0,0.0,0.0,GND
2,45.4573,8.5761,50.0481,0.0,0.0,0.0,0.0,0.0,GND
3,60.7286,8.5761,50.0482,0.0,0.0,0.0,0.0,0.0,GND
4,74.8191,8.576,50.0482,0.0,0.0,0.0,0.0,0.0,GND
5,105.3819,8.5761,50.0482,0.0,0.0,0.0,0.0,0.0,GND
6,126.3719,8.5761,50.0482,0.0,0.0,0.0,0.0,0.0,GND
7,156.4171,8.5762,50.0482,0.0,0.0,0.0,0.0,0.0,GND
8,180.191,8.5761,50.0481,0.0,0.0,0.0,0.0,0.0,GND
9,199.9648,8.5762,50.0482,0.0,0.0,0.0,0.0,0.0,GND
10,226.191,8.5762,50.0481,0.0,0.0,0.0,0.0,0.0,GND
11,249.5126,8.5762,50.0482,0.0,0.0,0.0,0.0,0.0,GND
12,267.0302,8.5762,50.0482,0.0,0.0,0.0,0.0,0.0,GND
13,298.4121,8.5761,50.0481,0.0,0.0,0.0,0.0,0.0,GND
14,327.7337,8.5762,50.0481,0.0,0.0,0.0,0.0,0.0,GND
15,349.9648,8.5761,50.048,0.0,0.0,0.0,0.0,0.0,GND
16,378.6583,8.5761,50.048,0.0,0.0,0.0,0.0,0.0,GND
17,404.6935,8.5761,50.048,0.0,0.0,0.0,0.0,0.0,GND
18,422.1156,8.5762,50.0481,0.0,0.0,0.0,0.0,0.0,GND
19,443.4221,8.5762,50.048,0.0,0.0,0.0,0.0,0.0,GND
20,461.5729,8.5761,50.048,0.0,0.0,0.0,0.0,0.0,GND
21,486.3015,8.5761,50.048,0.0,0.0,0.0,0.0,0.0,GND
22,506.0503,8.5761,50.048,0.0,0.0,0.0,0.0,0.0,GND
23,531.799,8.5761,50.048,0.0,0.0,0.0,0.0,0.0,GND
24,555.5729,8.5761,50.048,0.0,0.0,0.0,0.0,0.0,GND
25,603.6482,8.5761,50.048,0.0,10.4322,0.0,0.0,0.0,GND
26,630.8241,8.5764,50.0484,0.0,11.0,0.0,0.0,0.0,GND
27,648.1156,8.5765,50.0486,0.0,11.0,0.0,0.0,0.0,GND
28,662.402,8.5766,50.0488,0.0,10.2663,0.0,0.0,0.0,GND
29,679.0653,8.5763,50.0489,0.0,4.1809,0.0,0.0,0.0,GND
30,695.2161,8.5763,50.0485,0.0,0.0,0.0,0.0,0.0,GND
31,710.5879,8.5762,50.0483,0.0,0.0,0.0,0.0,0.0,GND
