,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5743,50.0488,0.0,15.0,0.0,0.0,0.0,GND
1,25.4975,8.5743,50.0488,0.0,0.0,0.0,0.0,0.0,GND
2,45.9899,8.5743,50.0488,0.0,0.0,0.0,0.0,0.0,GND
3,65.995,8.5741,50.0491,0.0,13.0,0.0,0.0,0.0,GND
4,90.6432,8.5735,50.0502,0.0,7.0704,0.0,0.0,0.0,GND
5,140.3166,8.5743,50.0489,0.0,2.5628,0.0,0.0,0.0,GND
6,287.9849,8.5747,50.049,0.0,10.0,0.0,0.0,0.0,GND
7,309.3216,8.5751,50.0491,0.0,10.0,0.0,0.0,0.0,GND
8,337.2864,8.5753,50.0493,0.0,2.0,0.0,0.0,0.0,GND
9,370.9246,8.5754,50.0493,0.0,9.0,0.0,0.0,0.0,GND
10,399.9497,8.5758,50.0492,0.0,2.0,0.0,0.0,0.0,GND
11,421.9447,8.5762,50.0491,0.0,9.1759,0.0,0.0,0.0,GND
12,648.9598,8.5783,50.0485,0.0,14.0101,0.0,0.0,0.0,GND
13,673.4673,8.5787,50.0484,0.0,13.1558,0.0,0.0,0.0,GND
14,697.2864,8.5791,50.048,0.0,9.0,0.0,0.0,0.0,GND
15,792.6734,8.5792,50.0479,0.0,0.9749,0.0,0.0,0.0,GND
16,829.6533,8.5792,50.0474,0.0,17.6533,0.0,0.0,0.0,GND
17,851.7337,8.5783,50.0469,0.0,22.8191,0.0,0.0,0.0,GND
18,876.8643,8.5767,50.0465,0.0,25.9698,0.0,0.0,0.0,GND
19,899.9045,8.5748,50.0461,0.0,29.0,0.0,0.0,0.0,GND
20,920.5829,8.5731,50.0457,0.0,31.0,0.0,0.0,0.0,GND
21,947.2362,8.5706,50.0451,0.0,33.4824,0.0,0.0,0.0,GND
22,979.5377,8.5672,50.0442,0.0,16.6482,0.0,0.0,0.0,GND
23,1023.1407,8.5619,50.043,0.0,18.8141,0.0,0.0,0.0,GND
24,1052.9196,8.5578,50.042,0.0,22.0,0.0,0.0,0.0,GND
25,1073.4372,8.5547,50.0413,0.0,24.1457,0.0,0.0,0.0,GND
26,1098.9347,8.5502,50.0402,0.0,24.3116,0.0,0.0,0.0,GND
27,1123.8643,8.5456,50.0391,0.0,28.4774,0.0,0.0,0.0,GND
28,1151.5729,8.5414,50.0378,0.0,20.0,0.0,0.0,0.4914,GND
29,1172.4271,8.5383,50.0371,0.0,23.0,0.0,0.0,0.764,GND
30,1193.8744,8.5351,50.0363,0.0,22.9749,0.0,0.0,0.764,GND
31,1218.2814,8.5308,50.0353,0.0,26.0,0.0,0.0,0.764,GND
32,1237.5327,8.528,50.0345,0.0,19.0653,0.0,0.0,0.764,GND
33,1263.8342,8.5275,50.0344,0.0,0.0,0.0,0.0,0.764,GND
34,1282.9146,8.5273,50.0343,0.0,10.2764,0.0,0.0,0.764,GND
35,1304.608,8.5264,50.0342,0.0,20.804,0.0,0.0,0.764,GND
36,1325.8191,8.5259,50.0335,0.0,21.0302,0.0,0.0,0.764,GND
37,1354.2714,8.526,50.0334,0.0,0.0,0.0,0.0,0.764,GND
38,1385.0151,8.526,50.0332,0.0,19.3317,0.0,0.0,0.764,GND
39,1443.2915,8.5263,50.0019,834.4221,146.4673,1323.687,0.0,0.5191,CL
40,1523.2613,8.5299,49.9435,3602.3869,178.5276,1666.031,166.0,0.2839,CL
