,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5237,50.034,0.0,7.0,0.0,0.0,0.0,GND
1,57.7035,8.5244,50.034,0.0,0.1407,0.0,0.0,0.0,GND
2,125.8141,8.5244,50.034,0.0,0.2814,0.0,0.0,0.0,GND
3,196.1106,8.5244,50.034,0.0,0.5779,0.0,0.0,0.0,GND
4,270.7943,8.526,50.0338,0.0,3.0603,0.0,0.0,0.0,GND
5,305.2211,8.5259,50.0337,0.0,0.0,0.0,0.0,0.0,GND
6,412.3769,8.5242,49.9808,1809.4221,174.6884,1476.6332,146.8945,0.2821,CL
7,489.7466,8.446,49.9266,4850.0,177.1273,48.995,2.6231,0.0055,LVL
8,556.3769,8.3597,49.8759,7793.8442,253.0,3164.2395,152.1407,0.432,CL
9,662.3317,8.2034,49.9413,13016.5829,281.0653,2812.8293,289.4673,0.4541,CL
10,728.5405,8.2793,50.0149,15335.1759,302.5218,1052.7184,188.5628,0.2989,CL
11,795.1837,8.4055,50.0929,16377.3869,396.7735,1233.7978,199.3769,0.3177,CL
12,875.0653,8.5812,50.2007,18518.8442,436.0,1922.1106,396.9849,0.663,CL
13,970.1457,8.8029,50.3359,21103.6432,461.8291,1556.0664,430.2915,0.7006,CL
14,1048.8794,8.9978,50.4539,22996.9849,477.9698,1490.9548,441.9397,0.7239,CL
15,1131.358,9.2072,50.5796,24786.0553,485.4371,1155.8878,49.7487,0.0823,CL
16,1170.5075,9.3117,50.6418,25550.1256,498.5025,251.2563,454.0,0.756,CR
17,1227.2472,9.4625,50.7314,26573.995,505.092,1010.1849,181.0854,0.3026,CL
18,1287.4598,9.6266,50.8273,27764.9497,511.1035,3200.2049,248.2211,0.4155,CL
19,1327.5737,9.7448,50.8817,29391.8342,497.4583,1348.8216,146.9849,0.2482,CL
20,1369.2957,9.8795,50.9267,30472.1106,501.8682,3155.8859,84.0402,0.1421,CL
21,1426.8191,10.0642,50.9831,32371.608,478.0,1108.0402,426.0,0.728,CL
22,1483.3819,10.2347,51.0461,32950.0,484.0955,0.0,428.7638,0.7379,CR
23,1561.7085,10.4307,51.1721,32950.0,495.2362,0.0,458.0,0.788,CL
24,1613.3769,10.5436,51.2665,33359.4221,491.6231,1500.0,457.2462,0.788,CL
25,1670.0352,10.6681,51.3703,34337.9397,491.0,677.6382,454.0,0.784,CL
26,1723.2915,10.7828,51.4652,34941.4573,485.6583,197.4874,450.6834,0.7854,CR
27,1775.392,10.9119,51.5532,34925.0,498.397,0.0,451.598,0.784,CR
28,1824.0075,11.0493,51.6243,34925.0,506.8544,0.0,27.3769,0.0475,CR
29,1854.1893,11.1372,51.6685,34950.0,503.9681,0.0,36.5025,0.0634,CR
30,1883.3611,11.2219,51.7111,34950.0,501.0434,0.0,352.0603,0.6107,CR
31,1919.8676,11.3291,51.7649,34950.0,501.7092,0.0,288.4623,0.5003,CR
32,1960.0398,11.4455,51.8227,34950.0,504.1355,0.0,228.1407,0.396,CR
33,2001.2864,11.5673,51.8831,34950.0,502.0,0.0,454.0,0.784,CR
34,2052.6784,11.7147,51.9559,34950.0,501.4984,0.0,98.1005,0.1703,CR
35,2106.8492,11.8724,52.0343,34925.0,497.0,0.0,451.8492,0.7837,CR
36,2155.3266,12.0111,52.1062,34925.0,499.0,0.0,452.0,0.784,CR
37,2201.8241,12.1479,52.1759,34925.0,501.206,0.0,454.0,0.7872,CR
38,2254.0402,12.2977,52.2517,34950.0,503.0,0.0,452.0,0.784,CR
39,2317.0984,12.4821,52.3445,34950.0,502.6328,0.0,0.0,0.0,CR
40,2359.4371,12.6091,52.4079,34950.0,503.0646,0.0,283.9196,0.4925,CR
41,2398.8352,12.7257,52.466,34950.0,505.0858,0.0,347.5176,0.6028,CR
42,2435.9152,12.8359,52.5209,34950.0,503.1548,0.0,412.9347,0.7167,CR
43,2476.786,12.9528,52.5784,34950.0,504.6761,0.0,22.7136,0.0394,CR
44,2525.191,13.0984,52.6501,34950.0,504.0,0.0,452.0,0.784,CR
45,2569.3266,13.2333,52.716,34950.0,505.0,0.0,452.0,0.784,CR
46,2618.4171,13.3778,52.7862,34950.0,505.0,0.0,452.0,0.7861,CR
47,2660.1392,13.5035,52.8479,34950.0,504.4364,0.0,175.6683,0.3049,CR
48,2699.0958,13.6057,52.914,34950.0,493.882,0.0,340.7035,0.591,CR
49,2740.9555,13.6971,52.9895,34950.0,493.0766,0.0,404.3015,0.7013,CR
50,2779.147,13.7844,53.0619,34950.0,493.0255,0.0,436.1005,0.7564,CR
51,2821.1759,13.8781,53.1391,34950.0,495.0,0.0,452.0,0.784,CR
52,2860.5674,13.9642,53.2097,34950.0,496.3978,0.0,143.7286,0.2495,CR
53,2895.8001,14.0445,53.2755,34950.0,496.1966,0.0,206.6935,0.3585,CR
54,2924.4718,14.1104,53.3292,34950.0,496.8815,0.0,182.5126,0.3168,CR
55,2956.6734,14.1824,53.3877,34950.0,495.865,0.0,333.8894,0.5791,CR
56,2990.4456,14.2599,53.4504,34950.0,496.8257,0.0,54.5126,0.0946,CR
57,3020.2029,14.3271,53.5045,34950.0,498.0976,0.0,9.1256,0.0158,CR
58,3058.6432,14.4178,53.5773,34950.0,496.0,0.0,454.0,0.788,CR
59,3111.6995,14.5374,53.6732,34950.0,498.0362,0.0,317.1156,0.5504,CR
60,3152.3379,14.632,53.7484,34950.0,497.5022,0.0,200.7638,0.3467,CR
61,3193.1658,14.728,53.8243,34950.0,498.0,0.0,454.0,0.784,CR
62,3236.6057,14.8294,53.9045,34950.0,500.0707,0.0,125.4774,0.2167,CR
63,3273.5947,14.9159,53.9722,34950.0,498.9992,0.0,61.598,0.1069,CR
64,3307.6707,14.9964,54.0351,34950.0,499.6549,0.0,2.2814,0.0039,CR
65,3337.6945,15.0679,54.0906,34950.0,500.9966,0.0,387.8392,0.6697,CR
66,3370.0922,15.1455,54.1505,34950.0,502.0215,0.0,323.9598,0.5594,CR
67,3402.8426,15.2236,54.211,34950.0,502.1689,0.0,193.9196,0.3349,CR
68,3430.4157,15.2896,54.2618,34950.0,500.1372,0.0,257.799,0.4452,CR
69,3462.0742,15.365,54.3198,34950.0,501.8976,0.0,132.3216,0.2285,CR
70,3493.0602,15.4398,54.3766,34950.0,502.6237,0.0,68.4422,0.1182,CR
71,3527.9598,15.524,54.441,34950.0,503.0,0.0,454.0,0.788,CR
72,3561.392,15.6059,54.503,34950.0,500.0,0.0,452.0,0.784,CR
73,3604.6281,15.7099,54.5817,34950.0,500.5427,0.0,452.0,0.784,CR
74,3644.8844,15.8088,54.656,34935.3015,503.0,88.2986,452.8241,0.7856,CR
75,3682.6583,15.9023,54.726,34950.0,504.0,0.0,454.0,0.788,CR
76,3723.8014,16.0026,54.8006,34950.0,503.2553,0.0,314.8342,0.5465,CR
77,3763.3367,16.1008,54.8734,34950.0,501.0,0.0,454.0,0.784,CR
78,3795.9313,16.1818,54.9333,34950.0,501.9853,0.0,440.6432,0.7643,CR
79,3825.2312,16.2537,54.986,34925.0,504.0,0.0,455.7688,0.788,CR
80,3854.4665,16.3261,55.0391,34950.0,503.0364,0.0,116.8643,0.2019,CR
81,3887.8078,16.41,55.1003,34950.0,501.1184,0.0,180.2312,0.3112,CR
82,3915.1586,16.4777,55.1496,34950.0,502.8772,0.0,244.1106,0.4215,CR
83,3946.525,16.5564,55.2067,34950.0,504.229,0.0,307.9899,0.5319,CR
84,3976.4643,16.6331,55.262,34950.0,505.0671,0.0,371.8693,0.6422,CR
85,4004.8696,16.7044,55.3135,34950.0,506.0291,0.0,18.3317,0.0315,CR
86,4037.465,16.7874,55.3731,34950.0,509.2934,0.0,45.8291,0.0792,CR
87,4068.4824,16.8692,55.4315,34950.0,508.0,0.0,456.0,0.784,CR
88,4105.2619,16.9622,55.4976,34950.0,508.4123,0.0,174.1508,0.2994,CR
89,4138.3227,17.0479,55.5582,34950.0,509.0556,0.0,217.6884,0.3762,CR
90,4173.3164,17.1388,55.6224,34950.0,508.2967,0.0,153.5276,0.264,CR
91,4205.9472,17.2227,55.6818,34950.0,506.5559,0.0,0.0,0.0,CR
92,4238.8342,17.3076,55.7431,34950.0,508.0,0.0,456.0,0.784,CR
93,4269.7924,17.3869,55.7992,34950.0,510.1021,0.0,38.7839,0.067,CR
94,4303.5353,17.4748,55.8613,34950.0,510.9693,0.0,352.8844,0.6067,CR
95,4332.3411,17.5521,55.9159,34950.0,510.2364,0.0,288.7236,0.4989,CR
96,4365.1787,17.6378,55.9757,34950.0,511.1541,0.0,224.5628,0.3881,CR
97,4392.7334,17.7098,56.0263,34950.0,510.2267,0.0,295.598,0.5108,CR
98,4423.3504,17.7907,56.0827,34950.0,511.9922,0.0,358.1809,0.6217,CR
99,4454.8646,17.8738,56.1402,34950.0,512.5783,0.0,32.0804,0.0552,CR
100,4489.0704,17.9656,56.2039,34950.0,512.0,0.0,456.0,0.7843,CR
101,4517.0561,18.0398,56.2548,34950.0,511.0177,0.0,359.7588,0.6217,CR
102,4547.6188,18.1215,56.311,34950.0,512.3734,0.0,295.598,0.5108,CR
103,4579.0292,18.2056,56.3681,34950.0,513.0312,0.0,224.5628,0.3861,CR
104,4611.9883,18.296,56.4299,34950.0,514.22,0.0,288.7236,0.4964,CR
105,4640.3931,18.3716,56.4814,34950.0,515.7665,0.0,103.1156,0.1773,CR
