,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5751,50.0485,0.0,0.0,0.0,0.0,0.0,GND
1,58.9945,8.5753,50.0487,0.0,0.6231,0.0,0.0,0.0,GND
2,123.6231,8.5757,50.0492,0.0,2.0,0.0,0.0,0.0,GND
3,220.804,8.5767,50.0489,0.0,3.0,0.0,0.0,0.0,GND
4,267.2312,8.5777,50.0487,0.0,3.0,0.0,0.0,0.0,GND
5,332.5779,8.5784,50.0485,0.0,0.0,0.0,0.0,0.0,GND
6,420.3467,8.5784,50.0485,0.0,0.0,0.0,0.0,0.0,GND
7,502.9045,8.5799,50.0466,0.0,14.0,0.0,0.0,0.0,GND
8,561.4774,8.5762,50.0445,0.0,15.5075,0.0,0.0,0.0,GND
9,594.2702,8.5727,50.0436,0.0,2.9397,0.0,0.0,0.0,GND
10,627.1156,8.5686,50.0427,0.0,21.0,0.0,0.0,0.0,GND
11,661.4561,8.563,50.0413,0.0,11.1055,0.0,0.0,0.0,GND
12,693.9548,8.5568,50.0398,0.0,28.2613,0.0,0.0,0.0,GND
13,730.4643,8.5508,50.0384,0.0,1.3568,0.0,0.0,0.0,GND
14,776.7236,8.5422,50.0363,0.0,26.3618,0.0,0.0,0.0,GND
15,826.0201,8.5345,50.0344,0.0,11.0,0.0,0.0,0.0,GND
16,869.9548,8.5366,50.033,0.0,6.0151,0.0,0.0,0.0,GND
17,929.7806,8.5465,50.0355,7.4121,66.8342,168.9038,0.0,0.0,LVL
18,1009.2563,8.6292,50.0546,1645.603,184.0804,743.6468,162.0,0.248,CL
19,1099.8392,8.7652,50.0671,5266.9598,250.8392,2899.4975,230.0,0.3557,CL
20,1231.9246,9.0326,50.0475,11527.0101,330.0,2894.4724,0.0,0.0,CL
21,1309.0067,9.2204,50.0375,15412.8141,351.7398,1170.9816,194.2915,0.3061,CL
22,1354.5628,9.3399,50.0308,17456.7839,367.8543,2718.593,369.7085,0.584,CL
23,1397.2431,9.4507,50.0245,19212.3116,381.5373,-1123.0033,63.6784,0.1015,CL
24,1438.238,9.5645,50.0179,21121.608,385.1911,2288.3445,204.8643,0.3282,CL
25,1511.4673,9.7745,50.0053,23855.0251,402.5779,2091.7085,410.7337,0.6663,CL
26,1599.5025,10.0335,49.9893,26690.0754,421.0,1867.4623,427.397,0.7044,CL
27,1672.4724,10.256,49.975,28872.1106,432.0,1791.9957,440.8241,0.7336,CL
28,1746.6181,10.4868,49.9598,30790.4523,441.7236,1500.0,454.0,0.7629,CL
29,1806.1055,10.6744,49.9471,32026.7588,451.0352,1068.916,462.0,0.78,CL
30,1861.0402,10.8543,49.9347,32967.3367,461.0,1471.7617,468.6935,0.796,CL
31,1904.3698,10.9925,49.9249,33673.7437,467.5781,853.7994,0.0,0.0,CL
32,1946.8492,11.1386,49.9144,34796.2312,463.0302,1500.0,471.9397,0.808,CL
33,1992.1256,11.287,49.9035,35696.1055,459.0,1125.0,466.0,0.804,CL
34,2052.9648,11.4853,49.8887,36709.2965,459.0,1016.8342,466.0,0.808,CL
35,2114.7136,11.6857,49.8733,37025.0,456.0,0.0,460.0,0.796,CR
36,2192.1608,11.9365,49.8536,37025.0,455.7839,0.0,458.0,0.796,CR
37,2263.5829,12.1664,49.8351,37025.0,456.0,0.0,458.0,0.796,CR
38,2340.0352,12.4134,49.8144,37025.0,456.8392,0.0,458.0,0.792,CR
39,2380.2567,12.5392,49.7951,37025.0,457.071,0.0,387.2563,0.6726,CR
40,2419.1384,12.6576,49.7712,37025.0,458.1299,0.0,0.0,0.0,CR
41,2455.8016,12.7737,49.748,37025.0,460.2532,0.0,103.5678,0.1791,CR
42,2491.2563,12.8891,49.7247,37025.0,462.0,0.0,458.0,0.796,CR
43,2535.3735,13.0235,49.6974,37025.0,461.6542,0.0,181.8191,0.3144,CR
44,2592.5025,13.2044,49.6603,37025.0,461.0,0.0,456.0,0.792,CR
45,2644.0603,13.3659,49.6269,37025.0,464.0,0.0,458.0,0.796,CR
46,2705.3266,13.5585,49.5868,37025.0,463.0,0.0,458.0,0.796,CR
47,2769.9296,13.7613,49.544,37025.0,461.6432,0.0,454.0,0.788,CR
48,2833.6834,13.9604,49.5016,37025.0,463.0,0.0,456.0,0.792,CR
49,2873.1343,14.0791,49.4762,37025.0,463.1347,0.0,120.9146,0.2099,CR
50,2912.2075,14.2017,49.4498,37025.0,463.2331,0.0,192.4824,0.3343,CR
51,2944.8273,14.3061,49.4271,37025.0,463.0446,0.0,403.809,0.7009,CR
52,2983.4366,14.4255,49.401,37025.0,462.1496,0.0,362.7437,0.6296,CR
53,3028.5126,14.5668,49.3701,37025.0,464.0,0.0,456.0,0.792,CR
54,3062.0924,14.6663,49.3481,37025.0,465.3191,0.0,79.8492,0.1386,CR
55,3102.3275,14.7923,49.32,37025.0,466.74,0.0,61.598,0.1075,CR
56,3164.7889,14.9914,49.2755,37025.0,466.0,0.0,454.0,0.788,CR
57,3218.0352,15.1563,49.2383,37000.0,467.0,0.0,454.0,0.788,CR
58,3276.7739,15.34,49.1965,37025.0,467.0,0.0,454.0,0.7883,CR
59,3335.6734,15.5222,49.1547,37025.0,467.0,0.0,454.0,0.788,CR
60,3389.0804,15.6869,49.1165,37025.0,467.0,0.0,454.0,0.788,CR
61,3432.0071,15.8219,49.0851,37025.0,468.0001,0.0,451.7186,0.784,CR
62,3466.3542,15.924,49.0612,37025.0,469.2296,0.0,144.3618,0.2507,CR
63,3498.8439,16.0265,49.037,37025.0,468.0882,0.0,285.1759,0.495,CR
64,3535.7046,16.1415,49.0098,37025.0,468.0408,0.0,426.6231,0.7405,CR
65,3577.3625,16.2674,48.9798,37025.0,466.5235,0.0,113.5678,0.197,CR
66,3618.3769,16.3969,48.9488,37025.0,468.0,0.0,454.0,0.788,CR
67,3674.1913,16.5697,48.9072,37025.0,468.9318,0.0,398.7136,0.6925,CR
68,3750.5578,16.8038,48.8503,37025.0,468.1859,0.0,454.0,0.788,CR
69,3816.4824,17.0054,48.7977,37025.0,470.4975,0.0,452.995,0.788,CR
70,3879.9417,17.1791,48.7247,37025.0,475.9547,0.0,86.6935,0.1505,CR
71,3928.4824,17.3047,48.6529,37025.0,477.0,0.0,452.0,0.784,CR
72,3978.1011,17.4273,48.5823,37025.0,478.7168,0.0,257.799,0.4475,CR
73,4018.2312,17.5293,48.5232,37025.0,479.0,0.0,454.0,0.788,CR
74,4055.0622,17.6227,48.4688,37025.0,481.0354,0.0,430.794,0.7482,CR
75,4097.4673,17.7289,48.4068,37015.8291,481.0,-137.5628,452.0,0.784,CR
76,4146.7136,17.8516,48.3348,37025.0,477.3216,0.0,450.0,0.784,CR
77,4207.9497,18.0047,48.2446,37000.2513,479.0,-296.9849,450.0,0.78,DE
78,4273.5075,18.1671,48.1483,37025.0,482.0,0.0,452.603,0.788,CR
79,4353.4008,18.3633,48.0311,37000.0,482.3711,-119.2525,277.1055,0.4806,CR
80,4430.5477,18.5545,47.9161,37025.0,481.0,0.0,450.0,0.7837,CR
81,4483.1809,18.6845,47.8373,37019.0955,482.0,-70.8543,450.0,0.784,CR
82,4528.191,18.7946,47.7701,37025.0,483.0,0.0,452.0,0.784,CR
83,4582.6247,18.9239,47.6887,37025.0,483.0129,0.0,63.598,0.1103,CR
84,4633.9347,19.0478,47.6107,37020.7286,482.4308,-41.9515,76.8844,0.1339,CR
85,4698.3769,19.2058,47.5108,37025.0,483.0,0.0,450.0,0.784,CR
86,4758.1759,19.3483,47.4202,37000.0,483.0,-38.6307,450.0,0.784,CR
87,4826.1905,19.5088,47.3175,37025.0,485.1398,0.0,47.6985,0.0827,CR
88,4912.1516,19.7157,47.1842,37025.0,485.4753,0.0,187.6884,0.327,CR
89,4991.571,19.9043,47.0619,37025.0,485.5942,0.0,122.1106,0.2127,CR
90,5056.3618,20.0605,46.9599,37025.0,487.0,0.0,450.0,0.784,CR
91,5132.0553,20.2403,46.8418,37025.0,489.0,0.0,450.7035,0.784,CR
92,5181.5004,20.3571,46.7645,37025.0,488.2262,0.0,298.4925,0.52,CR
93,5234.8442,20.4805,46.6825,37025.0,488.655,0.0,11.3065,0.0197,CR
94,5311.7186,20.666,46.5586,37025.0,491.0,0.0,452.0,0.788,CR
95,5359.9899,20.7786,46.483,37025.0,490.0,0.0,450.0,0.7816,CR
96,5440.6382,20.9656,46.3553,37025.0,490.9095,0.0,448.0,0.78,CR
97,5517.7688,21.1343,46.2234,37005.5276,493.0,41.4573,450.0,0.7809,CR
