,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5658,50.0482,0.0,1.0,0.0,0.0,0.0,GND
1,52.2864,8.5662,50.0476,0.0,0.7739,0.0,0.0,0.0,GND
2,106.4082,8.5666,50.0476,0.0,1.5477,0.0,0.0,0.0,GND
3,143.2167,8.5667,50.0478,0.0,0.0,0.0,0.0,0.0,GND
4,192.7387,8.5667,50.0478,0.0,0.0,0.0,0.0,0.0,GND
5,240.5188,8.5667,50.0478,0.0,0.0,0.0,0.0,0.0,GND
6,301.608,8.5667,50.0478,0.0,0.0,0.0,0.0,0.0,GND
7,353.4171,8.5651,50.0465,0.0,3.7889,0.0,0.0,0.0,GND
8,392.3114,8.5621,50.0447,0.0,1.6231,0.0,0.0,0.0,GND
9,433.6107,8.5607,50.0429,0.0,6.2111,0.0,0.0,0.0,GND
10,480.0169,8.5557,50.0415,0.0,2.6131,0.0,0.0,0.0,GND
11,516.9312,8.5501,50.0402,0.0,0.0,0.0,0.0,0.0,GND
12,552.802,8.5443,50.0388,0.0,14.1508,0.0,0.0,0.0,GND
13,589.4617,8.5383,50.0371,0.0,0.7839,0.0,0.0,0.0,GND
14,626.6683,8.5325,50.0356,0.0,20.4171,0.0,0.0,0.0,GND
15,664.4205,8.5274,50.0343,0.0,3.1357,0.0,0.0,0.0,CL
16,710.4649,8.526,50.0282,109.799,19.2586,1130.3946,0.0,0.0,CL
17,782.3996,8.528,49.9725,2489.4472,182.2156,2153.0239,71.7588,0.1114,CL
18,865.4599,8.6361,49.9274,4249.1206,265.6969,456.3433,5.9799,0.0138,CL
19,932.0091,8.7542,49.8843,7436.0553,285.6037,3079.6931,0.0,0.0,CL
20,1000.3162,8.8814,49.8385,10298.8693,300.9989,2274.8768,208.3116,0.3368,CL
21,1045.5181,8.9703,49.8062,11034.4221,341.3215,113.2465,0.0,0.0,LVL
22,1119.6737,9.1542,49.792,13627.5126,368.7122,2379.3972,0.0,0.0,CL
23,1169.2726,9.2858,49.8049,15562.4372,377.1462,1724.0961,36.3819,0.0599,CL
24,1219.1457,9.4257,49.8184,17264.3216,391.8593,1753.7914,370.0,0.6103,CL
25,1260.2295,9.5398,49.8293,18376.005,408.0823,3107.2714,250.4925,0.4148,CL
26,1300.1206,9.6574,49.8405,19953.0151,407.0603,4454.3767,366.0,0.612,CL
27,1336.581,9.7608,49.85,21022.3618,415.0351,2281.5669,166.3719,0.2773,CL
28,1382.6683,9.8991,49.8628,22587.5628,416.0,2187.8141,368.0,0.62,CL
29,1429.4422,10.0396,49.8756,23505.5276,432.2211,3816.8977,382.4422,0.6489,CL
30,1481.0402,10.2014,49.8901,24360.804,449.2161,1023.6181,400.4322,0.6809,CL
31,1543.167,10.3977,49.9075,25424.8744,464.0622,361.3915,2.0905,0.0036,CL
32,1590.4937,10.5592,49.9215,26153.6432,477.3982,705.2084,163.4573,0.2796,CL
33,1628.7537,10.6882,49.9325,26800.0,484.0443,328.8133,100.3216,0.1711,CL
34,1670.239,10.8313,49.9446,27590.5779,487.6694,1095.1477,68.5427,0.1178,CL
35,1714.2175,10.9849,49.9573,28490.7035,488.9412,3626.0887,204.8643,0.3512,CL
36,1752.0689,11.1131,49.9678,29469.7236,483.8379,717.8861,0.0,0.0,CL
37,1788.3056,11.2404,49.978,30231.6583,482.3551,3355.2734,141.196,0.2444,CL
38,1829.8794,11.3792,49.9891,31375.0,470.3057,143.0439,130.4523,0.2253,CR
39,1874.4487,11.5338,50.0011,31704.5226,481.0381,2084.9387,402.0201,0.6949,CL
40,1924.2573,11.7012,50.0139,32838.0653,471.0448,-530.896,229.9497,0.3972,CR
