,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.588,50.0489,0.0,0.0,0.0,76.0,0.136,GND
1,25.8241,8.5879,50.049,0.0,9.196,0.0,76.0,0.136,GND
2,44.2161,8.5879,50.0493,0.0,9.392,0.0,76.0,0.136,GND
3,57.7085,8.5878,50.0494,0.0,4.8844,0.0,76.0,0.136,GND
4,79.4322,8.5876,50.0494,0.0,2.0,0.0,76.0,0.136,GND
5,97.0804,8.5876,50.0495,0.0,1.9598,0.0,76.0,0.136,GND
6,107.4724,8.5878,50.0495,0.0,7.7688,0.0,76.0,0.136,GND
7,128.5126,8.5879,50.0495,0.0,0.0,0.0,76.0,0.136,GND
8,141.0251,8.5879,50.0495,0.0,0.0,0.0,76.0,0.136,GND
9,163.7085,8.5879,50.0495,0.0,0.0,0.0,76.0,0.136,GND
10,180.201,8.5879,50.0495,0.0,0.0,0.0,76.0,0.136,GND
11,198.4422,8.5879,50.0495,0.0,0.0,0.0,76.0,0.136,GND
12,223.2412,8.5879,50.0495,0.0,0.0,0.0,76.0,0.136,GND
13,241.809,8.5879,50.0495,0.0,0.0,0.0,76.0,0.136,GND
14,256.5628,8.5879,50.0495,0.0,0.0,0.0,76.0,0.136,GND
15,284.3015,8.5881,50.0496,0.0,10.0603,0.0,76.0,0.136,GND
16,301.1859,8.5885,50.0497,0.0,11.0,0.0,76.0,0.136,GND
17,312.005,8.5889,50.0498,0.0,17.3367,0.0,76.0,0.136,GND
18,327.7789,8.5896,50.0499,0.0,19.4724,0.0,76.0,0.136,GND
19,341.3819,8.5904,50.0501,0.0,21.0,0.0,76.0,0.136,GND
20,361.5628,8.5916,50.0504,0.0,22.8392,0.0,76.0,0.136,GND
21,371.7688,8.5922,50.0505,0.0,21.0,0.0,76.0,0.136,GND
22,395.8191,8.593,50.0499,0.0,21.0,0.0,76.0,0.136,GND
23,413.3869,8.5935,50.0492,0.0,23.0,0.0,76.0,0.136,GND
24,430.1859,8.5942,50.0487,0.0,23.593,0.0,76.0,0.136,GND
25,446.005,8.5952,50.0481,0.0,30.3015,0.0,76.0,0.136,GND
26,466.4271,8.5961,50.047,0.0,15.9045,0.0,76.0,0.136,GND
27,483.1256,8.5962,50.0459,0.0,25.5829,0.0,76.0,0.136,GND
28,506.5126,8.5963,50.045,0.0,20.0,0.0,76.0,0.136,GND
29,522.8995,8.5963,50.0443,0.0,24.9497,0.0,76.0,0.136,GND
30,539.3618,8.5963,50.0434,0.0,33.1206,0.0,76.0,0.136,GND
31,552.397,8.5964,50.0423,0.0,16.8492,0.0,76.0,0.136,GND
32,575.8291,8.5955,50.0406,0.0,17.0,0.0,76.0,0.136,GND
33,595.794,8.594,50.0392,0.0,20.598,0.0,76.0,0.136,GND
34,615.3769,8.5911,50.0383,0.0,22.0,0.0,76.0,0.136,GND
35,638.4221,8.5873,50.0374,0.0,26.0,0.0,76.0,0.136,GND
36,659.3367,8.5842,50.0366,0.0,20.1658,0.0,76.0,0.136,GND
37,676.4925,8.5817,50.036,0.0,22.7487,0.0,76.0,0.136,GND
38,692.8693,8.5788,50.0354,0.0,25.5528,0.0,76.0,0.136,GND
39,720.0704,8.5735,50.0341,0.0,28.2864,0.0,76.0,0.136,GND
