,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5902,50.0501,0.0,0.0,0.0,0.0,0.0,GND
1,40.8794,8.5902,50.0501,0.0,0.0,0.0,0.0,0.0,GND
2,77.0553,8.5894,50.0499,0.0,20.7035,0.0,0.0,0.0,GND
3,110.5829,8.5867,50.0492,0.0,33.0,0.0,0.0,0.0,GND
4,142.5176,8.5835,50.0485,0.0,15.7035,0.0,0.0,0.0,GND
5,183.0352,8.5792,50.0473,0.0,15.8794,0.0,0.0,0.0,GND
6,251.3317,8.5775,50.0467,0.0,2.7739,0.0,0.0,0.0,GND
7,284.3869,8.5755,50.0463,0.0,23.2312,0.0,0.0,0.0,GND
8,329.2211,8.5723,50.0455,0.0,25.407,0.0,0.0,0.0,GND
9,386.0804,8.5669,50.0442,0.0,17.0,0.0,0.0,0.0,GND
10,439.2764,8.5647,50.0437,0.0,8.8291,0.0,0.0,0.0,GND
11,478.2161,8.5632,50.0433,0.0,20.0653,0.0,0.0,0.0,GND
12,540.6633,8.5584,50.0422,0.0,15.1106,0.0,0.0,0.0,GND
13,572.1457,8.5544,50.0412,0.0,17.7136,0.0,0.0,0.0,GND
14,618.3869,8.5489,50.0399,0.0,19.0,0.0,0.0,0.0,GND
15,655.5528,8.5444,50.0388,0.0,21.5327,0.0,0.0,0.0,GND
16,688.8844,8.5424,50.0381,0.0,25.6281,0.0,0.0,0.0,GND
17,717.9799,8.54,50.0375,0.0,34.0,0.0,0.0,0.0,GND
18,751.995,8.5368,50.0367,0.0,18.0,0.0,0.0,0.0,GND
19,788.6834,8.5342,50.0369,0.0,27.5075,0.0,0.0,0.0,GND
20,829.0704,8.5295,50.0358,0.0,19.5176,0.0,0.0,0.0,GND
21,861.7739,8.5249,50.035,0.0,17.6131,0.0,0.0,0.0,GND
22,902.4774,8.522,50.0333,0.0,29.2613,0.0,0.0,0.0,GND
23,1457.3166,8.5211,50.0323,0.0,10.3618,0.0,0.0,0.0,GND
24,1496.8844,8.523,50.0321,0.0,30.0,0.0,0.0,0.0,GND
25,1612.9698,8.5247,50.0327,0.0,3.9698,0.0,0.0,0.0,GND
26,1662.4372,8.526,50.0321,0.0,16.5829,0.0,0.0,0.0,GND
27,1705.7437,8.526,50.0146,18.7186,147.2462,224.6231,0.0,0.0,CL
28,1761.7739,8.5274,49.9735,2167.4623,172.7739,1984.9246,0.0,0.2668,CL
29,1805.5025,8.5306,49.9341,3415.0754,217.005,1934.9246,0.0,0.34,CL
30,1851.3819,8.5339,49.8801,5119.0955,275.0,3108.5427,0.0,0.4171,CL
31,1892.2613,8.5378,49.8267,7438.0653,284.9045,3410.804,0.0,0.428,CL
32,1949.7688,8.5368,49.7501,10441.3317,296.2563,2608.5786,0.0,0.452,CL
33,2005.6683,8.526,49.6684,12177.0101,345.2563,1659.3798,0.0,0.5313,CL
34,2045.8593,8.518,49.6056,14019.9749,352.9799,2160.0861,0.0,0.548,CL
35,2091.4673,8.5052,49.5287,15815.5779,371.1558,2211.0553,0.0,0.5686,CL
36,2127.3266,8.4793,49.4668,17233.1658,382.0,1786.4322,120.7236,0.5853,CL
37,2158.5377,8.4562,49.4116,18451.8844,390.5075,2445.9799,367.0452,0.6,CL
38,2190.0503,8.4328,49.3546,19526.2563,401.6834,1658.2915,374.0,0.6147,CL
39,2223.7186,8.4081,49.2941,20760.9296,407.8593,2894.4724,382.0,0.628,CL
40,2257.1759,8.3829,49.2321,21953.5176,413.0352,2454.2714,388.0,0.64,CL
41,2318.2663,8.3358,49.1159,23723.8693,431.3668,2395.4774,405.5779,0.672,CL
42,2393.9347,8.2769,48.9697,26048.3668,441.3869,1959.799,410.7739,0.6935,CL
43,2425.6884,8.251,48.9054,26817.2111,448.5628,1827.8894,418.0,0.7063,CL
44,2473.4774,8.2123,48.8085,27968.4673,459.0,945.9799,424.0,0.723,CL
45,2510.9146,8.1816,48.7318,28845.7286,465.0,2850.5025,433.6583,0.74,CL
46,2545.3618,8.1536,48.6609,29831.7839,464.0,1466.0804,432.0,0.74,CL
47,2584.0653,8.1213,48.5795,30744.9749,468.2663,1125.0,430.5327,0.74,CL
48,2624.6533,8.0877,48.4941,31766.3317,470.0,1667.3367,430.0,0.744,CL
49,2678.6181,8.0437,48.3825,33190.4523,466.0,1442.7136,426.7638,0.7425,CL
50,2715.794,8.013,48.3045,34114.6985,463.0,2652.3241,426.0,0.7448,CL
51,2802.8492,7.9244,48.1249,35000.0,469.0,0.0,438.0,0.772,CR
52,2853.7286,7.8545,48.0279,35000.0,448.8543,0.0,418.0,0.7354,CR
53,2907.8241,7.7821,47.9263,34983.0402,448.0,32.1608,418.6432,0.736,CR
54,2966.4774,7.7041,47.8169,35000.0,449.0,0.0,420.0,0.74,CR
55,3027.0402,7.6242,47.7043,35000.0,449.3266,0.0,422.0,0.74,CR
56,3069.2462,7.5687,47.6257,35000.0,449.0,0.0,420.0,0.736,CR
57,3107.2261,7.5169,47.5522,34975.0,448.0,0.0,419.9497,0.736,CR
58,3164.402,7.4428,47.4469,34975.0,445.0,0.0,418.0,0.732,CR
59,3205.2613,7.3638,47.3845,34975.0,435.0,0.0,418.0,0.736,CR
60,3247.5528,7.2759,47.3269,34950.0,436.0,-83.8568,418.0,0.732,CR
61,3278.4573,7.2077,47.2817,34950.0,437.0,0.0,418.5427,0.7331,CR
