,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5643,50.0446,0.0,9.0,0.0,184.0,0.188,GND
1,26.6533,8.564,50.0449,0.0,10.0,0.0,184.0,0.188,GND
2,336.7085,8.5634,50.0451,0.0,12.2362,0.0,184.0,0.188,GND
3,367.5628,8.5618,50.0447,0.0,27.5628,0.0,184.0,0.188,GND
4,384.8894,8.5605,50.0443,0.0,23.5276,0.0,184.0,0.356,GND
5,405.3618,8.5605,50.0436,0.0,12.005,0.0,184.0,0.356,GND
6,419.5427,8.5606,50.0434,0.0,4.6231,0.0,184.0,0.356,GND
7,448.6332,8.5608,50.043,0.0,12.6935,0.0,184.0,0.356,GND
8,470.5025,8.5605,50.0425,0.0,20.5578,0.0,184.0,0.356,GND
9,492.5025,8.5608,50.041,0.0,16.1256,0.0,184.0,0.356,GND
10,509.3618,8.5589,50.0404,0.0,20.1809,0.0,184.0,0.356,GND
11,524.196,8.5566,50.0398,0.0,24.799,0.0,184.0,0.356,GND
12,539.2513,8.554,50.0392,0.0,26.0,0.0,184.0,0.356,GND
13,556.0352,8.5511,50.0385,0.0,28.0,0.0,184.0,0.356,GND
14,568.6131,8.5485,50.0379,0.0,28.6533,0.0,184.0,0.356,GND
15,581.5427,8.5457,50.0372,0.0,29.2714,0.0,184.0,0.356,GND
16,597.3367,8.5429,50.0365,0.0,28.0,0.0,184.0,0.356,GND
17,623.5528,8.5376,50.0353,0.0,27.5075,0.0,184.0,0.356,GND
18,641.3769,8.534,50.0344,0.0,27.1256,0.0,184.0,0.356,GND
19,654.4874,8.5317,50.0338,0.0,29.0,0.0,184.0,0.356,GND
20,669.809,8.5287,50.0331,0.0,24.9146,0.0,184.0,0.356,GND
21,686.8392,8.5265,50.0326,0.0,17.0603,0.0,184.0,0.356,GND
22,706.196,8.526,50.0309,0.0,21.392,0.0,184.0,0.356,GND
23,752.0503,8.5261,50.0083,837.6884,146.7035,1554.5585,160.0,0.3321,CL
24,808.5025,8.5331,49.9668,2541.7085,192.0,1082.9146,198.0,0.3387,CL
25,829.3568,8.5608,49.9527,3067.8392,250.0,2383.794,219.7085,0.3756,CL
26,853.2814,8.6008,49.9391,4739.0704,255.0,4278.2663,242.1407,0.3763,CL
27,867.0653,8.6227,49.9316,5670.4774,255.6884,3655.7789,239.8693,0.3732,CL
28,889.3065,8.6599,49.9183,7005.6533,264.6935,5133.1658,252.6131,0.3945,CL
29,903.7739,8.6833,49.91,8034.9246,261.0,4018.8442,256.0,0.4,CL
30,917.6281,8.7065,49.9018,8779.2714,268.5427,2685.9296,256.0,0.4083,CL
31,932.1256,8.7316,49.8927,9382.1608,282.2864,1849.1565,272.0,0.4306,CL
32,948.4523,8.7611,49.8821,9816.8342,305.0101,1333.094,290.2312,0.46,CL
33,962.5879,8.7907,49.8713,10119.8492,327.5879,1202.2613,307.1759,0.4976,CL
34,976.0452,8.8189,49.8611,10351.1307,349.0603,1500.0,326.0,0.5124,CL
35,990.5327,8.8514,49.8493,10656.6583,368.5327,1208.5427,326.0,0.5424,CL
36,1005.005,8.8852,49.8371,10993.8442,385.7538,1780.1508,326.0,0.582,CL
37,1021.2161,8.9256,49.8225,11760.804,393.0,3065.3266,326.0,0.5955,CL
38,1061.4372,9.0252,49.7862,13609.6734,409.4874,2546.2312,380.0,0.6138,CL
39,1079.3166,9.0712,49.7698,14513.191,413.2111,2678.8945,388.0,0.624,CL
40,1096.8945,9.121,49.7601,15251.6332,422.7236,2562.8141,388.0,0.6349,CL
41,1131.0251,9.2236,49.7614,16717.7136,432.0,2500.0,388.0,0.6547,CL
42,1147.8392,9.2795,49.763,17689.9497,431.0,3750.0,406.0,0.66,CL
43,1166.8894,9.3368,49.7646,18480.0251,435.1558,2668.3417,412.0,0.672,CL
44,1185.7839,9.3955,49.7663,19174.4975,440.392,1774.4975,414.0,0.6768,CL
45,1203.8844,9.4531,49.7678,19853.5176,444.8141,2481.407,418.0,0.688,CL
46,1232.1608,9.5447,49.7703,20864.8241,453.2965,1994.6877,422.2714,0.6995,CL
47,1251.1508,9.6035,49.7719,21380.0251,459.1005,1240.201,432.1005,0.7122,CL
48,1265.6734,9.6544,49.7732,21766.8342,462.0,1500.0,435.3367,0.7187,CL
49,1285.7186,9.7206,49.7749,22221.4824,464.8593,1017.5879,438.0,0.7211,CL
50,1305.5226,9.7843,49.7765,22542.8392,469.0,921.4824,440.0,0.728,CL
51,1330.4523,9.8702,49.7784,22891.4573,471.5226,990.4523,442.0,0.732,CL
52,1372.1256,10.01,49.7817,23424.6231,476.2814,1473.6181,444.0,0.736,CL
53,1403.6583,10.1155,49.784,24077.6382,481.2412,1120.603,448.4824,0.744,CL
54,1424.392,10.1896,49.7855,24456.5327,478.6231,1311.5578,448.0,0.744,CL
55,1458.9598,10.307,49.7879,24974.6231,478.0,563.4422,444.0,0.744,CL
56,1503.0653,10.4577,49.7908,25945.9799,475.3869,1132.1608,442.7739,0.744,CL
57,1532.005,10.5545,49.7925,26446.2312,472.5377,1366.6409,442.0,0.744,CL
58,1560.9447,10.6511,49.7942,26934.9246,468.0,954.056,440.0,0.7468,CL
59,1577.804,10.7093,49.7952,27210.0503,467.5327,829.8995,440.0,0.74,CL
60,1602.5126,10.7904,49.7965,27583.5427,464.9146,1000.0,438.1709,0.744,CL
61,1621.2211,10.8491,49.7974,27895.3518,461.2965,925.8794,438.593,0.744,CL
62,1640.5377,10.9149,49.7984,28000.0,458.6784,0.0,435.3568,0.736,CL
63,1662.6985,10.9865,49.7995,28000.0,459.0,0.0,437.7588,0.736,CL
64,1690.5779,11.0793,49.8007,28000.0,460.0,0.0,434.0,0.7422,CL
65,1719.7035,11.1722,49.8019,28310.1759,455.8241,1489.1122,438.0,0.7414,CL
66,1748.7638,11.2664,49.803,29294.0955,449.4121,1500.0,438.0,0.744,CL
67,1768.0603,11.3292,49.8037,29801.5075,442.5879,1676.3819,432.3518,0.7424,CL
68,1785.1206,11.3852,49.8043,30176.5075,444.0,1962.3116,430.0603,0.7362,CL
69,1802.9447,11.4398,49.8049,30432.4121,444.0,1000.0,432.0,0.7426,CL
70,1826.598,11.5142,49.8056,30819.9749,443.0,1080.1508,430.0,0.74,CL
71,1846.191,11.5741,49.8062,30975.0,443.0,34.6734,432.0,0.744,CL
72,1863.005,11.629,49.8067,31000.0,444.0,0.0,430.0,0.74,CR
73,1880.8442,11.6858,49.8072,31000.0,443.0,0.0,428.0,0.7405,CR
74,1910.2161,11.7798,49.8079,31000.0,441.0,0.0,430.0,0.737,CR
75,1927.7136,11.8344,49.8083,31000.0,443.0,0.0,430.0,0.744,CR
76,1950.8492,11.9089,49.8087,31000.0,442.0,0.0,428.0,0.74,CR
77,1973.4874,11.9783,49.8091,31000.0,442.0,0.0,430.0,0.74,CR
78,2005.4322,12.0813,49.8097,31000.0,443.0,0.0,428.4221,0.74,CR
79,2039.1457,12.1797,49.8101,31020.7286,443.0,248.7437,430.0,0.74,CR
80,2057.2362,12.2442,49.8103,31000.0,444.0,0.0,428.0,0.74,CR
81,2090.3266,12.3508,49.8074,31000.0,451.0653,0.0,428.0,0.74,CR
82,2119.1005,12.4343,49.7966,31269.598,458.4673,1354.2714,428.0,0.74,CL
83,2185.3618,12.631,49.7355,32555.9045,466.6181,1013.1231,430.794,0.7508,CL
84,2230.598,12.7653,49.6767,33000.0,470.0804,0.0,426.0,0.744,CR
85,2248.7638,12.8159,49.6544,33000.0,466.0,0.0,422.0,0.74,CR
86,2266.9347,12.8665,49.6319,33000.0,467.1558,0.0,424.0,0.74,CR
87,2284.8693,12.9155,49.6098,33000.0,469.0,0.0,427.5477,0.7431,CR
88,2303.9196,12.9677,49.5861,33000.0,467.392,0.0,426.0,0.744,CR
89,2324.2613,13.0207,49.5622,33000.0,466.9899,0.0,425.9799,0.744,CR
90,2376.5126,13.1646,49.4967,32975.0,465.0,-92.9648,423.2563,0.74,CR
