,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,8.5774,50.0383,0.0,2.0,0.0,224.0,0.128,GND
1,8.397,8.5773,50.0383,0.0,2.0,0.0,224.0,0.128,GND
2,19.5528,8.5771,50.0384,0.0,2.0,0.0,224.0,0.128,GND
3,26.2764,8.5769,50.0384,0.0,2.0,0.0,224.0,0.128,GND
4,35.0704,8.5766,50.0384,0.0,2.0,0.0,224.0,0.128,GND
5,41.3819,8.5765,50.0386,0.0,2.0,0.0,224.0,0.128,GND
6,49.5528,8.5762,50.0388,0.0,2.0,0.0,224.0,0.128,GND
7,57.7789,8.5762,50.0388,0.0,2.0,0.0,224.0,0.128,GND
8,67.4221,8.5758,50.0388,0.0,9.0,0.0,224.0,0.128,GND
9,83.5729,8.5754,50.0391,0.0,9.9146,0.0,224.0,0.128,GND
10,89.3819,8.5752,50.0391,0.0,10.0,0.0,224.0,0.128,GND
11,98.0402,8.575,50.0394,0.0,10.0,0.0,224.0,0.128,GND
12,104.8693,8.5747,50.0395,0.0,10.0,0.0,224.0,0.128,GND
13,112.4322,8.5745,50.0395,0.0,10.0,0.0,224.0,0.128,GND
14,122.5578,8.5743,50.0398,0.0,10.0,0.0,224.0,0.128,GND
15,128.5276,8.574,50.0398,0.0,10.191,0.0,224.0,0.128,GND
16,137.407,8.574,50.0402,0.0,10.3668,0.0,224.0,0.128,GND
17,167.397,8.5735,50.0403,0.0,2.0,0.0,224.0,0.128,GND
18,174.3166,8.573,50.0405,0.0,2.0,0.0,224.0,0.128,GND
19,206.4171,8.572,50.0407,0.0,1.4171,0.0,224.0,0.128,GND
20,213.9397,8.5719,50.0406,0.0,2.0,0.0,224.0,0.128,GND
21,221.3367,8.5717,50.0407,0.0,2.0,0.0,224.0,0.128,GND
22,229.3869,8.5716,50.0407,0.0,2.0,0.0,224.0,0.128,GND
23,236.1307,8.5714,50.0408,0.0,2.0,0.0,224.0,0.128,GND
24,243.4221,8.5712,50.0407,0.0,2.0,0.0,224.0,0.128,GND
25,250.9397,8.5711,50.0408,0.0,2.0,0.0,224.0,0.128,GND
26,258.593,8.571,50.041,0.0,2.0,0.0,224.0,0.128,GND
27,267.9497,8.5708,50.041,0.0,2.0,0.0,224.0,0.128,GND
28,277.7387,8.5705,50.041,0.0,2.0,0.0,224.0,0.128,GND
29,285.5126,8.5703,50.0412,0.0,2.0,0.0,224.0,0.128,GND
30,292.7638,8.5701,50.0413,0.0,2.0,0.0,224.0,0.128,GND
31,302.0452,8.57,50.0414,0.0,2.0,0.0,224.0,0.128,GND
32,307.8442,8.5699,50.0414,0.0,2.0,0.0,224.0,0.128,GND
33,316.0603,8.5697,50.0414,0.0,2.0,0.0,224.0,0.128,GND
34,324.397,8.5695,50.0415,0.0,2.0,0.0,224.0,0.128,GND
35,329.5578,8.5694,50.0415,0.0,2.0,0.0,224.0,0.128,GND
36,341.608,8.5691,50.0416,0.0,8.5829,0.0,224.0,0.128,GND
37,354.9899,8.5682,50.0413,0.0,22.3015,0.0,224.0,0.128,GND
38,365.4171,8.5681,50.0411,0.0,28.4171,0.0,224.0,0.128,GND
39,375.6683,8.5681,50.0404,0.0,31.2965,0.0,224.0,0.128,GND
40,415.1558,8.5641,50.0395,0.0,30.2412,0.0,224.0,0.128,GND
41,455.2764,8.5576,50.0384,0.0,21.0553,0.0,224.0,0.128,GND
42,466.5427,8.5557,50.0379,0.0,22.0,0.0,224.0,0.128,GND
43,481.9548,8.5528,50.0375,0.0,23.8141,0.0,224.0,0.128,GND
44,489.0804,8.5513,50.0371,0.0,25.0,0.0,224.0,0.128,GND
45,497.0101,8.5499,50.0368,0.0,26.0,0.0,224.0,0.128,GND
46,504.9045,8.5485,50.0364,0.0,27.0,0.0,224.0,0.128,GND
47,513.6633,8.5467,50.0359,0.0,27.0,0.0,224.0,0.128,GND
48,521.6332,8.545,50.0356,0.0,27.2111,0.0,224.0,0.128,GND
49,527.5427,8.5437,50.0355,0.0,28.0,0.0,224.0,0.128,GND
50,535.9095,8.5419,50.0348,0.0,28.0,0.0,224.0,0.128,GND
51,544.0955,8.5402,50.0347,0.0,28.8492,0.0,224.0,0.128,GND
52,554.8291,8.5378,50.0342,0.0,29.0,0.0,224.0,0.128,GND
53,566.6482,8.5352,50.0336,0.0,28.1759,0.0,224.0,0.128,GND
54,576.8995,8.5331,50.0332,0.0,24.5628,0.0,224.0,0.128,GND
55,583.4673,8.5319,50.0329,0.0,20.2663,0.0,224.0,0.128,GND
56,592.9849,8.5306,50.0326,0.0,15.2462,0.0,224.0,0.128,GND
57,599.7538,8.5304,50.0322,0.0,18.7538,0.0,224.0,0.128,GND
58,607.0201,8.5257,50.0338,0.0,34.0854,0.0,224.0,0.128,CL
59,616.3065,8.5256,50.0316,0.0,78.4171,0.0,224.0,0.128,CL
60,623.0553,8.5256,50.0294,0.0,101.4573,0.0,224.0,0.128,CL
61,639.5075,8.5255,50.0178,192.9648,157.3065,551.3281,224.0,0.128,CL
62,654.5678,8.5254,50.0063,653.392,173.4774,2880.6533,191.598,0.128,CL
63,661.4121,8.5255,50.0009,985.5528,173.804,2899.4975,160.0,0.173,CL
64,668.8442,8.5257,49.9952,1285.1759,176.2814,2140.7035,160.0,0.2434,CL
65,677.4824,8.5262,49.9875,1562.0603,182.4824,1709.799,160.0,0.252,CL
