,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9652,60.3189,0.0,2.0,0.0,0.0,0.0,GND
1,45.6556,24.965,60.3193,0.0,0.392,0.0,0.0,0.0,GND
2,90.0834,24.9651,60.3194,0.0,0.0,0.0,0.0,0.0,GND
3,136.1416,24.9651,60.3194,0.0,0.0,0.0,0.0,0.689,GND
4,185.9628,24.9645,60.3191,0.0,3.9749,0.0,0.0,0.4747,GND
5,221.913,24.9616,60.3187,0.0,10.5578,0.0,0.0,0.8024,GND
6,259.0032,24.9575,60.3208,0.0,12.9648,0.0,22.0402,0.4901,GND
7,297.1382,24.9528,60.3234,0.0,4.8693,0.0,7.6884,0.0123,GND
8,335.106,24.9505,60.3268,0.0,20.7437,0.0,27.6583,0.0415,GND
9,370.974,24.9467,60.3303,0.0,10.5528,0.0,17.9397,0.0274,GND
10,406.8863,24.9424,60.3305,0.0,17.4724,0.0,18.392,0.0294,GND
11,461.9295,24.9008,60.3112,1523.3668,144.5506,2640.9412,6.2312,0.076,CL
12,504.4557,24.8538,60.2943,2892.5879,168.7825,574.7693,14.0704,0.166,CL
13,546.191,24.7889,60.2735,4514.3216,208.9045,4157.0767,18.0905,0.356,CL
14,592.0369,24.7017,60.2519,6657.7889,256.9266,3041.6167,9.7487,0.2067,CL
15,629.9134,24.6352,60.2178,8928.8945,279.4328,3407.3459,2.4121,0.0535,CL
16,667.0255,24.5679,60.1814,10775.0,303.6698,1143.0295,0.0,0.3439,CL
17,710.0506,24.482,60.1347,12816.0804,324.0326,3325.7706,13.2663,0.3423,CL
18,750.129,24.4008,60.0905,15079.1457,327.6337,3049.7487,1.1055,0.0296,CL
19,785.8806,24.3264,60.0498,16933.5427,335.2337,2680.4157,11.0553,0.3051,CL
20,828.0624,24.2386,60.0015,19066.9598,338.8712,2511.9814,3.2161,0.0926,CL
21,864.1407,24.161,59.9588,20540.4523,351.8326,2169.4218,4.6231,0.1378,CL
22,904.8505,24.072,59.9095,22215.201,359.635,2207.6863,0.0,0.0,CL
23,950.0603,23.9678,59.8516,23926.8844,371.0,5105.1972,20.0,0.636,CL
24,994.0191,23.8683,59.796,25300.0,382.9932,889.4472,11.8593,0.389,CL
25,1030.6545,23.7821,59.7476,26584.9246,386.1003,2488.1563,15.9799,0.5337,CL
26,1073.3745,23.6807,59.6904,27889.3216,390.1706,1687.5765,0.0,0.5566,CL
27,1111.1504,23.5893,59.6388,28825.0,399.5588,656.3451,0.0,0.292,CL
28,1158.465,23.4739,59.5731,29874.3719,410.6521,3090.8974,0.0,0.018,CL
29,1201.9486,23.3644,59.5105,30909.1709,414.3901,1269.819,12.6633,0.4609,CL
