,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9684,60.3201,0.0,0.0,0.0,0.0,0.0,GND
1,25.7092,24.9686,60.3204,0.0,0.3719,0.0,0.0,0.0,GND
2,41.7386,24.9689,60.3205,0.0,1.2563,0.0,0.0,0.0,GND
3,58.2992,24.9692,60.3206,0.0,1.1156,0.0,0.0,0.0,GND
4,75.6818,24.9696,60.3205,0.0,0.2563,0.0,0.0,0.0,GND
5,92.1844,24.9697,60.3204,0.0,0.0704,0.0,0.0,0.0,GND
6,109.9957,24.9697,60.3204,0.0,0.0,0.0,0.0,0.0,GND
7,130.7539,24.9697,60.3204,0.0,0.0,0.0,0.0,0.0,GND
8,165.5628,24.9697,60.3205,0.0,0.0,0.0,0.0,0.0,GND
9,186.2603,24.9691,60.3209,0.0,4.0402,0.0,0.0,0.0,GND
10,203.704,24.9686,60.3214,0.0,0.7035,0.0,0.0,0.0,GND
11,220.9095,24.9681,60.3218,0.0,6.0,0.0,0.0,0.0,GND
12,237.4582,24.9674,60.3224,0.0,11.5327,0.0,0.0,0.0,GND
13,254.7068,24.9658,60.3238,0.0,13.407,0.0,0.0,0.0,GND
14,272.5879,24.9638,60.3255,0.0,25.0,0.0,0.0,0.0143,GND
15,291.3281,24.9617,60.3273,0.0,0.0,0.0,0.0,0.0,GND
16,311.0703,24.9598,60.3289,0.0,18.5226,0.0,25.3467,0.0351,GND
17,326.9572,24.9584,60.3301,0.0,15.1055,0.0,21.8191,0.0302,GND
18,348.1844,24.9564,60.3315,0.0,5.5477,0.0,4.8543,0.0139,GND
19,365.377,24.9549,60.3321,0.0,5.1407,0.0,12.1508,0.0168,GND
20,382.6802,24.9533,60.3318,0.0,2.8141,0.0,7.3166,0.0101,GND
21,398.1193,24.9524,60.3314,0.0,6.3317,0.0,23.5176,0.0289,GND
22,413.8495,24.9514,60.3311,0.0,6.3668,0.0,23.6482,0.0255,GND
23,432.3568,24.9504,60.3311,0.0,1.3819,0.0,7.1859,0.0055,GND
24,448.6459,24.9497,60.3311,0.0,2.1508,0.0,13.9799,0.0108,GND
25,465.9948,24.9493,60.3311,0.0,0.7035,0.0,9.1457,0.0056,GND
26,482.2111,24.949,60.3311,0.0,0.8342,0.0,21.6884,0.01,GND
27,496.9959,24.949,60.3311,0.0,0.9799,0.0,25.4774,0.0157,GND
28,518.1759,24.948,60.3311,0.0,10.794,0.0,26.0,0.032,GND
29,532.8746,24.9466,60.3312,0.0,5.4724,0.0,15.809,0.0195,GND
30,549.2596,24.9453,60.3312,0.0,4.6231,0.0,15.0251,0.0185,GND
31,567.6384,24.9442,60.3313,0.0,4.5829,0.0,19.8593,0.0275,GND
32,584.8783,24.9431,60.3308,0.0,1.8593,0.0,1.3065,0.0018,GND
33,614.6318,24.924,60.3221,487.6884,130.0847,1948.2659,0.0,0.0,CL
34,637.6356,24.9044,60.3129,1625.8794,122.3367,3318.1628,17.6382,0.1547,CL
35,661.7544,24.8823,60.304,2537.3116,138.979,2131.3984,12.804,0.1202,CL
36,679.4573,24.8565,60.3022,2807.6633,177.9261,1122.4236,137.3065,0.2108,CL
37,696.3615,24.8284,60.3069,3383.1658,198.0189,2635.3995,0.0,0.0,CL
38,716.1973,24.7932,60.3141,4446.7337,217.6348,2381.9088,15.6784,0.0222,CL
39,741.387,24.7392,60.3175,5856.0302,238.1375,3934.1716,65.3266,0.1065,CL
40,767.6234,24.6811,60.3161,7875.1256,239.6535,4658.6202,113.6683,0.1871,CL
41,787.6345,24.6366,60.315,9228.6432,245.9601,3327.3132,0.0,0.0,CL
42,809.4476,24.585,60.3137,10598.8693,256.2062,3442.6484,210.3518,0.356,CL
43,828.0158,24.5399,60.3126,11550.5025,271.0217,2490.1458,258.6935,0.4776,CL
44,849.9681,24.4824,60.3112,12448.1156,288.6246,2558.4192,0.0,0.0,CL
45,870.5385,24.4261,60.3093,13663.3166,291.1311,4424.5951,164.6231,0.3318,CL
46,888.178,24.3791,60.3057,14800.0,292.7567,1934.6734,143.7186,0.2919,CL
47,906.1001,24.3307,60.3009,15850.0,296.1648,2954.7739,192.0603,0.4018,CL
48,923.2579,24.2841,60.2962,16838.191,299.0533,5838.8368,240.402,0.5067,CL
49,943.1812,24.2297,60.2907,17897.2362,302.8072,1502.1341,0.0,0.0624,CL
50,963.9343,24.1722,60.2849,19035.1759,304.9863,2840.2522,77.0854,0.1708,CL
51,980.2696,24.127,60.2803,19939.6985,304.9899,3355.0028,125.4271,0.2817,CL
52,997.1297,24.0788,60.2753,20841.7085,307.0589,983.307,173.7688,0.3957,CL
53,1014.0523,24.0308,60.2704,21646.3568,310.9233,1953.92,222.1106,0.516,CL
54,1029.8775,23.9873,60.2659,22294.9749,315.9457,2362.4853,249.5477,0.5874,CL
55,1047.3568,23.9368,60.2607,23075.0,319.3733,677.1881,58.794,0.1411,CL
56,1066.8261,23.8803,60.2548,23964.6985,321.2801,3262.9279,152.8643,0.3739,CL
57,1083.4605,23.8307,60.2496,24700.2513,323.9505,4590.8565,155.4774,0.3827,CL
58,1100.8672,23.78,60.2443,25360.804,328.2567,1960.9949,56.1809,0.14,CL
59,1117.1079,23.7309,60.2391,25928.7688,333.0297,2465.7997,252.1608,0.6362,CL
60,1134.9173,23.6747,60.2332,26592.2111,336.8725,5112.737,219.4975,0.5639,CL
61,1152.6971,23.6225,60.2277,27149.3719,340.9579,1748.2118,88.8442,0.2283,CL
62,1168.2418,23.5739,60.2225,27573.6181,346.3844,1492.5122,122.8141,0.3212,CL
63,1187.2218,23.5136,60.216,28064.3216,353.3311,1054.6044,74.4724,0.1959,CL
64,1205.6436,23.4536,60.2096,28355.0251,365.2674,1282.8008,26.1307,0.0699,CL
