,times,lon,lat,alt,speed,roc,tas,mach,flight_phase
0,0.0,24.9614,60.3169,0.0,1.0,0.0,0.0,0.0,GND
1,62.1391,24.9601,60.3175,0.0,0.397,0.0,0.0,0.0,GND
2,108.7428,24.9595,60.3175,0.0,0.206,0.0,0.0,0.0,GND
3,177.0328,24.9595,60.3175,0.0,0.0,0.0,0.0,0.0,GND
4,229.7638,24.9613,60.3186,0.0,9.5879,0.0,0.0,0.0,GND
5,278.939,24.9585,60.3202,0.0,0.1508,0.0,0.0,0.0,GND
6,324.9937,24.9557,60.3218,0.0,7.4171,0.0,0.0,0.0,GND
7,372.7159,24.9525,60.3238,0.0,2.6533,0.0,0.0,0.0,GND
8,421.1457,24.9508,60.3263,0.0,1.9347,0.0,0.0,0.0,GND
9,471.8725,24.9478,60.3296,0.0,6.8342,0.0,0.0,0.0,GND
10,520.2347,24.944,60.3312,0.0,0.2412,0.0,0.0,0.0,GND
11,574.5013,24.9158,60.3184,511.6834,162.0116,1792.1033,0.0,0.091,CL
12,630.808,24.8587,60.2919,2714.5729,147.8669,1362.0709,0.0,0.1833,CL
13,685.161,24.7961,60.2651,4112.0603,183.3015,1222.5473,0.0,0.047,CL
14,737.5628,24.7185,60.2335,5466.8342,231.4776,772.3232,0.0,0.203,CL
15,789.8403,24.6464,60.1793,7389.8241,283.0103,2974.2271,0.0,0.4125,CL
16,847.1696,24.5736,60.1135,10210.1759,288.0399,3695.1387,0.0,0.1604,CL
17,894.4327,24.506,60.0547,11312.4372,336.0767,1132.2367,0.0,0.3893,CL
18,951.6921,24.4091,59.9704,12310.9296,393.9741,2338.9803,0.0,0.088,CL
19,1008.089,24.3076,59.88,14475.0,405.3339,1028.8945,0.0,0.289,CL
20,1066.7494,24.1978,59.7827,16740.9548,412.9389,2162.1767,0.0,0.6127,CL
21,1121.6472,24.0877,59.6944,18542.0854,416.5448,1523.1356,0.0,0.2276,CL
22,1172.2781,23.9739,59.6142,19811.6834,434.244,1529.8247,0.0,0.1843,CL
23,1221.8127,23.8581,59.5317,20959.799,450.191,758.6482,0.0,0.093,CL
24,1270.5721,23.7432,59.4491,22502.7638,450.9428,1047.2475,0.0,0.3841,CL
25,1317.7739,23.6319,59.3657,23471.2312,465.0,1115.1291,0.0,0.74,CL
26,1370.3834,23.5075,59.272,24649.1206,473.6446,2121.9603,0.0,0.2444,CL
27,1420.2658,23.3829,59.181,25392.9648,484.673,413.1428,0.0,0.5519,CL
28,1473.6326,23.2442,59.085,26264.4472,495.1455,820.1351,0.0,0.0,CL
29,1526.825,23.106,58.9865,27612.8141,492.4127,2744.063,0.0,0.4039,CL
30,1579.5987,22.9705,58.8892,29063.6935,487.0717,1711.0498,0.0,0.7167,CL
31,1627.8574,22.8474,58.8006,29982.6633,489.1015,1463.018,0.0,0.5465,CL
32,1681.1323,22.7136,58.7033,31000.0,491.3717,296.4824,0.0,0.2336,CL
